,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,11.41B,11.41B,,,56.20M,-56.20M,50.80M,50.80M,56.20M,-56.20M,57.00M,-56.20M,2.106B,421.90M,1.684B,,0.00,6.80M,1.684B,1.684B,,2.162B,,2.87,,,2.87,2.87,,2.85,,,2.85,2.85,,584.90M,587.30M,4.60,,AOR,
2020-09,10.94B,10.94B,,,56.40M,-56.40M,54.40M,54.40M,56.40M,-56.40M,58.80M,-56.40M,1.924B,392.70M,1.531B,,0.00,6.70M,1.531B,1.531B,85.10M,1.980B,,2.60,,,2.60,2.60,,2.59,,,2.59,2.59,,585.10M,587.80M,0.10,,AOR,
2020-06,10.97B,10.97B,,,56.40M,-56.40M,52.80M,52.80M,56.40M,-56.40M,59.00M,-56.40M,2.269B,478.40M,1.790B,,0.00,6.70M,1.790B,1.790B,81.80M,2.325B,,3.05,,,3.05,3.05,,3.04,,,3.04,3.04,,584.80M,587.20M,0.10,,AOR,
2020-03,9.318B,9.318B,,,48.00M,-48.00M,47.50M,47.50M,48.00M,-48.00M,51.60M,-48.00M,874.70M,175.60M,699.10M,,-6.40M,6.70M,692.70M,692.70M,77.10M,922.70M,,1.17,,,1.17,1.17,,1.17,,,1.17,1.17,,584.70M,586.90M,0.10,,AOR,
2019-12,10.73B,10.73B,,,47.40M,-47.40M,46.80M,46.80M,47.40M,-47.40M,50.90M,-47.40M,1.339B,264.30M,1.075B,,-3.80M,6.80M,1.071B,1.071B,83.40M,1.386B,,1.82,,,1.82,1.82,,1.82,,,1.82,1.82,,584.10M,586.90M,0.10,,AOR,
2019-09,9.525B,9.525B,,,47.50M,-47.50M,48.70M,48.70M,47.50M,-47.50M,51.50M,-47.50M,1.010B,166.70M,843.60M,,-1.90M,6.70M,841.70M,841.70M,72.20M,1.058B,,1.43,,,1.43,1.43,,1.42,,,1.42,1.42,,584.10M,587.10M,0.10,,AOR,Restated
2019-06,9.444B,9.444B,,,47.40M,-47.40M,45.30M,45.30M,47.40M,-47.40M,50.00M,-47.40M,1.244B,264.60M,979.00M,,-0.40M,6.70M,979.40M,979.40M,80.00M,1.291B,,1.67,,,1.67,1.67,,1.66,,,1.66,1.66,,583.60M,586.90M,0.10,,AOR,Restated
2019-03,9.294B,9.294B,,,47.40M,-47.40M,38.10M,38.10M,47.40M,-47.40M,42.60M,-47.40M,1.568B,484.70M,1.083B,,-4.40M,6.70M,1.078B,1.078B,70.50M,1.615B,,1.84,,,1.84,1.84,,1.83,,,1.83,1.83,,583.50M,586.60M,0.10,,AOR,Restated
2018-12,8.029B,8.029B,,,46.00M,-46.00M,32.00M,32.00M,46.00M,-46.00M,38.90M,-46.00M,242.20M,-17.60M,259.80M,,4.90M,6.80M,264.70M,264.70M,70.60M,288.20M,,0.44,,,0.44,0.44,,0.44,,,0.44,0.44,,583.00M,586.70M,2.514,,,Restated
2018-09,8.49B,8.49B,,,42.00M,-42.00M,35.80M,35.80M,42.00M,-42.00M,42.50M,-42.00M,1.130B,200.30M,930.20M,,-1.80M,6.70M,928.40M,928.40M,69.20M,1.172B,,1.58,,,1.58,1.58,,1.57,,,1.57,1.57,,582.70M,586.60M,0.00,,AOR,Restated
