,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,240.00M,0.00,,0.00,20.00M,20.00M,-16.00M,,3.00M,3.00M,-162.00M,28.00M,49.00M,21.00M,,6.00M,-58.00M,,192.00M,-15.00M,,-14.00M,-1.00M,0.00,,,-15.00M,,-29.00M,-29.00M,,0.00,0.00,-84.00M,-84.00M,,-5.00M,-118.00M,908.00M,59.00M,-3.00M,964.00M,,165.00M,-194.00M,0.00
2020-07,324.00M,-127.00M,,-127.00M,19.00M,19.00M,-43.00M,,3.00M,-9.00M,-133.00M,-57.00M,71.00M,31.00M,,12.00M,-76.00M,,91.00M,-15.00M,,-15.00M,,177.00M,,,162.00M,,55.00M,55.00M,,0.00,0.00,-83.00M,-83.00M,,-9.00M,-37.00M,675.00M,216.00M,17.00M,908.00M,,159.00M,-104.00M,0.00
2020-04,128.00M,,,,19.00M,19.00M,9.00M,,3.00M,9.00M,137.00M,-61.00M,-16.00M,6.00M,,-32.00M,34.00M,,215.00M,-30.00M,,-29.00M,-1.00M,0.00,,,-30.00M,,328.00M,328.00M,,0.00,0.00,-83.00M,-83.00M,,-10.00M,235.00M,276.00M,420.00M,-21.00M,675.00M,,0.00,0.00,0.00
2020-01,231.00M,,,,19.00M,19.00M,21.00M,,2.00M,0.00,91.00M,-9.00M,-40.00M,5.00M,,-4.00M,43.00M,,322.00M,-36.00M,,-36.00M,0.00,0.00,,,-36.00M,,-152.00M,-152.00M,,0.00,0.00,-84.00M,-84.00M,,-7.00M,-243.00M,235.00M,43.00M,-2.00M,276.00M,,-2.00M,,0.00
2019-10,282.00M,0.00,,0.00,18.00M,18.00M,18.00M,,3.00M,5.00M,-196.00M,-33.00M,43.00M,-34.00M,,15.00M,-205.00M,,115.00M,-32.00M,,-27.00M,-5.00M,0.00,,,-32.00M,,-65.00M,-65.00M,,0.00,0.00,-79.00M,-79.00M,,-13.00M,-157.00M,307.00M,-74.00M,2.00M,235.00M,,-65.00M,0.00,0.00
2019-07,186.00M,0.00,,0.00,18.00M,18.00M,-9.00M,,3.00M,1.00M,-20.00M,-100.00M,1.00M,-4.00M,,-4.00M,-127.00M,,72.00M,-21.00M,,-21.00M,,-22.00M,,,-43.00M,,67.00M,67.00M,,-1.00M,-1.00M,-79.00M,-79.00M,,-13.00M,-26.00M,307.00M,3.00M,-3.00M,307.00M,,67.00M,0.00,-1.00M
2019-04,159.00M,,,,20.00M,20.00M,25.00M,,2.00M,1.00M,125.00M,-53.00M,-55.00M,11.00M,,-12.00M,16.00M,,223.00M,-35.00M,,-35.00M,0.00,0.00,,2.00M,-33.00M,,-58.00M,-58.00M,,-1.00M,-1.00M,-79.00M,-79.00M,,-3.00M,-141.00M,260.00M,49.00M,-2.00M,307.00M,,,,-1.00M
2019-01,227.00M,,,,16.00M,16.00M,9.00M,,3.00M,-3.00M,40.00M,15.00M,-38.00M,14.00M,,22.00M,53.00M,,305.00M,-31.00M,,-31.00M,0.00,0.00,,2.00M,-29.00M,,-55.00M,-55.00M,,-78.00M,-78.00M,-79.00M,-79.00M,,-3.00M,-215.00M,193.00M,61.00M,6.00M,260.00M,,,,-78.00M
2018-10,249.00M,,,,18.00M,18.00M,-14.00M,,4.00M,6.00M,-120.00M,-41.00M,40.00M,10.00M,,-6.00M,-117.00M,,146.00M,-32.00M,,-30.00M,-2.00M,0.00,,0.00,-32.00M,,83.00M,83.00M,,-127.00M,-127.00M,-76.00M,-76.00M,,-1.00M,-121.00M,211.00M,-7.00M,-11.00M,193.00M,,,,-127.00M
2018-07,200.00M,,,,18.00M,18.00M,14.00M,,5.00M,4.00M,-22.00M,-83.00M,-6.00M,-5.00M,,1.00M,-115.00M,,126.00M,-23.00M,,-23.00M,,0.00,,-2.00M,-25.00M,,-41.00M,-41.00M,,-1.00M,-1.00M,-76.00M,-76.00M,,-4.00M,-122.00M,239.00M,-21.00M,-7.00M,211.00M,,,,-1.00M
