,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.096B,5.096B,3.392B,1.704B,524.00M,199.00M,,530.00M,-275.00M,197.00M,3.00M,-194.00M,1.253B,451.00M,3.00M,197.00M,-194.00M,-237.00M,-194.00M,20.00M,92.00M,-72.00M,0.00,,-7.00M,,-79.00M,129.05M,997.00M,780.00M,217.00M,-0.11,0.0,,0.1733,-0.11,-0.11,0.0,,0.1733,-0.11,734.40M,734.40M,0.3
2020-06,4.828B,4.828B,3.291B,1.537B,541.00M,209.00M,,528.00M,-2.666B,193.00M,2.00M,-191.00M,1.278B,259.00M,2.00M,193.00M,-191.00M,-2.575B,-191.00M,-2.507B,-36.00M,-2.471B,0.00,,-7.00M,,-2.478B,173.35M,-1.54B,774.00M,-2.314B,-3.37,0.0,,0.2407,-3.37,-3.37,0.0,,0.2407,-3.37,734.30M,734.30M,0.3
2020-03,5.221B,5.221B,3.318B,1.903B,633.00M,236.00M,,533.00M,-937.00M,183.00M,2.00M,-181.00M,1.402B,501.00M,2.00M,183.00M,-181.00M,-886.00M,-181.00M,-566.00M,44.00M,-610.00M,0.00,,-6.00M,,-616.00M,73.85M,389.00M,772.00M,-383.00M,-0.83,0.0,,0.104,-0.83,-0.83,0.0,,0.104,-0.83,738.60M,738.60M,0.3
2019-12,5.204B,5.204B,3.408B,1.796B,650.00M,231.00M,,295.00M,-187.00M,175.00M,5.00M,-170.00M,1.176B,620.00M,5.00M,175.00M,-170.00M,-261.00M,-170.00M,189.00M,-2.00M,191.00M,-3.00M,,-12.00M,,176.00M,322.08M,897.00M,533.00M,364.00M,0.24,0.0,,0.4332,0.24,0.24,0.0,,0.4332,0.24,740.60M,740.60M,0.3
2019-09,5.426B,5.426B,3.531B,1.895B,645.00M,225.00M,,247.00M,-209.00M,177.00M,1.00M,-176.00M,1.117B,778.00M,1.00M,177.00M,-176.00M,-152.00M,-176.00M,450.00M,78.00M,372.00M,5.00M,,-5.00M,,372.00M,558.86M,1.126B,499.00M,627.00M,0.49,0.01,,0.7474,0.5,0.49,0.01,,0.7466,0.5,745.50M,747.70M,0.3
2019-06,5.468B,5.468B,3.496B,1.972B,642.00M,232.00M,,252.00M,-1.649B,165.00M,9.00M,-156.00M,1.126B,846.00M,9.00M,165.00M,-156.00M,-1.638B,-156.00M,-948.00M,155.00M,-1.103B,566.00M,,-34.00M,,-571.00M,79.18M,-140.00M,643.00M,-783.00M,-1.48,0.72,,0.1437,-0.76,-1.48,0.72,,0.1437,-0.76,749.00M,749.00M,0.42
2019-03,5.414B,5.414B,3.621B,1.793B,726.00M,267.00M,,256.00M,-629.00M,151.00M,40.00M,-111.00M,1.249B,544.00M,40.00M,151.00M,-111.00M,-598.00M,-111.00M,-165.00M,-91.00M,-74.00M,646.00M,,-51.00M,,521.00M,378.70M,1.506B,1.52B,-14.00M,-0.11,0.8,,0.5616,0.69,-0.11,0.8,,0.5616,0.69,750.00M,750.00M,1.14
2018-12,5.457B,5.457B,3.642B,1.815B,727.00M,262.00M,,257.00M,-617.00M,55.00M,10.00M,-45.00M,1.246B,569.00M,10.00M,55.00M,-45.00M,-214.00M,-45.00M,310.00M,-6.00M,316.00M,204.00M,,-38.00M,,482.00M,688.26M,1.833B,1.468B,365.00M,0.63,0.0,,1.169,0.63,0.63,0.0,,1.167,0.63,760.70M,764.00M,1.14
2018-09,5.683B,5.683B,3.77B,1.913B,731.00M,264.00M,,256.00M,-543.00M,0.00,8.00M,8.00M,1.251B,662.00M,8.00M,0.00,8.00M,-502.00M,8.00M,168.00M,37.00M,131.00M,408.00M,,-38.00M,,501.00M,536.82M,1.638B,1.47B,168.00M,0.15,0.5,,0.7299,0.65,0.15,0.5,,0.7261,0.65,765.40M,770.40M,1.14
2018-06,5.857B,5.857B,4.085B,1.772B,768.00M,270.00M,,266.00M,-495.00M,0.00,11.00M,11.00M,1.304B,468.00M,11.00M,0.00,11.00M,-349.00M,11.00M,130.00M,99.00M,31.00M,1.773B,,-35.00M,,1.769B,318.66M,1.626B,1.496B,130.00M,0.03,2.26,,0.4493,2.29,0.03,2.24,,0.4466,2.27,769.60M,774.50M,1.14
