,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.008B,,4.008B,3.623B,,,,3.623B,692.00M,803.00M,2.407B,,3.902B,,,238.00M,12.61B,,,,,15.44B,,15.44B,-5.757B,9.686B,29.69B,11.53B,41.22B,975.00M,,147.00M,1.303B,6.206B,59.54B,72.14B,2.685B,,414.00M,,3.099B,1.364B,4.463B,,,,2.394B,,2.394B,,,127.00M,6.984B,21.80B,,21.80B,3.011B,3.011B,1.193B,559.00M,,1.033B,27.04B,34.02B,7.00M,-11.81B,50.22B,,,,,-859.00M,37.56B
2020-06,3.737B,,3.737B,3.615B,,,,3.615B,815.00M,821.00M,2.671B,,4.307B,,,327.00M,11.99B,,,,,15.38B,,15.38B,-5.466B,9.909B,30.02B,12.35B,42.37B,1.236B,,31.00M,1.224B,,54.77B,66.75B,2.632B,,323.00M,,2.955B,1.496B,4.451B,,,,3.559B,,3.559B,,,,8.01B,15.61B,,15.61B,3.174B,3.174B,1.166B,572.00M,,1.218B,21.17B,29.18B,7.00M,-11.73B,50.19B,,,,,-1.465B,37.00B
2020-03,1.748B,,1.748B,3.869B,,,,3.869B,821.00M,858.00M,2.731B,,4.41B,,,365.00M,10.39B,,,,,15.69B,,15.69B,-5.189B,10.50B,32.32B,12.83B,45.15B,1.251B,,31.00M,661.00M,,57.60B,67.99B,2.846B,,340.00M,,3.186B,1.291B,4.477B,,,3.925B,3.925B,143.00M,4.068B,,,,8.545B,13.62B,444.00M,14.06B,3.314B,3.314B,1.155B,566.00M,,794.00M,19.32B,27.87B,7.00M,-9.251B,50.60B,,,,,-1.81B,39.55B
2019-12,1.54B,0.00,1.54B,2.954B,,53.00M,795.00M,3.802B,843.00M,855.00M,2.621B,,4.319B,,,338.00M,9.999B,0.00,798.00M,2.775B,9.887B,,1.652B,15.11B,-4.969B,10.14B,33.15B,13.59B,46.74B,1.228B,,32.00M,1.25B,,59.40B,69.40B,2.934B,,240.00M,,3.174B,1.342B,4.516B,,,,3.83B,,3.83B,,,,8.346B,13.62B,,13.62B,3.514B,3.514B,1.172B,569.00M,,1.191B,19.49B,27.84B,7.00M,-8.40B,50.80B,0.00,,,,-1.416B,40.99B
2019-09,2.107B,6.00M,2.113B,3.11B,,47.00M,805.00M,3.962B,832.00M,874.00M,2.60B,,4.306B,,,307.00M,10.69B,0.00,783.00M,2.708B,9.585B,604.00M,1.445B,15.12B,-4.822B,10.30B,32.94B,13.77B,46.70B,1.698B,,35.00M,691.00M,,59.43B,70.12B,2.944B,,148.00M,,3.092B,1.387B,4.479B,2.00M,1.968B,4.00M,1.974B,162.00M,2.136B,,,1.00M,6.616B,15.61B,439.00M,16.05B,3.474B,3.474B,1.05B,568.00M,,1.02B,21.59B,28.21B,7.00M,-8.289B,51.16B,0.00,,,,-1.529B,41.34B
2019-06,1.661B,8.00M,1.669B,3.288B,,58.00M,868.00M,4.214B,857.00M,888.00M,2.645B,,4.39B,,,350.00M,10.62B,0.00,795.00M,2.656B,9.58B,539.00M,1.442B,15.01B,-4.667B,10.34B,33.33B,14.15B,47.48B,1.682B,,36.00M,677.00M,,60.22B,70.84B,3.02B,,164.00M,,3.184B,1.508B,4.692B,5.00M,1.61B,5.00M,1.62B,145.00M,1.765B,,,,6.457B,15.61B,396.00M,16.00B,3.662B,3.662B,1.102B,570.00M,,1.044B,21.81B,28.27B,7.00M,-8.299B,51.13B,0.00,,,,-831.00M,42.01B
2019-03,11.54B,119.00M,11.66B,13.96B,,,4.783B,18.75B,2.737B,3.561B,10.06B,,16.60B,,,2.236B,49.25B,,,,,79.24B,,79.24B,-40.38B,38.86B,58.95B,30.47B,89.42B,7.478B,,415.00M,4.367B,,140.54B,189.78B,8.333B,,836.00M,3.735B,12.90B,7.982B,20.89B,2.995B,,3.946B,6.941B,753.00M,7.694B,,,,28.58B,34.53B,3.052B,37.59B,5.229B,5.229B,15.63B,1.654B,,8.666B,67.11B,95.69B,24.00M,29.76B,82.12B,7.00B,,,,-12.36B,92.44B
2018-12,8.548B,29.00M,8.577B,2.891B,,69.00M,431.00M,3.391B,779.00M,833.00M,2.495B,,4.107B,,,305.00M,126.66B,0.00,944.00M,2.581B,9.133B,,1.458B,14.12B,-4.199B,9.917B,34.50B,14.66B,49.15B,1.773B,,47.00M,312.00M,,61.20B,187.86B,2.619B,,115.00M,,2.734B,1.129B,3.863B,,,,15.00M,,15.00M,,,69.43B,73.31B,12.62B,,12.62B,3.912B,3.912B,1.343B,1.608B,,764.00M,18.64B,91.96B,8.00M,30.26B,81.98B,5.421B,,,,-12.39B,94.29B
2018-09,6.939B,370.00M,7.309B,14.54B,,,5.006B,19.55B,2.758B,4.194B,9.535B,,16.44B,,,2.107B,45.40B,,,,,,,74.30B,-39.08B,35.23B,59.36B,31.51B,90.87B,7.946B,,526.00M,4.478B,,139.05B,184.45B,8.631B,,701.00M,4.321B,13.65B,6.152B,19.80B,4.757B,,3.118B,7.875B,,7.875B,,,,27.68B,27.29B,,27.29B,5.908B,5.908B,15.29B,1.654B,,8.54B,57.03B,84.71B,24.00M,30.93B,81.84B,4.00B,,,,-10.57B,98.09B
2018-06,9.244B,507.00M,9.751B,15.38B,,,4.924B,20.30B,2.654B,3.542B,9.303B,,15.63B,,,2.213B,47.90B,,,,,,,73.66B,-38.44B,35.22B,59.40B,32.10B,91.51B,7.752B,,578.00M,4.41B,,139.47B,187.37B,7.983B,,874.00M,4.662B,13.52B,7.191B,20.71B,2.794B,,4.606B,7.40B,,7.40B,,,,28.11B,26.85B,,26.85B,5.885B,5.885B,17.69B,1.62B,,8.946B,59.38B,87.48B,24.00M,30.43B,81.68B,3.00B,,,,-10.73B,98.26B
