,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,17.67B,30.91B,48.59B,3.206B,,3.206B,,51.79B,,,385.75M,,385.75M,,385.75M,142.68M,61.44M,204.12M,45.18B,447.76M,,44.73B,49.31B,,94.63B,115.51B,,,,20.55M,20.55M,20.55M,,,20.55M,,843.63M,259.55M,1.103B,,,101.98B,,,213.79M,103.08B,107.08B,,340.19M,5.672B,1.585B,340.14M,622.52M,8.220B,,AOR,
2020-09,15.24B,15.24B,25.90B,41.14B,236.95M,,236.95M,,43.50B,,,393.97M,,393.97M,,393.97M,137.82M,45.38M,183.20M,38.41B,512.96M,,37.90B,40.43B,0.347M,79.26B,96.92B,,,,19.07M,19.07M,19.07M,,,19.07M,101.52M,843.43M,246.65M,1.090B,159.97M,159.97M,84.77B,353.76M,1.606B,174.44M,88.08B,88.95B,,340.19M,5.283B,1.549B,340.14M,620.39M,7.793B,,AOR,
2020-06,13.89B,13.89B,18.45B,32.34B,246.78M,,246.78M,,34.55B,,,384.63M,,384.63M,,384.63M,137.82M,46.73M,184.55M,36.73B,589.83M,,36.14B,32.58B,0.577M,69.57B,85.73B,,,,50.92M,50.92M,50.92M,,,50.92M,99.29M,843.22M,239.36M,1.083B,89.46M,89.46M,74.51B,239.19M,1.459B,148.94M,77.48B,78.26B,,340.19M,4.842B,1.523B,340.14M,614.74M,7.319B,,AOR,
2020-03,9.160B,9.160B,12.65B,21.81B,282.58M,,282.58M,,23.91B,,,361.17M,,361.17M,,361.17M,137.82M,48.07M,185.90M,35.97B,548.96M,,35.42B,27.42B,0.00,63.63B,75.01B,,,,2.763B,2.763B,2.763B,,,3.138B,84.69M,348.08M,227.27M,575.35M,92.78M,92.78M,61.91B,117.56M,1.239B,148.47M,64.02B,67.83B,,340.19M,4.613B,1.489B,340.14M,592.53M,7.035B,,AOR,
2019-12,6.492B,6.492B,14.01B,20.51B,264.62M,,264.62M,,22.20B,,390.59M,197.36M,121.91M,709.86M,-350.62M,359.24M,137.82M,49.42M,187.24M,33.16B,304.92M,,32.86B,29.07B,28.43M,62.73B,71.00B,,,,17.43M,17.43M,17.43M,,,17.43M,67.66M,347.99M,218.85M,566.83M,,,61.76B,354.39M,1.026B,150.77M,63.77B,64.38B,,340.19M,4.576B,1.470B,340.14M,84.44M,6.470B,,AOR,
2019-09,6.557B,6.559B,12.87B,19.43B,251.12M,,251.12M,,21.05B,,,325.24M,,325.24M,,325.24M,137.82M,52.29M,190.11M,31.06B,304.41M,,30.76B,28.42B,6.759M,59.99B,68.23B,,,,18.90M,18.90M,18.90M,,,18.90M,63.11M,697.23M,192.54M,889.77M,,,59.54B,259.81M,845.05M,157.79M,61.60B,62.18B,,0.052M,4.313B,1.442B,,136.15M,5.891B,,AOR,Restated
2019-06,8.727B,8.729B,7.940B,16.67B,268.47M,,268.47M,,17.99B,,,298.24M,,298.24M,,298.24M,137.82M,55.16M,192.98M,29.21B,301.89M,,28.91B,23.89B,30.14M,53.64B,63.77B,,,,24.25M,24.25M,24.25M,,,24.25M,62.66M,696.97M,195.33M,892.30M,,,55.61B,194.18M,704.55M,152.13M,57.46B,58.07B,,0.052M,4.051B,1.422B,,81.23M,5.554B,,AOR,Restated
2019-03,6.766B,6.768B,6.755B,13.52B,257.30M,,257.30M,,14.72B,,,303.66M,,303.66M,,303.66M,135.19M,58.03M,193.22M,28.85B,300.15M,,28.55B,22.79B,72.45M,52.06B,60.16B,,,,14.46M,14.46M,14.46M,,,14.46M,57.97M,696.72M,205.17M,901.88M,,,52.33B,115.88M,654.38M,141.05M,54.06B,54.68B,,0.052M,3.964B,1.394B,,-15.37M,5.343B,,AOR,Restated
2018-12,3.445B,3.448B,7.790B,11.24B,253.73M,,253.73M,,12.03B,,329.58M,,98.24M,427.82M,-298.61M,129.21M,0.00,,0.00,28.34B,280.90M,,28.06B,24.22B,65.43M,52.57B,56.93B,,,,312.00M,312.00M,312.00M,,,631.41M,55.18M,696.46M,,696.46M,,,49.33B,224.40M,268.40M,148.63M,50.57B,51.66B,,0.053M,3.792B,1.378B,,-54.12M,5.116B,,AOR,Restated
2018-09,3.697B,3.700B,9.088B,12.79B,247.19M,,247.19M,,13.65B,,,121.89M,,121.89M,,121.89M,,,,27.49B,285.71M,,27.21B,25.88B,81.62M,53.39B,58.14B,,,,2.260B,2.260B,2.260B,,,2.631B,51.81M,696.22M,,696.22M,,,48.60B,173.04M,432.72M,145.68M,49.95B,53.07B,,0.053M,3.673B,1.360B,,-108.41M,4.924B,,AOR,Restated
2018-06,2.670B,2.675B,9.593B,12.27B,227.39M,,227.39M,,12.99B,,,117.60M,,117.60M,,117.60M,,,,26.00B,286.71M,,25.71B,26.34B,75.29M,52.34B,55.87B,,,,417.25M,417.25M,417.25M,,,417.25M,54.10M,695.97M,,695.97M,,,48.89B,111.72M,366.43M,147.19M,50.12B,51.06B,,0.053M,3.398B,1.347B,,-86.86M,4.658B,,AOR,Restated
2018-03,2.241B,2.244B,10.08B,12.32B,200.24M,,200.24M,,13.41B,,,127.05M,,127.05M,,127.05M,,,,24.59B,274.29M,,24.31B,25.45B,59.58M,50.06B,53.50B,,,,707.14M,707.14M,707.14M,,,1.102B,52.82M,695.73M,,695.73M,,,45.94B,61.18M,502.18M,144.28M,47.25B,48.94B,,0.053M,3.160B,1.327B,,-71.69M,4.415B,,AOR,Restated
2017-12,2.672B,2.675B,11.12B,13.80B,197.72M,,197.72M,,14.68B,,305.39M,,89.22M,394.61M,-265.93M,128.68M,,,,23.11B,255.02M,,22.85B,24.44B,63.84M,47.53B,51.21B,,,,703.73M,703.73M,703.73M,,,1.034B,51.77M,695.49M,,695.49M,,,44.25B,167.53M,311.39M,139.62M,45.48B,46.90B,,0.053M,2.867B,1.314B,,-1.472M,4.180B,,AOR,Restated
2017-09,3.490B,3.493B,12.60B,16.10B,207.69M,,207.69M,,16.76B,,,122.83M,,122.83M,,122.83M,,,,22.19B,249.01M,,21.94B,24.29B,75.04M,46.46B,50.75B,,,,4.84M,4.84M,4.84M,,,4.84M,48.17M,749.62M,,749.62M,,,44.81B,124.11M,350.09M,137.48M,46.08B,46.56B,,0.053M,2.750B,1.294B,,15.63M,4.060B,,AOR,Restated
2017-06,3.659B,3.662B,12.07B,15.73B,185.13M,,185.13M,,16.69B,,,121.95M,,121.95M,,121.95M,,,,20.98B,236.50M,,20.74B,22.64B,87.81M,43.63B,48.40B,,,,0.47M,0.47M,0.47M,,,0.47M,47.00M,749.43M,,749.43M,,,42.47B,84.21M,618.47M,140.60M,43.96B,44.36B,,0.053M,2.601B,1.283B,,14.89M,3.899B,,AOR,Restated
2017-03,3.613B,3.618B,12.38B,16.00B,170.17M,,170.17M,,16.62B,,,122.30M,,122.30M,,122.30M,,,,20.43B,243.13M,,20.18B,21.64B,90.93M,42.03B,46.41B,,,,5.163M,5.163M,5.163M,,,5.163M,46.34M,795.46M,,795.46M,,,41.08B,46.19M,178.13M,139.12M,42.15B,42.51B,,0.052M,2.478B,1.269B,,17.96M,3.764B,,AOR,Restated
2016-12,2.477B,2.482B,12.62B,15.10B,173.79M,,173.79M,,15.60B,,277.97M,,70.91M,348.88M,-228.19M,120.68M,,,,19.90B,225.37M,,19.67B,21.67B,71.84M,41.57B,44.68B,,,,512.67M,512.67M,512.67M,,,512.67M,45.26M,795.70M,,795.70M,,,38.98B,135.84M,132.46M,134.48M,40.09B,40.91B,,0.052M,2.376B,1.243B,,23.43M,3.643B,,AOR,Restated
2016-09,2.352B,2.358B,12.67B,15.02B,194.31M,,194.31M,,15.69B,,,115.01M,,115.01M,,115.01M,,,,19.11B,240.56M,,18.87B,21.08B,24.68M,40.17B,43.27B,,,,2.421M,2.421M,2.421M,,,2.421M,35.92M,795.97M,,795.97M,,,38.19B,102.39M,167.03M,130.27M,39.29B,39.55B,,0.052M,2.277B,1.220B,,96.58M,3.593B,,AOR,Restated
2016-06,1.533B,1.538B,13.06B,14.60B,158.61M,,158.61M,,15.37B,,,110.48M,,110.48M,,110.48M,,,,18.83B,244.72M,,18.59B,21.92B,1.555M,40.76B,43.13B,,,,503.22M,503.22M,503.22M,,,503.22M,34.89M,796.33M,,796.33M,,,37.60B,71.28M,223.97M,128.22M,38.72B,39.50B,,0.052M,2.166B,1.210B,,129.92M,3.506B,,AOR,Restated
2016-03,1.575B,1.580B,14.33B,15.91B,153.98M,,153.98M,,16.60B,,,108.57M,,108.57M,,108.57M,,,,17.74B,230.25M,,17.50B,23.54B,11.15M,41.23B,43.57B,,,,0.00,0.00,0.00,,,0.00,34.54M,796.57M,,796.57M,,,38.76B,49.89M,136.13M,130.00M,39.78B,40.06B,,0.052M,2.073B,1.193B,,115.39M,3.381B,,AOR,Restated
