,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,6.748M,,6.748M,160.20M,0.00,44.82M,205.03M,269.06M,480.83M,,,,,,,,,,,132.13M,325.85M,,8.262B,8.743B,,83.05M,101.85M,,184.89M,26.50M,211.39M,,211.39M,3.146B,3.146B,,70.43M,296.56M,3.443B,3.654B,,3.715M,-606.18M,5.653B,,-32.46M,5.018B,,AOR,
2020-06,29.87M,,29.87M,155.12M,0.00,53.77M,208.89M,242.02M,480.77M,,,,,,,,,,,133.80M,314.72M,,8.086B,8.567B,,111.84M,79.20M,,191.05M,15.45M,206.50M,,206.50M,3.075B,3.075B,,69.60M,227.91M,3.303B,3.510B,,3.704M,-590.44M,5.608B,,-33.35M,4.988B,,AOR,
2020-03,187.56M,,187.56M,149.33M,0.00,30.63M,179.96M,228.91M,596.43M,,,,,,,,,,,132.57M,315.87M,,7.978B,8.574B,,89.64M,67.42M,,157.06M,29.12M,186.18M,,186.18M,3.147B,3.147B,,67.22M,214.43M,3.361B,3.547B,,3.684M,-543.41M,5.534B,,-34.24M,4.960B,,AOR,
2019-12,110.89M,,110.89M,149.69M,110.00M,25.61M,285.30M,234.01M,648.66M,,,,,,,,,96.58M,96.58M,133.07M,223.86M,,7.772B,8.421B,,68.84M,69.04M,,137.88M,14.18M,152.06M,0.887M,152.95M,2.915B,2.915B,,62.14M,272.59M,3.187B,3.340B,,3.68M,-475.99M,5.525B,,-35.04M,5.018B,,AOR,
2019-09,121.23M,,121.23M,144.14M,127.55M,24.19M,295.87M,354.06M,794.91M,,,,,,,,,,,110.82M,315.58M,,7.468B,8.263B,,70.31M,85.68M,,155.99M,28.68M,184.67M,2.515M,187.19M,2.768B,2.768B,,63.34M,286.91M,3.054B,3.242B,,3.663M,-476.14M,5.473B,,-42.10M,4.958B,,AOR,Restated
2019-06,8.664M,,8.664M,141.38M,142.55M,22.45M,306.38M,213.92M,549.44M,,,,,,,,,,,113.99M,316.62M,,7.465B,8.014B,,67.06M,76.08M,,143.15M,22.28M,165.42M,0.633M,166.06M,2.839B,2.839B,,61.52M,306.98M,3.146B,3.312B,,3.606M,-624.67M,5.290B,,-28.72M,4.641B,,AOR,Restated
2019-03,15.30M,,15.30M,129.71M,237.55M,24.10M,391.35M,218.50M,627.08M,,,,,,,,,,,116.68M,308.46M,,7.335B,7.962B,,76.38M,67.46M,,143.84M,26.93M,170.77M,0.041M,170.81M,2.827B,2.827B,,59.56M,283.67M,3.110B,3.281B,,3.594M,-618.12M,5.250B,,-14.02M,4.622B,,AOR,Restated
2018-12,17.90M,,17.90M,123.59M,272.55M,41.22M,437.35M,180.95M,637.28M,,,,,,,,,107.72M,107.72M,110.80M,206.08M,,7.167B,7.804B,,92.29M,73.36M,,165.65M,16.15M,181.80M,,181.80M,2.659B,2.659B,,55.04M,250.48M,2.909B,3.091B,,3.589M,-585.09M,5.244B,,-4.676M,4.658B,,AOR,Restated
2018-09,133.40M,,133.40M,121.97M,276.74M,33.70M,432.42M,313.72M,933.20M,,,,,,,,,,,107.81M,305.14M,,6.892B,7.825B,,100.32M,89.67M,,189.99M,27.46M,217.46M,0.606M,218.06M,2.634B,2.634B,,52.46M,247.65M,2.882B,3.100B,,3.583M,-571.62M,5.240B,,,4.672B,,AOR,Restated
2018-06,86.34M,,86.34M,116.48M,276.77M,13.44M,406.68M,330.66M,823.68M,,,,,,,,,,,108.77M,313.06M,,6.679B,7.503B,,93.52M,75.77M,,169.28M,17.77M,187.06M,,187.06M,2.417B,2.417B,,48.48M,189.36M,2.607B,2.794B,,3.572M,-552.68M,5.210B,,,4.660B,,AOR,Restated
2018-03,160.86M,,160.86M,119.20M,386.79M,16.69M,522.69M,232.48M,937.76M,,,,,,,,,,,121.58M,297.10M,,6.490B,7.428B,,53.34M,71.23M,,124.57M,27.17M,151.74M,1.327M,153.07M,2.496B,2.496B,,47.68M,196.97M,2.693B,2.846B,,3.57M,-674.92M,5.205B,,,4.534B,,AOR,Restated
2017-12,67.56M,,67.56M,112.43M,426.66M,13.48M,552.57M,303.29M,940.97M,,,,,,,,,88.65M,88.65M,126.49M,204.03M,,6.447B,7.388B,,54.54M,67.37M,,121.92M,17.91M,139.83M,1.163M,140.99M,2.423B,2.423B,,41.53M,249.93M,2.673B,2.814B,,3.564M,-676.04M,5.205B,,0.00,4.533B,,AOR,Restated
