,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.714B,1.714B,1.381B,333.30M,,130.20M,0.00,,24.40M,-24.40M,,130.20M,203.10M,24.40M,-24.40M,-13.30M,-24.40M,165.40M,41.90M,123.50M,,,,123.50M,123.50M,189.80M,,189.80M,,1.30,,,1.30,1.30,,1.30,,,1.30,1.30,,95.00M,95.00M,1.00,,AOR,
2020-09,1.694B,1.694B,1.348B,345.40M,,127.10M,-8.40M,,24.40M,-24.40M,,127.10M,218.30M,24.40M,-24.40M,-8.20M,-24.40M,185.70M,46.60M,139.10M,,,,139.10M,145.40M,310.60M,100.50M,210.10M,,1.47,,,1.537,1.47,,1.46,,,1.527,1.46,,94.20M,94.50M,0.79,,AOR,
2020-06,1.542B,1.542B,1.216B,325.80M,,136.30M,-73.50M,,25.10M,-25.10M,,136.30M,189.50M,25.10M,-25.10M,-72.80M,-25.10M,91.60M,34.90M,56.70M,,,,56.70M,102.12M,224.90M,108.20M,116.70M,,0.60,,,1.083,0.60,,0.59,,,1.071,0.59,,94.00M,94.40M,0.79,,AOR,
2020-03,1.709B,1.709B,1.344B,365.00M,,145.90M,-6.40M,,19.60M,-19.60M,,145.90M,219.10M,19.60M,-19.60M,-9.40M,-19.60M,190.10M,48.40M,141.70M,,,,141.70M,146.47M,310.00M,100.30M,209.70M,,1.50,,,1.551,1.50,,1.49,,,1.541,1.49,,93.90M,94.30M,0.79,,AOR,
2019-12,1.72B,1.72B,1.337B,383.30M,,137.00M,-7.30M,,60.80M,-60.80M,,137.00M,246.30M,60.80M,-60.80M,-13.10M,-60.80M,172.40M,36.20M,136.20M,,,,136.20M,141.97M,332.10M,98.90M,233.20M,,1.44,,,1.501,1.44,,1.43,,,1.491,1.43,,93.80M,94.10M,0.79,,AOR,
2019-09,1.751B,1.751B,1.339B,411.40M,,136.90M,-9.50M,,21.60M,-21.60M,,136.90M,274.50M,21.60M,-21.60M,-13.60M,-21.60M,239.30M,59.50M,179.80M,,,,179.80M,186.93M,358.80M,97.90M,260.90M,,1.90,,,1.976,1.90,,1.89,,,1.966,1.89,,93.90M,94.30M,0.79,,AOR,Restated
2019-06,1.760B,1.760B,1.332B,427.90M,,143.70M,-4.50M,,22.40M,-22.40M,,143.70M,284.20M,22.40M,-22.40M,-5.80M,-22.40M,256.00M,62.40M,193.60M,,,,193.60M,197.00M,374.30M,95.90M,278.40M,,2.05,,,2.086,2.05,,2.04,,,2.076,2.04,,93.80M,94.00M,0.79,,AOR,Restated
2019-03,1.734B,1.734B,1.312B,421.40M,,140.00M,-4.70M,,24.10M,-24.10M,,140.00M,281.40M,24.10M,-24.10M,-8.00M,-24.10M,249.30M,62.50M,186.80M,,,,186.80M,190.32M,368.20M,94.80M,273.40M,,1.98,,,2.018,1.98,,1.97,,,2.007,1.97,,93.70M,94.00M,0.79,,AOR,Restated
2018-12,1.746B,1.746B,1.321B,425.40M,,129.70M,-6.30M,,21.70M,-21.70M,,129.70M,295.70M,21.70M,-21.70M,-9.50M,-21.70M,264.50M,59.90M,204.60M,,,,204.60M,209.47M,383.50M,97.30M,286.20M,,2.17,,,2.222,2.17,,2.16,,,2.212,2.16,,93.70M,93.90M,0.79,,AOR,Restated
2018-09,1.810B,1.810B,1.367B,443.20M,,134.20M,-10.90M,,23.90M,-23.90M,,134.20M,309.00M,23.90M,-23.90M,-11.00M,-23.90M,274.10M,67.40M,206.70M,,,,206.70M,214.92M,399.40M,101.40M,298.00M,,2.19,,,2.278,2.19,,2.18,,,2.267,2.18,,93.70M,94.00M,0.79,,AOR,Restated
2018-06,1.768B,1.768B,1.347B,420.60M,,137.70M,-11.30M,,23.80M,-23.80M,,137.70M,282.90M,23.80M,-23.80M,-13.80M,-23.80M,245.30M,58.70M,186.60M,,,,186.60M,195.20M,373.20M,104.10M,269.10M,,1.98,,,2.072,1.98,,1.97,,,2.062,1.97,,93.60M,93.80M,0.79,,AOR,Restated
2018-03,1.691B,1.691B,1.334B,356.10M,,134.90M,-5.90M,,25.80M,-25.80M,,134.90M,221.20M,25.80M,-25.80M,-8.80M,-25.80M,186.60M,46.50M,140.10M,,,,140.10M,144.53M,320.50M,108.10M,212.40M,,1.48,,,1.527,1.48,,1.48,,,1.527,1.48,,93.60M,93.80M,0.63,,AOR,Restated
2017-12,1.684B,1.684B,1.313B,371.40M,,133.00M,15.10M,,27.10M,-27.10M,,133.00M,238.40M,27.10M,-27.10M,12.70M,-27.10M,224.00M,-44.90M,268.90M,,,,268.90M,259.84M,358.80M,107.70M,251.10M,,2.85,,,2.753,2.85,,2.84,,,2.743,2.84,,93.50M,93.70M,0.63,,AOR,Restated
2017-09,1.640B,1.640B,1.243B,397.00M,,129.60M,-25.40M,,25.70M,-25.70M,,129.60M,267.40M,25.70M,-25.70M,-24.80M,-25.70M,216.90M,77.80M,139.10M,,,,139.10M,155.38M,340.10M,97.50M,242.60M,,1.47,,,1.644,1.47,,1.47,,,1.644,1.47,,93.60M,93.80M,0.63,,AOR,Restated
2017-06,1.584B,1.584B,1.220B,364.30M,,129.60M,-0.40M,,25.50M,-25.50M,,129.60M,234.70M,25.50M,-25.50M,-0.60M,-25.50M,208.60M,65.40M,143.20M,,,,143.20M,143.47M,327.80M,93.70M,234.10M,,1.52,,,1.523,1.52,,1.52,,,1.523,1.52,,93.40M,93.60M,0.63,,AOR,Restated
2017-03,1.536B,1.536B,1.198B,338.20M,,127.80M,-5.80M,,24.30M,-24.30M,,127.80M,210.40M,24.30M,-24.30M,-7.00M,-24.30M,179.10M,61.70M,117.40M,,,,117.40M,121.20M,295.90M,92.50M,203.40M,,1.25,,,1.291,1.25,,1.24,,,1.281,1.24,,93.40M,93.60M,0.63,,AOR,Restated
2016-12,1.477B,1.477B,1.149B,327.50M,,122.50M,-14.40M,,27.30M,-27.30M,,122.50M,205.00M,27.30M,-27.30M,-9.10M,-27.30M,168.60M,57.90M,110.70M,,,,110.70M,120.15M,289.60M,93.70M,195.90M,,1.17,,,1.271,1.17,,1.17,,,1.271,1.17,,93.20M,93.70M,0.63,,AOR,Restated
2016-09,1.484B,1.484B,1.154B,329.50M,,116.90M,-4.20M,,23.40M,-23.40M,,116.90M,212.60M,23.40M,-23.40M,-6.20M,-23.40M,183.00M,63.70M,119.30M,,,,119.30M,122.04M,294.40M,88.00M,206.40M,,1.27,,,1.299,1.27,,1.26,,,1.289,1.26,,93.40M,93.60M,0.63,,AOR,Restated
2016-06,1.417B,1.417B,1.097B,320.10M,,114.80M,,,22.50M,-22.50M,,114.80M,205.30M,22.50M,-22.50M,-5.10M,-22.50M,177.70M,61.80M,115.90M,,,,115.90M,115.90M,287.80M,87.60M,200.20M,,1.23,,,1.23,1.23,,1.23,,,1.23,1.23,,93.20M,93.30M,0.55,,AOR,Restated
2016-03,1.401B,1.401B,1.102B,299.00M,,114.30M,-3.80M,,21.60M,-21.60M,,114.30M,184.70M,21.60M,-21.60M,-3.90M,-21.60M,159.20M,55.50M,103.70M,,,,103.70M,106.18M,269.50M,88.70M,180.80M,,1.09,,,1.116,1.09,,1.09,,,1.116,1.09,,94.10M,94.20M,0.55,,AOR,Restated
2015-12,1.391B,1.391B,1.106B,285.10M,,105.40M,-4.70M,0.00,22.30M,-22.30M,,105.40M,179.70M,22.30M,-22.30M,-3.80M,-22.30M,153.60M,49.40M,104.20M,,,,104.20M,107.39M,264.50M,88.60M,175.90M,,1.07,,,1.103,1.07,,1.07,,,1.103,1.07,,96.00M,96.10M,0.55,,AOR,Restated
