,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,139.10M,,-67.00M,-65.20M,,,,100.50M,1.90M,,0.00,6.00M,5.30M,-47.30M,56.90M,9.30M,68.30M,,,23.40M,110.60M,298.20M,,-102.30M,,-102.30M,,-23.80M,-1.00M,-127.10M,,-0.30M,-0.30M,,,,-74.90M,-74.90M,,-0.10M,-75.30M,,853.30M,95.80M,949.10M,,,,-0.30M,,,AOR,
2020-06,56.60M,,-2.10M,0.20M,,,,108.20M,5.70M,,55.20M,7.70M,9.30M,62.30M,-24.70M,8.10M,-52.00M,,,-9.80M,-16.10M,226.80M,,-80.70M,,-80.70M,,27.10M,1.80M,-51.80M,,-0.40M,-0.40M,,,,-74.90M,-74.90M,,-10.40M,-85.70M,,764.00M,89.30M,853.30M,,,,-0.40M,,,AOR,
2020-03,141.70M,,1.00M,1.00M,,,,100.30M,13.50M,,,10.10M,6.10M,-34.00M,-15.70M,-23.00M,6.50M,,,30.20M,-36.00M,236.70M,,-70.50M,,-70.50M,,-3.90M,-2.60M,-77.00M,,-0.40M,-0.40M,,,,-74.80M,-74.80M,,,-75.20M,,679.50M,84.50M,764.00M,,,,-0.40M,,,AOR,
2019-12,136.20M,,3.50M,19.00M,,,,98.90M,22.00M,,0.00,5.90M,12.10M,86.70M,12.20M,-1.30M,-45.60M,,,-16.90M,35.10M,329.20M,,-135.70M,,-135.70M,,-146.10M,3.50M,-278.30M,,-26.50M,-26.50M,,,,-74.80M,-74.80M,,-8.40M,-109.70M,,738.30M,-58.80M,679.50M,,,,-922.30M,,,AOR,
2019-09,179.80M,,-41.70M,-36.90M,,,,97.90M,11.40M,,0.00,5.90M,3.10M,14.60M,9.30M,15.60M,37.20M,,,1.90M,78.60M,339.80M,,-92.90M,,-92.90M,,0.00,-2.60M,-95.50M,,-0.40M,-0.40M,,,,-74.60M,-74.60M,,-0.40M,-75.40M,,569.40M,168.90M,738.30M,,,,-0.40M,,,AOR,Restated
2019-06,193.60M,,4.00M,5.90M,,,,95.90M,8.10M,,0.00,11.70M,6.60M,-16.50M,16.00M,-1.50M,6.70M,,,-24.10M,-19.40M,302.40M,,-92.10M,,-92.10M,,0.00,-0.60M,-92.70M,,-0.40M,-0.40M,,,,-74.60M,-74.60M,,-7.70M,-82.70M,,442.40M,127.00M,569.40M,,,,-0.40M,,,AOR,Restated
2019-03,186.80M,,7.30M,7.30M,,,,94.80M,18.80M,,,6.90M,6.40M,-28.40M,-36.10M,-19.70M,-30.80M,,,30.00M,-85.00M,236.00M,,-78.80M,,-78.80M,,0.00,-1.30M,-80.10M,,-0.30M,-0.30M,,,,-74.70M,-74.70M,,,-75.00M,,361.50M,80.90M,442.40M,,,,-0.30M,,,AOR,Restated
2018-12,204.60M,,5.80M,0.90M,,,,97.30M,3.80M,,,6.10M,5.90M,92.80M,-13.00M,11.10M,-55.40M,,,-11.60M,23.90M,345.60M,,-147.10M,,-147.10M,,,0.50M,-202.90M,,-0.30M,-0.30M,,,,-74.70M,-74.70M,,0.00,-75.00M,,293.80M,67.70M,361.50M,,,,-0.30M,,,AOR,Restated
2018-09,206.70M,,-11.70M,-10.10M,,,,101.40M,4.80M,,,6.70M,4.90M,-66.20M,-16.90M,6.00M,52.00M,,,11.70M,-13.40M,301.00M,,-130.40M,,-130.40M,,,-1.40M,-131.80M,,-0.30M,-0.30M,,,,-74.50M,-74.50M,,-0.20M,-75.00M,,199.60M,94.20M,293.80M,,,,-0.30M,,,AOR,Restated
2018-06,186.60M,,5.10M,8.40M,,,,104.10M,14.20M,,,5.60M,3.60M,-59.80M,2.70M,-2.20M,35.20M,,,32.60M,8.50M,331.00M,,-165.90M,,-165.90M,,,-0.40M,-166.30M,,-0.40M,-0.40M,,,,-59.50M,-59.50M,,-7.60M,-67.50M,,102.40M,97.20M,199.60M,,,,-0.40M,,,AOR,Restated
2018-03,140.10M,,3.90M,3.90M,,,,108.10M,15.90M,,,5.10M,1.30M,-22.90M,-8.40M,-17.00M,-43.90M,,,20.30M,-71.90M,202.50M,,-108.00M,,-108.00M,,,0.80M,-107.20M,,-150.30M,-150.30M,,,,-59.40M,-59.40M,,-0.10M,-209.80M,,216.90M,-114.50M,102.40M,,,,-150.30M,,,AOR,Restated
2017-12,268.90M,,4.90M,4.90M,,,,107.70M,-86.10M,,0.00,5.20M,-5.00M,27.10M,-8.00M,5.10M,2.10M,,,-49.10M,-22.80M,272.80M,,-116.80M,,-116.80M,,,9.10M,-381.50M,,21.50M,21.50M,,,,-59.40M,-59.40M,,-7.00M,-44.90M,,370.50M,-153.60M,216.90M,,,,-976.30M,,,AOR,Restated
2017-09,139.10M,,-30.20M,-30.20M,,,,97.50M,-2.30M,,13.50M,5.20M,13.30M,-76.10M,-2.20M,9.70M,52.60M,,,-22.40M,-38.40M,197.70M,,-86.80M,,-86.80M,,,0.10M,-86.70M,,-1.90M,-1.90M,,,,-59.40M,-59.40M,,-0.20M,-61.50M,,321.00M,49.50M,370.50M,,,,-1.90M,,,AOR,Restated
