,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-11,2.704B,,2.704B,298.67M,,,,298.67M,,16.09B,836.57M,16.93B,15.21M,,19.94B,,,,,,,,,3.442B,,3.442B,953.18M,,,,5.597B,9.992B,29.94B,1.037B,1.037B,1.037B,,,,706.69M,1.744B,5.956B,5.956B,,,104.54M,4.136B,10.09B,11.84B,33.84M,10.56B,8.676B,1.279B,-0.805M,17.99B
2020-08,2.209B,53.77M,2.263B,612.68M,,,,612.68M,,17.28B,731.98M,18.01B,22.95M,,21.99B,,,,,,,,,3.632B,,3.632B,2.286B,,86.72M,,1.317B,7.322B,29.32B,1.140B,1.140B,1.140B,,,,324.54M,1.465B,8.139B,8.139B,,,108.24M,2.431B,10.57B,12.03B,33.84M,9.760B,8.655B,1.277B,-0.163M,17.17B
2020-05,1.642B,745.89M,2.388B,894.11M,,,,894.11M,,17.55B,728.31M,18.28B,14.96M,,22.74B,,,,,,,,,3.632B,,3.632B,1.589B,,87.18M,,1.264B,6.573B,29.31B,1.034B,1.034B,1.034B,,,,344.07M,1.378B,8.937B,8.937B,,,89.92M,2.361B,11.30B,12.68B,33.75M,9.133B,8.630B,1.254B,-0.338M,16.54B
2020-02,1.052B,61.32M,1.114B,593.76M,,,,593.76M,,18.23B,774.48M,19.00B,22.56M,,21.90B,,,,,,,,,3.658B,,3.658B,2.197B,,80.32M,,1.337B,7.272B,29.17B,1.181B,1.181B,1.181B,,,,365.28M,1.546B,9.121B,9.121B,,,148.78M,2.314B,11.43B,12.98B,33.75M,8.654B,8.610B,1.254B,0.452M,16.04B
2019-11,1.446B,3.732M,1.450B,630.06M,,203.23M,,829.97M,,17.78B,313.14M,18.09B,22.70M,,22.09B,225.26M,,159.01M,,63.85M,448.11M,-168.58M,279.53M,3.658B,,3.658B,2.292B,,76.91M,,963.83M,7.270B,29.36B,1.069B,1.069B,1.069B,,,,260.27M,1.329B,9.574B,9.574B,,,84.31M,2.227B,12.00B,13.33B,33.66M,8.295B,8.578B,957.86M,0.498M,15.95B
2019-08,1.045B,3.597M,1.049B,550.50M,,,,550.50M,,18.78B,352.08M,19.14B,24.40M,,21.99B,,,,,,,,,3.658B,,3.658B,2.318B,,78.02M,,1.417B,7.471B,29.46B,1.093B,1.093B,1.093B,,,,298.72M,1.391B,10.28B,10.28B,,,94.01M,2.143B,12.60B,13.99B,33.65M,7.633B,8.560B,855.20M,0.407M,15.37B
2019-05,993.54M,3.356M,996.90M,383.86M,230.45M,,,614.32M,,18.38B,394.66M,18.77B,27.53M,,21.83B,,,,,,,,,3.658B,,3.658B,2.260B,,,,1.477B,7.750B,29.58B,1.244B,1.244B,1.244B,,,,346.29M,1.590B,10.66B,10.66B,,,87.23M,2.087B,12.75B,14.34B,33.45M,7.133B,8.530B,537.11M,0.227M,15.16B
2019-02,1.038B,5.188M,1.043B,297.09M,354.22M,,,651.30M,,17.91B,301.94M,18.21B,24.69M,,20.98B,,,,,,,,,3.658B,,3.658B,2.190B,,,,1.561B,7.765B,28.75B,1.196B,1.196B,1.196B,,,,267.34M,1.463B,10.38B,10.38B,,,106.88M,2.012B,12.39B,13.86B,33.44M,6.724B,8.514B,485.02M,-0.158M,14.79B
2018-11,1.558B,4.161M,1.563B,846.81M,,123.80M,,968.01M,,17.16B,208.96M,17.37B,37.52M,,21.15B,255.20M,,141.47M,,61.99M,458.66M,-138.80M,319.86M,3.680B,,3.680B,2.095B,,73.83M,,1.243B,7.412B,28.57B,1.155B,1.155B,1.155B,,,,175.59M,1.330B,10.12B,10.12B,,,101.42M,2.265B,12.55B,13.88B,33.44M,6.488B,8.497B,435.87M,-0.366M,14.58B
2018-08,1.048B,47.03M,1.095B,236.92M,386.45M,,,623.37M,,17.24B,328.84M,17.57B,35.13M,,20.41B,,,,,,,,,3.689B,,3.689B,2.124B,,,,1.720B,7.880B,28.29B,1.109B,1.109B,1.109B,,,,280.55M,1.390B,10.61B,10.61B,,,84.16M,2.170B,12.78B,14.17B,33.44M,5.705B,8.480B,185.52M,-0.615M,14.03B
