,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.538B,1.538B,186.18M,1.352B,184.55M,493.50M,,,-1.80M,13.86M,3.10M,-10.76M,,678.05M,674.04M,3.10M,13.86M,-10.76M,82.59M,-10.76M,745.87M,78.44M,667.43M,,,669.04M,786.37M,26.64M,759.73M,,,,2.566,2.56,,,,2.536,2020-09,260.39M,264.08M,,2020-09,AOR,
2020-06,1.524B,1.524B,184.52M,1.340B,191.80M,420.93M,,,-9.20M,13.87M,4.243M,-9.628M,,612.73M,727.23M,4.243M,13.87M,-9.628M,107.16M,-9.628M,824.77M,-12.50M,837.27M,,,843.99M,865.34M,26.70M,838.64M,,,,3.246,3.22,,,,3.205,2020-06,259.64M,263.40M,,2020-06,AOR,
2020-03,1.515B,1.515B,162.50M,1.353B,182.26M,448.53M,,,-1.60M,14.14M,12.58M,-1.56M,,630.79M,721.82M,12.58M,14.14M,-1.56M,-62.73M,-1.56M,657.53M,54.78M,602.75M,,,604.22M,698.49M,26.82M,671.67M,,,,2.326,2.32,,,,2.296,2020-03,259.82M,263.52M,,2020-03,AOR,
2019-12,1.413B,1.413B,185.01M,1.228B,195.28M,480.01M,,,-1.50M,14.25M,12.36M,-1.89M,,675.29M,552.96M,12.36M,14.25M,-1.89M,125.88M,-1.89M,676.95M,93.72M,583.23M,,,584.53M,717.46M,26.26M,691.20M,,,,2.265,2.26,,,,2.235,2019-12,258.04M,262.15M,,2019-12,AOR,
2019-09,949.83M,949.83M,131.91M,817.91M,159.67M,555.95M,,,-2.959M,14.55M,17.63M,3.08M,,715.62M,102.29M,17.63M,14.55M,3.08M,-34.71M,3.08M,70.67M,13.15M,57.52M,,,59.93M,111.06M,25.85M,85.21M,,,,0.2294,0.22,,,,0.2292,2019-09,256.95M,260.47M,,2019-09,AOR,Restated
2019-06,941.29M,941.29M,135.74M,805.55M,156.50M,379.09M,,,0.00,14.84M,18.08M,3.239M,,535.59M,269.96M,18.08M,14.84M,3.239M,53.94M,3.239M,327.14M,59.71M,267.43M,,,267.43M,369.67M,27.70M,341.98M,,,,1.04,1.04,,,,1.03,2019-06,256.15M,259.82M,,2019-06,AOR,Restated
2019-03,858.44M,858.44M,95.09M,763.34M,147.04M,339.49M,,,0.00,14.87M,15.62M,0.747M,,486.54M,276.81M,15.62M,14.87M,0.747M,42.61M,0.747M,320.16M,51.53M,268.63M,,,268.63M,362.17M,27.14M,335.03M,,,,1.05,1.05,,,,1.03,2019-03,255.70M,260.18M,,2019-03,AOR,Restated
2018-12,870.11M,870.11M,122.29M,747.82M,153.21M,437.88M,,,-29.00M,18.74M,13.97M,-4.773M,,591.09M,156.73M,13.97M,18.74M,-4.773M,-119.46M,-4.773M,32.50M,-1.493B,1.525B,,,1.572B,70.07M,18.83M,51.24M,,,,6.163,6.08,,,,6.051,2018-12,254.88M,259.82M,,2018-12,AOR,Restated
2018-09,784.54M,784.54M,111.26M,673.28M,137.30M,330.51M,,,0.174M,18.69M,10.54M,-8.143M,,467.80M,205.48M,10.54M,18.69M,-8.143M,-60.82M,-8.143M,136.51M,8.055M,128.46M,,,128.58M,174.39M,19.19M,155.20M,,,,0.5094,0.51,,,,0.4994,2018-09,254.90M,259.79M,,2018-09,AOR,Restated
2018-06,752.16M,752.16M,104.38M,647.78M,137.30M,337.53M,,,-0.062M,18.16M,8.049M,-10.11M,,474.84M,172.94M,8.049M,18.16M,-10.11M,53.76M,-10.11M,216.59M,10.34M,206.25M,,,207.42M,252.80M,18.06M,234.75M,,,,0.8202,0.82,,,,0.8002,2018-06,254.14M,258.58M,,2018-06,AOR,Restated
