,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,667.43M,,,,-75.75M,-75.75M,26.64M,,26.64M,26.64M,56.15M,,,,99.54M,37.86M,12.95M,-30.52M,-235.99M,82.69M,,,95.87M,,907.75M,,2020-09,-174.80M,,-174.80M,0.00,-73.14M,,-247.94M,,2020-09,-7.839M,,-7.839M,,-148.54M,-148.54M,21.80M,-6.106M,-140.68M,,4.836B,519.13M,6.158M,5.361B,,2020-09,,-10.65M,-148.54M,44.87M,13.42M,,2020-09,AOR,
2020-06,837.27M,,,,-109.99M,-109.99M,26.70M,,26.70M,26.70M,-27.74M,,,,117.19M,15.84M,59.53M,-36.94M,-31.71M,216.45M,,,179.26M,,1.039B,,2020-06,-17.86M,,-17.86M,,89.78M,,71.91M,,2020-06,-10.44M,,-10.44M,,-3.08M,-3.08M,133.46M,0.087M,120.02M,,3.602B,1.230B,3.272M,4.836B,,2020-06,,-10.44M,-3.08M,30.97M,13.58M,,2020-06,AOR,
2020-03,602.75M,,,,44.87M,44.87M,26.82M,,26.82M,26.82M,36.70M,,,,115.71M,11.27M,-223.67M,-27.45M,2.79M,168.10M,,,-22.42M,,815.70M,,2020-03,-19.45M,,-19.45M,,51.12M,,31.67M,,2020-03,-4.454M,,-4.454M,,-436.19M,-436.19M,79.60M,1.62M,-359.43M,,3.121B,487.93M,-6.651M,3.602B,,2020-03,,-10.29M,-436.19M,5.845M,13.77M,,2020-03,AOR,
2019-12,583.23M,,,,-128.74M,-128.74M,26.26M,,26.26M,26.26M,73.21M,,,,91.59M,22.47M,-184.14M,-18.77M,59.15M,-93.39M,,,-222.02M,,446.01M,,2019-12,-16.76M,,-16.76M,-908.39M,28.16M,,-896.99M,,2019-12,-1.262M,,-1.262M,,-36.06M,-36.06M,198.61M,0.131M,161.42M,,3.405B,-289.56M,5.652M,3.121B,,2019-12,,-10.31M,-36.06M,1.892M,13.85M,,2019-12,AOR,
2019-09,57.52M,,,,31.22M,31.22M,25.85M,,25.85M,25.85M,6.817M,,,,85.42M,-7.071M,14.43M,-20.11M,-6.129M,157.60M,,,135.04M,,334.79M,,2019-09,-24.29M,,-24.29M,-245.82M,21.12M,,-249.00M,,2019-09,-9.953M,,-9.953M,,-0.104M,-0.104M,30.54M,-0.125M,20.36M,,3.302B,106.15M,-3.201M,3.405B,,2019-09,,-9.953M,-0.104M,11.94M,14.60M,,2019-09,AOR,Restated
2019-06,267.43M,,,,-56.53M,-56.53M,27.70M,,27.70M,27.70M,43.93M,,,,89.69M,8.437M,-25.73M,-12.04M,-25.52M,137.32M,,,83.09M,,463.75M,,2019-06,-16.36M,,-16.36M,,-33.83M,,-50.19M,,2019-06,-8.539M,,-8.539M,,-56.01M,-56.01M,50.47M,1.062M,-13.02M,,2.902B,400.54M,-0.43M,3.302B,,2019-06,,-9.541M,-56.01M,9.067M,13.96M,,2019-06,AOR,Restated
2019-03,268.63M,,,,-43.55M,-43.55M,27.14M,,27.14M,27.14M,43.42M,,,,93.79M,-2.431M,-30.14M,-13.14M,7.941M,-51.42M,,,-62.22M,,324.78M,,2019-03,-18.04M,,-18.04M,,-21.10M,,-39.14M,,2019-03,-9.385M,,-9.385M,,-99.84M,-99.84M,63.62M,3.615M,-41.99M,,2.658B,243.66M,-0.378M,2.902B,,2019-03,,-9.385M,-99.84M,1.835M,13.15M,,2019-03,AOR,Restated
2018-12,1.525B,,,,,,18.83M,,18.83M,18.83M,-1.516B,,15.91M,88.22M,78.94M,21.80M,-32.98M,-7.504M,-15.11M,148.64M,,,83.18M,,314.58M,,2018-12,-15.72M,,-15.72M,0.00,-17.36M,,-40.90M,,2018-12,-0.873M,,-0.873M,,-143.00M,-143.00M,43.54M,-0.707M,-101.05M,,2.487B,172.63M,-1.426M,2.658B,,2018-12,,-8.73M,-143.00M,2.086M,16.44M,,2018-12,AOR,Restated
2018-09,128.46M,,,,,,19.19M,,19.19M,19.19M,0.079M,,6.161M,61.16M,85.53M,0.687M,13.00M,-15.10M,-1.611M,77.37M,,,80.08M,,381.35M,,2018-09,-20.91M,,-20.91M,0.00,-28.98M,,-49.89M,,2018-09,-7.18M,,-7.18M,,-92.00M,-92.00M,100.92M,0.347M,2.079M,,2.154B,333.54M,-0.555M,2.487B,,2018-09,,-10.60M,-92.00M,3.247M,16.57M,,2018-09,AOR,Restated
2018-06,206.25M,,,,,,18.06M,,18.06M,18.06M,-0.071M,,3.309M,-53.92M,82.44M,4.187M,-74.69M,-1.158M,7.926M,103.80M,,,61.45M,,321.70M,,2018-06,-29.61M,,-29.61M,,-86.69M,,-116.30M,,2018-06,-4.73M,,-4.73M,,-105.03M,-105.03M,56.43M,2.121M,-51.21M,,2.006B,154.20M,-5.857M,2.154B,,2018-06,,-4.73M,-105.03M,5.172M,16.62M,,2018-06,AOR,Restated
2018-03,227.30M,,,,,,16.34M,,16.34M,16.34M,3.587M,,3.619M,-95.46M,78.14M,5.827M,-13.47M,-8.208M,25.48M,9.501M,,,13.30M,,252.66M,,2018-03,-29.28M,,-29.28M,,34.21M,,4.933M,,2018-03,0.235M,,0.235M,,-10.00M,-10.00M,88.40M,0.318M,78.96M,,1.668B,336.55M,1.656M,2.006B,,2018-03,,-9.331M,-10.00M,1.897M,16.82M,,2018-03,AOR,Restated
2017-12,102.18M,0.00,,,,0.00,16.43M,,16.43M,16.43M,-6.544M,,-11.14M,,76.25M,17.28M,-11.59M,-17.26M,-26.77M,109.53M,,,33.05M,,227.51M,,2017-12,-42.98M,,-42.98M,,21.14M,1.061M,-20.79M,,2017-12,25.23M,,25.23M,,0.00,0.00,46.64M,1.366M,73.23M,,1.387B,279.96M,0.801M,1.668B,,2017-12,,-4.736M,0.00,2.26M,16.71M,,2017-12,AOR,Restated
2017-09,-291.27M,76.64M,,,,76.64M,15.22M,,15.22M,15.22M,-118.60M,,255.05M,0.00,74.46M,161.99M,-10.40M,-7.228M,-44.76M,58.97M,,,-3.423M,,170.09M,,2017-09,-187.96M,,-27.96M,,24.28M,-61.60M,-225.28M,,2017-09,0.737M,,0.737M,,0.00,0.00,150.32M,1.65M,152.70M,,1.288B,97.51M,1.501M,1.387B,,2017-09,,-3.963M,0.00,1.936M,16.99M,,2017-09,AOR,Restated
2017-06,31.17M,,,,,,14.89M,,14.89M,14.89M,3.414M,,5.692M,,73.10M,0.318M,-41.97M,-15.10M,4.967M,105.18M,,,53.08M,,181.65M,,2017-06,-17.38M,,-17.38M,,-58.90M,,-76.28M,,2017-06,-5.934M,,-5.934M,,,,136.64M,1.329M,132.03M,,1.048B,237.40M,2.112M,1.288B,,2017-06,,-5.934M,,1.054M,17.48M,,2017-06,AOR,Restated
2017-03,249.55M,,,,,,14.85M,,14.85M,14.85M,1.212M,,5.733M,,69.44M,-5.152M,-7.798M,-7.894M,-44.50M,-9.748M,,,-69.94M,,265.69M,,2017-03,-11.10M,,-11.10M,,-149.88M,,-160.98M,,2017-03,-304.70M,,-304.70M,,,,11.25M,3.889M,-289.56M,,1.232B,-184.85M,1.388M,1.048B,,2017-03,,-304.70M,,1.164M,17.53M,,2017-03,AOR,Restated
2016-12,27.76M,0.00,,,,0.00,,,15.45M,15.45M,-6.583M,,0.00,,62.00M,7.044M,-29.34M,-7.832M,6.348M,59.67M,,10.20M,39.05M,,144.72M,,2016-12,-14.79M,,-14.79M,,212.18M,-20.46M,176.94M,,2016-12,4.80M,,4.80M,,,,17.06M,,93.76M,,719.69M,415.42M,-4.401M,1.232B,,2016-12,,-79.34M,,-1.617M,18.99M,,2016-12,AOR,Restated
2016-09,-39.54M,0.00,,,,0.00,,,14.57M,14.57M,0.686M,,0.00,,61.21M,-4.34M,3.194M,-3.757M,-1.008M,37.71M,,-3.073M,33.07M,,65.66M,,2016-09,-13.88M,,-13.88M,,36.52M,12.16M,34.79M,,2016-09,-3.909M,,-3.909M,,,,17.46M,,13.55M,,605.87M,114.00M,-0.175M,719.69M,,2016-09,,-5.939M,,2.854M,105.99M,,2016-09,AOR,Restated
2016-06,-36.15M,,,,,,,,14.96M,14.96M,20.80M,,0.00,,61.94M,7.271M,-10.44M,-3.008M,-0.646M,-9.551M,,-4.316M,-27.96M,,40.86M,,2016-06,-15.92M,,-15.92M,,-47.38M,5.521M,-57.78M,,2016-06,-3.603M,,-3.603M,,,,24.86M,,21.25M,,604.24M,4.331M,-2.71M,605.87M,,2016-06,,-3.603M,,-0.656M,-20.72M,,2016-06,AOR,Restated
