,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,5.358B,792.97M,6.151B,791.92M,,791.92M,42.54M,135.22M,67.70M,245.46M,270.02M,,,,7.458B,,,,,,,,,920.91M,1.002B,400.00M,1.402B,,,1.148B,11.30B,,2020-09,107.79M,,,107.79M,1.704B,1.811B,,,,,,,,,192.54M,2.004B,,546.51M,546.51M,,,,,,3.168B,,2020-09,2.601M,254.48M,7.917B,-40.98M,8.133B,,2020-09,AOR,
2020-06,4.831B,619.44M,5.451B,791.77M,,791.77M,30.16M,134.89M,54.17M,219.22M,232.56M,,,,6.694B,,,,,,,,,728.36M,1.002B,400.00M,1.402B,,,1.215B,10.22B,,2020-06,101.45M,,,101.45M,1.545B,1.647B,,,,,,,,,151.78M,1.799B,,522.07M,522.07M,,,,,,2.697B,,2020-06,2.601M,-412.96M,7.944B,-14.12M,7.519B,,2020-06,AOR,
2020-03,3.593B,596.98M,4.190B,845.27M,,845.27M,24.84M,117.43M,44.82M,187.09M,223.65M,,,,5.446B,,,,,,,,,736.30M,1.002B,400.00M,1.402B,,,1.148B,8.893B,,2020-03,100.70M,,,100.70M,1.258B,1.359B,,,,,,,,,179.78M,1.539B,,532.95M,532.95M,,,,,,2.432B,,2020-03,2.591M,-1.250B,7.696B,13.38M,6.462B,,2020-03,AOR,
2019-12,3.109B,698.97M,3.808B,633.52M,,633.52M,26.25M,107.02M,34.23M,167.50M,213.52M,,,,4.823B,0.00,648.00M,548.44M,,,241.18M,1.438B,-692.54M,745.08M,1.002B,400.00M,1.402B,,,1.191B,8.318B,,2019-12,87.61M,72.29M,98.58M,258.48M,946.04M,1.205B,,,,,,,,,130.30M,1.335B,,538.58M,538.58M,,,,,,2.233B,,2019-12,2.589M,-1.853B,7.938B,-1.973M,6.085B,,2019-12,AOR,
2019-09,3.398B,598.39M,3.996B,443.32M,,443.32M,21.29M,105.67M,35.35M,162.31M,175.14M,,,,4.777B,,,,794.44M,,,794.44M,,794.44M,447.52M,,447.52M,,,1.416B,7.515B,,2019-09,92.53M,,,92.53M,1.174B,1.266B,,,,,,,,,122.58M,1.389B,,604.54M,604.54M,85.08M,,,,,2.261B,,2019-09,2.571M,-2.436B,7.668B,18.85M,5.253B,,2019-09,AOR,Restated
2019-06,3.295B,656.54M,3.951B,464.90M,,464.90M,12.96M,91.87M,38.19M,143.02M,151.83M,,,,4.711B,,,,789.16M,,,789.16M,,789.16M,50.38M,,50.38M,,,1.425B,7.033B,,2019-06,77.04M,,,77.04M,1.069B,1.146B,,,,,,,,,113.10M,1.259B,,611.96M,611.96M,84.31M,,,,,1.964B,,2019-06,2.565M,-2.494B,7.564B,-3.201M,5.070B,,2019-06,AOR,Restated
2019-03,2.894B,584.15M,3.478B,438.30M,,438.30M,11.65M,80.53M,44.52M,136.70M,130.01M,,,,4.183B,,,,803.13M,,,803.13M,,803.13M,50.38M,,50.38M,,,1.468B,6.543B,,2019-03,82.26M,,,82.26M,915.45M,997.71M,,,,,,,,,108.76M,1.106B,,623.86M,623.86M,83.47M,,,,,1.820B,,2019-03,2.561M,-2.761B,7.476B,6.00M,4.723B,,2019-03,AOR,Restated
2018-12,2.650B,518.11M,3.168B,409.69M,,409.69M,9.677M,87.94M,26.74M,124.36M,140.82M,,,,3.843B,0.00,657.44M,502.58M,,,103.43M,1.263B,-451.44M,812.00M,50.38M,,50.38M,,,1.500B,6.246B,,2018-12,110.99M,43.28M,101.11M,255.38M,814.51M,1.070B,,,,,,,,,50.41M,1.120B,,581.55M,581.55M,,,,,,1.811B,,2018-12,2.546M,-2.989B,7.421B,0.659M,4.435B,,2018-12,AOR,Restated
2018-09,2.478B,577.58M,3.056B,379.76M,,379.76M,13.73M,77.41M,33.02M,124.15M,118.68M,8.143M,,,3.687B,,,,,,,,,808.35M,50.38M,29.00M,79.38M,,,,4.621B,,2018-09,92.15M,,,92.15M,828.49M,920.64M,,,,,11.51M,11.51M,,,60.36M,992.51M,,576.53M,576.53M,91.02M,,,28.36M,,1.686B,,2018-09,2.551M,-4.540B,7.443B,0.307M,2.906B,,2018-09,AOR,Restated
2018-06,2.145B,622.40M,2.768B,393.44M,,393.44M,16.12M,74.82M,24.08M,115.02M,122.69M,8.51M,,,3.407B,,,,,,,,,815.93M,50.38M,29.00M,79.38M,,,,4.335B,,2018-06,83.03M,,,83.03M,769.58M,852.61M,,,,,15.06M,15.06M,,,59.63M,927.30M,,577.68M,577.68M,9.335M,80.60M,,28.66M,,1.621B,,2018-06,2.542M,-4.669B,7.357B,-4.605M,2.686B,,2018-06,AOR,Restated
