,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,284.86M,,,-17.96M,60.52M,35.95M,96.48M,96.48M,-14.38M,,28.55M,28.55M,-47.01M,-47.00M,-15.02M,61.41M,-19.47M,,-49.77M,-116.86M,260.67M,,-26.78M,,,-4.948M,-2.265M,22.70M,-11.30M,,,0.00,0.00,,-2.371M,-2.371M,,,35.41M,-0.818M,32.22M,,421.54M,281.59M,0.043M,703.18M,,,,0.00,-2.371M,,AOR,
2020-08,300.00M,,,,60.57M,35.60M,96.18M,96.18M,-8.716M,,29.06M,29.06M,7.118M,-77.94M,-42.28M,2.387M,16.55M,,-10.07M,-104.23M,312.29M,,-30.88M,,,-1.984M,-4.94M,-2.142M,-39.94M,,,0.00,0.00,,-69.01M,-69.01M,,,72.12M,-0.869M,2.243M,,145.40M,274.59M,1.547M,421.54M,,,,,-69.01M,,AOR,
2020-05,144.58M,0.00,,0.00,60.64M,35.92M,96.56M,96.56M,-21.26M,,19.01M,28.23M,86.74M,-56.99M,-15.08M,34.84M,46.50M,,12.81M,108.83M,356.93M,,-40.91M,,,-5.87M,0.43M,-2.568M,-48.92M,,,0.00,-200.00M,,-203.19M,-203.19M,0.086M,0.086M,8.972M,-0.782M,-394.92M,,234.44M,-86.90M,-2.14M,145.40M,,,,-200.00M,-203.19M,,AOR,
2020-02,234.52M,0.00,,0.00,59.89M,36.27M,96.16M,96.16M,-2.619M,,27.03M,27.03M,-9.121M,-4.378M,-26.76M,7.525M,-0.988M,,41.83M,8.104M,363.20M,,-63.21M,,,-41.27M,-0.34M,0.013M,-104.81M,,,0.00,0.00,,-2.586M,-2.586M,-268.04M,-268.04M,18.35M,1.982M,-250.30M,,226.54M,8.091M,-0.185M,234.44M,,,,112.50M,-2.586M,,AOR,
2019-11,246.12M,,,,58.64M,35.70M,94.34M,94.34M,-0.278M,,29.00M,29.00M,-31.30M,-11.68M,-26.48M,4.069M,-21.44M,,12.10M,-74.73M,294.45M,,-61.42M,,,-2.686M,-0.73M,11.31M,-53.53M,,,-139.00M,-139.00M,,-1.911M,-1.911M,,,25.29M,-0.76M,-116.38M,,102.13M,124.53M,-0.127M,226.54M,,,,-112.50M,-1.911M,,AOR,Restated
2019-08,250.81M,,,,56.73M,35.27M,91.99M,91.99M,7.91M,,40.40M,40.40M,-6.636M,-1.726M,-41.93M,6.103M,-11.30M,,-58.72M,-114.21M,276.90M,,-64.74M,,,-3.896M,-9.391M,-0.109M,-78.14M,,,26.50M,26.50M,,-256.83M,-256.83M,,,37.92M,-1.192M,-193.61M,,96.64M,5.155M,0.331M,102.13M,,,,,-256.83M,,AOR,Restated
2019-05,226.12M,-0.781M,0.00,-0.781M,59.25M,34.51M,93.76M,93.76M,6.629M,,33.66M,33.66M,-9.952M,10.68M,-15.64M,39.49M,-17.89M,,31.07M,37.76M,397.14M,,-68.91M,,,-2.41M,-0.297M,-1.003M,-72.62M,,,-105.00M,95.00M,,-408.08M,-408.08M,-0.004M,-0.004M,11.10M,-6.024M,-308.01M,,80.86M,16.51M,-0.728M,96.64M,,,200.00M,,-408.08M,,AOR,Restated
2019-02,203.33M,-2.419M,0.00,-2.419M,57.27M,34.39M,91.66M,91.66M,5.852M,,30.77M,30.77M,17.99M,-17.49M,-26.96M,20.97M,-14.65M,,17.10M,-3.044M,326.15M,,-70.19M,,,2.377M,-3.473M,-5.087M,-76.37M,,,44.00M,44.00M,,-100.10M,-100.10M,-220.76M,-220.76M,21.66M,-2.726M,-257.92M,,88.48M,-8.143M,0.523M,80.86M,,,,,-100.10M,,AOR,Restated
2018-11,243.01M,,-69.37M,-69.37M,54.37M,34.01M,88.38M,88.38M,10.20M,,28.61M,28.61M,-87.90M,-18.60M,-11.23M,10.61M,-34.66M,,22.54M,-119.25M,181.58M,,-73.09M,,,1.033M,57.71M,-1.515M,-15.86M,,,173.50M,173.50M,,-368.66M,-368.66M,,,5.10M,-4.81M,-194.87M,,118.36M,-29.14M,-0.733M,88.48M,,,,,-368.66M,,AOR,Restated
2018-08,212.52M,,,,52.74M,33.55M,86.30M,86.30M,9.022M,,46.17M,46.17M,-15.05M,-34.63M,-46.93M,-27.88M,-23.02M,,-43.50M,-191.02M,162.98M,,-64.53M,,,-7.613M,1.558M,-0.202M,-70.78M,,,0.00,0.00,,-139.47M,-139.47M,,,27.51M,-0.552M,-112.51M,,138.72M,-20.31M,-0.06M,118.36M,,,0.00,,-139.47M,,AOR,Restated
