,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.012B,434.10M,2.446B,354.00M,27.70M,468.40M,,,,887.00M,86.60M,,,17.90M,3.907B,0.00,15.30M,314.20M,1.576B,1.406B,40.00M,1.240B,4.591B,-2.264B,2.328B,935.00M,131.10M,1.066B,,27.30M,3.844B,7.752B,,2020-09,284.50M,0.00,150.40M,434.90M,610.20M,1.045B,166.40M,,,0.00,,0.00,328.10M,328.10M,13.10M,13.10M,,1.00M,1.631B,1.649B,3.280B,10.60M,,31.50M,,122.20M,3.654B,5.208B,,2020-09,1.30M,5.827B,2.629B,5.814B,,,-99.50M,2.544B,,2020-09,AOR,
2020-06,2.451B,259.30M,2.711B,108.70M,32.80M,227.70M,,,,773.20M,122.00M,,,19.80M,3.857B,0.00,15.30M,311.60M,1.568B,1.464B,33.00M,1.214B,4.606B,-2.196B,2.410B,921.90M,136.10M,1.058B,,42.90M,3.883B,7.740B,,2020-06,144.20M,0.00,135.90M,280.10M,550.00M,830.10M,17.10M,,,,299.90M,299.90M,324.10M,624.00M,15.00M,15.00M,,0.70M,1.630B,1.707B,3.338B,10.50M,,17.50M,,125.40M,3.698B,5.185B,,2020-06,1.30M,5.866B,2.610B,5.812B,,,-109.30M,2.556B,,2020-06,AOR,
2020-03,1.620B,495.90M,2.116B,277.10M,28.80M,415.40M,,,,736.20M,83.30M,1.40M,,8.90M,3.375B,0.00,15.30M,309.00M,1.552B,1.512B,37.50M,1.194B,4.620B,-2.128B,2.491B,915.50M,141.00M,1.056B,0.00,48.60M,3.905B,7.280B,,2020-03,246.80M,49.80M,113.00M,409.60M,562.60M,972.20M,25.50M,,,475.00M,299.60M,774.60M,298.20M,1.073B,14.60M,14.60M,,6.90M,396.40M,1.758B,2.154B,10.00M,,0.00,,118.70M,2.495B,4.587B,,2020-03,1.30M,5.994B,2.594B,5.778B,,,-118.20M,2.693B,,2020-03,AOR,
2019-12,1.080B,828.50M,1.908B,349.40M,54.10M,499.20M,,,,904.60M,94.80M,1.50M,,28.40M,3.449B,0.00,15.30M,310.90M,1.541B,1.573B,65.00M,1.224B,4.729B,-2.127B,2.602B,917.10M,146.20M,1.063B,0.00,23.30M,3.997B,7.446B,,2019-12,267.60M,50.70M,158.90M,477.20M,654.90M,1.132B,23.10M,,,,298.10M,298.10M,297.80M,595.90M,15.10M,15.10M,,9.20M,396.30M,1.829B,2.225B,11.80M,,0.00,,101.00M,2.554B,4.329B,,2019-12,1.30M,6.293B,2.567B,5.626B,,,-118.60M,3.116B,,2019-12,AOR,
2019-09,548.10M,1.041B,1.590B,483.20M,55.30M,631.30M,,,,1.012B,101.00M,7.10M,,22.10M,3.387B,0.00,15.30M,312.60M,1.539B,1.567B,110.80M,1.183B,4.727B,-2.149B,2.578B,913.80M,152.30M,1.066B,0.00,30.20M,3.842B,7.228B,,2019-09,350.30M,51.30M,126.90M,528.50M,574.50M,1.103B,31.50M,,,,297.30M,297.30M,283.90M,581.20M,15.10M,15.10M,,5.20M,396.10M,1.847B,2.244B,13.10M,,,,104.50M,2.579B,4.315B,,2019-09,1.30M,6.009B,2.545B,5.526B,,,-115.40M,2.914B,,2019-09,AOR,Restated
2019-06,648.40M,1.281B,1.929B,290.70M,68.30M,563.40M,,,,988.60M,101.80M,34.90M,,21.90M,3.654B,0.00,15.30M,313.30M,1.531B,1.416B,62.30M,1.178B,4.515B,-2.112B,2.403B,925.30M,158.20M,1.084B,34.10M,9.60M,3.690B,7.344B,,2019-06,351.50M,53.10M,228.60M,633.20M,600.00M,1.233B,36.80M,,,,,,304.80M,304.80M,16.20M,16.20M,,,692.10M,1.683B,2.375B,10.70M,,15.70M,,128.10M,2.740B,4.331B,,2019-06,1.30M,5.879B,2.517B,5.275B,,,-109.20M,3.013B,,2019-06,AOR,Restated
2019-03,584.10M,1.403B,1.988B,398.10M,39.00M,607.10M,,,,817.80M,111.50M,11.90M,,18.40M,3.595B,0.00,15.30M,387.80M,1.511B,,58.70M,1.169B,3.142B,-2.103B,1.039B,919.60M,163.70M,1.083B,44.90M,12.20M,2.348B,5.943B,,2019-03,202.30M,48.80M,187.70M,438.80M,660.90M,1.100B,60.40M,,,,,,22.30M,22.30M,14.10M,14.10M,,3.60M,689.10M,212.60M,901.70M,50.20M,,11.90M,,104.70M,1.456B,2.656B,,2019-03,1.30M,5.979B,2.494B,5.084B,,,-103.40M,3.287B,,2019-03,AOR,Restated
2018-12,680.50M,1.382B,2.063B,304.00M,42.40M,557.50M,,,,914.50M,109.10M,12.60M,,23.70M,3.696B,0.00,15.30M,390.30M,1.659B,,37.30M,1.225B,3.326B,-2.247B,1.079B,924.80M,169.50M,1.094B,45.70M,5.20M,2.396B,6.092B,,2018-12,169.10M,49.10M,287.50M,505.70M,668.40M,1.174B,53.30M,,,0.00,,0.00,21.90M,21.90M,20.10M,20.10M,,4.30M,686.80M,217.90M,904.70M,47.90M,,20.20M,,126.60M,1.464B,2.738B,,2018-12,1.30M,5.996B,2.470B,5.013B,,,-101.30M,3.354B,,2018-12,AOR,Restated
2018-09,553.10M,1.320B,1.873B,432.30M,38.10M,677.70M,,,,994.60M,104.60M,11.50M,,19.80M,3.694B,0.00,16.80M,458.30M,1.688B,,49.70M,1.199B,3.411B,-2.281B,1.130B,928.60M,175.00M,1.104B,69.90M,,2.462B,6.156B,,2018-09,202.10M,50.30M,247.40M,499.80M,649.60M,1.149B,48.60M,,,,,,21.10M,21.10M,19.00M,19.00M,,3.00M,683.90M,223.00M,906.90M,44.30M,,37.10M,,121.90M,1.452B,2.694B,,2018-09,1.30M,5.925B,2.448B,4.805B,,,-107.80M,3.462B,,2018-09,AOR,Restated
2018-06,532.30M,1.488B,2.02B,260.00M,5.60M,467.80M,,,,890.00M,127.70M,8.00M,,21.90M,3.550B,0.00,16.80M,458.80M,1.677B,,35.10M,1.180B,3.368B,-2.227B,1.142B,928.70M,181.40M,1.110B,69.50M,1.30M,2.485B,6.035B,,2018-06,202.70M,50.70M,245.40M,498.80M,631.20M,1.13B,59.00M,,,,299.00M,299.00M,20.00M,319.00M,25.50M,25.50M,,30.20M,288.00M,229.10M,517.10M,33.30M,,29.30M,,115.80M,1.051B,2.614B,,2018-06,1.30M,5.805B,2.427B,4.711B,,,-101.40M,3.421B,,2018-06,AOR,Restated
