,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.194B,1.194B,394.10M,799.40M,628.20M,,,-191.50M,12.80M,2.20M,-10.60M,,628.20M,171.20M,2.20M,12.80M,-10.60M,-189.70M,-10.60M,-29.10M,10.00M,-39.10M,,,-39.10M,61.50M,-16.30M,,2020-09,-0.53,1.372,-0.53,,2020-09,-0.53,1.372,-0.53,,73.50M,0.00,,2020-09,AOR,
2020-06,487.50M,487.50M,138.80M,348.70M,507.60M,,,-9.10M,9.60M,2.90M,-6.70M,,507.60M,-158.90M,2.90M,9.60M,-6.70M,-7.00M,-6.70M,-172.60M,-44.90M,-127.70M,,,-127.70M,63.70M,-163.00M,,2020-06,-1.75,-1.658,-1.75,,2020-06,-1.75,-1.658,-1.75,,73.10M,0.00,,2020-06,AOR,
2020-03,1.274B,1.274B,679.70M,594.40M,852.20M,,,-26.00M,4.80M,5.90M,1.10M,,852.20M,-257.80M,5.90M,4.80M,1.10M,-30.50M,1.10M,-287.20M,-38.20M,-249.00M,,,-249.00M,68.50M,-282.40M,,2020-03,-3.38,-3.074,-3.38,,2020-03,-3.38,-3.080,-3.38,,75.10M,0.6875,,2020-03,AOR,
2019-12,1.751B,1.751B,661.60M,1.089B,843.30M,,,-21.40M,4.20M,7.30M,3.10M,,843.30M,245.80M,7.30M,4.20M,3.10M,-18.50M,3.10M,230.40M,-103.70M,334.10M,,,334.10M,68.20M,234.60M,,2019-12,4.47,4.679,4.47,,2019-12,4.41,4.616,4.41,,75.80M,0.6875,,2019-12,AOR,
2019-09,1.706B,1.706B,657.20M,1.049B,795.30M,,,-20.60M,4.40M,9.60M,5.20M,,795.30M,253.70M,9.60M,4.40M,5.20M,-22.30M,5.20M,236.60M,54.50M,182.10M,,,182.10M,66.60M,241.00M,,2019-09,2.37,2.577,2.37,,2019-09,2.34,2.543,2.34,,77.90M,0.6875,,2019-09,AOR,Restated
2019-06,1.429B,1.429B,508.00M,920.80M,746.70M,,,-30.80M,4.20M,11.60M,7.40M,,746.70M,174.10M,11.60M,4.20M,7.40M,-34.90M,7.40M,146.60M,29.50M,117.10M,,,117.10M,66.20M,150.80M,,2019-06,1.50,1.815,1.50,,2019-06,1.47,1.778,1.47,,79.90M,0.6875,,2019-06,AOR,Restated
2019-03,1.506B,1.506B,604.20M,901.50M,809.40M,,,-64.20M,5.10M,11.30M,6.20M,,809.40M,92.10M,11.30M,5.10M,6.20M,-63.00M,6.20M,35.30M,3.70M,31.60M,,,31.60M,69.30M,40.40M,,2019-03,0.40,1.127,0.40,,2019-03,0.39,1.109,0.39,,79.90M,0.625,,2019-03,AOR,Restated
2018-12,1.726B,1.726B,666.30M,1.060B,823.40M,,,-42.30M,5.20M,9.90M,4.70M,,823.40M,236.10M,9.90M,5.20M,4.70M,-41.30M,4.70M,199.50M,79.50M,120.00M,,,120.00M,72.00M,204.70M,,2018-12,1.50,1.818,1.50,,2018-12,1.48,1.794,1.48,,81.20M,0.625,,2018-12,AOR,Restated
2018-09,1.691B,1.691B,661.60M,1.029B,793.60M,,,-25.70M,6.00M,10.40M,4.40M,,793.60M,235.70M,10.40M,6.00M,4.40M,-25.30M,4.40M,214.80M,44.50M,170.30M,,,170.30M,69.70M,220.80M,,2018-09,2.09,2.341,2.09,,2018-09,2.07,2.318,2.07,,82.30M,0.625,,2018-09,AOR,Restated
2018-06,1.391B,1.391B,494.90M,895.70M,741.90M,,,-23.70M,4.40M,9.20M,4.80M,,741.90M,153.80M,9.20M,4.40M,4.80M,-25.70M,4.80M,132.90M,23.90M,109.00M,,,109.00M,70.30M,137.30M,,2018-06,1.33,1.567,1.33,,2018-06,1.31,1.543,1.31,,83.30M,0.625,,2018-06,AOR,Restated
