,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,3.242B,3.242B,2.774B,468.00M,200.00M,2.00M,-7.00M,44.00M,,-44.00M,200.00M,268.00M,,44.00M,-44.00M,-10.00M,-44.00M,214.00M,51.00M,163.00M,,0.00,163.00M,168.33M,340.00M,82.00M,258.00M,,1.15,,1.188,1.15,,1.13,,1.167,1.13,,142.00M,144.00M,0.34,,AOR,
2020-06,2.914B,2.914B,2.531B,383.00M,195.00M,-81.00M,54.00M,41.00M,,-41.00M,195.00M,188.00M,,41.00M,-41.00M,45.00M,-41.00M,192.00M,38.00M,154.00M,,-1.00M,153.00M,109.69M,304.00M,71.00M,233.00M,,1.08,,0.7750,1.08,,1.06,,0.7592,1.06,,142.00M,144.00M,0.34,,AOR,
2020-03,2.889B,2.889B,2.494B,395.00M,197.00M,,-12.00M,48.00M,,-48.00M,197.00M,198.00M,,48.00M,-48.00M,-20.00M,-48.00M,130.00M,15.00M,115.00M,,,115.00M,125.62M,239.00M,61.00M,178.00M,,0.81,,0.8848,0.81,,0.80,,0.8738,0.80,,142.00M,144.00M,0.34,,AOR,
2019-12,2.954B,2.954B,2.527B,427.00M,171.00M,-5.00M,91.00M,48.00M,,-34.00M,171.00M,256.00M,,48.00M,-34.00M,5.00M,-34.00M,227.00M,46.00M,181.00M,,0.00,181.00M,108.44M,335.00M,60.00M,275.00M,,1.27,,0.7517,1.27,,1.26,,0.7490,1.26,,140.00M,142.00M,0.34,,AOR,
2019-09,2.835B,2.835B,2.45B,385.00M,177.00M,-35.00M,35.00M,28.00M,,-28.00M,177.00M,208.00M,,28.00M,-28.00M,34.00M,-28.00M,214.00M,52.00M,162.00M,,-1.00M,161.00M,134.50M,301.00M,59.00M,242.00M,,1.13,,0.9447,1.13,,1.11,,0.9273,1.11,,143.00M,145.00M,0.34,,AOR,Restated
2019-06,2.728B,2.728B,2.348B,380.00M,175.00M,0.00,-1.00M,33.00M,,-33.00M,175.00M,205.00M,,33.00M,-33.00M,7.00M,-33.00M,179.00M,41.00M,138.00M,,-2.00M,136.00M,136.84M,269.00M,57.00M,212.00M,,0.94,,0.9458,0.94,,0.93,,0.9357,0.93,,144.00M,146.00M,0.32,,AOR,Restated
2019-03,2.577B,2.577B,2.221B,356.00M,166.00M,,-2.00M,38.00M,,-38.00M,166.00M,190.00M,,38.00M,-38.00M,94.00M,-38.00M,246.00M,57.00M,189.00M,,,189.00M,190.54M,342.00M,58.00M,284.00M,,1.30,,1.311,1.30,,1.29,,1.300,1.29,,145.00M,147.00M,0.32,,AOR,Restated
2018-12,2.647B,2.647B,2.278B,369.00M,182.00M,0.00,-5.00M,41.00M,,-34.00M,182.00M,187.00M,,41.00M,-34.00M,-3.00M,-34.00M,150.00M,-38.00M,188.00M,,0.00,188.00M,191.65M,255.00M,64.00M,191.00M,,1.27,,1.295,1.27,,1.25,,1.274,1.25,,148.00M,150.00M,0.32,,AOR,Restated
2018-09,2.575B,2.575B,2.174B,401.00M,194.00M,1.00M,-8.00M,35.00M,,-35.00M,194.00M,207.00M,,35.00M,-35.00M,-2.00M,-35.00M,170.00M,23.00M,147.00M,,0.00,147.00M,153.92M,269.00M,64.00M,205.00M,,0.97,,1.016,0.97,,0.96,,1.005,0.96,,151.00M,153.00M,0.32,,AOR,Restated
2018-06,2.529B,2.529B,2.152B,377.00M,174.00M,,-8.00M,35.00M,,-35.00M,174.00M,203.00M,,35.00M,-35.00M,-3.00M,-35.00M,165.00M,20.00M,145.00M,,-1.00M,144.00M,151.03M,266.00M,66.00M,200.00M,,0.95,,0.9963,0.95,,0.94,,0.9857,0.94,,152.00M,154.00M,0.32,,AOR,Restated
2018-03,2.443B,2.443B,2.086B,357.00M,178.00M,,-24.00M,34.00M,,-34.00M,178.00M,179.00M,,34.00M,-34.00M,-20.00M,-34.00M,125.00M,23.00M,102.00M,,,102.00M,121.58M,222.00M,63.00M,159.00M,,0.67,,0.7988,0.67,,0.66,,0.7872,0.66,,152.00M,154.00M,0.32,,AOR,Restated
2017-12,2.516B,2.516B,2.179B,337.00M,176.00M,,-101.00M,43.00M,,-35.00M,176.00M,161.00M,,43.00M,-35.00M,-92.00M,-35.00M,34.00M,-79.00M,113.00M,,1.00M,114.00M,174.60M,159.00M,82.00M,77.00M,,0.75,,1.141,0.75,,0.74,,1.126,0.74,,155.00M,157.00M,0.32,,AOR,Restated
2017-09,2.503B,2.503B,2.136B,367.00M,194.00M,,-27.00M,35.00M,,-35.00M,194.00M,173.00M,,35.00M,-35.00M,-22.00M,-35.00M,116.00M,37.00M,79.00M,,3.00M,82.00M,100.39M,243.00M,92.00M,151.00M,,0.54,,0.6610,0.54,,0.53,,0.6494,0.53,,152.00M,154.00M,0.32,,AOR,Restated
2017-06,2.571B,2.571B,2.19B,381.00M,186.00M,,-22.00M,34.00M,,-34.00M,186.00M,195.00M,,34.00M,-34.00M,-26.00M,-34.00M,135.00M,37.00M,98.00M,,,98.00M,113.97M,249.00M,80.00M,169.00M,,0.65,,0.7558,0.65,,0.64,,0.7444,0.64,,151.00M,153.00M,0.32,,AOR,Restated
