,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,512.00M,512.00M,1.872B,,,1.872B,148.00M,79.00M,65.00M,292.00M,,,,523.00M,3.199B,,,,,1.158B,,,1.158B,,1.158B,6.158B,1.335B,7.493B,,,435.00M,9.086B,12.28B,,2.279B,,,2.279B,718.00M,2.997B,,,401.00M,401.00M,,,,3.398B,4.125B,549.00M,4.674B,216.00M,,216.00M,,9.00M,282.00M,5.172B,8.57B,,0.00,1.18B,2.624B,,,-98.00M,3.706B,,AOR,
2020-06,588.00M,588.00M,1.789B,,,1.789B,139.00M,89.00M,66.00M,294.00M,,,,381.00M,3.052B,,,,,1.128B,,,1.128B,,1.128B,6.266B,1.26B,7.526B,,,437.00M,9.091B,12.14B,,2.034B,,,2.034B,541.00M,2.575B,,,854.00M,854.00M,,,,3.429B,4.148B,529.00M,4.677B,194.00M,,194.00M,,9.00M,296.00M,5.167B,8.596B,,0.00,1.065B,2.60B,,,-127.00M,3.538B,,AOR,
2020-03,445.00M,445.00M,1.793B,,,1.793B,,,,,,,,630.00M,2.868B,,,,,1.029B,,,1.029B,,1.029B,5.719B,950.00M,6.669B,,,422.00M,8.12B,10.99B,,1.966B,,,1.966B,531.00M,2.497B,,,1.793B,1.793B,,,,4.29B,2.444B,500.00M,2.944B,176.00M,,176.00M,,4.00M,219.00M,3.339B,7.629B,,0.00,961.00M,2.579B,,,-185.00M,3.355B,,AOR,
2019-12,668.00M,668.00M,1.023B,,735.00M,1.734B,,,,,,,,410.00M,2.812B,0.00,4.00M,23.00M,296.00M,400.00M,104.00M,203.00M,1.03B,-343.00M,687.00M,4.912B,530.00M,5.442B,19.00M,,407.00M,6.555B,9.367B,,592.00M,,,592.00M,1.28B,1.872B,,,61.00M,61.00M,400.00M,400.00M,,2.333B,2.925B,326.00M,3.251B,184.00M,,184.00M,,4.00M,182.00M,3.617B,5.95B,,0.00,896.00M,2.587B,,,-70.00M,3.413B,,AOR,
2019-09,635.00M,635.00M,1.775B,,,1.775B,,,,,,,,514.00M,2.924B,0.00,4.00M,23.00M,282.00M,394.00M,58.00M,187.00M,948.00M,-326.00M,622.00M,4.889B,571.00M,5.46B,,,404.00M,6.486B,9.41B,,2.004B,,,2.004B,446.00M,2.45B,,,77.00M,77.00M,,,,2.527B,2.939B,295.00M,3.234B,196.00M,,196.00M,,4.00M,203.00M,3.633B,6.16B,,0.00,764.00M,2.59B,,,-108.00M,3.246B,,AOR,Restated
2019-06,660.00M,660.00M,1.842B,,,1.842B,,,,,,,,412.00M,2.914B,0.00,4.00M,23.00M,284.00M,383.00M,39.00M,188.00M,921.00M,-322.00M,599.00M,4.861B,571.00M,5.432B,,,382.00M,6.413B,9.327B,,1.71B,,,1.71B,471.00M,2.181B,,,65.00M,65.00M,,,,2.246B,2.954B,285.00M,3.239B,185.00M,,185.00M,,3.00M,295.00M,3.719B,5.965B,,0.00,652.00M,2.78B,,,-73.00M,3.359B,,AOR,Restated
2019-03,536.00M,536.00M,1.894B,,,1.894B,,,,,,,,430.00M,2.86B,0.00,4.00M,23.00M,283.00M,406.00M,38.00M,188.00M,942.00M,-316.00M,626.00M,4.871B,613.00M,5.484B,,,390.00M,6.50B,9.36B,,1.893B,,,1.893B,363.00M,2.256B,,,66.00M,66.00M,,,,2.322B,2.966B,305.00M,3.271B,194.00M,,194.00M,,3.00M,276.00M,3.741B,6.063B,,0.00,562.00M,2.767B,,,-35.00M,3.294B,,AOR,Restated
2018-12,327.00M,327.00M,1.067B,,818.00M,1.877B,,,,,,,,543.00M,2.839B,0.00,40.00M,56.00M,269.00M,,15.00M,206.00M,586.00M,-349.00M,237.00M,4.86B,652.00M,5.512B,26.00M,,156.00M,5.931B,8.77B,,547.00M,,,547.00M,1.141B,1.688B,,,72.00M,72.00M,276.00M,276.00M,23.00M,2.059B,3.052B,0.00,3.052B,170.00M,,170.00M,,3.00M,178.00M,3.40B,5.459B,,0.00,372.00M,2.966B,,,-30.00M,3.308B,,AOR,Restated
2018-09,515.00M,515.00M,1.812B,,,1.812B,,,,456.00M,,,,,2.881B,0.00,40.00M,56.00M,230.00M,,50.00M,195.00M,571.00M,-341.00M,230.00M,4.881B,702.00M,5.583B,,,214.00M,6.027B,8.908B,,1.59B,11.00M,2.00M,1.603B,410.00M,2.013B,,,56.00M,56.00M,,,24.00M,2.093B,2.985B,,2.985B,232.00M,,232.00M,,3.00M,141.00M,3.358B,5.451B,,0.00,231.00M,3.21B,,,13.00M,3.454B,,AOR,Restated
2018-06,303.00M,303.00M,1.779B,,,1.779B,,,,458.00M,,,,,2.639B,0.00,40.00M,56.00M,223.00M,,45.00M,186.00M,550.00M,-329.00M,221.00M,4.887B,749.00M,5.636B,,,274.00M,6.131B,8.77B,,1.461B,12.00M,3.00M,1.476B,446.00M,1.922B,,,71.00M,71.00M,,,22.00M,2.015B,2.99B,,2.99B,211.00M,,211.00M,,2.00M,136.00M,3.337B,5.352B,,0.00,133.00M,3.26B,,,23.00M,3.416B,,AOR,Restated
