,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,163.00M,0.00,0.00,82.00M,82.00M,-1.00M,11.00M,15.00M,,-7.00M,-86.00M,,,432.00M,34.00M,,-51.00M,329.00M,,592.00M,,-30.00M,,90.00M,0.00,,15.00M,-15.00M,,-477.00M,-477.00M,10.00M,-1.00M,9.00M,-49.00M,-49.00M,,0.00,-517.00M,,682.00M,60.00M,,742.00M,,,10.00M,0.00,-477.00M,-1.00M,,AOR,
2020-06,154.00M,0.00,31.00M,71.00M,71.00M,-3.00M,11.00M,15.00M,,-17.00M,137.00M,,,-67.00M,58.00M,,32.00M,160.00M,,422.00M,,-46.00M,,-46.00M,-968.00M,,0.00,-1.014B,,774.00M,774.00M,8.00M,-2.00M,6.00M,-48.00M,-48.00M,,-23.00M,709.00M,,565.00M,117.00M,,682.00M,,,8.00M,3.05B,-2.276B,-2.00M,,AOR,
2020-03,115.00M,,,61.00M,61.00M,2.00M,,15.00M,,28.00M,89.00M,,,93.00M,-43.00M,,12.00M,151.00M,,372.00M,,-44.00M,,-44.00M,-1.642B,,1.00M,-1.685B,,1.248B,1.248B,8.00M,-32.00M,-24.00M,-51.00M,-51.00M,,-12.00M,1.161B,,717.00M,-152.00M,,565.00M,,,8.00M,3.175B,-1.927B,-32.00M,,AOR,
2019-12,181.00M,-1.00M,-1.00M,60.00M,60.00M,-11.00M,-7.00M,14.00M,,-11.00M,48.00M,,,11.00M,-78.00M,,-48.00M,-67.00M,,169.00M,,-54.00M,,-121.00M,-5.00M,,5.00M,-54.00M,,-30.00M,-30.00M,11.00M,-28.00M,-17.00M,-97.00M,-97.00M,,,-144.00M,,746.00M,-29.00M,,717.00M,,,11.00M,,-30.00M,-28.00M,,AOR,
2019-09,162.00M,0.00,0.00,59.00M,59.00M,16.00M,19.00M,13.00M,,0.00,36.00M,,,78.00M,-19.00M,,-15.00M,80.00M,,349.00M,,-21.00M,,46.00M,-82.00M,,1.00M,-102.00M,,-2.00M,-2.00M,1.00M,-203.00M,-202.00M,0.00,0.00,,,-204.00M,,703.00M,43.00M,,746.00M,,,1.00M,0.00,-2.00M,-203.00M,,AOR,Restated
2019-06,138.00M,1.00M,1.00M,57.00M,57.00M,0.00,0.00,13.00M,,0.00,53.00M,,,-108.00M,78.00M,,-46.00M,-23.00M,,186.00M,,-16.00M,,-16.00M,0.00,,0.00,-16.00M,,-17.00M,-17.00M,5.00M,-5.00M,0.00,-47.00M,-47.00M,,,-64.00M,,597.00M,106.00M,,703.00M,,,5.00M,0.00,-17.00M,-5.00M,,AOR,Restated
2019-03,189.00M,-88.00M,-88.00M,58.00M,58.00M,13.00M,,12.00M,,3.00M,-21.00M,,,106.00M,-25.00M,,41.00M,101.00M,,288.00M,,-30.00M,,-30.00M,171.00M,,96.00M,237.00M,,-31.00M,-31.00M,10.00M,-222.00M,-212.00M,-54.00M,-54.00M,,,-297.00M,,369.00M,228.00M,,597.00M,,,10.00M,0.00,-31.00M,-222.00M,,AOR,Restated
2018-12,188.00M,,,64.00M,64.00M,,0.00,11.00M,,-9.00M,-60.00M,,,-48.00M,-49.00M,,46.00M,-111.00M,,104.00M,,-20.00M,,-20.00M,0.00,,0.00,-20.00M,,0.00,0.00,1.00M,-256.00M,-255.00M,-47.00M,-47.00M,,12.00M,-290.00M,,575.00M,-206.00M,,369.00M,,,1.00M,,0.00,-256.00M,,AOR,Restated
2018-09,147.00M,0.00,0.00,64.00M,64.00M,,0.00,10.00M,,7.00M,-34.00M,,,92.00M,9.00M,,76.00M,143.00M,,371.00M,,-25.00M,,-25.00M,0.00,,40.00M,15.00M,,-15.00M,-15.00M,5.00M,-66.00M,-61.00M,-48.00M,-48.00M,,-10.00M,-134.00M,,323.00M,252.00M,,575.00M,,,5.00M,,-15.00M,-66.00M,,AOR,Restated
2018-06,145.00M,0.00,0.00,66.00M,66.00M,,0.00,12.00M,,3.00M,120.00M,,,-55.00M,30.00M,,-50.00M,45.00M,,271.00M,,-13.00M,,-13.00M,0.00,,,-13.00M,,-27.00M,-27.00M,4.00M,-94.00M,-90.00M,-51.00M,-51.00M,,-24.00M,-192.00M,,257.00M,66.00M,,323.00M,,,4.00M,,-27.00M,-94.00M,,AOR,Restated
