,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.12B,1.12B,795.00M,325.00M,52.00M,52.00M,0.00,4.00M,34.00M,110.00M,1.00M,-111.00M,76.00M,162.00M,163.00M,1.00M,110.00M,-111.00M,20.00M,-111.00M,72.00M,31.00M,41.00M,,,-26.00M,,15.00M,0.40M,580.00M,398.00M,182.00M,,-0.01,,,-0.0486,-0.01,,-0.02,,,-0.0586,-0.02,,378.00M,378.00M,0.025,,AOR,
2020-06,752.00M,752.00M,800.00M,-48.00M,94.00M,94.00M,0.00,110.00M,23.00M,105.00M,1.00M,-106.00M,80.00M,197.00M,-245.00M,1.00M,105.00M,-106.00M,-65.00M,-106.00M,-416.00M,-38.00M,-378.00M,,,11.00M,,-367.00M,-307.94M,107.00M,418.00M,-311.00M,,-1.02,,,-0.8638,-1.02,,-1.02,,,-0.8638,-1.02,,378.00M,378.00M,0.025,,AOR,
2020-03,1.344B,1.344B,1.058B,286.00M,68.00M,68.00M,18.00M,-4.474B,33.00M,103.00M,2.00M,-103.00M,71.00M,172.00M,114.00M,2.00M,103.00M,-103.00M,-4.577B,-103.00M,-4.566B,56.00M,-4.622B,,,160.00M,,-4.462B,-1.121B,-3.897B,566.00M,-4.463B,,-11.86,,,-3.021,-11.86,,-11.86,,,-3.021,-11.86,,378.00M,378.00M,0.25,,AOR,
2019-12,1.553B,1.553B,1.08B,473.00M,83.00M,83.00M,,-2.71B,66.00M,96.00M,1.00M,-97.00M,592.00M,741.00M,-268.00M,1.00M,96.00M,-97.00M,-2.67B,-97.00M,-3.035B,212.00M,-3.247B,,,287.00M,,-2.96B,-981.70M,-2.218B,721.00M,-2.939B,,-7.89,,,-2.643,-7.89,,-7.89,,,-2.643,-7.89,,377.00M,377.00M,0.25,,AOR,
2019-09,1.468B,1.468B,1.15B,318.00M,98.00M,98.00M,0.00,-16.00M,44.00M,98.00M,5.00M,-95.00M,49.00M,191.00M,127.00M,5.00M,98.00M,-95.00M,-18.00M,-95.00M,14.00M,131.00M,-117.00M,,,-35.00M,,-152.00M,-138.86M,823.00M,711.00M,112.00M,,-0.45,,,-0.4151,-0.45,,-0.45,,,-0.4151,-0.45,,377.00M,377.00M,0.25,,AOR,Restated
2019-06,1.616B,1.616B,1.082B,534.00M,102.00M,102.00M,5.00M,-304.00M,46.00M,100.00M,3.00M,-98.00M,128.00M,276.00M,258.00M,3.00M,100.00M,-98.00M,-312.00M,-98.00M,-152.00M,164.00M,-316.00M,,,-40.00M,,-356.00M,-128.24M,550.00M,602.00M,-52.00M,,-0.96,,,-0.3559,-0.96,,-0.96,,,-0.3559,-0.96,,377.00M,377.00M,0.25,,AOR,Restated
2019-03,1.678B,1.678B,1.121B,557.00M,123.00M,123.00M,0.00,-1.00M,51.00M,99.00M,4.00M,-97.00M,90.00M,264.00M,293.00M,4.00M,99.00M,-97.00M,-31.00M,-97.00M,165.00M,167.00M,-2.00M,,,-45.00M,,-47.00M,-24.37M,910.00M,646.00M,264.00M,,-0.12,,,-0.0598,-0.12,,-0.12,,,-0.0598,-0.12,,376.00M,376.00M,0.25,,AOR,Restated
2018-12,1.703B,1.703B,1.074B,629.00M,101.00M,101.00M,,-496.00M,53.00M,98.00M,6.00M,-93.00M,276.00M,430.00M,199.00M,6.00M,98.00M,-93.00M,-450.00M,-93.00M,-344.00M,6.00M,-350.00M,,,-31.00M,,-381.00M,-18.92M,388.00M,634.00M,-246.00M,,-1.00,,,-0.0446,-1.00,,-1.00,,,-0.0497,-1.00,,379.00M,381.00M,0.25,,AOR,Restated
2018-09,1.976B,1.976B,1.084B,892.00M,99.00M,99.00M,,-111.00M,58.00M,102.00M,6.00M,-98.00M,97.00M,254.00M,638.00M,6.00M,102.00M,-98.00M,-134.00M,-98.00M,406.00M,245.00M,161.00M,,,-80.00M,,81.00M,178.82M,1.118B,610.00M,508.00M,,0.21,,,0.4654,0.21,,0.21,,,0.4641,0.21,,383.00M,385.00M,0.25,,AOR,Restated
2018-06,1.936B,1.936B,1.046B,890.00M,117.00M,117.00M,,-10.00M,49.00M,97.00M,4.00M,-94.00M,87.00M,253.00M,637.00M,4.00M,97.00M,-94.00M,-35.00M,-94.00M,508.00M,239.00M,269.00M,,,-74.00M,,195.00M,220.55M,1.213B,608.00M,605.00M,,0.51,,,0.5769,0.51,,0.51,,,0.5764,0.51,,382.00M,385.00M,0.25,,AOR,Restated
2018-03,1.733B,1.733B,988.00M,745.00M,114.00M,114.00M,,7.00M,55.00M,100.00M,6.00M,-99.00M,98.00M,267.00M,478.00M,6.00M,100.00M,-99.00M,9.00M,-99.00M,388.00M,182.00M,206.00M,,,-61.00M,,145.00M,138.43M,1.041B,553.00M,488.00M,,0.38,,,0.3628,0.38,,0.38,,,0.3629,0.38,,382.00M,384.00M,0.25,,AOR,Restated
2017-12,1.64B,1.64B,942.00M,698.00M,88.00M,88.00M,,9.00M,34.00M,101.00M,6.00M,-97.00M,279.00M,401.00M,297.00M,6.00M,101.00M,-97.00M,78.00M,-97.00M,278.00M,-240.00M,518.00M,,,-62.00M,,456.00M,450.60M,952.00M,573.00M,379.00M,,1.20,0.00,,1.186,1.20,,1.19,0.00,,1.176,1.19,,381.00M,383.00M,0.25,,AOR,Restated
2017-09,1.389B,1.389B,956.00M,433.00M,98.00M,98.00M,,276.00M,46.00M,101.00M,3.00M,-101.00M,261.00M,405.00M,28.00M,3.00M,101.00M,-101.00M,166.00M,-101.00M,93.00M,-12.00M,105.00M,,,-42.00M,,63.00M,-36.60M,753.00M,559.00M,194.00M,,0.16,,,-0.1014,0.16,,0.16,,,-0.1001,0.16,,381.00M,383.00M,0.25,,AOR,Restated
2017-06,1.346B,1.346B,992.00M,354.00M,106.00M,106.00M,,-25.00M,29.00M,102.00M,5.00M,-99.00M,86.00M,221.00M,133.00M,5.00M,102.00M,-99.00M,-25.00M,-99.00M,9.00M,-604.00M,613.00M,,,-41.00M,,572.00M,587.00M,683.00M,572.00M,111.00M,,1.50,,,1.539,1.50,,1.50,,,1.539,1.50,,381.00M,383.00M,0.25,,AOR,Restated
