,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2011-12,824.99M,1.352B,2.177B,544.10M,,544.10M,385.21M,195.53M,58.90M,,639.64M,,,296.21M,92.47M,3.749B,0.00,41.42M,237.19M,487.76M,,7.81M,,774.18M,-506.55M,267.63M,327.81M,70.22M,398.03M,,951.93M,4.701B,,2011-12,129.06M,20.08M,149.14M,148.89M,298.03M,,,,,,48.16M,238.88M,165.09M,829.98M,746.56M,,746.56M,,,,80.36M,902.54M,1.733B,1.051B,1.928B,,,,,-10.71M,2.968B,,2011-12,AOR,Restated
2011-09,745.95M,1.354B,2.100B,461.64M,,520.51M,386.28M,158.83M,67.49M,,612.60M,52.60M,,290.37M,20.69M,3.597B,0.00,41.87M,234.51M,477.63M,,8.689M,,762.70M,-498.42M,264.28M,327.97M,77.95M,405.92M,,968.40M,4.565B,,2011-09,114.58M,12.31M,126.89M,141.03M,267.91M,,,,,,136.12M,298.90M,43.60M,734.22M,746.42M,,746.42M,,,,73.24M,896.50M,1.631B,1.031B,1.910B,,,,,-6.965M,2.935B,,2011-09,AOR,Restated
2011-06,711.33M,1.327B,2.039B,583.27M,,643.04M,235.60M,131.80M,59.86M,148.47M,575.73M,61.80M,,331.40M,25.51M,3.676B,0.00,41.96M,234.17M,467.42M,,6.979M,,750.52M,-493.17M,257.36M,328.16M,85.90M,414.06M,,999.51M,4.676B,,2011-06,142.94M,,142.94M,,142.94M,,,,,,236.60M,236.60M,499.31M,878.86M,746.29M,,746.29M,,,,76.24M,935.77M,1.815B,0.167M,1.853B,1.010B,,,,-2.399M,2.861B,,2011-06,AOR,Restated
2011-03,638.76M,1.201B,1.840B,566.07M,,655.93M,358.86M,133.52M,64.42M,,556.80M,43.29M,,306.56M,28.74M,3.431B,0.00,41.96M,232.09M,471.52M,,4.821M,,750.39M,-499.82M,250.57M,328.16M,93.86M,422.01M,,1.018B,4.449B,,2011-03,142.13M,20.97M,163.10M,95.92M,259.02M,,,,,,230.07M,275.98M,37.23M,856.74M,746.15M,,746.15M,,,,70.19M,919.59M,1.776B,1.007B,1.675B,,,,,-8.521M,2.673B,,2011-03,AOR,Restated
2010-12,596.10M,1.040B,1.636B,531.45M,,531.45M,334.76M,120.43M,49.51M,,504.70M,,,333.41M,120.35M,3.126B,0.00,41.95M,230.23M,478.68M,,4.828M,,755.68M,-506.22M,249.47M,328.15M,101.90M,430.05M,143.35M,1.042B,4.168B,,2010-12,123.17M,,123.17M,,123.17M,,,,,,33.19M,274.69M,396.08M,793.94M,746.02M,,746.02M,,,,71.56M,908.29M,1.702B,972.87M,1.507B,,,,,-13.38M,2.466B,,2010-12,AOR,Restated
2010-09,538.38M,980.61M,1.519B,500.02M,,547.96M,312.09M,109.34M,42.82M,,464.24M,38.51M,,317.24M,46.42M,2.933B,0.00,41.84M,122.64M,475.65M,,6.641M,102.25M,749.02M,-501.64M,247.38M,328.13M,108.91M,437.03M,144.49M,1.070B,4.003B,,2010-09,138.23M,30.52M,168.75M,334.14M,502.88M,,,,,,235.18M,235.18M,25.56M,763.62M,745.88M,,745.88M,,,,130.98M,897.99M,1.662B,953.44M,1.403B,,,,,-15.11M,2.341B,,2010-09,AOR,Restated
2010-06,529.92M,1.004B,1.534B,440.12M,,488.06M,255.25M,95.64M,50.84M,,401.73M,39.12M,,328.52M,43.99M,2.835B,0.00,41.81M,224.40M,466.70M,,2.603M,,735.51M,-498.76M,236.75M,328.01M,117.34M,445.34M,,1.072B,3.907B,,2010-06,107.94M,35.34M,143.28M,97.16M,240.44M,,,,,,204.76M,241.79M,131.07M,771.79M,745.75M,,745.75M,,,,69.06M,888.66M,1.660B,0.168M,1.356B,921.29M,,,,-31.30M,2.247B,,2010-06,AOR,Restated
2010-03,543.50M,1.010B,1.554B,357.62M,,394.66M,246.50M,78.36M,49.58M,,374.44M,36.53M,,270.16M,46.26M,2.676B,0.00,41.84M,122.62M,470.83M,,7.651M,96.29M,739.22M,-495.46M,243.76M,328.18M,125.85M,454.03M,139.12M,1.114B,3.790B,,2010-03,91.64M,13.77M,105.41M,362.10M,467.51M,,,,,,33.14M,200.10M,19.16M,686.76M,745.61M,,745.61M,46.32M,,,70.65M,884.06M,1.571B,898.16M,1.339B,,,,,-18.14M,2.219B,,2010-03,AOR,Restated
2009-12,531.44M,990.90M,1.522B,298.07M,,298.07M,247.27M,68.49M,36.48M,,352.24M,,,262.48M,152.12M,2.587B,0.00,48.70M,126.03M,415.19M,,6.90M,101.44M,698.25M,-436.31M,261.94M,333.98M,132.46M,466.45M,,1.138B,3.726B,,2009-12,87.63M,,87.63M,,87.63M,,,,,,38.81M,186.39M,339.08M,613.10M,745.48M,,745.48M,51.79M,,,63.85M,885.70M,1.499B,886.86M,1.357B,,,,,-16.98M,2.227B,,2009-12,AOR,Restated
2009-09,540.84M,846.39M,1.387B,243.92M,,243.92M,228.04M,71.99M,47.18M,,347.20M,,,251.92M,251.19M,2.481B,0.00,52.68M,133.32M,429.16M,,0.979M,104.33M,720.45M,-437.29M,283.16M,338.32M,140.88M,479.20M,,1.195B,3.676B,,2009-09,75.56M,,75.56M,,75.56M,,,,,,59.02M,173.75M,355.75M,605.05M,745.34M,,745.34M,50.63M,,,63.01M,864.82M,1.470B,0.00,1.361B,855.83M,,,,-10.38M,2.206B,,2009-09,AOR,Restated
2009-06,524.97M,804.92M,1.330B,210.14M,,210.14M,246.11M,66.29M,57.81M,,370.21M,,,261.12M,227.26M,2.399B,0.00,52.49M,132.87M,434.62M,,1.171M,106.81M,727.97M,-436.09M,291.88M,329.38M,149.08M,478.46M,,1.211B,3.610B,,2009-06,63.48M,,63.48M,,63.48M,,,,,,142.06M,142.06M,341.44M,546.98M,794.94M,,794.94M,,,,60.16M,878.16M,1.425B,0.171M,1.370B,835.31M,,,,-21.22M,2.184B,,2009-06,AOR,Restated
2009-03,664.93M,553.71M,1.219B,241.42M,,241.42M,260.07M,78.84M,72.98M,,411.89M,,,332.22M,187.41M,2.392B,0.00,52.22M,132.27M,446.73M,,2.488M,105.16M,738.87M,-435.57M,303.30M,321.30M,152.24M,473.54M,38.90M,1.245B,3.636B,,2009-03,56.35M,,56.35M,,56.35M,,,,,,60.90M,135.09M,411.38M,602.83M,745.07M,,745.07M,49.40M,,,61.72M,863.71M,1.467B,0.00,1.422B,809.22M,,,,-61.39M,2.170B,,2009-03,AOR,Restated
2008-12,656.33M,531.61M,1.188B,332.35M,,332.35M,121.64M,100.37M,84.90M,165.68M,472.58M,,,318.68M,205.09M,2.517B,0.00,53.26M,300.60M,470.04M,,1.907M,,825.81M,-502.79M,323.02M,337.57M,162.08M,499.65M,,1.339B,3.856B,,2008-12,103.82M,,103.82M,,103.82M,,,,,,154.38M,154.38M,421.43M,679.63M,744.93M,,744.93M,,,,144.40M,889.33M,1.569B,0.00,1.532B,786.46M,,,,-31.75M,2.287B,,2008-12,,Restated
2008-09,733.46M,531.63M,1.265B,370.34M,,370.34M,135.35M,102.54M,97.09M,168.69M,503.67M,,,315.78M,172.31M,2.627B,0.00,71.81M,294.67M,486.67M,,5.593M,,858.74M,-508.04M,350.70M,612.98M,359.18M,972.15M,,1.855B,4.482B,,2008-09,102.66M,,102.66M,,102.66M,,,,,,61.76M,61.76M,611.17M,775.59M,744.80M,,744.80M,,,,201.26M,946.06M,1.722B,0.00,2.013B,763.92M,,,,-16.16M,2.761B,,2008-09,,
2008-06,1.128B,409.13M,1.537B,492.49M,,492.49M,120.36M,84.10M,85.43M,169.56M,459.45M,,,328.59M,218.00M,3.036B,0.00,73.72M,296.60M,475.70M,,4.946M,,850.96M,-495.49M,355.47M,601.88M,297.78M,899.66M,,1.813B,4.848B,,2008-06,104.32M,,104.32M,273.91M,378.22M,,,,,,207.49M,207.49M,364.62M,950.33M,744.66M,,744.66M,,,,171.67M,916.33M,1.867B,0.174M,2.204B,729.46M,,57.20M,-9.518M,47.68M,2.982B,,2008-06,,
2008-03,563.48M,84.39M,647.87M,573.28M,,573.28M,127.04M,69.30M,70.87M,176.50M,443.71M,,619.90M,356.32M,135.62M,2.777B,0.00,67.76M,284.82M,468.52M,,8.198M,,829.30M,-488.12M,341.19M,315.62M,144.94M,460.55M,,1.334B,4.111B,,2008-03,101.24M,,101.24M,280.85M,382.09M,,,,,,52.22M,52.22M,549.60M,983.90M,,,,,,,,138.02M,1.122B,0.00,2.257B,700.03M,,,,32.01M,2.989B,,2008-03,,
2007-12,547.64M,749.56M,1.297B,578.60M,,578.60M,142.68M,84.23M,76.07M,179.96M,482.95M,,,343.09M,110.48M,2.812B,0.00,84.52M,297.14M,437.79M,,25.01M,,844.46M,-482.73M,361.72M,310.21M,153.02M,463.23M,,1.342B,4.154B,,2007-12,114.69M,,114.69M,231.65M,346.34M,,,,,,248.52M,248.52M,346.04M,940.89M,,,,,,,,169.15M,1.110B,0.00,2.341B,674.70M,,,,28.52M,3.044B,,2007-12,,
2007-09,514.05M,768.88M,1.283B,618.96M,,618.96M,140.21M,94.17M,82.69M,183.22M,500.29M,,,345.11M,70.32M,2.818B,0.00,84.51M,295.99M,464.64M,,19.89M,,865.03M,-485.84M,379.19M,311.33M,167.63M,478.96M,,1.374B,4.192B,,2007-09,119.05M,,119.05M,153.38M,272.43M,,,,,,262.23M,262.23M,425.16M,959.82M,,,,,,,,174.77M,1.135B,0.00,2.386B,651.72M,,,,19.84M,3.058B,,2007-09,,
2007-06,722.51M,988.12M,1.711B,581.50M,,581.50M,155.85M,105.25M,98.51M,175.76M,535.37M,,,339.13M,86.14M,3.253B,0.00,84.46M,292.70M,457.76M,,17.19M,,852.11M,-469.87M,382.24M,311.86M,175.43M,487.29M,,1.370B,4.623B,,2007-06,92.16M,,92.16M,192.64M,284.80M,,,,,,254.05M,254.05M,466.71M,1.006B,,,,,,,,67.64M,1.073B,0.00,2.571B,967.89M,,,,11.40M,3.550B,,2007-06,,
2007-03,604.42M,980.82M,1.585B,499.30M,,499.30M,144.49M,111.06M,97.91M,176.69M,530.14M,,,261.20M,71.28M,2.947B,0.00,84.32M,264.97M,444.36M,,25.58M,,819.23M,-455.46M,363.77M,465.33M,,465.33M,,1.394B,4.341B,,2007-03,93.80M,,93.80M,167.98M,261.79M,,,,,,86.80M,86.80M,680.94M,1.030B,,,,,,,,,1.030B,844.89M,2.446B,,,,,19.92M,3.311B,,2007-03,,
2006-12,863.38M,1.280B,2.143B,448.52M,,448.52M,155.22M,126.45M,109.76M,173.14M,564.57M,,,262.21M,73.32M,3.492B,0.00,84.29M,275.96M,437.85M,,18.77M,,816.88M,-461.82M,355.06M,440.95M,,440.95M,,1.351B,4.843B,,2006-12,104.20M,,104.20M,156.47M,260.67M,,,,,,320.74M,320.74M,428.75M,1.010B,,,,,,3.01M,,0.00,1.010B,0.00,2.316B,1.493B,,,,21.30M,3.830B,,2006-12,,
2006-09,1.200B,1.226B,2.426B,415.40M,,415.40M,129.44M,101.80M,83.79M,175.96M,490.99M,,,253.69M,63.17M,3.649B,0.00,91.17M,306.15M,435.15M,,13.84M,,846.31M,-452.07M,394.24M,,69.64M,69.64M,,1.042B,4.691B,,2006-09,107.25M,,107.25M,120.30M,227.55M,,,,,,81.45M,81.45M,632.96M,941.96M,,,,,,4.086M,,0.00,941.96M,0.00,2.249B,1.476B,,,,19.18M,3.745B,,2006-09,,
2006-06,1.129B,1.197B,2.326B,439.90M,,439.90M,100.53M,91.41M,87.46M,169.75M,449.16M,,,253.81M,74.58M,3.543B,0.00,86.41M,304.92M,430.88M,,12.81M,,835.02M,-439.61M,395.41M,,70.34M,70.34M,,1.033B,4.576B,,2006-06,95.19M,,95.19M,141.44M,236.63M,,,,,,80.54M,80.54M,685.31M,1.002B,,,,,,5.439M,,0.00,1.002B,0.00,2.138B,1.421B,,,,8.908M,3.568B,,2006-06,,
2006-03,962.00M,1.323B,2.285B,456.29M,,456.29M,102.50M,90.45M,89.89M,155.60M,438.44M,,,291.13M,57.01M,3.528B,0.00,84.55M,295.48M,418.54M,,21.79M,,820.35M,-425.23M,395.12M,,,,,833.14M,4.361B,,2006-03,97.71M,,97.71M,,97.71M,,,,,,73.92M,73.92M,765.47M,937.10M,,,,,,11.07M,,0.00,937.10M,0.00,2.264B,1.142B,,,,7.485M,3.413B,,2006-03,,
2005-12,964.19M,1.263B,2.227B,371.87M,,371.87M,91.48M,77.72M,102.50M,140.10M,411.80M,,,288.46M,49.12M,3.348B,0.00,84.55M,293.42M,405.68M,,18.52M,,802.16M,-414.32M,387.84M,,71.49M,71.49M,,816.06M,4.165B,,2005-12,79.14M,,79.14M,,79.14M,,,,,,74.70M,74.70M,705.88M,859.72M,,,,,,8.831M,,0.00,859.72M,0.00,2.190B,1.098B,,,,8.206M,3.296B,,2005-12,,
2005-09,863.78M,1.319B,2.183B,307.19M,,307.19M,79.14M,78.63M,100.41M,137.82M,396.01M,,,280.25M,56.03M,3.222B,0.00,84.55M,293.20M,396.22M,,10.03M,,783.99M,-401.28M,382.71M,,70.86M,70.86M,,808.37M,4.031B,,2005-09,58.00M,,58.00M,103.80M,161.80M,,,,,,75.00M,75.00M,619.59M,856.39M,,,,,,10.09M,,0.00,856.39M,0.00,2.137B,1.030B,,,,-2.90M,3.164B,,2005-09,,
2005-06,663.16M,1.532B,2.195B,333.22M,,333.22M,88.80M,64.39M,82.02M,124.63M,359.84M,,,263.21M,50.44M,3.202B,0.00,84.55M,293.19M,390.32M,,6.276M,,774.34M,-388.42M,385.92M,,58.67M,58.67M,,838.71M,4.041B,,2005-06,67.72M,,67.72M,,67.72M,,,,,,80.77M,80.77M,788.20M,936.69M,,,,,,7.244M,,0.00,936.69M,0.196M,1.853B,1.281B,,,,-37.45M,3.097B,,2005-06,,
2005-03,806.16M,1.302B,2.108B,445.23M,,445.23M,84.61M,64.07M,91.91M,112.96M,353.55M,,,312.04M,48.48M,3.268B,0.00,84.55M,293.82M,387.20M,,5.889M,,771.46M,-378.68M,392.77M,,64.38M,64.38M,,691.99M,3.960B,,2005-03,65.39M,,65.39M,100.34M,165.72M,,,,,,65.56M,65.56M,745.80M,977.08M,,,,,,7.676M,,0.00,977.08M,964.24M,2.002B,,,,,8.409M,2.975B,,2005-03,,
2004-12,992.04M,332.37M,1.324B,446.22M,,446.22M,51.92M,79.55M,22.95M,196.50M,350.92M,,,309.06M,33.95M,2.465B,0.00,84.05M,293.98M,314.38M,,26.44M,,718.85M,-321.13M,397.72M,,,,,1.301B,3.766B,,2004-12,43.99M,,43.99M,,43.99M,,,,,,64.78M,64.78M,809.92M,918.69M,,,,,,8.765M,,0.00,918.69M,955.59M,1.879B,,,,,3.555M,2.838B,,2004-12,,
2004-09,948.77M,285.35M,1.234B,365.53M,,365.53M,73.59M,97.54M,26.78M,175.58M,373.48M,,,307.64M,37.77M,2.319B,0.00,84.07M,286.54M,300.07M,,19.12M,,689.80M,-309.57M,380.24M,,,,,1.271B,3.590B,,2004-09,53.13M,,53.13M,,53.13M,,,,,,58.97M,58.97M,793.03M,905.13M,,,,,,,,,905.13M,918.33M,1.757B,,,,,9.555M,2.685B,,2004-09,,
2004-06,598.70M,534.46M,1.133B,372.77M,,372.77M,92.07M,69.50M,71.40M,104.44M,337.41M,,,310.15M,38.01M,2.192B,0.00,84.05M,285.44M,347.56M,,14.67M,,731.72M,-355.67M,376.05M,,20.62M,20.62M,,1.348B,3.539B,,2004-06,63.99M,,63.99M,90.19M,154.18M,,,,,,57.32M,57.32M,700.13M,911.63M,,,,,,,,,911.63M,0.196M,1.641B,984.61M,,7.445M,-5.286M,2.159M,2.628B,,2004-06,,
2004-03,776.25M,392.88M,1.169B,362.30M,,362.30M,46.33M,76.98M,31.82M,155.19M,310.33M,,,,380.07M,2.222B,,,,,,,,635.95M,-261.70M,374.25M,,,,,1.099B,3.321B,,2004-03,67.47M,,67.47M,,67.47M,,,,,,267.88M,267.88M,497.82M,833.17M,,,,,,,,,833.17M,0.00,1.544B,936.97M,,,,6.745M,2.488B,,2004-03,,
2003-12,660.81M,401.08M,1.062B,245.84M,,245.84M,38.61M,72.72M,18.47M,158.55M,288.36M,,,,369.18M,1.965B,,,,,,,,636.40M,-261.70M,374.69M,,,,,1.107B,3.072B,,2003-12,51.72M,,51.72M,,51.72M,,,,,,200.54M,200.54M,421.36M,673.63M,,,,,,,,,673.63M,0.00,1.478B,917.95M,,,,2.618M,2.399B,,2003-12,,
2003-09,644.19M,358.02M,1.002B,208.61M,,208.61M,33.00M,68.57M,23.61M,148.72M,273.91M,,,,373.22M,1.858B,0.00,638.88M,,,,,,638.88M,-261.70M,377.18M,,,,,1.096B,2.954B,,2003-09,49.41M,,49.41M,,49.41M,,,,,,45.59M,45.59M,550.18M,645.18M,,,,,,,,,645.18M,873.06M,1.434B,,,,,1.774M,2.309B,,2003-09,,
2003-06,606.90M,350.06M,956.96M,223.54M,,223.54M,30.56M,57.82M,21.98M,148.44M,258.80M,,,324.10M,42.99M,1.806B,0.00,78.36M,260.88M,261.75M,,43.44M,,644.43M,-261.70M,382.73M,,,,,1.060B,2.867B,,2003-06,33.89M,,33.89M,,33.89M,,,,,,225.69M,225.69M,391.47M,651.06M,,,,,,,,,651.06M,0.192M,1.397B,814.78M,,,,3.687M,2.216B,,2003-06,,
2003-03,568.02M,337.45M,905.47M,231.81M,,231.81M,30.21M,61.67M,25.22M,151.43M,268.52M,,,,364.53M,1.770B,,,,,,,,611.03M,-223.78M,387.25M,,,,,1.015B,2.785B,,2003-03,30.14M,,30.14M,,30.14M,,,,,,49.73M,49.73M,579.99M,659.86M,,,,,,,,,659.86M,754.15M,1.368B,,,,,3.376M,2.125B,,2003-03,,
2002-12,530.60M,275.05M,805.65M,257.56M,,257.56M,44.29M,60.79M,27.84M,157.04M,289.96M,,,,355.72M,1.709B,,,,,,,,624.15M,-223.78M,400.37M,,,,,1.042B,2.751B,,2002-12,22.95M,,22.95M,,22.95M,,,,,,227.58M,227.58M,400.51M,651.04M,,,,,,,,,651.04M,751.41M,1.340B,,,,,8.20M,2.100B,,2002-12,,
2002-09,435.65M,316.21M,751.85M,256.17M,,256.17M,59.75M,66.25M,33.29M,159.60M,318.90M,,,,353.28M,1.680B,,,,,,,,517.81M,-223.78M,294.02M,,,,,1.026B,2.706B,,2002-09,36.91M,,36.91M,,36.91M,,,,,,227.30M,227.30M,399.38M,663.58M,,,,,,,,,663.58M,0.00,1.311B,722.60M,,,,8.911M,2.042B,,2002-09,,
2002-06,429.82M,243.53M,673.35M,277.01M,,277.01M,76.24M,54.14M,21.00M,171.64M,323.02M,,,315.05M,30.87M,1.619B,0.00,28.10M,165.47M,255.93M,,74.84M,,524.34M,-223.78M,300.56M,,,,,1.098B,2.718B,,2002-06,52.99M,,52.99M,,52.99M,,,,,,248.74M,248.74M,385.76M,687.49M,,,,,,,,,687.49M,0.19M,1.260B,765.76M,,,,4.587M,2.030B,,2002-06,,
2002-03,306.46M,273.98M,580.44M,274.56M,,274.56M,93.15M,50.18M,17.45M,158.73M,319.51M,,,,401.35M,1.576B,,,,,,,,499.18M,-192.91M,306.26M,,,,,1.075B,2.650B,,2002-03,32.80M,,32.80M,,32.80M,,,,,,,,722.78M,755.58M,,,,,,,,,755.58M,0.00,1.213B,687.14M,,,,-5.443M,1.895B,,2002-03,,
2001-12,303.02M,248.08M,551.09M,365.42M,,365.42M,89.01M,61.25M,31.00M,154.20M,335.47M,,,,398.97M,1.651B,,,,,,,,503.24M,-192.91M,310.33M,,,,,954.61M,2.606B,,2001-12,42.55M,,42.55M,,42.55M,,,,,,,,742.79M,785.34M,,,,,,,,,785.34M,0.00,1.179B,640.44M,,,,0.735M,1.820B,,2001-12,,
2001-09,339.17M,245.87M,585.04M,368.54M,,368.54M,114.32M,64.60M,25.02M,157.25M,361.18M,,,,387.46M,1.702B,,,,498.91M,,,,498.91M,-192.91M,306.00M,,,,,924.65M,2.627B,,2001-09,54.81M,,54.81M,,54.81M,,,,,,,,774.46M,829.27M,,,,,,,,,829.27M,664.15M,1.130B,,,,,3.47M,1.798B,,2001-09,,
2001-06,529.67M,167.42M,697.10M,402.01M,,402.01M,140.76M,61.45M,32.86M,159.33M,394.41M,,,360.08M,43.35M,1.897B,0.00,30.97M,149.60M,271.42M,,31.18M,,483.16M,-192.91M,290.25M,,,,,847.60M,2.745B,,2001-06,60.74M,,60.74M,,60.74M,,,,,,,,923.34M,984.08M,,,,,,,,,984.08M,0.188M,1.044B,714.14M,,,,2.604M,1.760B,,2001-06,,
2001-03,437.38M,73.46M,510.84M,538.17M,,538.17M,152.63M,94.33M,19.08M,150.08M,416.12M,,,,199.95M,1.665B,,,,,,,,430.91M,-167.35M,263.56M,,,,,775.43M,2.441B,,2001-03,58.74M,,58.74M,,58.74M,,,,,,,,493.51M,552.25M,,,,,,,,,552.25M,604.80M,1.283B,,,,,0.077M,1.888B,,2001-03,,
2000-12,302.00M,96.72M,398.72M,604.92M,,604.92M,136.75M,101.71M,19.54M,128.83M,386.83M,,,,194.70M,1.585B,,,,,,,,415.79M,-167.35M,248.44M,,,,,759.22M,2.344B,,2000-12,61.18M,,61.18M,,61.18M,,,,,,,,492.33M,553.52M,,,,,,,,,553.52M,596.15M,1.192B,,,,,2.76M,1.791B,,2000-12,,
2000-09,377.35M,149.44M,526.79M,547.39M,,547.39M,117.71M,93.43M,12.07M,104.54M,327.76M,,,,194.76M,1.597B,,,,,,,,370.82M,-142.76M,228.07M,,,,,733.47M,2.330B,,2000-09,59.14M,,59.14M,,59.14M,1.566M,,1.566M,,1.566M,,,472.51M,533.21M,,,,,,,,,533.21M,705.99M,1.083B,,,,,8.302M,1.797B,,2000-09,,
2000-06,478.21M,119.93M,598.14M,481.95M,,481.95M,,,,,282.49M,,,,189.17M,1.552B,,,,,,,,342.48M,-142.76M,199.72M,,,,,651.75M,2.204B,,2000-06,55.02M,,55.02M,,55.02M,,,,,,,,439.81M,494.83M,,,,,,,,,494.83M,0.187M,976.85M,717.98M,,,,13.66M,1.709B,,2000-06,,
2000-03,379.66M,99.02M,478.68M,403.38M,,403.38M,75.80M,75.20M,11.98M,92.65M,255.62M,,,,149.56M,1.287B,,,,,,,,362.55M,-180.14M,182.41M,,,,,669.77M,1.957B,,2000-03,47.26M,,47.26M,,47.26M,14.19M,,14.19M,,14.19M,,,430.50M,491.95M,,,,,,,,,491.95M,0.00,885.15M,576.16M,,,,3.758M,1.465B,,2000-03,,
1999-12,354.90M,91.20M,446.10M,316.60M,,316.60M,48.80M,80.00M,10.60M,82.80M,222.20M,,,,150.90M,1.136B,,,,,,,,341.10M,-170.40M,170.70M,,,,,642.70M,1.778B,,1999-12,15.10M,,15.10M,,15.10M,,,37.90M,,37.90M,,,358.60M,411.60M,,,,,,,,-0.10M,411.50M,0.00,811.80M,551.40M,,,,3.80M,1.367B,,1999-12,,
1999-09,316.90M,83.00M,399.90M,332.30M,,332.30M,50.80M,60.50M,13.20M,81.90M,206.40M,,,,145.70M,1.084B,,,,,,,,327.00M,-158.50M,168.50M,,,,,576.80M,1.661B,,1999-09,29.10M,,29.10M,,29.10M,16.40M,,16.40M,,16.40M,,,327.60M,373.10M,,,,,,,,,373.10M,0.00,762.60M,521.60M,,,,3.80M,1.288B,,1999-09,,
1999-06,271.50M,59.60M,331.10M,280.10M,,280.10M,,,,,195.70M,,,,135.40M,942.30M,,,,,,,,318.90M,-150.60M,168.30M,,,,,642.60M,1.585B,,1999-06,35.20M,,35.20M,,35.20M,,,14.60M,,14.60M,,,302.50M,352.30M,,,,,,,,,352.30M,0.10M,723.00M,504.30M,,,,5.20M,1.233B,,1999-06,,
1999-03,245.20M,36.40M,281.60M,297.20M,,297.20M,44.90M,52.20M,24.10M,78.70M,199.90M,,,95.30M,18.30M,892.30M,,,,,,,,289.70M,-143.60M,146.10M,,,,,649.00M,1.541B,,1999-03,30.00M,,30.00M,,30.00M,16.40M,,16.40M,,16.40M,,,294.60M,341.00M,,,,,,,,,341.00M,0.00,697.20M,490.80M,,-6.40M,18.80M,12.40M,1.200B,,1999-03,,
1998-12,177.60M,70.00M,247.60M,286.00M,,286.00M,43.00M,54.20M,28.50M,84.00M,209.70M,,,94.30M,15.00M,852.60M,,,,,,,,281.60M,-136.30M,145.30M,,,,,672.00M,1.525B,,1998-12,23.90M,,23.90M,,23.90M,20.30M,,20.30M,,20.30M,,,292.80M,337.00M,,,,,,,,,337.00M,0.00,676.40M,495.60M,,-4.80M,20.40M,15.60M,1.188B,,1998-12,,
1998-09,231.80M,61.40M,293.20M,260.30M,,260.30M,63.30M,68.90M,20.60M,82.00M,234.80M,,,91.20M,21.10M,900.60M,,,,,,,,266.50M,-126.60M,139.90M,,,,,640.10M,1.541B,,1998-09,31.30M,,31.30M,,31.30M,20.50M,,20.50M,,20.50M,,,281.40M,333.20M,,,,,,,,,333.20M,0.00,694.00M,497.00M,,-8.60M,25.10M,16.50M,1.208B,,1998-09,,
1998-06,216.00M,92.30M,308.30M,304.10M,,304.10M,,,,,234.60M,,,,109.40M,956.40M,,,,,,,,256.90M,-116.00M,140.90M,,,,,592.00M,1.548B,,1998-06,46.40M,,46.40M,,46.40M,,,21.50M,,21.50M,,,282.80M,350.70M,,,,,,,,,350.70M,0.10M,683.80M,497.50M,,,,16.30M,1.198B,,1998-06,,
