,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.256B,1.634B,2.890B,660.46M,,660.46M,293.28M,260.33M,54.47M,250.85M,858.92M,119.13M,,,12.02M,4.541B,0.00,40.62M,330.78M,599.01M,,7.26M,,977.66M,-693.17M,284.50M,350.00M,15.38M,365.37M,,1.058B,5.598B,,2018-03,169.46M,37.45M,206.91M,190.64M,397.55M,,,,,,424.27M,620.68M,,1.200B,2.462B,,2.462B,,78.53M,,33.34M,3.028B,4.228B,561.68M,862.74M,,,,,-54.28M,1.370B,,2018-03,AOR,Restated
2017-12,1.073B,1.685B,2.758B,740.90M,,749.87M,248.48M,237.26M,53.30M,248.94M,787.97M,46.45M,,,11.51M,4.354B,0.00,40.62M,323.14M,590.11M,,7.214M,,961.09M,-679.46M,281.63M,350.02M,16.56M,366.59M,,1.053B,5.407B,,2017-12,149.84M,22.52M,172.37M,148.89M,321.26M,,,,,,429.94M,622.79M,,1.167B,2.486B,,2.486B,,74.87M,,30.02M,3.015B,4.182B,548.69M,729.46M,,,,,-52.52M,1.226B,,2017-12,AOR,Restated
2017-09,1.321B,1.736B,3.056B,666.74M,,687.08M,248.34M,210.51M,62.59M,240.96M,762.40M,43.40M,,,10.13M,4.559B,0.00,40.61M,321.94M,577.34M,,6.59M,,946.48M,-666.61M,279.87M,349.68M,17.76M,367.44M,,1.131B,5.690B,,2017-09,138.66M,34.77M,173.43M,219.67M,393.10M,,,250.00M,,250.00M,393.24M,581.19M,,1.466B,2.525B,,2.525B,,74.52M,,29.11M,2.760B,4.226B,518.22M,996.51M,,,,,-50.78M,1.464B,,2017-09,AOR,Restated
2017-06,1.153B,1.864B,3.017B,571.12M,,571.12M,240.39M,193.03M,54.40M,245.17M,732.99M,58.22M,,,13.00M,4.392B,0.00,40.62M,319.31M,572.60M,,4.597M,,937.12M,-653.15M,283.98M,349.53M,18.96M,368.49M,,1.140B,5.532B,,2017-06,147.38M,17.04M,164.42M,180.89M,345.31M,,,249.98M,,249.98M,341.56M,525.16M,,1.293B,2.680B,,2.680B,,72.80M,,31.17M,2.913B,4.206B,0.157M,848.46M,529.13M,,,,-51.32M,1.326B,,2017-06,AOR,Restated
2017-03,955.81M,1.748B,2.704B,734.72M,,805.18M,209.90M,197.09M,48.83M,240.96M,696.78M,33.66M,,,14.20M,4.253B,0.00,40.62M,318.42M,559.15M,,6.512M,,924.70M,-638.96M,285.74M,335.24M,2.038M,337.27M,,1.071B,5.324B,,2017-03,139.45M,19.58M,159.04M,189.46M,348.50M,,,249.97M,,249.97M,325.74M,505.19M,,1.249B,2.705B,,2.705B,,69.59M,,29.53M,2.928B,4.177B,493.90M,702.30M,,,,,-48.88M,1.147B,,2017-03,AOR,Restated
2016-12,937.03M,1.656B,2.593B,663.85M,,711.51M,197.64M,182.34M,52.74M,238.45M,671.17M,33.46M,,,22.52M,4.032B,0.00,40.60M,315.56M,549.44M,,6.255M,,911.86M,-631.89M,279.97M,335.17M,2.551M,337.72M,,1.063B,5.094B,,2016-12,116.16M,23.22M,139.39M,156.50M,295.88M,,,249.96M,,249.96M,330.21M,504.28M,,1.188B,2.729B,,2.729B,,66.26M,,26.20M,2.942B,4.129B,483.08M,534.18M,,,,,-52.16M,965.10M,,2016-12,AOR,Restated
2016-09,966.32M,1.528B,2.495B,654.70M,,684.45M,207.08M,188.91M,62.17M,245.10M,703.26M,38.11M,,,8.716M,3.929B,0.00,40.61M,314.65M,532.05M,,5.81M,,893.12M,-620.76M,272.35M,335.20M,3.065M,338.26M,,1.067B,4.996B,,2016-09,105.07M,21.51M,126.58M,172.28M,298.86M,,,,,,321.22M,496.43M,,974.74M,3.019B,,3.019B,,71.35M,,34.98M,3.240B,4.215B,447.02M,381.12M,,,,,-46.63M,781.51M,,2016-09,AOR,Restated
2016-06,1.108B,1.383B,2.491B,613.23M,,631.42M,208.69M,187.73M,67.50M,234.71M,698.64M,37.13M,,,9.553M,3.868B,0.00,40.60M,313.24M,529.12M,,5.286M,,888.24M,-610.23M,278.01M,335.18M,4.331M,339.51M,,1.094B,4.962B,,2016-06,106.52M,27.96M,134.48M,165.46M,299.95M,,,,,,315.69M,477.98M,,1.002B,3.058B,,3.058B,,69.42M,,36.84M,3.271B,4.273B,0.156M,284.82M,452.82M,,,,-48.68M,689.11M,,2016-06,AOR,Restated
2016-03,925.97M,1.315B,2.241B,624.82M,,679.29M,209.28M,213.05M,68.39M,230.77M,721.49M,39.54M,,216.44M,8.397M,3.906B,0.00,40.77M,319.40M,530.28M,,4.057M,,894.50M,-606.63M,287.87M,335.20M,5.625M,340.83M,,875.63M,4.782B,,2016-03,126.32M,19.92M,146.24M,163.09M,309.32M,,,,,,348.33M,508.09M,,997.69M,3.097B,,3.097B,,56.83M,,41.13M,3.308B,4.306B,424.47M,95.12M,,,,,-43.02M,476.57M,,2016-03,AOR,Restated
2015-12,886.59M,1.355B,2.241B,427.12M,,488.24M,226.38M,186.36M,57.07M,221.98M,691.79M,38.62M,,217.47M,7.152M,3.685B,0.00,40.38M,318.90M,530.15M,,3.432M,,892.87M,-600.48M,292.39M,335.20M,6.934M,342.14M,,887.81M,4.573B,,2015-12,122.31M,18.88M,141.19M,138.05M,279.25M,,,,,,284.70M,448.69M,,858.33M,3.132B,,3.132B,,53.93M,,47.60M,3.349B,4.207B,416.14M,0.00,,,,,-50.52M,365.62M,,2015-12,AOR,Restated
2015-09,763.70M,1.506B,2.269B,460.81M,,475.69M,221.39M,163.91M,52.25M,212.94M,650.50M,36.27M,,231.98M,11.53M,3.675B,0.00,40.39M,316.49M,532.23M,,4.927M,,894.03M,-591.16M,302.87M,335.22M,8.242M,343.46M,,895.90M,4.571B,,2015-09,107.36M,16.40M,123.76M,176.76M,300.52M,,,,,,291.84M,452.27M,,915.24M,3.151B,,3.151B,,55.48M,,47.25M,3.362B,4.277B,385.63M,-45.06M,,,,,-46.14M,294.44M,,2015-09,AOR,Restated
2015-06,838.02M,1.549B,2.387B,585.49M,,618.34M,194.22M,156.82M,57.14M,209.73M,617.90M,37.01M,,236.25M,7.958M,3.905B,0.00,40.40M,316.57M,532.05M,,3.152M,,892.17M,-577.58M,314.59M,335.26M,11.90M,347.16M,,921.44M,4.826B,,2015-06,103.34M,15.58M,118.92M,188.05M,306.98M,,,16.98M,,16.98M,313.24M,481.12M,,1.002B,3.173B,,3.173B,,55.70M,,57.52M,3.403B,4.405B,0.158M,-12.36M,474.22M,,,,-40.57M,421.44M,,2015-06,AOR,Restated
2015-03,621.89M,1.718B,2.340B,631.61M,,701.48M,226.80M,153.45M,48.64M,203.47M,632.35M,44.01M,,236.56M,12.92M,3.967B,0.00,40.40M,313.50M,528.72M,,5.411M,,888.04M,-566.96M,321.08M,335.29M,15.55M,350.84M,,935.11M,4.902B,,2015-03,103.19M,12.93M,116.12M,186.93M,303.05M,,,37.50M,,37.50M,296.14M,465.57M,,976.62M,3.199B,,3.199B,,54.30M,,58.95M,3.432B,4.408B,534.33M,-2.582M,,,,,-37.81M,493.94M,,2015-03,AOR,Restated
2014-12,584.86M,1.782B,2.367B,632.09M,,698.83M,253.24M,142.24M,53.47M,213.84M,662.80M,41.96M,,258.39M,17.43M,4.046B,0.00,41.83M,312.14M,520.34M,,4.646M,,878.95M,-555.60M,323.35M,335.27M,19.55M,354.82M,,941.12M,4.987B,,2014-12,108.31M,13.59M,121.89M,159.55M,281.45M,,,37.50M,,37.50M,325.32M,492.86M,,942.34M,3.209B,,3.209B,,54.48M,,60.61M,3.443B,4.385B,613.12M,24.77M,,,,,-35.75M,602.14M,,2014-12,AOR,Restated
