,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.539B,1.539B,620.56M,918.06M,172.63M,219.04M,,39.39M,,-39.39M,,391.67M,526.39M,,39.39M,-39.39M,-3.197M,-39.39M,483.81M,63.66M,420.14M,,,0.425M,420.57M,80.07M,523.19M,,2020-09,2.71,2.71,2.71,,2020-09,2.69,2.69,2.69,,156.44M,0.90,,2020-09,AOR,
2020-06,1.460B,1.460B,621.54M,838.05M,167.79M,217.10M,0.00,40.22M,,-18.58M,,384.89M,453.16M,,40.22M,-18.58M,-29.51M,-18.58M,405.07M,-5.246M,410.32M,,,0.938M,411.25M,78.94M,445.29M,,2020-06,2.65,2.65,2.65,,2020-06,2.63,2.63,2.63,,156.26M,0.85,,2020-06,AOR,
2020-03,1.424B,1.424B,590.16M,833.81M,185.76M,215.43M,-279.19M,39.23M,,-39.23M,,401.19M,432.61M,,39.23M,-39.23M,-278.18M,-39.23M,115.20M,37.19M,78.01M,,,0.443M,78.45M,81.99M,154.43M,,2020-03,0.50,1.711,0.50,,2020-03,0.50,1.703,0.50,,157.17M,0.85,,2020-03,AOR,
2019-12,1.509B,1.509B,633.62M,875.84M,192.25M,220.75M,,40.47M,,-40.47M,,413.00M,462.83M,,40.47M,-40.47M,2.568M,-40.47M,424.93M,44.62M,380.30M,,,0.25M,380.56M,88.53M,465.40M,,2019-12,2.42,2.42,2.42,,2019-12,2.40,2.40,2.40,,158.62M,0.85,,2019-12,AOR,
2019-09,1.413B,1.413B,604.24M,809.17M,188.34M,210.58M,,40.35M,,-40.35M,,398.92M,410.25M,,40.35M,-40.35M,1.618M,-40.35M,371.52M,25.12M,346.40M,,,0.129M,346.52M,98.59M,411.87M,,2019-09,2.18,2.18,2.18,,2019-09,2.16,2.16,2.16,,160.13M,0.75,,2019-09,AOR,Restated
2019-06,1.258B,1.258B,592.78M,665.65M,190.04M,206.71M,0.00,40.52M,,-0.15M,,396.75M,268.90M,,40.52M,-0.15M,-37.44M,-0.15M,231.31M,13.98M,217.33M,,,0.517M,217.84M,127.89M,271.83M,,2019-06,1.36,1.36,1.36,,2019-06,1.35,1.35,1.35,,161.87M,0.75,,2019-06,AOR,Restated
2019-03,1.097B,1.097B,486.94M,610.37M,182.18M,184.89M,0.00,31.19M,,-31.19M,,367.07M,243.30M,,31.19M,-31.19M,9.282M,-31.19M,221.39M,28.74M,192.64M,,,0.083M,192.73M,73.44M,252.58M,,2019-03,1.23,1.23,1.23,,2019-03,1.23,1.23,1.23,,157.18M,0.75,,2019-03,AOR,Restated
2018-12,1.120B,1.120B,408.26M,711.64M,112.46M,165.90M,,26.54M,,-26.54M,,278.36M,433.27M,,26.54M,-26.54M,9.228M,-26.54M,415.96M,46.86M,369.10M,,,0.00,369.10M,15.81M,442.50M,,2018-12,2.43,2.43,2.43,,2018-12,2.42,2.42,2.42,,152.65M,0.75,,2018-12,AOR,Restated
2018-09,1.093B,1.093B,381.39M,711.87M,114.44M,153.53M,,26.36M,,-26.36M,,267.97M,443.90M,,26.36M,-26.36M,10.02M,-26.36M,427.57M,31.62M,395.94M,,,0.00,395.94M,16.09M,453.93M,,2018-09,2.55,2.55,2.55,,2018-09,2.54,2.54,2.54,,156.08M,0.75,,2018-09,AOR,Restated
2018-06,1.070B,1.070B,377.57M,692.44M,116.37M,151.90M,,28.31M,,8.56M,,268.28M,424.16M,,28.31M,8.56M,-26.23M,8.56M,406.49M,57.72M,348.77M,,,0.00,348.77M,14.99M,434.80M,,2018-06,2.24,2.24,2.24,,2018-06,2.22,2.22,2.22,,156.90M,0.75,,2018-06,AOR,Restated
