,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2020-09,420.14M,,-12.91M,,-12.91M,80.07M,80.07M,,0.865M,26.99M,,27.86M,73.00M,-85.99M,-9.822M,5.103M,101.00M,-86.28M,-2.987M,,512.17M,2020-09,-55.92M,1.114M,1.114M,0.00,-79.51M,,-134.32M,,-50.00M,-50.00M,,-187.90M,-187.90M,-141.16M,-141.16M,-25.14M,-404.21M,,2020-09,1.234B,7.766M,1.216B,,2020-09,,-50.00M,-187.90M,54.18M,40.07M,,2020-09,
2020-06,410.32M,,12.47M,,12.47M,78.94M,78.94M,,13.34M,26.38M,,0.00,10.43M,-56.61M,19.90M,18.12M,-6.189M,18.86M,4.519M,,452.85M,2020-06,-41.79M,,,-11.54M,-52.49M,,-105.82M,,24.83M,24.83M,,-25.28M,50.35M,-132.76M,-132.76M,-3.77M,-61.36M,,2020-06,946.18M,2.564M,1.234B,,2020-06,199.83M,-175.00M,-25.28M,31.86M,37.99M,,2020-06,
2020-03,78.01M,,-5.95M,,16.59M,81.99M,81.99M,,256.65M,31.27M,,-75.25M,73.10M,-11.64M,-12.90M,-23.90M,-125.59M,99.97M,-0.96M,,442.03M,2020-03,-43.44M,,,-0.07M,45.30M,,1.788M,,20.97M,20.97M,,-315.32M,-315.32M,-133.33M,-133.33M,-4.958M,-432.64M,,2020-03,939.86M,-4.868M,946.18M,,2020-03,742.00M,-721.03M,-315.32M,91.97M,35.18M,,2020-03,
2019-12,380.30M,,-2.969M,,-2.969M,88.53M,88.53M,,-2.481M,26.79M,,24.31M,-126.68M,-1.477M,35.26M,3.558M,16.09M,-29.19M,-102.45M,,387.73M,2019-12,-34.87M,,,0.00,26.73M,,-8.148M,,-25.00M,-25.00M,,-260.09M,-260.09M,-134.70M,-134.70M,-12.24M,-432.03M,,2019-12,988.35M,3.963M,939.86M,,2019-12,250.00M,-275.00M,-260.09M,50.88M,53.14M,,2019-12,
2019-09,346.40M,,10.31M,,10.31M,98.59M,98.59M,,2.481M,26.94M,,29.42M,-75.21M,-5.091M,18.88M,-8.93M,91.04M,-9.17M,11.52M,,496.24M,2019-09,-32.57M,0.00,0.00,-78.53M,-35.60M,,-146.69M,,0.00,0.00,,-228.38M,-228.38M,-121.64M,-121.64M,-23.60M,-373.61M,,2019-09,1.016B,-3.585M,988.35M,,2019-09,,0.00,-228.38M,19.86M,26.35M,,2019-09,Restated
2019-06,217.33M,,-1.033M,,-1.033M,127.89M,127.89M,,0.221M,28.17M,,28.39M,-53.56M,13.18M,-3.832M,-62.18M,3.497M,83.30M,-19.60M,,325.46M,2019-06,-55.85M,,,0.00,86.28M,,30.44M,,-2.478M,-2.478M,,-365.54M,-300.71M,-121.36M,-121.36M,-7.591M,-432.15M,,2019-06,1.092B,0.077M,1.016B,,2019-06,-2.478M,0.00,-365.54M,15.77M,51.54M,,2019-06,Restated
2019-03,192.64M,,0.073M,,0.073M,73.44M,73.44M,,0.00,34.19M,,34.19M,-72.80M,-1.893M,-0.59M,-3.068M,-75.15M,16.73M,-136.76M,,163.59M,2019-03,-25.96M,,,-1.806B,97.55M,,-1.735B,,1.184B,1.184B,,-200.03M,-200.03M,-113.58M,-113.58M,-0.894M,869.28M,,2019-03,1.794B,0.205M,1.092B,,2019-03,2.086B,-902.47M,-200.03M,51.88M,3.856M,,2019-03,Restated
2018-12,369.10M,,0.895M,,0.895M,15.81M,15.81M,,,15.70M,,15.70M,-55.87M,-15.11M,-2.44M,34.98M,-73.37M,-7.512M,-119.32M,,282.17M,2018-12,-26.37M,,,0.00,234.98M,,208.61M,,0.00,0.00,,-229.66M,-229.66M,-114.56M,-114.56M,-3.233M,-347.45M,,2018-12,1.650B,1.137M,1.794B,,2018-12,0.00,0.00,-229.66M,87.85M,51.14M,,2018-12,Restated
2018-09,395.94M,,3.895M,,3.895M,16.09M,16.09M,,,16.14M,,16.14M,36.08M,-55.74M,-14.76M,-16.85M,93.75M,-93.14M,-50.66M,,381.40M,2018-09,-22.33M,,,-11.79M,348.99M,,314.87M,,,,,-299.97M,-299.97M,-122.76M,-122.76M,-26.96M,-449.69M,,2018-09,1.404B,-1.452M,1.650B,,2018-09,,,-299.97M,24.96M,0.537M,,2018-09,Restated
2018-06,348.77M,,11.11M,,11.11M,14.99M,14.99M,,,18.80M,,18.80M,2.095M,-74.68M,0.403M,-58.02M,-9.014M,20.31M,-118.91M,,373.51M,2018-06,-22.83M,,,-11.91M,161.52M,,126.78M,,-225.00M,-225.00M,61.44M,-58.66M,2.782M,-117.04M,-117.04M,-2.133M,-341.39M,,2018-06,1.256B,-10.20M,1.404B,,2018-06,0.00,-225.00M,-58.66M,31.33M,53.21M,,2018-06,Restated
