,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,678.00M,4.85B,5.528B,3.034B,388.00M,3.422B,895.00M,1.023B,89.00M,2.007B,,217.00M,11.29B,,,,12.83B,12.83B,,12.83B,3.304B,326.00M,3.63B,3.352B,450.00M,288.00M,20.55B,31.84B,2.226B,2.226B,453.00M,2.679B,,4.399B,4.399B,1.398B,8.476B,10.62B,290.00M,10.91B,2.639B,2.639B,1.667B,3.00M,,1.056B,16.27B,24.74B,449.00M,8.122B,6.302B,2.648B,,,-5.132B,7.093B
2020-06,847.00M,,847.00M,2.772B,689.00M,3.461B,919.00M,1.039B,52.00M,2.01B,,169.00M,6.599B,,,,13.01B,13.01B,,13.01B,3.304B,337.00M,3.641B,8.505B,470.00M,293.00M,25.92B,32.52B,2.206B,2.206B,406.00M,2.612B,,4.253B,4.253B,1.465B,8.33B,11.52B,294.00M,11.82B,2.654B,2.654B,1.721B,3.00M,,939.00M,17.13B,25.46B,449.00M,8.123B,6.283B,2.649B,,,-5.149B,7.057B
2020-03,1.239B,,1.239B,2.959B,690.00M,3.649B,869.00M,1.081B,52.00M,2.002B,,213.00M,7.215B,,,,13.11B,13.11B,,13.11B,3.304B,350.00M,3.654B,8.463B,462.00M,308.00M,26.00B,33.22B,2.379B,2.379B,355.00M,2.734B,,4.884B,4.884B,1.724B,9.342B,11.65B,293.00M,11.94B,2.662B,2.662B,1.773B,4.00M,,636.00M,17.01B,26.35B,449.00M,8.062B,6.252B,2.651B,,,-5.255B,6.857B
2019-12,511.00M,,511.00M,3.28B,393.00M,3.673B,957.00M,1.192B,59.00M,2.208B,,247.00M,6.639B,,,32.29B,1.658B,33.95B,-20.51B,13.44B,3.347B,368.00M,3.715B,8.809B,479.00M,391.00M,26.83B,33.47B,2.423B,2.423B,466.00M,2.889B,,4.388B,4.388B,1.369B,8.646B,11.68B,304.00M,11.99B,2.633B,2.633B,1.848B,5.00M,,640.00M,17.11B,25.75B,449.00M,8.408B,6.297B,2.702B,,,-4.739B,7.713B
2019-09,697.00M,,697.00M,3.055B,638.00M,3.693B,907.00M,1.14B,147.00M,2.194B,,189.00M,7.051B,,,,13.27B,13.27B,,13.27B,3.412B,361.00M,3.773B,8.735B,641.00M,378.00M,26.80B,33.85B,2.349B,2.349B,442.00M,2.791B,,402.00M,402.00M,1.536B,4.729B,16.26B,292.00M,16.55B,2.643B,2.643B,1.901B,15.00M,,567.00M,21.66B,26.39B,449.00M,8.447B,6.261B,2.702B,,,-5.014B,7.441B
2019-06,787.00M,,787.00M,3.17B,706.00M,3.876B,882.00M,1.214B,128.00M,2.224B,,215.00M,7.388B,,,,13.37B,13.37B,,13.37B,3.441B,374.00M,3.815B,8.725B,644.00M,405.00M,26.96B,34.35B,2.498B,2.498B,404.00M,2.902B,,676.00M,676.00M,1.471B,5.049B,16.35B,281.00M,16.63B,2.624B,2.624B,1.951B,17.00M,,591.00M,21.80B,26.85B,449.00M,8.302B,6.229B,2.628B,,,-4.87B,7.482B
2019-03,641.00M,,641.00M,3.186B,717.00M,3.903B,903.00M,1.282B,116.00M,2.301B,,217.00M,7.062B,,,,13.49B,13.49B,,13.49B,3.393B,382.00M,3.775B,8.844B,610.00M,401.00M,27.12B,34.18B,2.518B,2.518B,354.00M,2.872B,,809.00M,809.00M,1.272B,4.953B,16.26B,281.00M,16.55B,2.634B,2.634B,1.987B,23.00M,,589.00M,21.76B,26.71B,449.00M,8.211B,6.159B,2.398B,,,-4.975B,7.446B
2018-12,589.00M,,589.00M,3.521B,395.00M,3.916B,901.00M,1.241B,99.00M,2.241B,,250.00M,6.996B,,,32.33B,1.232B,33.56B,-20.49B,13.07B,3.374B,393.00M,3.767B,8.718B,626.00M,402.00M,26.58B,33.58B,2.413B,2.413B,535.00M,2.948B,,639.00M,639.00M,1.107B,4.694B,16.31B,0.00,16.31B,2.60B,2.60B,2.026B,21.00M,,560.00M,21.50B,26.19B,449.00M,7.465B,6.28B,2.332B,,,-4.50B,7.362B
2018-09,1.026B,,1.026B,3.333B,630.00M,3.963B,896.00M,1.109B,125.00M,2.13B,,199.00M,7.318B,,,,13.09B,13.09B,,13.09B,3.371B,406.00M,3.777B,8.68B,552.00M,388.00M,26.48B,33.80B,2.51B,2.51B,484.00M,2.994B,,555.00M,555.00M,1.054B,4.603B,17.00B,,17.00B,2.512B,2.512B,2.09B,18.00M,,544.00M,22.14B,26.74B,449.00M,7.353B,6.256B,2.131B,,,-4.887B,7.04B
2018-06,1.073B,,1.073B,3.23B,677.00M,3.907B,862.00M,1.053B,135.00M,2.05B,,242.00M,7.272B,,,,13.19B,13.19B,,13.19B,3.378B,444.00M,3.822B,8.599B,514.00M,396.00M,26.52B,33.80B,2.478B,2.478B,424.00M,2.902B,,684.00M,684.00M,1.032B,4.618B,17.10B,,17.10B,2.502B,2.502B,2.155B,20.00M,,557.00M,22.31B,26.93B,449.00M,6.988B,6.219B,1.931B,,,-4.881B,6.844B
