,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-03,14.26B,14.26B,11.40B,2.86B,,1.081B,748.00M,104.00M,,,70.00M,1.899B,961.00M,,,104.00M,,976.00M,284.00M,692.00M,,,,692.00M,618.26M,1.333B,372.00M,961.00M,0.9,0.0,,0.8043,0.9,0.88,0.0,,0.7869,0.88,770.50M,791.80M,0.3
2005-12,13.90B,13.90B,12.13B,1.769B,,939.00M,601.00M,78.00M,,,,1.833B,-64.00M,,,78.00M,,608.00M,144.00M,464.00M,17.00M,,,460.00M,404.47M,1.199B,354.00M,845.00M,0.61,-0.01,,0.5332,0.6,0.59,-0.01,,0.5149,0.58,774.70M,792.40M,0.25
2005-09,12.36B,12.36B,10.42B,1.936B,,1.172B,521.00M,726.00M,,,-520.00M,1.173B,763.00M,,,726.00M,,812.00M,-201.00M,1.013B,-2.00M,,,1.011B,577.40M,1.141B,378.00M,763.00M,1.28,0.0,,0.7267,1.28,1.26,0.0,,0.7174,1.26,787.30M,802.80M,0.25
2005-06,14.68B,14.68B,12.05B,2.634B,,1.046B,591.00M,-8.00M,,,179.00M,1.816B,818.00M,,,-8.00M,,815.00M,244.00M,571.00M,-50.00M,,,521.00M,576.60M,1.227B,409.00M,818.00M,0.72,0.0,,0.7271,0.72,0.7,0.0,,0.7069,0.7,793.30M,807.40M,0.25
2005-03,12.68B,12.68B,10.38B,2.298B,,1.071B,492.00M,25.00M,,,48.00M,1.611B,687.00M,,,25.00M,,584.00M,70.00M,514.00M,,21.00M,,535.00M,492.00M,1.049B,362.00M,687.00M,0.65,0.02,0.0,0.6224,0.67,0.64,0.02,0.026,0.6127,0.66,798.40M,806.80M,0.25
2004-12,13.31B,13.31B,12.28B,1.039B,,899.00M,414.00M,-5.00M,,,-282.00M,1.031B,8.00M,,,-5.00M,,-9.00M,-191.00M,182.00M,4.00M,,,186.00M,185.00M,807.00M,491.00M,316.00M,0.24,0.0,,0.2438,0.24,0.23,0.0,,0.2337,0.23,788.10M,812.10M,0.2
2004-09,13.15B,13.15B,11.16B,1.988B,,947.00M,469.00M,45.00M,,,61.00M,1.477B,511.00M,,,45.00M,,445.00M,7.00M,438.00M,18.00M,,,456.00M,393.71M,841.00M,330.00M,511.00M,0.54,0.02,,0.4856,0.56,0.54,0.02,,0.4856,0.56,814.80M,814.80M,0.2
2004-06,13.09B,13.09B,10.88B,2.213B,,988.00M,522.00M,96.00M,,,59.00M,1.569B,644.00M,,,96.00M,,625.00M,39.00M,586.00M,21.00M,,,607.00M,495.99M,992.00M,348.00M,644.00M,0.72,0.03,,0.6086,0.75,0.72,0.03,,0.6092,0.75,807.80M,812.30M,0.2
2004-03,12.90B,12.90B,10.71B,2.192B,,823.00M,474.00M,172.00M,,,71.00M,1.368B,824.00M,,,172.00M,,899.00M,285.00M,614.00M,9.00M,,,623.00M,496.53M,1.164B,340.00M,824.00M,0.76,0.01,,0.6144,0.77,0.76,0.01,,0.6151,0.77,806.90M,810.90M,0.17
2003-12,13.16B,13.16B,11.59B,1.57B,,727.00M,440.00M,378.00M,,,-1.142B,25.00M,1.545B,,,378.00M,,1.009B,-114.00M,1.123B,9.00M,,,1.132B,896.20M,1.436B,309.00M,1.127B,1.41,0.01,,1.1340000000000001,1.42,1.4,0.01,,1.128,1.41,821.30M,835.30M,0.17
2003-09,12.18B,12.18B,10.43B,1.757B,,847.00M,413.00M,14.00M,,,71.00M,1.331B,426.00M,,,14.00M,,338.00M,90.00M,248.00M,8.00M,,,256.00M,237.73M,725.00M,299.00M,426.00M,0.31,0.01,,0.2972,0.32,0.31,0.01,,0.2973,0.32,805.60M,808.80M,0.17
2003-06,12.72B,12.72B,11.62B,1.096B,,907.00M,437.00M,43.00M,,,64.00M,1.408B,-312.00M,,,43.00M,,-387.00M,-187.00M,-200.00M,8.00M,,,-192.00M,-225.80M,110.00M,422.00M,-312.00M,-0.25,0.01,,-0.2822,-0.24,-0.25,0.01,,-0.2822,-0.24,800.10M,800.10M,0.17
2003-03,12.26B,12.26B,10.53B,1.725B,,726.00M,361.00M,-881.00M,,,1.008B,2.095B,-370.00M,,,-881.00M,,-447.00M,31.00M,-478.00M,,,,-478.00M,50.60M,0.00,370.00M,-370.00M,-0.6,0.0,,0.0635,-0.6,-0.6,0.0,,0.0608,-0.6,796.67M,800.00M,0.17
2002-12,13.69B,13.69B,11.85B,1.845B,,740.00M,424.00M,32.00M,,,92.00M,1.256B,589.00M,,,-1.00M,,849.00M,259.00M,590.00M,,0.00,,590.00M,567.76M,1.164B,493.00M,671.00M,-1.54,2.28,0.0,-1.57,0.74,-1.54,2.28,-0.0495,-1.568,0.73,746.00M,783.60M,0.17
2002-09,12.69B,12.69B,11.02B,1.665B,,728.00M,371.00M,2.00M,,,4.00M,1.103B,562.00M,,,-6.00M,,375.00M,3.00M,372.00M,,,,372.00M,370.02M,916.00M,354.00M,562.00M,0.47,0.0,,0.4675,0.47,0.46,0.0,,0.4575,0.46,791.49M,808.70M,0.17
2002-06,13.86B,13.86B,11.53B,2.325B,,737.00M,385.00M,70.00M,,,-72.00M,1.05B,1.275B,,,100.00M,,1.124B,345.00M,779.00M,,,,779.00M,730.49M,1.603B,328.00M,1.275B,0.97,0.0,,0.9096,0.97,0.96,0.0,,0.9002,0.96,803.09M,811.46M,0.17
2002-03,13.82B,13.82B,11.57B,2.25B,,776.00M,459.00M,-34.00M,,,23.00M,1.258B,992.00M,,,-23.00M,,832.00M,254.00M,578.00M,,-1.827B,,-1.249B,601.62M,1.314B,322.00M,992.00M,0.72,-2.28,-0.0,0.7495,-1.56,0.72,-2.28,-2.282,0.7491,-1.56,800.64M,811.04M,0.17
2001-12,15.70B,15.70B,13.33B,2.371B,,775.00M,538.00M,377.00M,,,792.00M,2.105B,266.00M,,,305.00M,,110.00M,10.00M,100.00M,,0.00,,100.00M,-242.73M,1.214B,651.00M,563.00M,0.14,0.0,0.0,-0.2881,0.14,0.14,0.0,0.0,-0.2843,0.14,800.64M,807.69M,0.17
2001-09,13.69B,13.69B,11.41B,2.277B,,644.00M,515.00M,-80.00M,,,52.00M,1.211B,1.066B,,,-52.00M,,937.00M,287.00M,650.00M,,,,650.00M,705.50M,1.417B,351.00M,1.066B,0.81,0.0,,0.8792,0.81,0.8,0.0,,0.8683,0.8,802.47M,812.50M,0.17
2001-06,15.52B,15.52B,12.97B,2.549B,,743.00M,461.00M,,,,-22.00M,1.182B,1.367B,,,22.00M,,1.212B,372.00M,840.00M,,,,840.00M,840.00M,1.724B,357.00M,1.367B,1.02,0.0,,1.02,1.02,0.99,0.0,,0.99,0.99,823.53M,848.48M,0.17
2001-03,13.29B,13.29B,11.07B,2.223B,,605.00M,422.00M,,,,-22.00M,1.005B,1.218B,,,22.00M,,1.305B,69.00M,1.236B,,1.00M,,1.237B,1.236B,1.602B,384.00M,1.218B,1.48,0.0,0.0,1.48,1.48,1.45,0.0,0.0012,1.45,1.45,835.81M,853.10M,0.17
2000-12,14.69B,14.69B,12.23B,2.465B,,819.00M,417.00M,-225.00M,,,-74.00M,1.162B,1.303B,,,-263.00M,,630.00M,149.00M,481.00M,,,,481.00M,652.79M,1.518B,420.00M,1.098B,0.57,0.0,,0.7718,0.57,0.55,0.0,,0.7472,0.55,851.09M,870.91M,0.14
2000-09,11.88B,11.88B,9.993B,1.884B,,673.00M,361.00M,7.00M,,,-15.00M,1.019B,865.00M,,,15.00M,,876.00M,267.00M,609.00M,,,,609.00M,604.13M,1.226B,361.00M,865.00M,0.71,0.0,,0.7043,0.71,0.7,0.0,,0.6944,0.7,857.75M,870.00M,0.14
2000-06,14.84B,14.84B,12.94B,1.897B,,609.00M,375.00M,13.00M,,,-12.00M,972.00M,925.00M,,,12.00M,,891.00M,271.00M,620.00M,,,,620.00M,610.95M,1.271B,346.00M,925.00M,0.71,0.0,,0.6996,0.71,0.71,0.0,,0.6996,0.71,873.24M,873.24M,0.14
2000-03,9.91B,9.91B,8.547B,1.363B,,550.00M,288.00M,,,,-31.00M,807.00M,556.00M,,,31.00M,,602.00M,184.00M,418.00M,,,,418.00M,418.00M,908.00M,352.00M,556.00M,0.48,0.0,,0.48,0.48,0.48,0.0,,0.48,0.48,870.83M,870.83M,0.14
1999-12,15.20B,15.20B,13.34B,1.86B,,593.00M,315.00M,17.00M,,,-18.00M,890.00M,970.00M,,,18.00M,,953.00M,291.00M,662.00M,,,,662.00M,650.19M,1.412B,442.00M,970.00M,0.74,0.0,,0.7267,0.74,0.73,0.0,,0.7168,0.73,885.90M,894.70M,0.14
1999-09,13.28B,13.28B,11.80B,1.477B,,548.00M,315.00M,63.00M,,,-54.00M,809.00M,668.00M,,,54.00M,,683.00M,206.00M,477.00M,,,,477.00M,433.00M,1.069B,401.00M,668.00M,0.52,0.0,,0.4719,0.52,0.52,0.0,,0.4724,0.52,914.50M,924.30M,0.14
1999-06,15.12B,15.12B,13.42B,1.702B,,575.00M,350.00M,12.00M,,,-16.00M,909.00M,793.00M,,,16.00M,,1.018B,317.00M,701.00M,,,,701.00M,692.74M,1.193B,400.00M,793.00M,0.75,0.0,,0.7412,0.75,0.75,0.0,,0.7412,0.75,934.67M,934.67M,0.14
1999-03,14.39B,14.39B,12.76B,1.629B,,537.00M,361.00M,,,,-8.00M,890.00M,739.00M,,,8.00M,,670.00M,201.00M,469.00M,,,,469.00M,469.00M,1.141B,402.00M,739.00M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,937.40M,945.20M,0.14
1998-12,17.10B,17.10B,15.49B,1.611B,,552.00M,464.00M,4.00M,,,-7.00M,1.009B,602.00M,,,7.00M,,554.00M,89.00M,465.00M,,,,465.00M,461.64M,999.00M,397.00M,602.00M,0.49,0.0,,0.4865,0.49,0.48,0.0,,0.4765,0.48,951.60M,959.60M,0.14
1998-09,12.72B,12.72B,11.25B,1.473B,,571.00M,455.00M,10.00M,,,17.00M,1.043B,430.00M,,,-17.00M,,404.00M,57.00M,347.00M,,,,347.00M,338.41M,851.00M,421.00M,430.00M,0.36,0.0,,0.3511,0.36,0.36,0.0,,0.3512,0.36,969.30M,977.30M,0.14
1998-06,13.39B,13.39B,11.98B,1.409B,,508.00M,489.00M,,,,-4.00M,993.00M,416.00M,,,4.00M,,366.00M,108.00M,258.00M,,,,258.00M,258.00M,812.00M,396.00M,416.00M,0.26,0.0,,0.26,0.26,0.26,0.0,,0.26,0.26,972.90M,984.80M,0.14
