,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-09,23.90B,23.90B,19.90B,3.994B,923.00M,923.00M,857.00M,-1.00M,81.00M,-81.00M,,1.78B,2.214B,81.00M,-81.00M,70.00M,-81.00M,2.203B,-76.00M,2.279B,,,,2.279B,2.213B,2.758B,474.00M,2.284B,3.64,,,3.535,3.64,3.6,,,3.4960000000000004,3.6,624.60M,632.70M,1.09
2016-06,24.76B,24.76B,22.32B,2.43B,806.00M,806.00M,2.127B,-13.00M,73.00M,-73.00M,,2.933B,-503.00M,73.00M,-73.00M,97.00M,-73.00M,-479.00M,-245.00M,-234.00M,,,,-234.00M,-284.40M,41.00M,447.00M,-406.00M,-0.37,,,-0.4493,-0.37,-0.37,,,-0.4493,-0.37,635.30M,635.30M,1.09
2016-03,22.63B,22.63B,19.10B,3.535B,888.00M,888.00M,917.00M,4.00M,73.00M,-73.00M,,1.805B,1.73B,73.00M,-73.00M,84.00M,-73.00M,1.741B,522.00M,1.219B,,,,1.219B,1.178B,2.257B,443.00M,1.814B,1.85,,,1.788,1.85,1.83,,,1.7690000000000001,1.83,658.60M,664.80M,1.09
2015-12,23.57B,23.57B,20.64B,2.931B,931.00M,931.00M,905.00M,,72.00M,-72.00M,,1.836B,1.095B,72.00M,-72.00M,76.00M,-72.00M,1.099B,73.00M,1.026B,,,,1.026B,963.45M,1.655B,484.00M,1.171B,1.52,,,1.4269999999999998,1.52,1.51,,,1.4180000000000001,1.51,672.20M,680.60M,0.91
2015-09,25.85B,25.85B,21.60B,4.249B,889.00M,889.00M,857.00M,-1.00M,67.00M,-67.00M,,1.746B,2.503B,67.00M,-67.00M,51.00M,-67.00M,2.487B,783.00M,1.704B,,,,1.704B,1.651B,2.991B,437.00M,2.554B,2.5,,,2.4219999999999997,2.5,2.47,,,2.3930000000000002,2.47,680.10M,687.80M,0.91
2015-06,24.54B,24.54B,21.35B,3.193B,760.00M,760.00M,800.00M,,75.00M,-75.00M,,1.56B,1.633B,75.00M,-75.00M,65.00M,-75.00M,1.623B,513.00M,1.11B,,,,1.11B,1.076B,2.151B,453.00M,1.698B,1.61,,,1.56,1.61,1.59,,,1.541,1.59,690.10M,697.80M,0.91
2015-03,22.15B,22.15B,18.50B,3.653B,945.00M,945.00M,769.00M,1.00M,61.00M,-61.00M,,1.714B,1.939B,61.00M,-61.00M,68.00M,-61.00M,1.946B,610.00M,1.336B,,,,1.336B,1.281B,2.466B,459.00M,2.007B,1.89,,,1.8119999999999998,1.89,1.87,,,1.7930000000000001,1.87,704.60M,713.10M,0.91
2014-12,24.47B,24.47B,20.71B,3.757B,1.04B,1.04B,755.00M,-12.00M,81.00M,-81.00M,,1.795B,1.962B,81.00M,-81.00M,49.00M,-81.00M,1.93B,464.00M,1.466B,,,,1.466B,1.418B,2.539B,528.00M,2.011B,2.05,0.0,,1.983,2.05,2.02,0.0,,1.954,2.02,714.40M,723.80M,0.73
2014-09,23.78B,23.78B,20.08B,3.709B,932.00M,932.00M,750.00M,,79.00M,-79.00M,,1.682B,2.027B,79.00M,-79.00M,83.00M,-79.00M,2.031B,669.00M,1.362B,,,,1.362B,1.300B,2.588B,478.00M,2.11B,1.88,,,1.794,1.88,1.86,,,1.776,1.86,721.50M,730.60M,0.73
2014-06,22.04B,22.04B,18.67B,3.375B,918.00M,918.00M,733.00M,2.00M,81.00M,-81.00M,,1.651B,1.724B,81.00M,-81.00M,74.00M,-81.00M,1.717B,64.00M,1.653B,,,,1.653B,1.592B,2.25B,452.00M,1.798B,2.26,,,2.177,2.26,2.24,,,2.158,2.24,729.80M,738.80M,0.73
