,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,10.56B,16.55B,27.12B,2.762B,8.96B,11.72B,871.00M,10.92B,75.17B,,86.96B,,5.213B,131.01B,,,,,,32.21B,-20.24B,11.97B,8.071B,2.941B,11.01B,1.052B,2.01B,704.00M,3.502B,30.25B,161.26B,14.48B,,,14.48B,22.22B,36.70B,,,,3.634B,,3.634B,51.97B,51.97B,,,92.31B,57.32B,,57.32B,503.00M,,503.00M,,19.77B,268.00M,2.907B,80.51B,172.81B,5.061B,47.03B,6.687B,54.82B,-15.78B,-11.82B
2020-06,19.99B,12.44B,32.43B,2.793B,8.685B,11.48B,957.00M,10.84B,71.94B,,83.74B,,2.624B,130.28B,,,,,,32.04B,-19.86B,12.18B,8.064B,3.019B,11.08B,1.066B,2.054B,729.00M,5.481B,32.60B,162.87B,13.70B,,,13.70B,22.49B,36.19B,,,,2.922B,,2.922B,53.37B,53.37B,,,92.48B,58.46B,,58.46B,404.00M,,404.00M,,20.09B,285.00M,2.821B,81.77B,174.25B,5.061B,47.48B,6.648B,54.83B,-16.02B,-11.67B
2020-03,15.04B,488.00M,15.53B,3.211B,9.514B,12.72B,990.00M,10.31B,68.72B,,80.02B,,2.739B,111.01B,,,,,,32.00B,-19.59B,12.40B,8.057B,3.256B,11.31B,1.124B,2.116B,678.00M,4.428B,32.06B,143.08B,14.96B,,,14.96B,21.48B,36.45B,,,,5.173B,,5.173B,52.88B,52.88B,,,94.50B,33.75B,,33.75B,336.00M,,336.00M,,20.44B,305.00M,3.398B,57.93B,152.44B,5.061B,49.85B,6.595B,54.84B,-16.33B,-9.665B
2019-12,9.485B,545.00M,10.03B,3.337B,9.207B,12.47B,1.187B,9.419B,66.02B,,76.62B,,3.106B,102.23B,0.0,527.00M,14.29B,15.72B,1.306B,31.84B,-19.34B,12.50B,8.06B,3.338B,11.40B,1.092B,2.136B,683.00M,3.585B,31.40B,133.62B,15.55B,1.159B,670.00M,17.38B,14.19B,31.57B,1.267B,6.109B,1.16B,7.269B,71.00M,7.34B,51.55B,51.55B,,,97.31B,19.80B,158.00M,19.96B,413.00M,,413.00M,,20.82B,317.00M,3.422B,44.61B,141.92B,5.061B,50.64B,6.745B,54.91B,-16.15B,-8.617B
2019-09,9.763B,1.15B,10.91B,3.564B,11.24B,14.81B,966.00M,8.795B,63.52B,,73.28B,,2.656B,101.66B,,,,,,31.65B,-19.12B,12.53B,8.063B,3.587B,11.65B,1.117B,2.077B,296.00M,3.275B,30.94B,132.60B,15.10B,,,15.10B,19.22B,34.32B,,,,4.354B,,4.354B,53.17B,53.17B,,,91.85B,20.30B,,20.30B,1.615B,,1.615B,,19.03B,307.00M,3.621B,44.56B,136.41B,5.061B,53.99B,6.688B,54.92B,-14.93B,-4.116B
2019-06,9.167B,439.00M,9.606B,3.291B,10.42B,13.71B,857.00M,8.944B,58.69B,,68.49B,,3.304B,95.11B,,,,,,31.46B,-18.86B,12.60B,8.051B,3.761B,11.81B,1.142B,2.139B,357.00M,3.099B,31.15B,126.26B,15.27B,,,15.27B,20.04B,35.31B,,,,4.357B,,4.357B,52.52B,52.52B,,,92.19B,14.86B,,14.86B,,,,,19.32B,379.00M,4.839B,39.02B,131.20B,5.061B,52.82B,6.638B,54.93B,-14.91B,-5.322B
2019-03,6.836B,893.00M,7.729B,3.669B,10.55B,14.22B,1.159B,8.72B,55.49B,,65.37B,,2.194B,89.51B,,,,,,31.42B,-18.82B,12.59B,7.967B,3.498B,11.46B,1.183B,2.236B,281.00M,2.941B,30.70B,120.21B,14.69B,,,14.69B,13.01B,27.70B,,,,3.381B,,3.381B,52.53B,52.53B,,,83.62B,11.36B,,11.36B,1.656B,,1.656B,,19.61B,107.00M,3.731B,36.36B,119.98B,5.061B,58.09B,6.573B,54.63B,-14.97B,125.00M
2018-12,7.637B,927.00M,8.564B,3.933B,10.49B,14.36B,2.129B,7.685B,52.75B,,62.57B,,2.335B,87.83B,0.0,546.00M,14.11B,15.22B,1.337B,31.21B,-18.57B,12.64B,7.84B,3.429B,11.27B,1.087B,2.418B,284.00M,1.826B,29.53B,117.36B,12.92B,1.16B,485.00M,14.56B,5.195B,19.76B,1.127B,1.895B,1.238B,3.133B,57.00M,3.19B,50.68B,50.68B,,,81.59B,10.56B,99.00M,10.66B,1.736B,,1.736B,,19.91B,71.00M,3.059B,35.36B,116.95B,5.061B,55.94B,6.768B,52.35B,-15.08B,339.00M
2018-09,8.034B,1.956B,9.99B,2.893B,10.37B,13.26B,1.908B,6.562B,53.57B,,62.04B,,2.398B,87.69B,,,,,,30.90B,-18.33B,12.57B,5.722B,2.53B,8.252B,1.19B,2.785B,323.00M,1.852B,26.97B,114.66B,13.66B,,,13.66B,12.87B,26.53B,,,,1.389B,,1.389B,51.50B,51.50B,,,79.42B,10.49B,,10.49B,1.738B,,1.738B,,21.32B,80.00M,2.905B,36.45B,115.87B,5.061B,54.67B,6.714B,51.78B,-15.95B,-1.289B
2018-06,8.121B,1.649B,9.77B,2.823B,10.16B,12.98B,2.027B,6.393B,52.83B,,61.25B,,2.396B,86.40B,,,,,,30.74B,-18.14B,12.60B,5.55B,2.494B,8.044B,1.203B,2.817B,325.00M,1.80B,26.79B,113.20B,12.90B,,,12.90B,12.24B,25.14B,,,,1.611B,,1.611B,50.97B,50.97B,,,77.72B,10.51B,,10.51B,1.90B,,1.90B,,21.56B,67.00M,2.875B,36.84B,114.57B,5.061B,52.30B,6.676B,49.34B,-16.14B,-1.441B
2018-03,9.235B,656.00M,9.891B,2.802B,10.07B,12.87B,1.926B,6.369B,53.01B,,61.30B,,2.481B,86.54B,,,,,,30.52B,-17.89B,12.63B,5.558B,2.525B,8.083B,1.248B,2.753B,325.00M,1.969B,27.01B,113.55B,12.61B,,,12.61B,10.98B,23.60B,,,,1.981B,,1.981B,49.96B,49.96B,,,75.53B,10.47B,,10.47B,2.001B,,2.001B,,21.77B,76.00M,2.474B,36.72B,112.25B,5.061B,52.10B,6.624B,46.40B,-16.16B,1.222B
2017-12,8.813B,1.179B,9.992B,2.956B,8.503B,11.40B,1.854B,6.673B,52.86B,,61.39B,,2.417B,85.19B,0.0,530.00M,14.12B,14.58B,1.081B,30.31B,-17.64B,12.67B,5.559B,2.573B,8.132B,1.26B,2.756B,321.00M,2.027B,27.17B,112.36B,12.20B,1.005B,380.00M,13.59B,3.814B,17.40B,1.211B,600.00M,683.00M,1.283B,52.00M,1.335B,48.04B,48.04B,,,74.65B,9.696B,86.00M,9.782B,2.188B,,2.188B,,22.02B,57.00M,2.015B,36.00B,110.65B,5.061B,49.62B,6.804B,43.45B,-16.37B,1.656B
2017-09,8.569B,1.463B,10.03B,10.64B,435.00M,11.08B,13.61B,6.068B,52.87B,,43.03B,,,64.14B,,,,,,30.11B,-17.40B,12.71B,5.344B,2.523B,7.867B,1.27B,3.039B,298.00M,1.679B,26.86B,91.01B,12.72B,,,12.72B,14.01B,26.73B,,,,988.00M,,988.00M,26.70B,26.70B,,,54.41B,9.78B,,9.78B,2.884B,,2.884B,,21.34B,59.00M,1.449B,35.45B,89.86B,5.061B,44.05B,6.754B,41.74B,-13.04B,1.086B
2017-06,8.737B,1.589B,10.33B,9.503B,549.00M,10.05B,13.96B,5.356B,53.24B,,42.45B,,,62.83B,,,,,,30.20B,-17.38B,12.82B,5.347B,2.567B,7.914B,1.278B,3.398B,325.00M,1.47B,27.20B,90.04B,12.09B,,,12.09B,14.29B,26.39B,,,,720.00M,,720.00M,25.80B,25.80B,,,52.91B,10.06B,,10.06B,1.415B,,1.415B,,25.51B,59.00M,2.128B,39.10B,92.01B,5.061B,42.22B,4.644B,40.73B,-13.23B,-2.037B
2017-03,8.19B,1.015B,9.205B,9.335B,580.00M,9.915B,13.68B,5.41B,53.49B,,43.25B,,,62.37B,,,,,,30.00B,-17.16B,12.84B,5.342B,2.496B,7.838B,1.319B,3.527B,336.00M,1.444B,27.31B,89.67B,11.96B,,,11.96B,13.33B,25.30B,,,,367.00M,,367.00M,24.12B,24.12B,,,49.78B,10.43B,,10.43B,1.339B,,1.339B,,25.68B,60.00M,2.285B,39.74B,89.52B,5.061B,42.16B,4.604B,38.32B,-13.42B,95.00M
2016-12,8.801B,1.228B,10.03B,7.804B,1.521B,9.26B,12.80B,5.446B,52.05B,,43.20B,,,62.49B,0.0,535.00M,13.80B,13.57B,1.79B,29.69B,-16.88B,12.81B,5.324B,2.54B,7.864B,1.317B,3.773B,332.00M,1.416B,27.51B,90.00B,11.19B,866.00M,89.00M,12.14B,6.602B,18.75B,1.414B,,327.00M,327.00M,57.00M,384.00M,23.87B,23.87B,,,50.13B,9.487B,81.00M,9.568B,1.338B,,1.338B,,25.86B,60.00M,2.221B,38.99B,89.12B,5.061B,40.71B,4.762B,36.10B,-13.62B,817.00M
2016-09,8.986B,682.00M,9.668B,9.524B,365.00M,9.889B,12.46B,5.521B,53.11B,,42.68B,,,62.24B,,,,,,29.46B,-16.75B,12.71B,5.128B,2.488B,7.616B,1.303B,3.401B,265.00M,1.415B,26.71B,88.95B,11.97B,,,11.97B,13.24B,25.21B,,,,632.00M,,632.00M,22.65B,22.65B,,,48.49B,9.824B,,9.824B,2.211B,,2.211B,,24.55B,61.00M,1.729B,38.31B,86.80B,5.061B,40.64B,4.808B,35.76B,-12.66B,2.089B
2016-06,8.605B,660.00M,9.265B,9.809B,251.00M,10.06B,12.52B,6.123B,53.77B,,44.18B,,,63.51B,,,,,,29.17B,-16.64B,12.53B,5.128B,2.544B,7.672B,1.312B,2.909B,267.00M,1.409B,26.10B,89.61B,11.75B,,,11.75B,13.53B,25.28B,,,,1.168B,,1.168B,23.41B,23.41B,,,49.86B,9.847B,,9.847B,2.422B,,2.422B,,24.79B,62.00M,2.048B,39.10B,88.96B,5.061B,38.36B,4.778B,34.82B,-12.80B,585.00M
