,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.148B,,3.148B,1.427B,1.427B,,,,,,246.00M,20.00M,,,4.841B,,,,,1.559B,1.559B,-651.00M,908.00M,3.715B,1.376B,5.091B,,612.00M,6.611B,11.45B,186.00M,79.00M,265.00M,,265.00M,,,,,,,,1.72B,1.72B,438.00M,2.815B,4.11B,563.00M,4.673B,,,,262.00M,56.00M,2.511B,693.00M,8.139B,10.95B,294.00M,13.37B,917.00M,13.46B,,,,-677.00M,442.00M
2020-06,2.667B,,2.667B,1.557B,1.557B,,,,,,218.00M,17.00M,,,4.459B,,,,,1.56B,1.56B,-635.00M,925.00M,3.70B,1.407B,5.107B,,614.00M,6.646B,11.10B,186.00M,274.00M,460.00M,,460.00M,,,,,,,,1.85B,1.85B,435.00M,3.04B,3.95B,578.00M,4.528B,,,,260.00M,58.00M,2.403B,606.00M,7.797B,10.84B,294.00M,13.19B,762.00M,13.33B,,,,-704.00M,210.00M
2020-03,1.932B,,1.932B,1.504B,1.504B,,,,,,239.00M,20.00M,,,3.695B,,,,,1.584B,1.584B,-623.00M,961.00M,3.703B,1.439B,5.142B,,665.00M,6.768B,10.46B,203.00M,160.00M,363.00M,,363.00M,,,,,,,,1.897B,1.897B,501.00M,2.983B,3.949B,603.00M,4.552B,,,,258.00M,56.00M,2.268B,596.00M,7.674B,10.66B,294.00M,12.69B,754.00M,13.33B,,,,-660.00M,-250.00M
2019-12,2.866B,28.00M,2.894B,1.577B,1.577B,,,,,,221.00M,20.00M,,,4.712B,420.00M,,,522.00M,676.00M,1.618B,-622.00M,996.00M,3.575B,1.424B,4.999B,,641.00M,6.636B,11.35B,190.00M,68.00M,258.00M,,258.00M,,,,,,112.00M,112.00M,1.928B,1.928B,349.00M,3.093B,3.948B,620.00M,4.568B,,,,259.00M,57.00M,2.268B,624.00M,7.719B,10.81B,294.00M,12.20B,903.00M,12.30B,,,,-624.00M,479.00M
2019-09,1.996B,,1.996B,1.486B,1.486B,,,,,,217.00M,23.00M,,,3.722B,,,,,1.566B,1.566B,-608.00M,958.00M,3.515B,1.427B,4.942B,,566.00M,6.466B,10.19B,188.00M,114.00M,302.00M,,302.00M,,,,699.00M,699.00M,,699.00M,1.614B,1.614B,431.00M,3.373B,2.966B,615.00M,3.581B,,,,226.00M,56.00M,2.025B,581.00M,6.413B,9.786B,294.00M,12.05B,835.00M,12.15B,,,,-684.00M,346.00M
2019-06,1.881B,,1.881B,1.543B,1.543B,,,,,,231.00M,39.00M,,,3.694B,,,,,1.572B,1.572B,-623.00M,949.00M,3.519B,1.453B,4.972B,,570.00M,6.491B,10.18B,214.00M,88.00M,302.00M,,302.00M,,,,,,,,1.709B,1.709B,419.00M,2.699B,3.664B,621.00M,4.285B,,,,230.00M,58.00M,1.89B,511.00M,6.916B,9.615B,294.00M,11.71B,790.00M,11.63B,,,,-651.00M,512.00M
2019-03,1.403B,,1.403B,1.539B,1.539B,,,,,,207.00M,33.00M,,,3.182B,,,,,1.556B,1.556B,-613.00M,943.00M,3.533B,1.492B,5.025B,,570.00M,6.538B,9.72B,217.00M,134.00M,351.00M,,351.00M,,,,,,,,1.689B,1.689B,415.00M,2.655B,3.663B,617.00M,4.28B,,,,227.00M,61.00M,1.647B,523.00M,6.677B,9.332B,294.00M,11.53B,772.00M,11.64B,,,,-633.00M,327.00M
2018-12,1.917B,18.00M,1.935B,1.449B,1.449B,,,,,,162.00M,41.00M,,,3.587B,372.00M,,,494.00M,,866.00M,-596.00M,270.00M,3.535B,1.524B,5.059B,,525.00M,5.854B,9.441B,211.00M,73.00M,284.00M,,284.00M,,,,,,,,1.641B,1.641B,351.00M,2.63B,3.662B,0.00,3.662B,,,,229.00M,56.00M,1.62B,616.00M,6.127B,8.757B,294.00M,11.28B,833.00M,11.04B,,,,-742.00M,628.00M
2018-09,2.158B,,2.158B,1.237B,1.237B,,,,,,188.00M,45.00M,,,3.628B,,,,,,861.00M,-586.00M,275.00M,3.544B,1.42B,4.964B,,516.00M,5.755B,9.383B,194.00M,92.00M,286.00M,0.00,286.00M,,,,,,,,1.576B,1.576B,348.00M,2.517B,3.661B,,3.661B,,,,225.00M,53.00M,1.485B,537.00M,5.908B,8.425B,412.00M,11.00B,897.00M,10.70B,,,,-703.00M,905.00M
2018-06,1.885B,,1.885B,1.29B,1.29B,,,,,,243.00M,50.00M,,,3.468B,,,,,,847.00M,-574.00M,273.00M,3.538B,1.453B,4.991B,,485.00M,5.749B,9.217B,192.00M,79.00M,271.00M,149.00M,420.00M,,,,,,,,1.689B,1.689B,352.00M,2.724B,3.66B,,3.66B,,,,229.00M,53.00M,1.431B,537.00M,5.857B,8.581B,412.00M,10.68B,732.00M,10.54B,,,,-705.00M,583.00M
