,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-02,12.66B,12.66B,11.06B,1.602B,1.208B,-4.00M,,,,4.00M,1.212B,389.90M,,,,-4.00M,,405.69M,100.24M,305.45M,,,305.45M,308.46M,500.01M,110.11M,389.90M,,0.64,0.00,,,0.6464,0.64,,0.62,0.00,,,0.6261,0.62,,474.22M,493.70M,0.10,,,
2004-11,11.58B,11.58B,10.13B,1.446B,1.145B,,,,,,1.145B,300.64M,,,,,,306.59M,113.44M,193.15M,,,193.15M,193.15M,408.70M,108.06M,300.64M,,0.41,0.00,,,0.41,0.41,,0.40,0.00,,,0.40,0.40,,465.87M,489.28M,0.10,,,
2004-08,15.14B,15.14B,13.23B,1.913B,1.445B,-2.50M,,,,2.50M,1.447B,465.51M,,,,17.59M,,471.06M,174.29M,296.77M,,,296.77M,298.34M,602.65M,137.15M,465.51M,,0.64,0.00,,,0.6434,0.64,,0.62,0.00,,,0.6232,0.62,,461.96M,485.65M,0.10,,,
2004-05,10.90B,10.90B,9.540B,1.357B,1.055B,8.50M,,,,-8.50M,1.047B,310.15M,,,,8.50M,,315.33M,116.67M,198.66M,,,198.66M,193.30M,413.91M,103.76M,310.15M,,0.43,0.00,,,0.4183,0.43,,0.42,0.00,,,0.4089,0.42,,459.07M,482.48M,0.10,,,
2004-02,11.55B,11.55B,10.10B,1.447B,1.089B,-3.00M,,,,3.00M,1.092B,355.18M,,,,-3.00M,,359.99M,133.20M,226.79M,,,226.79M,228.68M,457.65M,102.47M,355.18M,,0.49,0.00,,,0.4941,0.49,,0.48,0.00,,,0.4839,0.48,,458.23M,481.54M,,,,
2003-11,10.52B,10.52B,9.220B,1.301B,1.047B,,,,,,1.047B,254.82M,,,,,,254.25M,94.07M,160.18M,,,160.18M,160.18M,352.16M,97.34M,254.82M,,0.35,0.00,,,0.35,0.35,,0.34,0.00,,,0.34,0.34,,457.63M,480.35M,,,,
2003-08,13.69B,13.69B,11.99B,1.702B,1.343B,32.82M,,,,,1.328B,374.19M,,,,32.82M,,375.18M,135.76M,239.43M,,,239.43M,218.48M,498.58M,124.39M,374.19M,,0.5174,,,,0.4714,0.5174,,0.51,0.00,,,0.4641,0.51,,455.96M,455.96M,,,,
2003-05,9.543B,9.543B,8.358B,1.185B,929.16M,-6.00M,,,,6.00M,935.16M,249.59M,,,,-6.00M,,250.05M,96.27M,153.78M,,,153.78M,157.47M,341.48M,91.90M,249.59M,,0.34,0.00,,,0.3481,0.34,,0.33,0.00,,,0.3377,0.33,,456.37M,479.18M,,,,
2003-02,10.11B,10.11B,8.840B,1.274B,974.20M,-4.50M,,,,4.50M,978.70M,295.06M,,,,-4.50M,,296.04M,113.98M,182.06M,,,182.06M,184.83M,384.45M,89.39M,295.06M,,0.40,0.00,,,0.4061,0.40,,0.39,0.00,,,0.3958,0.39,,455.93M,478.56M,,,,
2002-11,9.199B,9.199B,8.049B,1.150B,911.90M,,,,,,911.90M,237.79M,,,,,,236.96M,91.23M,145.73M,,,145.73M,145.73M,323.41M,85.62M,237.79M,,0.32,0.00,,,0.32,0.32,,0.31,0.00,,,0.31,0.31,,455.57M,478.86M,,,,
2002-08,12.30B,12.30B,10.75B,1.543B,1.178B,,,,,,1.162B,380.68M,,,,,,383.88M,136.48M,247.40M,,,247.40M,247.40M,492.92M,112.25M,380.68M,,0.54,0.00,,,0.54,0.54,,0.52,0.00,,,0.52,0.52,,455.46M,479.30M,,,,
2002-05,8.617B,8.617B,7.583B,1.033B,812.69M,-4.50M,,,,4.50M,817.19M,216.30M,,,,-4.50M,,217.28M,86.91M,130.37M,,,130.37M,133.07M,286.58M,70.28M,216.30M,,0.29,0.00,,,0.2959,0.29,,0.28,0.00,,,0.2856,0.28,,454.27M,480.26M,,,,
2002-02,9.383B,9.383B,8.212B,1.171B,848.62M,-3.00M,,,,3.00M,851.62M,319.20M,,,,-3.00M,,320.93M,128.37M,192.56M,,,192.56M,194.36M,404.34M,85.14M,319.20M,,0.43,0.00,,,0.4340,0.43,,0.41,0.00,,,0.4138,0.41,,452.88M,479.93M,,,,
2001-11,8.467B,8.467B,7.434B,1.032B,816.80M,,,,,,816.80M,215.35M,,,,,,216.09M,86.44M,129.66M,,,129.66M,129.66M,289.47M,74.12M,215.35M,,0.29,0.00,,,0.29,0.29,,0.28,0.00,,,0.28,0.28,,451.99M,477.40M,,,,
2001-08,11.13B,11.13B,9.988B,1.147B,1.035B,,,,,,828.32M,318.42M,,,,,,317.89M,127.16M,190.73M,,,190.73M,190.73M,403.49M,85.07M,318.42M,,0.42,0.00,,,0.42,0.42,,0.41,0.00,,,0.41,0.41,,451.87M,478.39M,,,,
2001-05,7.719B,7.719B,6.754B,964.55M,718.61M,,,,,,789.90M,174.65M,,,,,,175.43M,70.17M,105.26M,,,105.26M,105.26M,257.26M,82.61M,174.65M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,450.20M,475.84M,,,,
2001-02,8.306B,8.306B,7.207B,1.099B,742.98M,,,,,,811.90M,287.37M,,,,,,294.30M,117.72M,176.58M,,,176.58M,176.58M,356.28M,68.92M,287.37M,,0.39,0.00,,,0.39,0.39,,0.38,0.00,,,0.38,0.38,,448.79M,475.49M,,,,
2000-11,7.637B,7.637B,6.649B,988.34M,711.81M,,,,,,776.51M,211.83M,,,,,,215.87M,86.35M,129.52M,,,129.52M,129.52M,276.53M,64.70M,211.83M,,0.29,0.00,,,0.29,0.29,,0.28,0.00,,,0.28,0.28,,447.68M,473.92M,,,,
2000-08,10.59B,10.59B,9.243B,1.346B,937.13M,,,,,,1.019B,326.71M,,,,,,333.64M,133.45M,200.18M,,,200.18M,200.18M,408.60M,81.89M,326.71M,,0.44,0.00,,,0.44,0.44,,0.43,0.00,,,0.43,0.43,,448.35M,473.72M,,,,
2000-05,6.895B,6.895B,6.026B,868.47M,613.15M,,,,,,671.26M,197.21M,,,,,,200.55M,80.22M,120.33M,,,120.33M,120.33M,255.32M,58.11M,197.21M,,0.27,0.00,,,0.27,0.27,,0.26,0.00,,,0.26,0.26,,448.11M,478.75M,,,,
2000-02,7.737B,7.737B,6.738B,999.40M,646.30M,,,,,,701.10M,298.30M,,,,,,302.70M,121.10M,181.60M,,,181.60M,181.60M,353.10M,54.80M,298.30M,,0.41,0.00,,,0.41,0.41,,0.39,0.00,,,0.39,0.39,,442.93M,465.64M,,,,
1999-11,6.944B,6.944B,6.061B,882.90M,608.10M,10.70M,,,,,667.70M,215.20M,,,,10.70M,,215.50M,86.20M,129.30M,,,129.30M,122.88M,274.80M,59.60M,215.20M,,0.29,0.00,,,0.2756,0.29,,0.28,0.00,,,0.2661,0.28,,445.86M,461.79M,,,,
1999-08,8.812B,8.812B,7.678B,1.134B,807.70M,,,,,,881.80M,252.00M,,,,,,255.30M,102.10M,153.20M,0.00,,153.20M,153.20M,326.10M,74.10M,252.00M,,0.35,0.00,0.00,,0.35,0.35,,0.33,0.00,0.0021,,0.33,0.33,,449.33M,528.37M,,,,
1999-05,6.054B,6.054B,5.290B,764.30M,535.80M,10.70M,,,,,588.00M,176.30M,,,,10.70M,,176.50M,70.60M,105.90M,,,105.90M,99.48M,228.50M,52.20M,176.30M,,0.24,0.00,,,0.2254,0.24,,0.23,0.00,,,0.2161,0.23,,441.25M,460.43M,,,,
1999-02,6.592B,6.592B,5.742B,850.60M,550.60M,11.20M,,,,,597.50M,253.10M,,,,11.20M,,253.40M,101.40M,152.00M,,,152.00M,145.28M,300.00M,46.90M,253.10M,,0.35,0.00,,,0.3345,0.35,,0.33,0.00,,,0.3154,0.33,,434.29M,460.61M,,,,
1998-11,5.998B,5.998B,5.236B,761.90M,531.70M,6.00M,,,,,583.30M,178.60M,,,,6.00M,,173.70M,69.50M,104.20M,-118.00M,,-13.80M,100.60M,230.20M,51.60M,178.60M,,0.24,-0.27,0.00,,0.2322,-0.03,,0.23,-0.27,-0.2565,,0.2222,-0.03,,460.00M,460.00M,,,,
1998-08,7.707B,7.707B,6.731B,975.70M,662.70M,7.70M,,,,,717.10M,258.60M,,,,7.70M,,251.20M,100.50M,150.70M,,,150.70M,146.08M,313.00M,54.40M,258.60M,,0.35,0.00,,,0.3394,0.35,,0.33,0.00,,,0.3209,0.33,,436.14M,509.57M,,,,
1998-05,5.338B,5.338B,4.668B,670.20M,477.40M,7.60M,,,,,525.30M,144.90M,,,,7.60M,,142.00M,56.80M,85.20M,,,85.20M,80.64M,192.80M,47.90M,144.90M,,0.20,0.00,,,0.1893,0.20,,0.19,0.00,,,0.1798,0.19,,426.00M,448.42M,,,,
1998-02,5.795B,5.795B,5.051B,743.80M,482.80M,7.70M,,,,,530.60M,213.20M,,,,7.70M,,210.00M,84.00M,126.00M,,,126.00M,121.38M,261.00M,47.80M,213.20M,,0.30,0.00,,,0.289,0.30,,0.28,0.00,,,0.2697,0.28,,420.00M,450.00M,,,,
1997-11,5.430B,5.430B,4.733B,696.70M,478.10M,1.70M,,,,,524.30M,172.40M,,,,1.70M,,163.20M,65.30M,97.90M,,,97.90M,96.88M,218.60M,46.20M,172.40M,,0.23,0.00,,,0.2276,0.23,,0.22,0.00,,,0.2177,0.22,,425.65M,445.00M,,,,
1997-08,6.916B,6.916B,6.044B,871.50M,671.30M,78.20M,,,,,730.70M,140.80M,,,,78.20M,,193.60M,76.90M,116.70M,,,116.70M,69.56M,200.20M,59.40M,140.80M,,0.29,0.00,,,0.1707,0.29,,0.27,0.00,,,0.1628,0.27,,395.29M,439.70M,,,,
1997-05,4.836B,4.836B,4.241B,595.50M,429.40M,0.60M,,,,,471.90M,123.60M,,,,0.60M,,109.60M,43.30M,66.30M,,,66.30M,65.94M,166.10M,42.50M,123.60M,,0.16,0.00,,,0.1591,0.16,,0.16,0.00,,,0.1591,0.16,,414.38M,414.38M,,,,
1997-02,5.239B,5.239B,4.577B,662.20M,442.10M,3.50M,,,,,484.60M,177.60M,,,,3.50M,,163.70M,66.30M,97.40M,,,97.40M,95.30M,220.10M,42.50M,177.60M,,0.24,0.00,,,0.2348,0.24,,0.23,0.00,,,0.2250,0.23,,405.83M,423.48M,,,,
1996-11,4.883B,4.883B,4.271B,612.40M,436.30M,-66.30M,,,,,473.70M,138.70M,,,,-66.30M,,53.50M,21.70M,31.80M,,,31.80M,71.58M,176.10M,37.40M,138.70M,,0.08,0.00,,,0.1801,0.08,,0.08,0.00,,,0.1801,0.08,,397.50M,397.50M,,,,
1996-08,6.183B,6.183B,5.422B,760.40M,542.90M,5.40M,,,,,594.80M,165.60M,,,,5.40M,,147.30M,60.80M,86.50M,,,86.50M,83.26M,217.50M,51.90M,165.60M,,0.24,0.00,,,0.2304,0.24,,0.21,0.00,,,0.2022,0.21,,337.75M,414.23M,,,,
1996-05,4.312B,4.312B,3.792B,519.30M,394.10M,2.00M,,,,,431.80M,87.50M,,,,2.00M,,70.30M,29.00M,41.30M,,,41.30M,40.10M,125.20M,37.70M,87.50M,,0.11,0.00,,,0.1068,0.11,,0.11,0.00,,,0.1068,0.11,,375.45M,375.45M,,,,
1996-02,4.689B,4.689B,4.117B,572.10M,397.90M,2.30M,,,,,435.30M,136.80M,,,,2.30M,,121.60M,50.20M,71.40M,,,71.40M,70.02M,174.20M,37.40M,136.80M,,0.18,0.00,,,0.1765,0.18,,0.18,0.00,,,0.1765,0.18,,396.67M,396.67M,,,,
1995-11,4.384B,4.384B,3.852B,531.10M,395.50M,1.10M,,,,,430.10M,101.00M,,,,1.10M,,84.40M,34.80M,49.60M,,,49.60M,48.94M,135.60M,34.60M,101.00M,,0.13,0.00,,,0.1283,0.13,,0.13,0.00,,,0.1283,0.13,,381.54M,381.54M,,,,
1995-08,5.672B,5.672B,5.303B,369.20M,501.70M,323.00M,,,,,548.70M,-179.50M,,,,323.00M,,119.80M,48.50M,71.30M,,,71.30M,-122.50M,-132.50M,47.00M,-179.50M,,0.18,0.00,,0.0016,-0.3018,0.18,,0.18,0.00,,0.0016,-0.3018,0.18,,402.24M,402.24M,,,,
1995-05,3.896B,3.896B,3.445B,451.60M,345.20M,-2.20M,,,,,376.90M,74.70M,,,,-2.20M,,55.60M,23.00M,32.60M,,,32.60M,33.92M,108.10M,33.40M,74.70M,,0.09,0.00,,,0.0936,0.09,,0.09,0.00,,,0.0936,0.09,,362.22M,362.22M,,,,
1995-02,4.307B,4.307B,3.791B,516.30M,358.40M,-3.20M,,,,,389.20M,127.10M,,,,-3.20M,,110.50M,45.70M,64.80M,,,-18.60M,66.72M,157.90M,30.80M,127.10M,,0.16,-0.19,,-0.2141,0.1644,-0.03,,0.16,-0.19,,-0.2141,0.1644,-0.03,,440.91M,440.91M,,,,
1994-11,4.030B,4.030B,3.547B,483.30M,350.20M,-6.00M,,,,,381.00M,102.30M,,,,-6.00M,,82.20M,33.70M,48.50M,,,48.50M,52.10M,133.10M,30.80M,102.30M,,0.11,0.00,,,0.1182,0.11,,0.11,0.00,,,0.1182,0.11,,440.91M,440.91M,,,,
1994-08,5.072B,5.072B,4.484B,587.50M,404.30M,-27.30M,,,,,460.40M,127.10M,,,,-27.30M,,84.10M,34.50M,49.60M,,,-173.70M,65.98M,183.20M,56.10M,127.10M,,0.12,-0.10,,,0.1594,-0.40,,0.12,-0.10,,,0.1594,-0.40,,415.66M,415.66M,,,,
1994-05,3.620B,3.620B,3.191B,428.30M,335.80M,3.20M,,,,,365.00M,63.30M,,,,3.20M,,54.30M,22.30M,32.00M,,,32.00M,30.08M,94.70M,31.40M,63.30M,,0.08,0.00,,,0.0752,0.08,,0.08,0.00,,,0.0752,0.08,,400.00M,400.00M,,,,
1994-02,4.101B,4.101B,3.607B,494.80M,352.60M,3.20M,,,,,380.70M,114.10M,,,,3.20M,,105.60M,43.30M,62.30M,,,62.30M,60.38M,142.50M,28.40M,114.10M,,0.14,0.00,,,0.1357,0.14,,0.14,0.00,,,0.1357,0.14,,445.00M,445.00M,,,,
1993-11,3.688B,3.688B,3.239B,448.30M,321.70M,-128.40M,,,,,349.50M,98.80M,,,,-128.40M,,-40.30M,-7.30M,-33.00M,,,-33.00M,72.14M,126.60M,27.80M,98.80M,,-0.08,0.00,,,0.1749,-0.08,,-0.08,0.00,,,0.1749,-0.08,,412.50M,412.50M,,,,
1993-08,9.202B,9.202B,8.258B,943.50M,821.20M,200.30M,,,,,884.40M,59.10M,,,,200.30M,,235.30M,93.10M,142.20M,,,142.20M,21.15M,122.30M,63.20M,59.10M,,0.3275,,,,0.0487,0.3275,,0.3275,,,,0.0487,0.3275,,434.15M,434.15M,,,,
1993-05,1.729B,1.729B,1.554B,174.70M,162.60M,39.20M,,,,,178.20M,-3.50M,,,,39.20M,,28.50M,11.40M,17.10M,,,17.10M,-6.42M,12.20M,15.70M,-3.50M,,0.09,0.00,,,-0.0338,0.09,,0.09,0.00,,,-0.0338,0.09,,190.00M,190.00M,,,,
1993-02,1.634B,1.634B,1.471B,163.30M,159.70M,45.60M,,,,,173.10M,-9.80M,,,,45.60M,,29.00M,11.60M,17.40M,,,17.40M,-9.96M,3.60M,13.40M,-9.80M,,0.09,0.00,,,-0.0515,0.09,,0.09,0.00,,,-0.0515,0.09,,193.33M,193.33M,,,,
1992-11,2.590B,2.590B,2.336B,253.60M,223.80M,75.60M,,,,,243.60M,10.00M,,,,75.60M,,77.70M,31.10M,46.60M,,,46.60M,1.24M,29.80M,19.80M,10.00M,,0.23,0.00,,,0.0061,0.23,,0.22,0.00,,,0.0059,0.22,,202.61M,211.82M,,,,
1992-08,1.689B,1.689B,1.508B,181.30M,152.00M,44.40M,,,,,170.60M,10.70M,,,,44.40M,,49.90M,20.30M,29.60M,,,29.60M,2.96M,29.30M,18.60M,10.70M,,0.02,0.04,,,-0.0585,0.06,,0.02,0.04,,,-0.0585,0.06,,339.23M,339.23M,,,,
1992-05,1.658B,1.658B,1.498B,160.10M,144.80M,51.80M,,,,,157.90M,2.20M,,,,51.80M,,47.30M,18.80M,28.50M,,,28.50M,-2.711M,15.30M,13.10M,2.20M,,0.14,0.00,,,-0.0133,0.14,,0.14,0.00,,,-0.0133,0.14,,203.57M,203.57M,,,,
1992-02,1.519B,1.519B,1.376B,143.20M,139.00M,44.30M,,,,,146.30M,-3.10M,,,,44.30M,,34.20M,13.60M,20.60M,,,20.60M,-6.084M,4.20M,7.30M,-3.10M,,0.10,0.00,,,-0.0295,0.10,,0.10,0.00,,,-0.0295,0.10,,206.00M,206.00M,,,,
1991-11,2.454B,2.454B,2.223B,230.60M,193.70M,71.20M,,,,,208.70M,21.90M,,,,71.20M,,83.60M,33.30M,50.30M,,,50.30M,7.461M,36.90M,15.00M,21.90M,,0.23,0.00,,,0.0341,0.23,,0.23,0.00,,,0.0341,0.23,,218.70M,218.70M,,,,
1991-08,1.570B,1.570B,1.411B,158.40M,132.60M,44.30M,,,,,140.00M,18.40M,,,,44.30M,,55.80M,21.70M,34.10M,,,34.10M,7.028M,25.80M,7.40M,18.40M,,0.1641,,,,0.0338,0.1641,,0.1641,,,,0.0338,0.1641,,207.83M,207.83M,,,,
1991-05,1.504B,1.504B,1.363B,141.60M,122.00M,42.10M,,,,,135.40M,6.20M,,,,42.10M,,41.20M,16.10M,25.10M,,,25.10M,-0.5483M,19.60M,13.40M,6.20M,,0.12,0.00,,,-0.0026,0.12,,0.12,0.00,,,-0.0026,0.12,,209.17M,209.17M,,,,
1991-02,1.362B,1.362B,1.235B,126.70M,113.90M,41.90M,,,,,120.60M,6.10M,,,,41.90M,,44.90M,17.00M,27.90M,,,27.90M,1.864M,12.80M,6.70M,6.10M,,0.13,0.00,,,0.0087,0.13,,0.13,0.00,,,0.0087,0.13,,214.62M,214.62M,,,,
1990-11,2.162B,2.162B,1.964B,198.60M,160.40M,56.70M,,,,,173.50M,25.10M,,,,56.70M,,77.80M,30.80M,47.00M,,,47.00M,12.75M,38.20M,13.10M,25.10M,,0.22,0.00,,,0.0597,0.22,,0.22,0.00,,,0.0597,0.22,,213.64M,213.64M,,,,
1990-08,1.200B,1.200B,1.077B,123.00M,93.50M,33.70M,,,,,101.70M,21.30M,,,,33.70M,,52.30M,20.40M,31.90M,,,31.90M,11.34M,29.50M,8.20M,21.30M,,-0.03,0.02,,,-0.1245,-0.01,,-0.03,0.02,,,-0.1245,-0.01,,217.44M,217.44M,,,,
1990-05,1.177B,1.177B,1.069B,107.90M,90.60M,28.90M,,,,,96.60M,11.30M,,,,28.90M,,38.20M,14.90M,23.30M,,,23.30M,5.673M,17.30M,6.00M,11.30M,,0.11,0.00,,,0.0268,0.11,,0.11,0.00,,,0.0268,0.11,,211.82M,211.82M,,,,
1990-02,1.093B,1.093B,988.80M,104.20M,84.90M,30.80M,,,,,90.30M,13.90M,,,,30.80M,,42.50M,16.60M,25.90M,,,25.90M,7.130M,19.30M,5.40M,13.90M,,0.12,0.00,,,0.0330,0.12,,0.12,0.00,,,0.0330,0.12,,215.83M,215.83M,,,,
1989-11,1.816B,1.816B,1.656B,160.80M,126.00M,48.90M,,,,,133.80M,27.00M,,,,48.90M,,72.60M,28.30M,44.30M,,,44.30M,14.46M,34.80M,7.80M,27.00M,,0.20,0.00,,,0.0653,0.20,,0.20,0.00,,,0.0653,0.20,,221.50M,221.50M,,,,
1989-08,1.212B,1.212B,,,,,,,,,,-3.618B,,,,,,,,31.00M,,,31.00M,,-3.618B,,-3.618B,,,,,,,,,,,,,,,,212.31M,212.31M,,,,
1989-05,1.086B,1.086B,,,,,,,,,,1.086B,,,,,,,,21.00M,,,21.00M,,1.086B,,1.086B,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,210.65M,210.65M,,,,
1989-02,1.035B,1.035B,,,,,,,,,,1.035B,,,,,,,,25.60M,,,25.60M,,1.035B,,1.035B,,0.12,0.00,,,0.12,0.12,,0.12,0.00,,,0.12,0.12,,210.65M,210.65M,,,,
1988-11,1.567B,1.567B,,,,,,,,,,1.567B,,,,,,,,38.80M,,,38.80M,,1.567B,,1.567B,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,210.65M,210.65M,,,,
1988-08,919.40M,919.40M,,,,,,,,,,-3.076B,,,,,,,,24.10M,,,24.10M,,-3.076B,,-3.076B,,,,,,,,,,,,,,,,210.22M,210.22M,,,,
1988-05,960.50M,960.50M,,,,,,,,,,960.50M,,,,,,,,18.70M,,,18.70M,,960.50M,,960.50M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,209.04M,209.04M,,,,
1988-02,842.60M,842.60M,,,,,,,,,,842.60M,,,,,,,,21.10M,,,21.10M,,842.60M,,842.60M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,209.04M,209.04M,,,,
1987-11,1.283B,1.283B,,,,,,,,,,1.283B,,,,,,,,30.90M,,,30.90M,,1.283B,,1.283B,,0.15,0.00,,,0.15,0.15,,0.15,0.00,,,0.15,0.15,,209.04M,209.04M,,,,
1987-08,855.90M,855.90M,,,,,,,,,,-2.323B,,,,,,,,19.10M,,,19.10M,,-2.323B,,-2.323B,,,,,,,,,,,,,,,,209.04M,209.04M,,,,
1987-05,738.90M,738.90M,,,,,,,,,,738.90M,,,,,,,,14.70M,,,14.70M,,738.90M,,738.90M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,208.47M,208.47M,,,,
1987-02,678.70M,678.70M,,,,,,,,,,678.70M,,,,,,,,16.70M,,,16.70M,,678.70M,,678.70M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,199.12M,199.12M,,,,
1986-11,1.032B,1.032B,,,,,,,,,,1.032B,,,,,,,,22.80M,,,22.80M,,1.032B,,1.032B,,0.11,0.00,,,0.11,0.11,,0.11,0.00,,,0.11,0.11,,199.12M,199.12M,,,,
1986-08,697.00M,697.00M,,,,,,,,,,-1.850B,,,,,,,,16.00M,,,16.00M,,-1.850B,,-1.850B,,,,,,,,,,,,,,,,208.32M,208.32M,,,,
1986-05,605.10M,605.10M,,,,,,,,,,605.10M,,,,,,,,11.30M,,,11.30M,,605.10M,,605.10M,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,195.20M,195.20M,,,,
1986-02,531.00M,531.00M,,,,,,,,,,531.00M,,,,,,,,13.30M,,,13.30M,,531.00M,,531.00M,,0.07,0.00,,,0.07,0.07,,0.07,0.00,,,0.07,0.07,,195.20M,195.20M,,,,
1985-11,815.60M,815.60M,,,,,,,,,,815.60M,,,,,,,,18.40M,,,18.40M,,815.60M,,815.60M,,0.10,0.00,,,0.10,0.10,,0.10,0.00,,,0.10,0.10,,195.20M,195.20M,,,,
1985-08,477.00M,477.00M,,,,,,,,,,-1.313B,,,,,,,,12.90M,,,12.90M,,-1.313B,,-1.313B,,,,,,,,,,,,,,,,193.49M,193.49M,,,,
1985-05,445.80M,445.80M,,,,,,,,,,445.80M,,,,,,,,10.00M,,,10.00M,,445.80M,,445.80M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,192.85M,192.85M,,,,
1985-02,368.70M,368.70M,,,,,,,,,,368.70M,,,,,,,,9.30M,,,9.30M,,368.70M,,368.70M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,192.85M,192.85M,,,,
1984-11,542.50M,542.50M,,,,,,,,,,542.50M,,,,,,,,13.70M,,,13.70M,,542.50M,,542.50M,,0.08,0.00,,,0.08,0.08,,0.08,0.00,,,0.08,0.08,,193.18M,193.18M,,,,
1984-08,308.30M,308.30M,,,,,,,,,,-798.90M,,,,,,,,8.30M,,,8.30M,,-798.90M,,-798.90M,,,,,,,,,,,,,,,,192.07M,192.07M,,,,
1984-05,282.60M,282.60M,,,,,,,,,,282.60M,,,,,,,,6.00M,,,6.00M,,282.60M,,282.60M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,193.18M,193.18M,,,,
1984-02,225.60M,225.60M,,,,,,,,,,225.60M,,,,,,,,6.00M,,,6.00M,,225.60M,,225.60M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,193.18M,193.18M,,,,
