,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-08,42.30B,42.30B,36.70B,5.603B,4.123B,,53.00M,19.00M,-34.00M,30.00M,4.153B,1.45B,19.00M,53.00M,-34.00M,3.00M,-34.00M,1.419B,487.00M,932.00M,,-13.00M,919.00M,919.66M,1.913B,441.00M,1.472B,,2.10,,,,2.102,2.10,,2.08,,,,2.081,2.08,,437.80M,441.51M,0.50,,AOR,Restated
2017-05,28.86B,28.86B,24.97B,3.89B,2.907B,,21.00M,12.00M,-9.00M,15.00M,2.922B,968.00M,12.00M,21.00M,-9.00M,6.00M,-9.00M,965.00M,259.00M,706.00M,,-6.00M,700.00M,697.80M,1.306B,320.00M,986.00M,,1.59,,,,1.585,1.59,,1.59,,,,1.585,1.59,,438.82M,441.06M,0.50,,AOR,Restated
2017-02,29.77B,29.77B,25.93B,3.839B,2.98B,,31.00M,11.00M,-20.00M,15.00M,2.995B,844.00M,11.00M,31.00M,-20.00M,-15.00M,-20.00M,809.00M,288.00M,521.00M,,-6.00M,515.00M,527.88M,1.152B,312.00M,840.00M,,1.17,,,,1.199,1.17,,1.17,,,,1.199,1.17,,439.13M,440.66M,0.45,,AOR,Restated
2016-11,28.10B,28.10B,24.29B,3.811B,2.94B,,29.00M,8.00M,-21.00M,22.00M,2.962B,849.00M,8.00M,29.00M,-21.00M,18.00M,-21.00M,846.00M,291.00M,555.00M,,-10.00M,545.00M,536.47M,1.172B,297.00M,875.00M,,1.24,,,,1.221,1.24,,1.24,,,,1.221,1.24,,438.01M,440.52M,0.45,,AOR,Restated
2016-08,36.56B,36.56B,31.65B,4.911B,3.696B,,39.00M,15.00M,-24.00M,24.00M,3.72B,1.191B,15.00M,39.00M,-24.00M,14.00M,-24.00M,1.181B,396.00M,785.00M,,-6.00M,779.00M,771.69M,1.628B,408.00M,1.22B,,1.78,,,,1.763,1.78,,1.77,,,,1.753,1.77,,437.55M,441.09M,0.45,,AOR,Restated
2016-05,26.77B,26.77B,23.16B,3.607B,2.731B,,30.00M,10.00M,-20.00M,18.00M,2.749B,858.00M,10.00M,30.00M,-20.00M,-3.00M,-20.00M,835.00M,286.00M,549.00M,,-4.00M,545.00M,549.61M,1.156B,291.00M,865.00M,,1.24,,,,1.250,1.24,,1.24,,,,1.250,1.24,,438.82M,441.07M,0.45,,AOR,Restated
2016-02,28.17B,28.17B,24.47B,3.701B,2.835B,,31.00M,7.00M,-24.00M,10.00M,2.845B,856.00M,7.00M,31.00M,-24.00M,9.00M,-24.00M,841.00M,286.00M,555.00M,,-9.00M,546.00M,542.04M,1.157B,285.00M,872.00M,,1.24,,,,1.231,1.24,,1.24,,,,1.231,1.24,,439.65M,441.56M,0.40,,AOR,Restated
2015-11,27.22B,27.22B,23.62B,3.599B,2.806B,,33.00M,9.00M,-24.00M,26.00M,2.832B,767.00M,9.00M,33.00M,-24.00M,19.00M,-24.00M,762.00M,275.00M,487.00M,,-7.00M,480.00M,468.50M,1.066B,271.00M,795.00M,,1.10,,,,1.074,1.10,,1.09,,,,1.064,1.09,,438.34M,441.39M,0.40,,AOR,Restated
2015-08,35.78B,35.78B,31.10B,4.682B,3.499B,,40.00M,12.00M,-28.00M,27.00M,3.526B,1.156B,12.00M,40.00M,-28.00M,28.00M,-28.00M,1.156B,378.00M,778.00M,,-11.00M,767.00M,748.83M,1.547B,351.00M,1.196B,,1.75,,,,1.709,1.75,,1.73,,,,1.689,1.73,,438.62M,442.70M,0.40,,AOR,Restated
2015-05,26.10B,26.10B,22.69B,3.414B,2.579B,,31.00M,10.00M,-21.00M,14.00M,2.593B,821.00M,10.00M,31.00M,-21.00M,-1.00M,-21.00M,799.00M,280.00M,519.00M,,-3.00M,516.00M,517.95M,1.606B,776.00M,830.00M,,1.17,,,,1.174,1.17,,1.17,,,,1.174,1.17,,440.07M,443.13M,0.40,,AOR,Restated
