,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.475B,3.475B,2.00B,1.475B,557.00M,35.00M,,52.00M,-35.00M,,592.00M,883.00M,52.00M,-35.00M,-24.00M,-35.00M,824.00M,182.00M,642.00M,,,642.00M,642.00M,981.00M,105.00M,876.00M,,2.03,,,2.03,2.03,,2.02,,,2.02,2.02,,316.90M,318.30M,1.14,,AOR,
2020-09,3.307B,3.307B,1.91B,1.397B,560.00M,48.00M,,52.00M,-52.00M,,608.00M,789.00M,52.00M,-52.00M,2.00M,-52.00M,739.00M,157.00M,582.00M,,,582.00M,582.00M,909.00M,118.00M,791.00M,,1.84,,,1.84,1.84,,1.83,,,1.83,1.83,,316.50M,317.90M,1.14,,AOR,
2020-06,2.564B,2.564B,1.594B,970.00M,486.00M,35.00M,,51.00M,-51.00M,,521.00M,449.00M,51.00M,-51.00M,8.00M,-51.00M,406.00M,87.00M,319.00M,,,319.00M,319.00M,557.00M,100.00M,457.00M,,1.01,,,1.01,1.01,,1.01,,,1.01,1.01,,316.10M,317.40M,1.07,,AOR,
2020-03,3.228B,3.228B,1.871B,1.357B,560.00M,36.00M,,51.00M,-51.00M,,596.00M,761.00M,51.00M,-51.00M,25.00M,-51.00M,735.00M,169.00M,566.00M,,,566.00M,566.00M,890.00M,104.00M,786.00M,,1.78,,,1.78,1.78,,1.77,,,1.77,1.77,,318.30M,319.70M,1.07,,AOR,
2019-12,3.469B,3.469B,2.022B,1.447B,586.00M,37.00M,,51.00M,-22.00M,,623.00M,824.00M,51.00M,-22.00M,29.00M,-22.00M,831.00M,190.00M,641.00M,,,641.00M,641.00M,987.00M,105.00M,882.00M,,2.00,,,2.00,2.00,,1.99,,,1.99,1.99,,321.20M,322.60M,1.07,,AOR,Restated
2019-09,3.479B,3.479B,2.007B,1.472B,566.00M,38.00M,,52.00M,-52.00M,,604.00M,868.00M,52.00M,-52.00M,26.00M,-52.00M,842.00M,182.00M,660.00M,,,660.00M,660.00M,998.00M,104.00M,894.00M,,2.05,,,2.05,2.05,,2.04,,,2.04,2.04,,322.30M,324.00M,1.07,,AOR,Restated
2019-06,3.609B,3.609B,2.099B,1.51B,598.00M,41.00M,,55.00M,-55.00M,,639.00M,871.00M,55.00M,-55.00M,9.00M,-55.00M,825.00M,202.00M,623.00M,,,623.00M,623.00M,987.00M,107.00M,880.00M,,1.92,,,1.92,1.92,,1.91,,,1.91,1.91,,324.80M,326.60M,1.00,,AOR,Restated
2019-03,3.552B,3.552B,2.059B,1.493B,611.00M,43.00M,,63.00M,-63.00M,,654.00M,839.00M,63.00M,-63.00M,14.00M,-63.00M,790.00M,193.00M,597.00M,,,597.00M,597.00M,963.00M,110.00M,853.00M,,1.82,,,1.82,1.82,,1.81,,,1.81,1.81,,327.30M,329.60M,1.00,,AOR,Restated
2018-12,3.58B,3.58B,2.096B,1.484B,578.00M,46.00M,,63.00M,-28.00M,,624.00M,860.00M,63.00M,-28.00M,-16.00M,-28.00M,816.00M,209.00M,607.00M,,,607.00M,607.00M,994.00M,115.00M,879.00M,,1.84,,,1.84,1.84,,1.83,,,1.83,1.83,,329.90M,331.40M,1.00,,AOR,Restated
2018-09,3.613B,3.613B,2.096B,1.517B,581.00M,47.00M,,64.00M,-64.00M,,628.00M,889.00M,64.00M,-64.00M,10.00M,-64.00M,835.00M,197.00M,638.00M,,,638.00M,638.00M,1.014B,115.00M,899.00M,,1.91,,,1.91,1.91,,1.90,,,1.90,1.90,,333.30M,335.30M,1.00,,AOR,Restated
