,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,64.70B,64.70B,40.01B,24.69B,4.936B,4.978B,,634.00M,768.00M,134.00M,9.914B,14.78B,768.00M,634.00M,134.00M,-8.00M,134.00M,14.90B,2.228B,12.67B,12.67B,12.67B,18.24B,2.702B,15.54B,0.74,,,0.74,0.74,0.73,,,0.73,0.73,17.06B,17.26B,0.205
2020-06,59.68B,59.68B,37.00B,22.68B,4.831B,4.758B,,697.00M,901.00M,204.00M,9.589B,13.09B,901.00M,697.00M,204.00M,-158.00M,204.00M,13.14B,1.884B,11.25B,11.25B,11.25B,16.59B,2.752B,13.83B,0.6525,,,0.6525,0.6525,0.645,,,0.645,0.645,17.25B,17.42B,0.205
2020-03,58.31B,58.31B,35.94B,22.37B,4.952B,4.565B,,757.00M,1.049B,292.00M,9.517B,12.85B,1.049B,757.00M,292.00M,-10.00M,292.00M,13.14B,1.886B,11.25B,11.25B,11.25B,16.68B,2.786B,13.89B,0.645,,,0.645,0.645,0.6375,,,0.6375,0.6375,17.44B,17.62B,0.1925
2019-12,91.82B,91.82B,56.60B,35.22B,5.197B,4.451B,,785.00M,1.045B,260.00M,9.648B,25.57B,1.045B,785.00M,260.00M,89.00M,260.00M,25.92B,3.682B,22.24B,22.24B,22.24B,29.52B,2.816B,26.70B,1.26,,,1.26,1.26,1.248,,,1.248,1.248,17.66B,17.82B,0.1925
2019-09,64.04B,64.04B,39.73B,24.31B,4.578B,4.11B,,810.00M,1.106B,296.00M,8.688B,15.62B,1.106B,810.00M,296.00M,206.00M,296.00M,16.13B,2.441B,13.69B,13.69B,13.69B,20.12B,3.179B,16.94B,0.7625,,,0.7625,0.7625,0.7575,,,0.7575,0.7575,17.96B,18.08B,0.1925
2019-06,53.81B,53.81B,33.58B,20.23B,4.426B,4.257B,,866.00M,1.19B,324.00M,8.683B,11.54B,1.19B,866.00M,324.00M,43.00M,324.00M,11.91B,1.867B,10.04B,10.04B,10.04B,15.71B,2.933B,12.78B,0.55,,,0.55,0.55,0.545,,,0.545,0.545,18.28B,18.41B,0.1925
2019-03,58.02B,58.02B,36.19B,21.82B,4.458B,3.948B,,1.01B,1.358B,348.00M,8.406B,13.42B,1.358B,1.01B,348.00M,30.00M,348.00M,13.79B,2.232B,11.56B,11.56B,11.56B,17.84B,3.04B,14.80B,0.6175,,,0.6175,0.6175,0.615,,,0.615,0.615,18.70B,18.80B,0.1825
2018-12,84.31B,84.31B,52.28B,32.03B,4.783B,3.902B,,890.00M,1.307B,417.00M,8.685B,23.35B,1.307B,890.00M,417.00M,143.00M,417.00M,23.91B,3.941B,19.96B,19.96B,19.96B,28.19B,3.395B,24.80B,1.055,,,1.055,1.055,1.045,,,1.045,1.045,18.94B,19.09B,0.1825
2018-09,62.90B,62.90B,38.82B,24.08B,4.216B,3.75B,,868.00M,1.311B,443.00M,7.966B,16.12B,1.311B,868.00M,443.00M,-140.00M,443.00M,16.42B,2.296B,14.12B,14.12B,14.12B,20.04B,2.754B,17.29B,0.735,,,0.735,0.735,0.7275,,,0.7275,0.7275,19.21B,19.39B,0.1825
2018-06,53.26B,53.26B,32.84B,20.42B,4.108B,3.701B,,846.00M,1.418B,572.00M,7.809B,12.61B,1.418B,846.00M,572.00M,100.00M,572.00M,13.28B,1.765B,11.52B,11.52B,11.52B,16.80B,2.665B,14.13B,0.59,,,0.59,0.59,0.585,,,0.585,0.585,19.53B,19.71B,0.1825
2018-03,61.14B,61.14B,37.72B,23.42B,4.15B,3.378B,,792.00M,1.505B,713.00M,7.528B,15.89B,1.505B,792.00M,713.00M,-439.00M,713.00M,16.17B,2.346B,13.82B,13.82B,13.82B,19.70B,2.739B,16.96B,0.6875,,,0.6875,0.6875,0.6825,,,0.6825,0.6825,20.10B,20.27B,0.1575
2017-12,88.29B,88.29B,54.38B,33.91B,4.231B,3.407B,,734.00M,1.452B,718.00M,7.638B,26.27B,1.452B,734.00M,718.00M,38.00M,718.00M,27.03B,6.965B,20.06B,20.06B,20.06B,30.51B,2.745B,27.76B,0.98,,,0.98,0.98,0.9725,,,0.9725,0.9725,20.45B,20.63B,0.1575
2017-09,52.58B,52.58B,32.65B,19.93B,3.814B,2.997B,,666.00M,1.368B,702.00M,6.811B,13.12B,1.368B,666.00M,702.00M,95.00M,702.00M,13.92B,3.203B,10.71B,10.71B,10.71B,17.07B,2.484B,14.58B,0.52,,,0.52,0.52,0.5175,,,0.5175,0.5175,20.60B,20.73B,0.1575
2017-06,45.41B,45.41B,27.92B,17.49B,3.783B,2.937B,,602.00M,1.327B,725.00M,6.72B,10.77B,1.327B,602.00M,725.00M,-185.00M,725.00M,11.31B,2.591B,8.717B,8.717B,8.717B,14.26B,2.354B,11.91B,0.42,,,0.42,0.42,0.4175,,,0.4175,0.4175,20.78B,20.93B,0.1575
2017-03,52.90B,52.90B,32.30B,20.59B,3.718B,2.776B,,530.00M,1.282B,752.00M,6.494B,14.10B,1.282B,530.00M,752.00M,-165.00M,752.00M,14.68B,3.655B,11.03B,11.03B,11.03B,17.55B,2.332B,15.21B,0.5275,,,0.5275,0.5275,0.525,,,0.525,0.525,20.90B,21.05B,0.1425
2016-12,78.35B,78.35B,48.18B,30.18B,3.946B,2.871B,,525.00M,1.224B,699.00M,6.817B,23.36B,1.224B,525.00M,699.00M,122.00M,699.00M,24.18B,6.289B,17.89B,17.89B,17.89B,27.69B,2.987B,24.70B,0.845,,,0.845,0.845,0.84,,,0.84,0.84,21.19B,21.31B,0.1425
2016-09,46.85B,46.85B,29.04B,17.81B,3.482B,2.57B,,450.00M,1.036B,586.00M,6.052B,11.76B,1.036B,450.00M,586.00M,-159.00M,586.00M,12.19B,3.174B,9.014B,9.014B,9.014B,15.19B,2.548B,12.64B,0.42,,,0.42,0.42,0.4175,,,0.4175,0.4175,21.47B,21.57B,0.1425
2016-06,42.36B,42.36B,26.25B,16.11B,3.441B,2.56B,,409.00M,1.036B,627.00M,6.001B,10.10B,1.036B,409.00M,627.00M,-263.00M,627.00M,10.47B,2.673B,7.796B,7.796B,7.796B,13.40B,2.526B,10.88B,0.3575,,,0.3575,0.3575,0.355,,,0.355,0.355,21.77B,21.89B,0.1425
2016-03,50.56B,50.56B,30.64B,19.92B,3.423B,2.511B,,321.00M,986.00M,665.00M,5.934B,13.99B,986.00M,321.00M,665.00M,-510.00M,665.00M,14.14B,3.626B,10.52B,10.52B,10.52B,16.94B,2.477B,14.46B,0.4775,,,0.4775,0.4775,0.475,,,0.475,0.475,22.06B,22.16B,0.13
2015-12,75.87B,75.87B,45.45B,30.42B,3.848B,2.404B,,276.00M,941.00M,665.00M,6.252B,24.17B,941.00M,276.00M,665.00M,-263.00M,665.00M,24.57B,6.212B,18.36B,18.36B,18.36B,27.80B,2.954B,24.85B,0.825,,,0.825,0.825,0.82,,,0.82,0.82,22.24B,22.38B,0.13
2015-09,51.50B,51.50B,30.95B,20.55B,3.705B,2.22B,,238.00M,826.00M,588.00M,5.925B,14.62B,826.00M,238.00M,588.00M,-149.00M,588.00M,15.06B,3.938B,11.12B,11.12B,11.12B,18.42B,3.119B,15.30B,0.4925,,,0.4925,0.4925,0.49,,,0.49,0.49,22.59B,22.73B,0.13
2015-06,49.60B,49.60B,29.92B,19.68B,3.564B,2.034B,,201.00M,766.00M,565.00M,5.598B,14.08B,766.00M,201.00M,565.00M,-175.00M,565.00M,14.47B,3.796B,10.68B,10.68B,10.68B,17.76B,3.084B,14.67B,0.465,,,0.465,0.465,0.4625,,,0.4625,0.4625,22.92B,23.09B,0.13
2015-03,58.01B,58.01B,34.35B,23.66B,3.46B,1.918B,,163.00M,675.00M,512.00M,5.378B,18.28B,675.00M,163.00M,512.00M,-226.00M,512.00M,18.56B,4.995B,13.57B,13.57B,13.57B,21.21B,2.479B,18.73B,0.585,,,0.585,0.585,0.5825,,,0.5825,0.5825,23.18B,23.34B,0.1175
2014-12,74.60B,74.60B,44.86B,29.74B,3.60B,1.895B,,131.00M,654.00M,523.00M,5.495B,24.25B,654.00M,131.00M,523.00M,-353.00M,523.00M,24.42B,6.392B,18.02B,18.02B,18.02B,27.12B,2.575B,24.55B,0.77,,,0.77,0.77,0.765,,,0.765,0.765,23.37B,23.53B,0.1175
2014-09,42.12B,42.12B,26.11B,16.01B,3.158B,1.686B,,115.00M,519.00M,404.00M,4.844B,11.16B,519.00M,115.00M,404.00M,-97.00M,404.00M,11.47B,3.005B,8.467B,8.467B,8.467B,13.56B,1.969B,11.59B,0.3575,,,0.3575,0.3575,0.355,,,0.355,0.355,23.74B,23.89B,0.1175
2014-06,37.43B,37.43B,22.70B,14.74B,2.85B,1.603B,,100.00M,439.00M,339.00M,4.453B,10.28B,439.00M,100.00M,339.00M,-137.00M,339.00M,10.48B,2.736B,7.748B,7.748B,7.748B,12.53B,1.946B,10.58B,0.3225,,,0.3225,0.3225,0.32,,,0.32,0.32,24.05B,24.21B,0.1175
2014-03,45.65B,45.65B,27.70B,17.95B,2.932B,1.422B,,85.00M,410.00M,325.00M,4.354B,13.59B,410.00M,85.00M,325.00M,-100.00M,325.00M,13.82B,3.595B,10.22B,10.22B,10.22B,15.79B,1.887B,13.90B,0.4175,,,0.4175,0.4175,0.415,,,0.415,0.415,24.49B,24.63B,0.1089
2013-12,57.59B,57.59B,35.75B,21.85B,3.053B,1.33B,,84.00M,427.00M,343.00M,4.383B,17.46B,427.00M,84.00M,343.00M,-97.00M,343.00M,17.71B,4.637B,13.07B,13.07B,13.07B,19.94B,2.144B,17.79B,0.52,,,0.52,0.52,0.5175,,,0.5175,0.5175,25.09B,25.24B,0.1089
2013-09,37.47B,37.47B,23.60B,13.87B,2.673B,1.168B,,83.00M,390.00M,307.00M,3.841B,10.03B,390.00M,83.00M,307.00M,-194.00M,307.00M,10.14B,2.631B,7.512B,7.512B,7.512B,12.01B,1.783B,10.23B,0.2968,,,0.2968,0.2968,0.295,,,0.295,0.295,25.32B,25.46B,0.1089
2013-06,35.32B,35.32B,22.30B,13.02B,2.645B,1.178B,,53.00M,385.00M,332.00M,3.823B,9.201B,385.00M,53.00M,332.00M,-98.00M,332.00M,9.435B,2.535B,6.90B,6.90B,6.90B,11.18B,1.694B,9.488B,0.2675,,,0.2675,0.2675,0.2675,,,0.2675,0.2675,25.72B,25.88B,0.1089
