,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,2.187B,2.187B,1.301B,886.00M,232.00M,-6.00M,278.00M,-278.00M,,329.00M,557.00M,278.00M,-278.00M,-4.00M,-278.00M,275.00M,67.00M,208.00M,,,,,208.00M,212.54M,1.045B,492.00M,553.00M,2.88,,,,2.943,2.88,2.87,,,,2.9330000000000003,2.87,72.19M,72.44M
2020-06,1.939B,1.939B,1.238B,701.00M,222.00M,-3.00M,130.00M,-130.00M,,317.00M,384.00M,130.00M,-130.00M,-3.00M,-130.00M,251.00M,39.00M,212.00M,,,,,212.00M,214.54M,871.00M,490.00M,381.00M,2.94,,,,2.975,2.94,2.93,,,,2.965,2.93,72.28M,72.28M
2020-03,2.125B,2.125B,1.398B,727.00M,267.00M,-2.00M,136.00M,-136.00M,,367.00M,360.00M,136.00M,-136.00M,2.00M,-136.00M,226.00M,53.00M,173.00M,,,,,173.00M,174.53M,888.00M,526.00M,362.00M,2.33,,,,2.351,2.33,2.33,,,,2.351,2.33,74.04M,74.27M
2019-12,2.456B,2.456B,1.491B,965.00M,268.00M,-2.00M,170.00M,-170.00M,,364.00M,601.00M,170.00M,-170.00M,2.00M,-170.00M,433.00M,95.00M,338.00M,,,,,338.00M,339.56M,1.119B,516.00M,603.00M,4.501,,,,4.521,4.501,4.49,,,,4.511,4.49,75.03M,75.52M
2019-09,2.488B,2.488B,1.455B,1.033B,273.00M,-2.00M,147.00M,-147.00M,,375.00M,658.00M,147.00M,-147.00M,-1.00M,-147.00M,510.00M,119.00M,391.00M,,,,,391.00M,392.53M,1.176B,519.00M,657.00M,5.1,,,,5.12,5.1,5.08,,,,5.1,5.08,76.70M,76.86M
2019-06,2.29B,2.29B,1.379B,911.00M,271.00M,-6.00M,180.00M,-180.00M,,376.00M,535.00M,180.00M,-180.00M,-4.00M,-180.00M,351.00M,81.00M,270.00M,,,,,270.00M,274.61M,1.035B,504.00M,531.00M,3.45,,,,3.509,3.45,3.444,,,,3.503,3.444,78.47M,78.47M
2019-03,2.117B,2.117B,1.356B,761.00M,280.00M,-9.00M,151.00M,-151.00M,,384.00M,377.00M,151.00M,-151.00M,-6.00M,-151.00M,220.00M,45.00M,175.00M,,,,,175.00M,182.16M,870.00M,499.00M,371.00M,2.21,,,,2.3,2.21,2.19,,,,2.279,2.19,79.40M,80.05M
2018-12,2.306B,2.306B,1.308B,998.00M,302.00M,-38.00M,142.00M,-142.00M,,397.00M,601.00M,142.00M,-142.00M,-34.00M,-142.00M,425.00M,115.00M,310.00M,,,,,310.00M,337.72M,1.037B,470.00M,567.00M,3.846,,,,4.19,3.846,3.8,,,,4.14,3.8,80.57M,81.49M
2018-09,2.116B,2.116B,1.178B,938.00M,265.00M,-20.00M,118.00M,-118.00M,,340.00M,598.00M,118.00M,-118.00M,-20.00M,-118.00M,460.00M,127.00M,333.00M,,,,,333.00M,347.48M,996.00M,418.00M,578.00M,4.05,,,,4.226,4.05,4.01,,,,4.184,4.01,82.34M,83.17M
2018-06,1.891B,1.891B,1.109B,782.00M,239.00M,-6.00M,112.00M,-112.00M,,306.00M,476.00M,112.00M,-112.00M,-5.00M,-112.00M,359.00M,89.00M,270.00M,,,,,270.00M,274.51M,861.00M,390.00M,471.00M,3.22,,,,3.2739999999999996,3.22,3.2,,,,3.2539999999999996,3.2,83.46M,84.20M
