,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.091B,43.75B,44.84B,6.812B,6.812B,51.65B,,,,,,,,,753.00M,2.664B,188.00M,2.852B,102.77B,1.626B,,101.14B,52.70B,157.45B,170.34B,,,,2.385B,2.385B,759.00M,,759.00M,759.00M,3.364B,13.71B,,13.71B,135.28B,,0.00,148.99B,152.36B,,3.157B,12.75B,6.281B,4.946B,1.90B,738.00M,17.98B,,AOR,
2020-09,956.00M,41.04B,42.00B,7.084B,7.084B,49.08B,,,,,,,,,765.00M,2.664B,203.00M,2.867B,104.80B,1.73B,,103.08B,50.78B,157.49B,170.54B,,,,2.356B,2.356B,818.00M,,818.00M,818.00M,3.387B,12.68B,,12.68B,136.75B,,0.00,149.43B,152.82B,,3.157B,12.38B,6.263B,4.94B,1.90B,867.00M,17.72B,,AOR,
2020-06,1.059B,37.64B,38.70B,6.976B,6.976B,45.67B,,,,,,,,,776.00M,2.664B,218.00M,2.882B,108.17B,1.708B,,106.46B,48.01B,158.13B,171.19B,,,,2.42B,2.42B,1.716B,,1.716B,1.716B,4.403B,13.73B,,13.73B,135.51B,,0.00,149.25B,153.65B,,3.157B,12.15B,6.24B,4.945B,1.90B,936.00M,17.54B,,AOR,
2020-03,865.00M,24.88B,25.74B,6.604B,6.604B,32.35B,,,,,,,,,791.00M,2.664B,236.00M,2.90B,105.34B,1.359B,,103.98B,35.99B,143.66B,156.20B,,,,2.70B,2.70B,4.606B,,4.606B,4.606B,9.75B,13.73B,,13.73B,115.30B,,0.00,129.04B,138.79B,,3.157B,12.17B,6.222B,4.956B,1.90B,814.00M,17.41B,,AOR,
2019-12,732.00M,23.12B,23.85B,5.494B,5.494B,29.34B,128.00M,729.00M,872.00M,28.00M,48.00M,620.00M,2.425B,-1.611B,814.00M,2.664B,253.00M,2.917B,95.98B,900.00M,,95.08B,34.83B,133.64B,144.99B,,,,2.54B,2.54B,705.00M,,705.00M,705.00M,3.632B,12.41B,13.00M,12.42B,111.87B,,0.00,124.29B,127.95B,,3.157B,12.47B,6.295B,4.909B,1.90B,26.00M,17.04B,,AOR,
2019-09,636.00M,25.73B,26.36B,5.881B,5.881B,32.25B,,,,,,,,,815.00M,2.664B,272.00M,2.936B,94.36B,893.00M,,93.46B,37.80B,135.02B,146.69B,,,,2.574B,2.574B,700.00M,,700.00M,700.00M,3.456B,14.47B,,14.47B,111.65B,,0.00,126.12B,129.58B,,3.157B,12.21B,6.287B,4.696B,1.90B,159.00M,17.12B,,AOR,Restated
2019-06,607.00M,23.97B,24.58B,5.633B,5.633B,30.21B,,,,,,,,,829.00M,2.664B,298.00M,2.962B,93.73B,890.00M,,92.84B,36.49B,133.11B,144.54B,,,,2.435B,2.435B,720.00M,,720.00M,720.00M,3.316B,14.31B,,14.31B,109.95B,,2.00M,124.26B,127.57B,,3.157B,12.00B,6.266B,4.457B,1.90B,-2.00M,16.97B,,AOR,Restated
2019-03,611.00M,23.36B,23.98B,5.596B,5.596B,29.57B,,,,,,,,,849.00M,2.516B,300.00M,2.816B,91.07B,883.00M,,90.19B,36.22B,130.08B,141.52B,,,,2.301B,2.301B,679.00M,,679.00M,679.00M,3.246B,14.17B,,14.17B,108.18B,,2.00M,122.34B,125.59B,,2.707B,11.77B,6.259B,4.283B,1.45B,-530.00M,15.92B,,AOR,Restated
2018-12,678.00M,21.99B,22.67B,5.03B,5.03B,27.70B,135.00M,747.00M,907.00M,28.00M,35.00M,626.00M,2.478B,-1.596B,882.00M,2.516B,316.00M,2.832B,90.78B,883.00M,,89.90B,35.02B,128.63B,139.61B,,,,2.113B,2.113B,544.00M,,544.00M,544.00M,2.976B,13.63B,16.00M,13.65B,107.31B,,1.00M,120.96B,124.02B,,2.707B,11.56B,6.331B,4.181B,1.45B,-818.00M,15.60B,,AOR,Restated
2018-09,319.00M,20.61B,20.93B,4.378B,4.378B,25.31B,,,,,,,,,891.00M,2.516B,338.00M,2.854B,90.89B,887.00M,,90.00B,34.12B,128.80B,138.80B,,,,2.044B,2.044B,637.00M,,637.00M,637.00M,3.966B,13.85B,,13.85B,105.78B,,2.00M,119.63B,123.60B,,2.707B,11.26B,6.315B,3.91B,1.45B,-1.166B,15.21B,,AOR,Restated
