,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,348.14M,3.712M,3.712M,244.45M,57.52M,301.97M,301.97M,70.24M,,,-95.38M,-127.44M,-38.23M,48.22M,,,-20.40M,-137.85M,490.83M,-701.37M,110.54M,-590.83M,-19.35M,-15.55M,6.518M,-619.21M,1.367B,-433.00M,933.62M,0.00,,0.00,-188.84M,-1.88M,-190.72M,37.56M,780.46M,176.92M,652.08M,829.00M,0.00,1.42B,-486.38M,
2020-06,254.11M,3.488M,3.488M,240.52M,23.40M,263.91M,263.91M,42.35M,,0.00,-35.03M,-11.17M,110.36M,-41.88M,,,-1.06M,56.24M,585.07M,-674.68M,,-674.68M,-6.211M,2.987M,5.01M,-672.89M,548.75M,-741.87M,-193.12M,509.24M,,509.24M,-185.21M,-1.879M,-187.09M,2.026M,131.05M,133.69M,43.23M,176.92M,509.24M,190.00M,-383.12M,
2020-03,336.63M,1.953M,1.953M,236.21M,49.78M,285.99M,285.99M,44.20M,,,-44.98M,-55.29M,-51.03M,-127.37M,,,30.19M,-203.49M,420.31M,-725.52M,,-725.52M,-6.113M,7.904M,6.119M,-717.61M,99.19M,,99.19M,419.79M,,419.79M,-181.61M,-1.88M,-183.49M,-21.56M,313.93M,117.06M,16.63M,133.69M,419.79M,750.00M,-650.81M,
2019-12,251.92M,3.493M,3.493M,228.65M,11.62M,240.27M,240.27M,136.32M,,0.00,-229.40M,-41.70M,-42.10M,172.22M,,,23.71M,112.13M,514.73M,-782.45M,0.00,-782.45M,-41.42M,-23.89M,25.33M,-822.44M,-179.85M,197.50M,17.65M,425.35M,,425.35M,-167.67M,-1.88M,-169.55M,-0.556M,272.90M,151.88M,-34.82M,117.06M,425.35M,-7.332M,24.98M,
2019-09,320.76M,5.28M,5.28M,222.60M,73.85M,296.45M,296.45M,36.95M,,0.00,-90.19M,-63.37M,-29.89M,-1.278M,,,95.54M,1.006M,570.26M,-751.28M,0.00,-751.28M,-108.96M,7.273M,-5.181M,-858.15M,452.98M,-16.50M,436.48M,0.00,,0.00,-172.22M,-1.88M,-174.10M,10.23M,272.60M,167.16M,-15.28M,151.88M,0.00,475.00M,-38.52M,
2019-06,33.33M,4.799M,4.799M,219.08M,38.94M,258.03M,258.03M,18.45M,,239.64M,22.82M,162.18M,102.98M,-95.96M,,,-203.12M,-33.92M,543.15M,-749.62M,,-749.62M,-16.82M,49.25M,-0.838M,-718.03M,170.35M,-181.00M,-10.65M,426.90M,,426.90M,-153.59M,-1.879M,-155.47M,-27.12M,233.67M,108.37M,58.79M,167.16M,426.90M,170.57M,-181.22M,
2019-03,310.56M,8.428M,8.428M,214.95M,70.96M,285.91M,285.91M,18.08M,,,-42.68M,-155.82M,-39.06M,-60.12M,,,56.14M,-198.87M,381.44M,-628.13M,,-628.13M,-249.14M,-3.297M,4.893M,-875.67M,548.49M,,548.49M,0.00,,0.00,-169.76M,-1.88M,-171.64M,16.43M,393.28M,209.32M,-100.95M,108.37M,0.00,829.43M,-280.94M,
2018-12,233.19M,0.306M,0.306M,207.85M,77.92M,285.77M,285.77M,104.41M,,0.00,-277.65M,70.89M,-45.53M,97.07M,,,-45.57M,76.86M,422.88M,-684.86M,0.00,-684.86M,-177.81M,128.36M,2.817M,-731.48M,553.32M,,553.32M,0.00,,0.00,-160.03M,-1.88M,-161.91M,-8.096M,383.32M,134.60M,74.72M,209.32M,0.00,900.00M,-346.68M,
2018-09,291.26M,1.875M,1.875M,208.67M,92.71M,301.38M,301.38M,-91.48M,,0.00,139.08M,-159.40M,-20.91M,7.468M,,,240.26M,67.41M,709.53M,-633.40M,77.12M,-556.29M,-14.12M,7.153M,4.839M,-558.42M,25.96M,,25.96M,0.00,,0.00,-160.03M,-1.88M,-161.91M,-2.403M,-138.35M,121.85M,12.76M,134.60M,0.00,150.00M,-124.04M,
2018-06,244.65M,5.282M,5.282M,199.14M,36.20M,235.34M,235.34M,73.40M,,0.00,-60.58M,103.96M,92.56M,-18.49M,,,-155.71M,22.33M,520.42M,-644.34M,-13.83M,-658.18M,-5.88M,-0.328M,-3.042M,-667.43M,66.96M,,66.96M,0.00,,0.00,-160.03M,-1.879M,-161.91M,1.182M,-93.76M,362.62M,-240.76M,121.85M,0.00,635.66M,-568.70M,
2018-03,271.43M,-1.965M,-1.965M,204.27M,45.19M,249.46M,249.46M,88.48M,,,-155.76M,-156.89M,-26.96M,-61.57M,,,-28.52M,-273.93M,177.71M,-607.33M,130.64M,-476.69M,-7.34M,2.174M,2.14M,-479.72M,759.78M,,759.78M,0.00,,0.00,-160.03M,-1.88M,-161.91M,-19.14M,578.73M,85.89M,276.72M,362.62M,0.00,1.15B,-390.22M,
2017-12,239.30M,5.563M,5.563M,202.65M,31.93M,234.58M,234.58M,116.77M,,,-270.99M,-9.682M,-32.91M,152.62M,,,85.11M,195.14M,520.36M,-705.82M,0.00,-705.82M,,8.034M,29.65M,-1.578B,1.129B,,1.129B,,,,-150.52M,-1.88M,-152.40M,-4.925M,971.98M,171.98M,-86.09M,85.89M,,1.25B,-120.69M,
2017-09,577.85M,22.02M,22.02M,435.46M,58.06M,493.52M,493.52M,282.64M,,,-162.01M,-78.58M,-6.37M,52.22M,,,79.03M,46.30M,1.260B,-1.304B,0.00,-1.304B,,14.36M,-20.59M,-1.310B,457.30M,,457.30M,,,,-339.56M,-4.659M,-344.22M,1.53M,114.61M,15.82M,64.91M,171.98M,,900.00M,-442.70M,
2017-06,-82.97M,-10.95M,-10.95M,-51.11M,-24.02M,-75.13M,-75.13M,-49.18M,,,7.439M,21.36M,63.11M,-91.07M,,,-12.43M,-19.03M,-229.82M,185.06M,,185.06M,,-5.084M,12.52M,192.51M,-35.80M,,-35.80M,,,,38.52M,0.90M,39.42M,14.47M,18.09M,126.28M,-19.22M,15.82M,,-250.00M,214.20M,
2017-03,261.34M,5.828M,5.828M,186.80M,24.02M,210.82M,210.82M,141.40M,,,-25.14M,-50.25M,-33.06M,-57.70M,,,-7.885M,-148.90M,445.35M,-523.56M,0.00,-523.56M,,5.084M,-16.10M,-534.58M,277.00M,,277.00M,,,,-150.52M,-1.88M,-152.40M,-15.83M,108.77M,106.75M,19.54M,126.28M,,600.00M,-323.00M,
2016-12,231.06M,8.285M,8.285M,183.68M,,255.38M,255.38M,165.05M,,,-263.30M,48.76M,-17.67M,107.39M,,,-46.54M,91.93M,557.87M,-617.70M,,-617.70M,,-217.90M,45.67M,-789.93M,414.00M,,414.00M,,,,-141.02M,-1.88M,-142.90M,-16.41M,254.70M,40.06M,22.64M,106.75M,,0.00,414.00M,
2016-09,267.20M,8.968M,8.968M,181.29M,,181.29M,181.29M,50.56M,,,129.73M,-114.70M,-18.50M,30.48M,,,136.91M,34.18M,671.93M,-490.00M,,-490.00M,,1.675M,-6.472M,-494.80M,-32.50M,,-32.50M,,,,-141.16M,-1.88M,-143.04M,-0.263M,-175.80M,38.73M,1.33M,40.06M,,0.00,-32.50M,
2016-06,205.53M,11.08M,11.08M,176.51M,,176.51M,176.51M,109.72M,,,38.47M,57.21M,66.68M,-75.68M,,,-111.04M,-62.82M,478.47M,-437.70M,,-437.70M,,3.959M,-8.485M,-442.22M,97.50M,,97.50M,,,,-141.16M,-1.879M,-143.04M,-2.956M,-48.49M,50.97M,-12.24M,38.73M,,300.00M,-202.50M,
2016-03,246.03M,11.58M,11.58M,173.99M,,173.99M,173.99M,141.13M,,,-108.69M,-133.96M,-22.75M,-76.32M,,,268.95M,35.92M,499.96M,-431.47M,,-431.47M,,1.378M,5.494M,-424.60M,108.55M,,108.55M,,,,-141.16M,-1.88M,-143.04M,-13.86M,-48.34M,23.95M,27.02M,50.97M,,500.00M,-391.45M,
2015-12,-301.27M,-60.16M,-60.16M,-255.26M,,-255.26M,-255.26M,59.23M,,,-146.19M,131.41M,-47.36M,228.15M,,,-278.99M,33.22M,-651.26M,573.27M,,573.27M,,36.04M,2.769M,612.08M,-25.42M,,-142.92M,,,,162.16M,3.679M,165.84M,10.60M,33.51M,35.78M,-5.671M,4.18M,,-575.00M,432.08M,
2015-09,237.80M,23.37M,23.37M,167.88M,,167.88M,167.88M,-23.45M,,,-44.58M,-24.46M,-12.66M,-5.484M,,,167.61M,125.01M,486.04M,-436.91M,,-436.91M,,1.79M,-7.59M,-442.71M,86.68M,,86.68M,,,,-132.43M,-1.88M,-134.31M,3.613M,-44.02M,36.47M,-0.688M,35.78M,,75.00M,11.68M,
2015-06,209.39M,21.94M,21.94M,163.67M,,163.67M,163.67M,28.61M,,,5.032M,204.32M,-8.128M,-168.68M,,,-82.40M,-54.89M,373.74M,-377.79M,,-377.79M,,21.75M,4.755M,-351.28M,83.62M,,83.62M,,,,-132.50M,-1.88M,-134.38M,-6.254M,-57.01M,71.03M,-34.56M,36.47M,,300.00M,-216.38M,
