,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,1.284B,1.284B,726.62M,557.85M,,,-14.00M,74.60M,,,,250.34M,443.56M,114.29M,,,,-14.00M,,33.40M,13.37M,20.03M,,,,1.39M,20.03M,28.43M,254.96M,140.67M,114.29M,0.14,0.0,,0.2048,0.14,0.14,0.0,,0.2047,0.14,129.50M,129.75M,0.125
2001-12,1.299B,1.299B,754.80M,543.76M,,,638.94M,48.46M,,,,875.02M,1.053B,-509.23M,,,,638.94M,,59.08M,7.988M,51.09M,,0.00,,5.491M,51.09M,-501.46M,-379.72M,129.51M,-509.23M,0.37,0.19,0.0,-3.843,0.39,0.3358,0.19,-0.0018,-3.873,0.3307,131.17M,131.30M,0.125
2001-09,1.531B,1.531B,985.06M,545.60M,,,17.72M,39.65M,,,,254.51M,432.23M,113.38M,,,,17.72M,,60.82M,25.18M,35.64M,,,,1.004M,35.64M,25.00M,251.44M,138.07M,113.38M,0.26,0.0,,0.1804,0.26,0.26,0.0,,0.1806,0.26,133.54M,133.87M,0.125
2001-06,1.583B,1.583B,1.010B,573.42M,,,7.673M,55.20M,,,,240.70M,431.90M,141.52M,,,,7.673M,,75.21M,28.48M,46.73M,,,-2.437M,,46.73M,41.96M,277.51M,135.99M,141.52M,0.35,0.0,,0.3144,0.35,0.35,0.0,,0.3145,0.35,133.91M,134.15M,0.1
2001-03,1.801B,1.801B,1.167B,633.57M,,,0.807M,75.89M,,,,-541.11M,315.26M,318.31M,,,,0.807M,,249.60M,112.30M,137.30M,,-22.43M,-2.325M,2.704M,114.87M,136.81M,1.099B,780.48M,318.31M,0.93,-0.15,0.0,0.9266,0.78,0.93,-0.15,-0.1559,0.9266,0.7772,143.91M,144.31M,0.1
2000-12,1.497B,1.497B,800.68M,696.70M,,,-13.65M,59.73M,,,,313.22M,523.62M,173.08M,,,,-13.65M,,90.96M,35.26M,55.70M,,,,2.739M,-178.18M,64.06M,328.52M,155.44M,173.08M,0.37,-1.65,,0.4282,-1.28,0.37,-1.65,,0.4275,-1.28,143.71M,145.38M,0.1
2000-09,1.582B,1.582B,918.78M,663.17M,,,16.28M,59.17M,,,,293.49M,485.83M,177.34M,,,,16.28M,,113.85M,45.55M,68.30M,,,-2.325M,2.752M,68.30M,58.53M,310.51M,129.14M,177.34M,0.46,0.0,,0.392,0.46,0.45,0.0,,0.383,0.45,143.54M,145.65M,0.1
2000-06,1.415B,1.415B,816.16M,598.81M,,,-0.49M,61.32M,,,,263.68M,452.27M,146.54M,,,,-0.49M,,63.56M,47.44M,16.12M,,,-2.325M,3.913M,16.12M,16.41M,273.80M,113.77M,146.54M,0.09,0.0,,0.0921,0.09,0.08,0.0,,0.0819,0.08,143.28M,152.58M,0.1
2000-03,1.382B,1.382B,768.37M,613.95M,,,2.847M,58.36M,,,,240.17M,416.12M,197.83M,,,,2.847M,,133.93M,54.59M,79.34M,,,-0.499M,4.758M,79.34M,77.64M,315.41M,117.58M,197.83M,0.55,0.0,,0.5374,0.55,0.55,0.0,,0.5374,0.55,135.67M,135.67M,0.1
1999-12,1.149B,1.149B,547.70M,601.10M,,,-76.30M,59.30M,,,,-25.50M,442.80M,158.30M,,,,-76.30M,,15.20M,25.60M,-10.40M,,,-8.20M,5.30M,-10.40M,35.38M,567.30M,,158.30M,-0.12,0.0,,0.2276,-0.12,-0.121,0.0,,0.2202,-0.121,131.71M,134.18M,0.1
1999-09,1.240B,1.240B,592.80M,647.70M,,,-24.90M,70.60M,,,,217.40M,480.80M,166.90M,,,,-24.90M,,74.70M,37.80M,36.90M,,,0.10M,5.70M,36.90M,51.84M,359.70M,,166.90M,0.24,0.0,,0.3549,0.24,0.24,0.0,,0.3549,0.24,130.00M,130.00M,0.0
1999-06,1.039B,1.039B,377.40M,661.17M,,,2.10M,60.90M,,,,407.80M,571.60M,89.57M,,,,2.10M,,25.30M,19.10M,6.20M,,,-0.30M,5.90M,6.20M,4.94M,192.47M,,89.57M,0.0022,,,-0.0073,0.0022,0.0022,,,-0.0073,0.0022,132.14M,132.14M,0.0
1999-03,1.043B,1.043B,380.40M,663.00M,,,2.00M,70.60M,,,,287.70M,552.30M,110.70M,,,,2.00M,,40.40M,16.00M,24.40M,,,-0.80M,5.90M,24.40M,23.19M,304.70M,,110.70M,0.14,0.0,,0.1309,0.14,0.14,0.0,,0.1309,0.14,132.14M,132.14M,0.0
1998-12,959.60M,959.60M,,,,,,,,,,,,-2.501B,,,,,,,,-105.50M,,,,,-105.50M,-105.50M,-2.501B,,-2.501B,-1.01,0.0,,-1.01,-1.01,-1.01,0.0,,-1.01,-1.01,120.29M,120.29M,0.0
1998-09,974.40M,974.40M,,,,,,,,,,,,974.40M,,,,,,,,-3.10M,,,,,-3.10M,-3.10M,974.40M,,974.40M,-0.02,0.0,,-0.02,-0.02,-0.02,0.0,,-0.02,-0.02,155.00M,155.00M,0.0
1998-06,874.80M,874.80M,306.10M,568.70M,,,-0.20M,61.30M,,,,306.70M,474.80M,93.90M,,,,-0.20M,,23.30M,10.20M,13.10M,,,0.70M,6.80M,13.10M,13.22M,200.70M,,93.90M,0.05,0.0,,0.051,0.05,0.05,0.0,,0.051,0.05,126.00M,126.00M,0.0
