,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-12,1.828B,1.881B,1.061B,820.03M,158.43M,,,139.52M,89.90M,,-89.90M,91.78M,389.73M,430.30M,,89.90M,-89.90M,5.565M,-89.90M,345.93M,122.44M,223.49M,,,-1.88M,,221.61M,221.61M,594.26M,158.43M,435.83M,0.69,,,0.69,0.69,0.69,,,0.69,0.69,316.72M,318.11M,0.39299999999999996
2014-09,1.893B,1.893B,1.061B,831.81M,153.21M,,,141.53M,89.74M,,-89.74M,96.16M,390.90M,440.91M,,89.74M,-89.74M,11.86M,-89.74M,363.03M,126.54M,236.49M,,,-1.879M,,234.61M,234.61M,605.98M,153.21M,452.77M,0.74,,,0.74,0.74,0.74,,,0.74,0.74,316.34M,317.55M,0.39299999999999996
2014-06,1.678B,1.678B,997.44M,680.17M,152.21M,,,134.80M,92.50M,,-92.50M,99.17M,386.18M,293.99M,,92.50M,-92.50M,5.526M,-92.50M,207.02M,77.77M,129.25M,,,-1.88M,,127.37M,127.37M,451.72M,152.21M,299.52M,0.4,,,0.4,0.4,0.4,,,0.4,0.4,315.95M,317.11M,0.3925
2014-03,2.291B,2.291B,1.330B,960.75M,150.81M,,,145.53M,89.98M,,-89.98M,196.72M,493.06M,467.69M,,89.98M,-89.98M,1.667M,-89.98M,379.38M,141.54M,237.84M,,,-1.879M,,235.96M,235.96M,620.16M,150.81M,469.36M,0.75,,,0.75,0.75,0.74,,,0.74,0.74,315.53M,316.89M,0.3925
2013-12,1.673B,1.778B,1.026B,751.74M,147.14M,,,120.38M,88.12M,,-88.12M,123.56M,391.09M,360.65M,,88.12M,-88.12M,8.239M,-88.12M,280.78M,101.50M,179.28M,,,-1.879M,,177.40M,177.40M,516.03M,147.14M,368.89M,0.56,,,0.56,0.56,0.56,,,0.56,0.56,315.67M,316.66M,0.3675
2013-09,1.893B,1.893B,1.033B,860.01M,149.10M,,,135.50M,87.48M,,-87.48M,176.14M,460.75M,399.26M,,87.48M,-87.48M,8.945M,-87.48M,320.73M,109.35M,211.38M,,,-1.879M,,209.50M,209.50M,557.31M,149.10M,408.21M,0.66,,,0.66,0.66,0.66,,,0.66,0.66,315.29M,316.22M,0.3675
2013-06,1.636B,1.636B,845.47M,790.39M,159.55M,,,123.46M,86.85M,,-94.93M,148.72M,431.73M,358.66M,,86.85M,-94.93M,4.944M,-94.93M,268.67M,95.61M,173.06M,,,-2.043M,,171.02M,171.02M,515.07M,159.55M,355.52M,0.54,,,0.54,0.54,0.54,,,0.54,0.54,315.15M,315.96M,0.3675
2013-03,1.995B,1.995B,1.094B,901.12M,154.98M,,,132.88M,76.26M,,-110.75M,159.82M,447.68M,453.44M,,76.26M,-110.75M,7.765M,-110.75M,350.46M,120.49M,229.97M,,,-1.879M,,228.09M,228.09M,581.69M,154.98M,426.71M,0.72,,,0.72,0.72,0.72,,,0.72,0.72,315.13M,316.00M,0.3675
2012-12,1.561B,1.684B,939.85M,744.11M,149.21M,,,114.65M,84.09M,,-123.96M,108.97M,372.83M,371.28M,,84.09M,-123.96M,4.838M,-123.96M,252.14M,75.55M,176.60M,,,-1.879M,,174.72M,174.72M,485.44M,149.21M,336.23M,0.55,,,0.55,0.55,0.55,,,0.55,0.55,314.93M,315.91M,0.34299999999999997
2012-09,1.862B,1.862B,998.28M,863.25M,144.48M,,,120.66M,90.36M,,-133.40M,142.16M,407.30M,455.95M,,90.36M,-133.40M,4.324M,-133.40M,326.87M,117.36M,209.51M,,,-1.88M,,207.63M,207.63M,561.70M,144.47M,417.23M,0.66,,,0.66,0.66,0.66,,,0.66,0.66,314.81M,315.81M,0.34299999999999997
2012-06,1.629B,1.629B,1.072B,556.69M,144.48M,,,112.86M,89.05M,,-129.80M,99.08M,356.43M,200.27M,,89.05M,-129.80M,1.806M,-129.80M,72.27M,26.06M,46.22M,,,-1.88M,,44.34M,44.34M,305.81M,144.48M,161.32M,0.15,,,0.15,0.15,0.15,,,0.15,0.15,301.05M,301.82M,0.34299999999999997
2012-03,1.100B,1.100B,657.31M,442.32M,80.84M,,,86.04M,66.45M,,-84.79M,42.70M,209.58M,232.74M,,66.45M,-84.79M,8.773M,-84.79M,156.72M,55.96M,100.76M,,,-1.493M,,99.26M,99.26M,304.00M,80.84M,223.17M,0.56,,,0.56,0.56,0.56,,,0.56,0.56,178.06M,178.44M,0.2938
2011-12,1.012B,1.068B,1.368B,-300.06M,79.41M,,,70.79M,65.71M,,-135.62M,-705.08M,-554.88M,254.82M,,65.71M,-135.62M,8.638M,-135.62M,127.80M,13.02M,114.78M,,,-1.48M,,113.30M,113.30M,272.92M,79.41M,193.51M,0.63,,,0.63,0.63,0.63,,,0.63,0.63,177.61M,178.28M,0.275
2011-09,1.115B,1.115B,441.49M,673.40M,75.20M,,1.43M,84.99M,63.93M,,-63.93M,309.39M,469.58M,203.82M,,63.93M,-63.93M,1.43M,-63.93M,141.31M,49.88M,91.43M,,,-1.47M,,89.96M,89.04M,280.44M,75.20M,205.25M,0.51,0.0,,0.5048,0.51,0.51,0.0,,0.5048,0.51,177.50M,177.84M,0.275
2011-06,1.047B,1.047B,412.51M,634.97M,73.64M,,7.334M,79.42M,62.23M,,-62.23M,303.78M,456.84M,178.13M,,62.23M,-62.23M,7.334M,-62.23M,123.23M,44.52M,78.72M,,,-1.441M,,77.28M,72.59M,259.10M,73.64M,185.47M,0.44,0.0,,0.4136,0.44,0.44,0.0,,0.4136,0.44,177.35M,177.63M,0.275
2011-03,1.235B,1.235B,474.11M,761.14M,73.95M,,10.31M,88.40M,61.40M,,-61.40M,371.43M,533.78M,227.36M,,61.40M,-61.40M,10.31M,-61.40M,179.12M,63.54M,115.58M,,,-1.429M,,114.16M,107.50M,314.48M,73.95M,240.53M,0.64,0.0,,0.6024,0.64,0.64,0.0,,0.6025,0.64,177.19M,177.48M,0.275
