,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2021-03,1.723B,,,21.00M,21.00M,560.00M,560.00M,108.00M,,79.00M,,-469.00M,-455.00M,-397.00M,-210.00M,-1.679B,,,,-2.741B,,-719.00M,,-471.00M,5.00M,5.00M,,22.00M,538.00M,,94.00M,,-1.00M,-343.00M,-344.00M,,-106.00M,-106.00M,,,-1.429B,-1.429B,62.00M,-71.00M,-1.888B,,8.254B,-2.513B,-10.00M,5.731B,,,53.00M,-397.00M,-106.00M,,AOR,
2020-12,1.859B,,,287.00M,287.00M,817.00M,817.00M,265.00M,,78.00M,,178.00M,1.01B,33.00M,228.00M,-265.00M,,,,1.006B,,4.49B,,-2.166B,29.00M,29.00M,,1.00M,-731.00M,9.00M,-2.858B,,1.129B,-1.843B,-714.00M,,-457.00M,-457.00M,,,-1.415B,-1.415B,34.00M,-40.00M,-2.592B,,9.159B,-960.00M,55.00M,8.254B,,,3.253B,-3.967B,-457.00M,,AOR,
2020-09,2.307B,,,41.00M,41.00M,609.00M,609.00M,-13.00M,,85.00M,,-48.00M,-329.00M,278.00M,49.00M,1.76B,,,,1.758B,,4.661B,,-886.00M,8.00M,8.00M,,-724.00M,-395.00M,-2.00M,-1.999B,,-62.00M,-691.00M,-753.00M,,-406.00M,-406.00M,,,-1.417B,-1.417B,25.00M,-9.00M,-2.56B,,8.989B,102.00M,68.00M,9.159B,,,-55.00M,-698.00M,-406.00M,,AOR,
2020-06,1.658B,,,40.00M,40.00M,589.00M,589.00M,84.00M,,40.00M,,293.00M,-317.00M,-515.00M,12.00M,327.00M,,,,-493.00M,,2.211B,,-704.00M,13.00M,13.00M,,-5.191B,11.00M,34.00M,-5.837B,,3.384B,-8.00M,3.376B,,-564.00M,-564.00M,,,-1.328B,-1.328B,42.00M,-17.00M,1.509B,,11.29B,-2.117B,-186.00M,8.989B,,,5.301B,-1.925B,-564.00M,,AOR,
2020-03,1.351B,,,40.00M,40.00M,533.00M,533.00M,25.00M,,61.00M,,-185.00M,-784.00M,-312.00M,-263.00M,-1.215B,,,,-2.574B,,-749.00M,,-484.00M,5.00M,5.00M,,-454.00M,7.00M,1.00M,-925.00M,,6.428B,2.956B,9.384B,,-573.00M,-573.00M,,,-1.349B,-1.349B,78.00M,-78.00M,7.462B,,5.57B,5.788B,-66.00M,11.29B,,,9.387B,-3.00M,-573.00M,,AOR,Restated
2019-12,1.778B,,,354.00M,354.00M,798.00M,798.00M,279.00M,,68.00M,,-308.00M,1.066B,383.00M,177.00M,21.00M,,,,1.647B,,4.586B,,-2.273B,107.00M,107.00M,,-89.00M,73.00M,30.00M,-2.152B,,-500.00M,-99.00M,-599.00M,,-732.00M,-732.00M,,,-1.333B,-1.333B,47.00M,-43.00M,-2.66B,,5.707B,-226.00M,89.00M,5.57B,,,1.429B,-2.028B,-732.00M,,AOR,Restated
2019-09,2.11B,,,67.00M,67.00M,578.00M,578.00M,-26.00M,,51.00M,,122.00M,-344.00M,299.00M,72.00M,746.00M,,,,773.00M,,3.675B,,-792.00M,21.00M,21.00M,,-221.00M,10.00M,-32.00M,-1.014B,,1.975B,-558.00M,1.417B,,-542.00M,-542.00M,,,-1.336B,-1.336B,72.00M,-1.00M,-390.00M,,3.471B,2.271B,-35.00M,5.707B,,,1.418B,-1.00M,-542.00M,,AOR,Restated
2019-06,2.043B,,,51.00M,51.00M,558.00M,558.00M,5.00M,,61.00M,,-3.00M,-966.00M,-437.00M,46.00M,768.00M,,,,-589.00M,,1.733B,,-725.00M,40.00M,40.00M,,-291.00M,5.00M,0.00,-971.00M,,-1.102B,541.00M,-561.00M,,-786.00M,-786.00M,,,-1.303B,-1.303B,107.00M,-20.00M,-2.563B,,5.305B,-1.801B,-33.00M,3.471B,,,541.00M,-1.102B,-786.00M,,AOR,Restated
2019-03,1.422B,,,47.00M,47.00M,498.00M,498.00M,187.00M,,57.00M,,-246.00M,-406.00M,-435.00M,-382.00M,-1.087B,,,,-2.31B,,-345.00M,,-442.00M,2.00M,2.00M,,-1.863B,9.00M,-6.00M,-2.30B,,-729.00M,117.00M,-612.00M,,-940.00M,-940.00M,,,-1.332B,-1.332B,103.00M,-95.00M,-2.876B,,10.77B,-5.521B,57.00M,5.305B,,,1.239B,-1.851B,-940.00M,,AOR,Restated
2018-12,6.867B,,,74.00M,74.00M,763.00M,763.00M,-804.00M,,53.00M,,-4.137B,1.046B,188.00M,167.00M,540.00M,,,,1.941B,,4.683B,,-1.704B,15.00M,15.00M,,-1.032B,1.685B,,-1.034B,,-3.09B,33.00M,-3.057B,,-558.00M,-558.00M,2.00M,2.00M,-1.309B,-1.309B,66.00M,-42.00M,-4.898B,,12.04B,-1.249B,-25.00M,10.77B,,,1.00M,-3.058B,-556.00M,,AOR,Restated
2018-09,2.509B,,,54.00M,54.00M,566.00M,566.00M,-366.00M,,57.00M,,-173.00M,-280.00M,275.00M,66.00M,940.00M,,,,1.001B,,3.645B,,-633.00M,76.00M,76.00M,,-51.00M,2.379B,,1.771B,,-4.00M,-5.473B,-5.477B,,-458.00M,-458.00M,0.00,0.00,-1.316B,-1.316B,70.00M,-32.00M,-7.213B,,13.89B,-1.797B,-54.00M,12.04B,,,-4.089B,-1.388B,-458.00M,,AOR,Restated
2018-06,1.83B,,,47.00M,47.00M,574.00M,574.00M,561.00M,,66.00M,,-378.00M,-857.00M,-254.00M,123.00M,722.00M,,,,-266.00M,,2.396B,,-593.00M,34.00M,34.00M,,86.00M,2.904B,,2.431B,,-2.502B,-216.00M,-2.718B,,-491.00M,-491.00M,0.00,0.00,-1.145B,-1.145B,20.00M,-6.00M,-4.34B,,13.48B,487.00M,-68.00M,13.89B,,,-200.00M,-2.518B,-491.00M,,AOR,Restated
2018-03,1.353B,,,46.00M,46.00M,496.00M,496.00M,50.00M,,80.00M,,-1.57B,-162.00M,-383.00M,-347.00M,-872.00M,,,,-1.764B,,-1.309B,,-352.00M,9.00M,9.00M,,6.00M,1.733B,,1.396B,,0.00,4.29B,4.29B,,-493.00M,-493.00M,-2.00M,-2.00M,-1.16B,-1.16B,125.00M,-78.00M,2.682B,,10.66B,2.769B,49.00M,13.48B,,,4.291B,-1.00M,-495.00M,,AOR,Restated
2017-12,-695.00M,,,80.00M,80.00M,765.00M,765.00M,2.786B,,86.00M,,3.00M,797.00M,256.00M,139.00M,-274.00M,,,,918.00M,,3.943B,,-1.495B,98.00M,98.00M,,108.00M,-856.00M,20.00M,-2.125B,,2.834B,-2.565B,269.00M,,-536.00M,-536.00M,-1.00M,-1.00M,,-1.148B,66.00M,-61.00M,-1.411B,,10.28B,407.00M,-29.00M,10.66B,,,2.472B,-2.203B,-537.00M,,AOR,Restated
2017-09,2.156B,,,49.00M,49.00M,573.00M,573.00M,154.00M,,63.00M,,-91.00M,-266.00M,402.00M,131.00M,665.00M,,,,932.00M,,3.836B,,-596.00M,52.00M,52.00M,,-5.00M,-1.159B,1.00M,-1.707B,,-2.253B,1.69B,-563.00M,,-522.00M,-522.00M,-2.00M,-2.00M,,-1.149B,80.00M,-37.00M,-2.193B,,10.30B,-64.00M,40.00M,10.28B,,,1.552B,-2.115B,-524.00M,,AOR,Restated
2017-06,2.118B,,,48.00M,48.00M,554.00M,554.00M,1.00M,,71.00M,,-165.00M,-605.00M,-313.00M,49.00M,686.00M,,,,-183.00M,,2.444B,,-561.00M,18.00M,18.00M,,98.00M,-402.00M,7.00M,-840.00M,,3.274B,-2.602B,672.00M,,-498.00M,-498.00M,-1.00M,-1.00M,,-1.077B,71.00M,-6.00M,-839.00M,,9.545B,765.00M,-7.00M,10.30B,,,1.152B,-480.00M,-499.00M,,AOR,Restated
2017-03,1.329B,,,44.00M,44.00M,477.00M,477.00M,129.00M,,72.00M,,-90.00M,-128.00M,-513.00M,-299.00M,-1.214B,,,,-2.154B,,-193.00M,,-317.00M,12.00M,12.00M,,5.00M,568.00M,1.00M,269.00M,,-752.00M,2.424B,1.672B,,-444.00M,-444.00M,-1.00M,-1.00M,,-1.098B,245.00M,-117.00M,257.00M,,9.169B,333.00M,43.00M,9.545B,,,2.424B,-752.00M,-445.00M,,AOR,Restated
2016-12,1.417B,,,310.00M,310.00M,757.00M,757.00M,167.00M,,94.00M,,-289.00M,952.00M,306.00M,151.00M,-26.00M,,,,1.383B,,3.839B,,-1.474B,40.00M,40.00M,,-187.00M,-2.496B,-2.00M,-4.119B,,1.939B,-532.00M,1.407B,,-921.00M,-921.00M,-4.00M,-4.00M,,-1.083B,50.00M,-45.00M,-596.00M,,10.26B,-876.00M,-234.00M,9.169B,,,3.946B,-2.539B,-925.00M,,AOR,Restated
2016-09,2.004B,,,67.00M,67.00M,567.00M,567.00M,166.00M,,67.00M,,-42.00M,-252.00M,374.00M,61.00M,705.00M,,,,888.00M,,3.717B,,-647.00M,12.00M,12.00M,,-11.00M,-785.00M,8.00M,-1.423B,,821.00M,-750.00M,71.00M,,-750.00M,-750.00M,-1.00M,-1.00M,,-1.084B,122.00M,-37.00M,-1.679B,,9.646B,615.00M,-5.00M,10.26B,,,74.00M,-3.00M,-751.00M,,AOR,Restated
2016-06,2.013B,,,64.00M,64.00M,563.00M,563.00M,100.00M,,54.00M,,-94.00M,-700.00M,-225.00M,53.00M,974.00M,,,,102.00M,,2.802B,,-530.00M,22.00M,22.00M,,16.00M,295.00M,1.00M,-196.00M,,-1.832B,2.348B,516.00M,,-710.00M,-710.00M,0.00,0.00,,-1.022B,128.00M,-5.00M,-1.093B,,8.124B,1.513B,9.00M,9.646B,,,2.35B,-1.834B,-710.00M,,AOR,Restated
2016-03,945.00M,,,60.00M,60.00M,481.00M,481.00M,19.00M,,69.00M,,208.00M,-349.00M,-530.00M,-255.00M,-343.00M,,,,-1.477B,,305.00M,,-389.00M,25.00M,25.00M,,55.00M,-1.103B,,-1.412B,,1.281B,471.00M,1.752B,,-619.00M,-619.00M,-2.00M,-2.00M,,-1.038B,165.00M,-101.00M,157.00M,,9.096B,-950.00M,-22.00M,8.124B,,,3.012B,-1.26B,-621.00M,,AOR,Restated
2015-12,1.733B,,,141.00M,141.00M,772.00M,772.00M,-108.00M,0.00,87.00M,85.00M,119.00M,1.092B,330.00M,107.00M,-269.00M,,,,1.26B,,4.089B,,-1.295B,23.00M,23.00M,,-61.00M,-928.00M,-2.00M,-2.263B,,2.954B,-1.388B,1.566B,,-1.801B,-1.801B,-2.00M,-2.00M,,-1.032B,177.00M,-262.00M,-1.354B,,8.698B,472.00M,-74.00M,9.096B,,,1.607B,-41.00M,-1.803B,,AOR,Restated
2015-09,543.00M,,,111.00M,111.00M,569.00M,569.00M,144.00M,1.359B,64.00M,-7.00M,-91.00M,-244.00M,288.00M,107.00M,1.171B,,,,1.322B,,4.014B,,-631.00M,37.00M,37.00M,,-575.00M,21.00M,0.00,-1.148B,,1.22B,-834.00M,386.00M,,-1.069B,-1.069B,-1.00M,-1.00M,,-1.035B,77.00M,-17.00M,-1.659B,,7.562B,1.207B,-71.00M,8.698B,,,2.424B,-2.038B,-1.07B,,AOR,Restated
2015-06,1.994B,,,111.00M,111.00M,579.00M,579.00M,61.00M,,68.00M,-40.00M,-198.00M,-874.00M,-448.00M,-2.00M,1.24B,,,,-84.00M,,2.491B,,-562.00M,15.00M,15.00M,,-1.00M,73.00M,-3.00M,-478.00M,,2.485B,-1.49B,995.00M,,-1.006B,-1.006B,-1.00M,-1.00M,,-995.00M,79.00M,39.00M,-889.00M,,6.41B,1.124B,28.00M,7.562B,,,1.00B,-5.00M,-1.007B,,AOR,Restated
2015-03,1.231B,,,104.00M,104.00M,496.00M,496.00M,-19.00M,,76.00M,-38.00M,-74.00M,-435.00M,-414.00M,-262.00M,-395.00M,,,,-1.506B,,270.00M,,-270.00M,11.00M,11.00M,,59.00M,520.00M,,320.00M,,-2.052B,3.737B,1.685B,,-1.124B,-1.124B,-1.00M,-1.00M,,-978.00M,171.00M,37.00M,-210.00M,,6.134B,380.00M,-104.00M,6.41B,,,3.739B,-2.054B,-1.125B,,AOR,Restated
2014-12,1.326B,,,299.00M,404.00M,831.00M,831.00M,-11.00M,0.00,90.00M,-28.00M,-387.00M,1.239B,370.00M,98.00M,-119.00M,,,,1.588B,,3.813B,,-1.319B,55.00M,55.00M,,10.00M,3.008B,-13.00M,1.741B,,488.00M,-4.136B,-3.648B,,-1.805B,-1.805B,-3.00M,-3.00M,,-985.00M,194.00M,10.00M,-6.237B,,7.282B,-683.00M,-465.00M,6.134B,,,-1.608B,-2.04B,-1.808B,,AOR,Restated
2014-09,2.018B,,,125.00M,125.00M,632.00M,632.00M,-43.00M,0.00,67.00M,-22.00M,-99.00M,-28.00M,341.00M,134.00M,896.00M,,,,1.343B,,4.021B,,-619.00M,18.00M,18.00M,,13.00M,-1.926B,-2.00M,-2.516B,,-531.00M,591.00M,60.00M,,-1.008B,-1.008B,-4.00M,-4.00M,,-993.00M,180.00M,-7.00M,-1.772B,,7.607B,-267.00M,-58.00M,7.282B,,,592.00M,-532.00M,-1.012B,,AOR,Restated
2014-06,1.987B,,,124.00M,124.00M,630.00M,630.00M,-27.00M,,68.00M,-17.00M,-138.00M,-1.196B,-416.00M,82.00M,1.394B,,,,-136.00M,,2.491B,,-566.00M,35.00M,35.00M,,31.00M,-3.439B,0.00,-3.939B,,1.371B,-577.00M,794.00M,,-950.00M,-950.00M,-1.00M,-1.00M,,-864.00M,210.00M,14.00M,-797.00M,,9.839B,-2.245B,13.00M,7.607B,,,806.00M,-12.00M,-951.00M,,AOR,Restated
