,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,8.185B,1.366B,9.551B,6.892B,1.713B,8.404B,1.72B,205.00M,2.247B,4.172B,874.00M,,,23.00B,0.00,1.171B,10.21B,31.28B,1.67B,3.679B,48.01B,-24.97B,23.04B,18.76B,19.32B,38.07B,2.792B,109.00M,4.502B,493.00M,69.92B,92.92B,,8.853B,1.43B,,,10.28B,2.935B,13.22B,396.00M,3.384B,3.78B,460.00M,4.24B,3.855B,23.37B,40.37B,40.37B,4.284B,4.284B,98.00M,,11.34B,55.99B,79.37B,,23.00M,63.44B,3.91B,38.45B,,,,-15.48B,13.45B,,AOR,
2020-09,9.094B,611.00M,9.705B,9.295B,,9.295B,1.798B,275.00M,2.062B,4.135B,925.00M,,,24.06B,,,,,,,44.12B,-24.39B,19.73B,18.60B,19.19B,37.79B,2.752B,,4.357B,3.357B,67.98B,92.04B,,19.32B,,,,19.32B,,19.32B,,,6.692B,,6.692B,,26.01B,37.88B,37.88B,4.217B,4.217B,112.00M,,10.34B,52.44B,78.45B,,23.00M,63.01B,3.848B,38.04B,,,,-15.36B,13.48B,,AOR,
2020-06,8.927B,196.00M,9.123B,8.78B,,8.78B,1.869B,344.00M,2.101B,4.314B,972.00M,,,23.19B,,,,,,,43.02B,-23.83B,19.19B,17.84B,19.00B,36.84B,2.715B,,4.351B,3.243B,66.34B,89.52B,,17.22B,,,,17.22B,,17.22B,,,6.607B,,6.607B,,23.83B,38.37B,38.37B,4.203B,4.203B,96.00M,,10.54B,53.11B,76.94B,,23.00M,62.14B,3.772B,37.67B,,,,-15.78B,12.49B,,AOR,
2020-03,11.09B,158.00M,11.25B,8.477B,,8.477B,1.502B,277.00M,1.821B,3.60B,944.00M,,,24.27B,,,,,,,42.70B,-23.72B,18.98B,15.46B,15.98B,31.44B,2.719B,,4.357B,3.294B,60.79B,85.06B,,16.20B,,,,16.20B,,16.20B,,,5.882B,,5.882B,,22.08B,35.36B,35.36B,4.06B,4.06B,94.00M,,10.00B,49.42B,71.50B,,23.00M,61.92B,3.741B,37.16B,,,,-15.06B,13.46B,,AOR,
2019-12,5.509B,229.00M,5.738B,6.447B,1.48B,7.822B,1.395B,200.00M,1.743B,3.338B,747.00M,,,17.64B,0.00,1.13B,9.314B,29.39B,1.548B,3.169B,44.55B,-23.70B,20.85B,15.50B,16.04B,31.54B,2.683B,85.00M,4.506B,385.00M,60.90B,78.55B,,8.013B,1.351B,,,9.364B,2.765B,12.13B,,2.92B,2.92B,442.00M,3.362B,3.135B,20.46B,29.15B,29.15B,4.091B,4.091B,82.00M,,9.979B,43.22B,63.68B,,23.00M,61.95B,3.886B,36.77B,,,,-14.30B,14.79B,,AOR,Restated
2019-09,5.494B,287.00M,5.781B,8.849B,,8.735B,1.509B,316.00M,1.842B,3.667B,888.00M,127.00M,,19.20B,,,,,,,40.64B,-23.06B,17.59B,15.34B,15.81B,31.15B,2.69B,,4.34B,2.48B,58.25B,77.44B,,17.21B,,,,17.21B,,17.21B,,,2.924B,,2.924B,,20.13B,29.63B,29.63B,3.643B,3.643B,95.00M,,9.816B,43.09B,63.22B,,23.00M,61.51B,3.842B,36.12B,,,,-15.13B,14.13B,,AOR,Restated
2019-06,3.293B,291.00M,3.584B,8.615B,,8.502B,1.589B,384.00M,2.015B,3.988B,988.00M,150.00M,,17.21B,,,,,,,40.26B,-22.82B,17.44B,15.63B,15.58B,31.21B,2.51B,,4.353B,2.354B,57.87B,75.08B,,16.46B,,,,16.46B,,16.46B,,,3.473B,,3.473B,,19.93B,27.71B,27.71B,3.658B,3.658B,85.00M,,9.749B,41.12B,61.05B,,23.00M,60.75B,3.796B,35.64B,,,,-14.98B,13.95B,,AOR,Restated
2019-03,5.072B,289.00M,5.361B,7.717B,,7.604B,1.438B,257.00M,1.859B,3.554B,1.208B,190.00M,,17.92B,,,,,,,40.24B,-22.70B,17.55B,14.94B,15.98B,30.92B,2.476B,,4.361B,2.242B,57.55B,75.47B,,15.80B,,,,15.80B,,15.80B,,,3.291B,,3.291B,,19.09B,28.46B,28.46B,3.619B,3.619B,94.00M,,10.00B,42.08B,61.17B,,23.00M,60.06B,3.753B,34.98B,,,,-14.66B,14.20B,,AOR,Restated
2018-12,8.721B,272.00M,8.993B,6.079B,1.164B,7.142B,1.312B,178.00M,1.638B,3.128B,633.00M,1.997B,,21.89B,0.00,1.078B,8.941B,27.72B,,2.43B,40.16B,-22.58B,17.59B,14.81B,15.82B,30.63B,2.409B,86.00M,4.476B,293.00M,55.76B,77.65B,,7.213B,1.329B,,1.997B,10.54B,2.541B,13.08B,,4.026B,4.026B,0.00,4.026B,3.277B,22.14B,28.30B,28.30B,3.499B,3.499B,84.00M,,9.114B,40.91B,63.05B,,23.00M,59.95B,3.953B,34.29B,,,,-15.12B,14.52B,,AOR,Restated
2018-09,11.99B,1.907B,13.90B,8.095B,,7.975B,1.401B,164.00M,1.577B,3.142B,827.00M,,,25.84B,,,,,,,38.88B,-22.34B,16.54B,14.33B,13.47B,27.80B,2.394B,,,1.057B,47.79B,73.63B,,15.23B,,,,15.23B,,15.23B,,,4.474B,,4.474B,,19.70B,30.64B,30.64B,3.358B,3.358B,103.00M,,9.538B,43.54B,63.24B,,24.00M,54.40B,3.939B,33.83B,,,,-14.25B,10.29B,,AOR,Restated
2018-06,13.86B,4.271B,18.13B,7.965B,,7.841B,1.52B,231.00M,1.74B,3.491B,909.00M,,,30.37B,,,,,,,38.97B,-22.21B,16.76B,14.54B,13.68B,28.22B,2.401B,,,977.00M,48.36B,78.73B,,14.60B,,,,14.60B,,14.60B,,,9.955B,,9.955B,,24.56B,30.64B,30.64B,3.346B,3.346B,110.00M,,9.968B,43.95B,68.51B,,24.00M,53.22B,3.915B,33.47B,,,,-13.58B,10.11B,,AOR,Restated
2018-03,13.44B,7.167B,20.61B,7.312B,,7.171B,1.406B,200.00M,1.729B,3.335B,1.931B,,,33.05B,,,,,,,39.38B,-22.24B,17.14B,14.80B,13.84B,28.64B,2.115B,,,946.00M,48.84B,81.89B,,14.28B,,,,14.28B,,14.28B,,,11.60B,,11.60B,,25.88B,31.93B,31.93B,3.231B,3.231B,102.00M,,9.855B,45.02B,70.90B,,24.00M,52.73B,3.866B,33.02B,,,,-12.72B,10.88B,,AOR,Restated
2017-12,10.61B,8.90B,19.51B,5.956B,1.197B,7.024B,1.344B,167.00M,1.436B,2.947B,1.546B,0.00,,31.03B,0.00,1.148B,8.796B,27.02B,,2.144B,39.11B,-21.87B,17.24B,14.74B,13.84B,28.58B,2.042B,59.00M,134.00M,346.00M,48.78B,79.80B,,6.727B,1.161B,,,7.888B,2.39B,10.28B,1.385B,4.10B,5.485B,,5.485B,2.954B,20.50B,33.80B,33.80B,3.242B,3.242B,92.00M,,11.28B,48.32B,68.82B,,65.00M,52.84B,3.799B,32.76B,41.00M,,,-13.06B,10.89B,,AOR,Restated
2017-09,10.24B,8.035B,18.28B,8.069B,,7.923B,1.452B,236.00M,1.563B,3.251B,745.00M,,,30.20B,,,,,,,38.75B,-21.79B,16.96B,14.75B,13.84B,28.58B,1.95B,,,771.00M,48.27B,78.46B,,14.64B,,,,14.64B,,14.64B,,,7.717B,,7.717B,,22.36B,31.45B,31.45B,4.419B,4.419B,116.00M,,6.823B,42.69B,65.05B,,65.00M,54.70B,3.748B,32.34B,41.00M,,,-12.88B,13.30B,,AOR,Restated
2017-06,10.28B,6.878B,17.16B,7.68B,,7.543B,1.537B,312.00M,1.763B,3.612B,933.00M,,,29.25B,,,,,,,37.97B,-21.22B,16.74B,14.66B,13.73B,28.38B,1.962B,,,608.00M,47.70B,76.94B,,13.83B,,,,13.83B,,13.83B,,,8.279B,,8.279B,,22.11B,31.20B,31.20B,4.429B,4.429B,126.00M,,6.666B,42.30B,64.41B,,65.00M,53.71B,3.719B,31.91B,41.00M,,,-13.17B,12.40B,,AOR,Restated
