,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2021-03,14.82B,14.82B,6.671B,8.149B,5.837B,,,,258.00M,,-258.00M,5.837B,2.312B,,258.00M,-258.00M,120.00M,-258.00M,2.174B,451.00M,1.723B,,,-9.00M,,1.714B,1.714B,2.992B,560.00M,2.432B,,1.24,,,1.24,1.24,,1.24,,,1.24,1.24,,1.38B,1.387B,1.022,,AOR,
2020-12,22.46B,22.46B,10.43B,12.03B,9.203B,,,,339.00M,,-339.00M,9.203B,2.826B,,339.00M,-339.00M,-130.00M,-339.00M,2.357B,498.00M,1.859B,,,-14.00M,,1.845B,1.845B,3.513B,817.00M,2.696B,,1.337,,,1.337,1.337,,1.33,,,1.33,1.33,,1.379B,1.389B,1.022,,AOR,
2020-09,18.09B,18.09B,8.156B,9.935B,6.924B,,,,264.00M,,-264.00M,6.924B,3.011B,,264.00M,-264.00M,86.00M,-264.00M,2.833B,526.00M,2.307B,,,-16.00M,,2.291B,2.291B,3.706B,609.00M,3.097B,,1.66,,,1.66,1.66,,1.65,,,1.65,1.65,,1.384B,1.39B,1.022,,AOR,
2020-06,15.94B,15.94B,7.088B,8.857B,6.538B,,,,235.00M,,-235.00M,6.538B,2.319B,,235.00M,-235.00M,84.00M,-235.00M,2.168B,510.00M,1.658B,,,-12.00M,,1.646B,1.646B,2.992B,589.00M,2.403B,,1.19,,,1.19,1.19,,1.18,,,1.18,1.18,,1.387B,1.393B,1.022,,AOR,
2020-03,13.88B,13.88B,6.127B,7.754B,5.83B,,,,290.00M,,-290.00M,5.83B,1.924B,,290.00M,-290.00M,77.00M,-290.00M,1.711B,360.00M,1.351B,,,-13.00M,,1.338B,1.338B,2.534B,533.00M,2.001B,,0.96,,,0.96,0.96,,0.96,,,0.96,0.96,,1.39B,1.396B,0.955,,AOR,Restated
2019-12,20.64B,20.64B,9.346B,11.29B,8.595B,,,,284.00M,,-284.00M,8.595B,2.699B,,284.00M,-284.00M,-207.00M,-284.00M,2.208B,430.00M,1.778B,,,-12.00M,,1.766B,1.766B,3.29B,798.00M,2.492B,,1.270,,,1.270,1.270,,1.26,,,1.26,1.26,,1.393B,1.401B,0.955,,AOR,Restated
2019-09,17.19B,17.19B,7.694B,9.494B,6.639B,,,,224.00M,,-224.00M,6.639B,2.855B,,224.00M,-224.00M,38.00M,-224.00M,2.669B,559.00M,2.11B,,,-10.00M,,2.10B,2.10B,3.471B,578.00M,2.893B,,1.50,,,1.50,1.50,,1.49,,,1.49,1.49,,1.397B,1.405B,0.955,,AOR,Restated
2019-06,16.45B,16.45B,7.404B,9.045B,6.316B,,,,223.00M,,-223.00M,6.316B,2.729B,,223.00M,-223.00M,61.00M,-223.00M,2.567B,524.00M,2.043B,,,-8.00M,,2.035B,2.035B,3.348B,558.00M,2.79B,,1.45,,,1.45,1.45,,1.44,,,1.44,1.44,,1.401B,1.409B,0.955,,AOR,Restated
2019-03,12.88B,12.88B,5.688B,7.196B,5.188B,,,,204.00M,,-204.00M,5.188B,2.008B,,204.00M,-204.00M,64.00M,-204.00M,1.868B,446.00M,1.422B,,,-9.00M,,1.413B,1.413B,2.57B,498.00M,2.072B,,1.01,,,1.01,1.01,,1.00,,,1.00,1.00,,1.406B,1.413B,0.9275,,AOR,Restated
2018-12,19.52B,19.52B,8.936B,10.59B,8.157B,,,,315.00M,,-563.00M,8.157B,2.431B,,315.00M,-563.00M,67.00M,-563.00M,1.935B,-4.932B,6.867B,,,-13.00M,,6.854B,6.854B,3.013B,763.00M,2.25B,,4.864,,,4.864,4.864,,4.83,,,4.83,4.83,,1.409B,1.419B,0.9275,,AOR,Restated
