,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-11,2.25B,,190.00M,190.00M,284.00M,-65.00M,-7.00M,233.00M,,-1.192B,-187.00M,,281.00M,-24.00M,,,308.00M,308.00M,1.782B,-103.00M,,-103.00M,0.00,-28.00M,,-131.00M,6.00M,6.00M,-270.00M,-850.00M,-850.00M,,-90.00M,-940.00M,3.767B,711.00M,0.00,4.478B,-270.00M,-3.144B,3.15B,-850.00M,-200.00M,-88.00M
2020-08,955.00M,,191.00M,191.00M,-19.00M,23.00M,-9.00M,232.00M,,21.00M,32.00M,,22.00M,0.00,,,-12.00M,42.00M,1.436B,-126.00M,,-126.00M,0.00,-189.00M,,-315.00M,0.00,0.00,181.00M,-500.00M,-319.00M,,-95.00M,-414.00M,3.044B,707.00M,16.00M,3.767B,181.00M,0.00,0.00,-500.00M,84.00M,50.00M
2020-05,1.10B,,188.00M,188.00M,-172.00M,21.00M,-1.00M,227.00M,,14.00M,10.00M,,-106.00M,57.00M,,,-154.00M,-193.00M,1.184B,-96.00M,,-96.00M,0.00,176.00M,,80.00M,0.00,0.00,1.00M,-850.00M,-849.00M,,-52.00M,-901.00M,2.688B,363.00M,-7.00M,3.044B,1.00M,0.00,0.00,-850.00M,71.00M,0.00
2020-02,955.00M,,188.00M,188.00M,-93.00M,21.00M,6.00M,217.00M,,2.00M,145.00M,,-197.00M,-33.00M,,,114.00M,29.00M,1.325B,-94.00M,,-94.00M,0.00,46.00M,,-48.00M,-6.00M,-6.00M,88.00M,-850.00M,-762.00M,,-465.00M,-1.233B,2.65B,44.00M,-6.00M,2.688B,88.00M,3.144B,-3.15B,-850.00M,45.00M,38.00M
2019-11,851.46M,,170.67M,170.67M,4.707M,,-4.626M,202.70M,,10.84M,-173.83M,,-114.05M,183.99M,,,244.96M,141.06M,1.377B,-94.48M,,-94.48M,-0.704M,-73.40M,,-168.58M,0.00,0.00,0.932M,-750.00M,-749.07M,,-16.98M,-766.04M,2.209B,442.18M,-0.739M,2.650B,0.932M,0.00,,-750.00M,120.48M,27.08M
2019-08,793.00M,,193.00M,193.00M,9.00M,0.00,-3.00M,196.00M,,1.00M,-100.00M,,-192.00M,-97.00M,,,122.00M,-267.00M,922.00M,-89.00M,,-89.00M,0.00,-76.00M,,-165.00M,0.00,0.00,158.00M,-750.00M,-592.00M,,-32.00M,-624.00M,2.083B,133.00M,-7.00M,2.209B,158.00M,0.00,0.00,-750.00M,124.00M,47.00M
2019-05,633.00M,,187.00M,187.00M,8.00M,0.00,2.00M,204.00M,,1.00M,21.00M,,-77.00M,167.00M,,,-36.00M,75.00M,1.11B,-146.00M,,-146.00M,0.00,156.00M,,10.00M,0.00,0.00,2.00M,-750.00M,-748.00M,,-24.00M,-772.00M,1.739B,348.00M,-4.00M,2.083B,2.00M,0.00,0.00,-750.00M,56.00M,27.00M
2019-02,674.00M,,186.00M,186.00M,-19.00M,0.00,-42.00M,185.00M,,1.00M,65.00M,,-148.00M,-55.00M,,,166.00M,28.00M,1.013B,-65.00M,,-65.00M,-100.00M,33.00M,,-132.00M,0.00,0.00,72.00M,-500.00M,-428.00M,,-356.00M,-784.00M,1.643B,97.00M,-1.00M,1.739B,72.00M,0.00,0.00,-500.00M,52.00M,51.00M
2018-11,678.24M,,106.72M,106.72M,-50.82M,,3.908M,169.62M,,2.349M,-200.98M,,12.60M,114.92M,,,271.44M,197.98M,1.108B,-62.56M,,-62.56M,-4.681B,1.605B,,-3.139B,2.248B,2.248B,1.247M,-300.00M,-298.75M,,-24.86M,1.925B,1.747B,-106.15M,1.785M,1.643B,1.247M,,,-300.00M,68.70M,19.50M
2018-08,666.29M,,86.89M,86.89M,-18.04M,,-1.613M,159.04M,,1.221M,58.32M,,16.79M,-47.11M,,,33.52M,61.52M,955.30M,-63.56M,,-63.56M,-1.618B,161.65M,,-1.520B,0.815M,0.815M,125.06M,-750.00M,-624.94M,,-47.54M,-671.66M,2.988B,-1.237B,-4.151M,1.747B,125.06M,,0.815M,-750.00M,68.17M,24.25M
