,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-11,,4.478B,1.514B,5.992B,1.398B,,1.398B,,756.00M,,,8.146B,,,,,2.004B,,,2.004B,,2.004B,10.74B,1.359B,12.10B,,1.37B,663.00M,16.14B,24.28B,306.00M,63.00M,,369.00M,1.422B,1.791B,,,92.00M,92.00M,3.629B,3.629B,,,5.512B,4.117B,499.00M,4.616B,10.00M,130.00M,140.00M,,223.00M,5.508B,11.02B,0.00,19.61B,7.357B,13.55B,,,-158.00M,13.26B
2020-08,740.00M,3.767B,1.497B,5.264B,1.318B,,1.318B,,805.00M,,,7.387B,,,,,1.974B,,,1.974B,,1.974B,10.74B,1.445B,12.18B,,219.00M,650.00M,15.03B,22.41B,229.00M,260.00M,33.00M,522.00M,813.00M,1.335B,,,90.00M,90.00M,3.317B,3.317B,,5.00M,5.13B,4.116B,520.00M,4.636B,76.00M,131.00M,207.00M,,221.00M,5.571B,10.70B,0.00,17.38B,7.195B,12.71B,,,-153.00M,11.71B
2020-05,786.00M,3.044B,1.307B,4.351B,1.366B,,1.366B,,932.00M,,,6.649B,,,,,1.876B,,,1.876B,,1.876B,10.70B,1.535B,12.23B,,231.00M,617.00M,14.95B,21.60B,289.00M,240.00M,30.00M,559.00M,765.00M,1.324B,,,85.00M,85.00M,3.321B,3.321B,,5.00M,5.164B,4.114B,498.00M,4.612B,107.00M,140.00M,247.00M,,196.00M,5.558B,10.72B,0.00,16.43B,6.892B,12.24B,,,-195.00M,10.88B
2020-02,473.00M,2.688B,1.483B,4.171B,1.389B,,1.389B,,895.00M,,,6.455B,,,,,1.844B,,,1.844B,,1.844B,10.69B,1.626B,12.32B,,,598.00M,14.76B,21.21B,265.00M,223.00M,72.00M,560.00M,698.00M,1.258B,,,84.00M,84.00M,3.489B,3.489B,,8.00M,5.228B,4.113B,514.00M,4.627B,48.00M,125.00M,173.00M,,191.00M,5.521B,10.75B,0.00,15.39B,6.665B,11.40B,,,-189.00M,10.46B
2019-11,466.94M,2.650B,1.527B,4.177B,1.535B,,1.535B,,783.14M,,,6.495B,0.0,144.87M,790.19M,1.568B,,112.23M,246.24M,2.862B,-1.569B,1.293B,10.69B,1.721B,12.41B,,,562.70M,14.27B,20.76B,209.50M,138.55M,61.94M,409.99M,903.19M,1.313B,3.149B,3.149B,,3.149B,3.378B,3.378B,,32.53M,8.191B,988.92M,,988.92M,140.50M,122.73M,263.22M,,173.06M,2.041B,10.23B,0.061M,14.83B,6.505B,10.62B,,,-188.03M,10.53B
2019-08,437.25M,2.209B,1.442B,3.651B,1.372B,,1.372B,,727.61M,,,5.750B,,,,,,,,,,1.244B,10.69B,1.816B,12.50B,,,557.08M,14.30B,20.05B,187.00M,115.92M,59.56M,362.48M,785.44M,1.148B,3.149B,3.149B,,3.149B,3.120B,3.120B,,60.79M,7.803B,988.43M,,988.43M,129.40M,135.75M,265.15M,,169.79M,2.009B,9.812B,0.061M,13.98B,6.335B,9.875B,,,-193.95M,10.24B
2019-05,400.02M,2.083B,1.396B,3.479B,1.273B,,1.273B,,591.00M,,,5.343B,,,,,,,,,,1.205B,10.70B,1.917B,12.62B,,,503.22M,14.32B,19.67B,169.10M,108.88M,50.82M,328.80M,798.92M,1.128B,,3.146B,,3.146B,3.012B,3.012B,,,7.687B,987.94M,,987.94M,133.89M,122.52M,256.41M,,165.04M,2.047B,9.734B,0.061M,13.18B,6.051B,9.159B,,,-144.36M,9.932B
2019-02,341.36M,1.739B,1.487B,3.226B,1.342B,,1.342B,,565.12M,,,5.134B,,,,,,,,,,1.104B,10.71B,2.017B,12.72B,,,542.94M,14.37B,19.51B,145.29M,81.60M,51.92M,278.81M,695.99M,974.80M,,892.75M,,892.75M,3.084B,3.084B,,,5.314B,3.237B,,3.237B,125.66M,134.35M,260.01M,,168.43M,4.320B,9.634B,0.061M,12.58B,5.857B,8.415B,,,-150.43M,9.871B
2018-11,368.56M,1.643B,1.586B,3.229B,1.316B,,1.316B,,312.50M,,,4.857B,0.0,145.06M,770.59M,1.360B,,23.03M,181.99M,2.481B,-1.406B,1.075B,10.58B,2.069B,12.65B,,,186.52M,13.91B,18.77B,186.26M,93.23M,51.53M,331.02M,739.44M,1.070B,,,,,2.916B,2.916B,,0.816M,4.301B,4.125B,,4.125B,46.70M,137.63M,184.33M,,152.21M,5.105B,9.407B,0.061M,11.82B,5.685B,7.991B,,,-148.13M,9.362B
2018-08,386.93M,1.747B,3.197B,4.944B,1.045B,,1.045B,,311.94M,,,6.301B,,,,,,,,,,1.019B,7.137B,669.48M,7.806B,,85.30M,183.82M,9.095B,15.40B,145.57M,61.37M,42.74M,249.68M,498.58M,748.26M,,,,,2.615B,2.615B,,,3.792B,1.875B,,1.875B,0.00,92.18M,92.18M,,152.42M,2.742B,6.534B,0.061M,11.14B,5.549B,7.697B,,,-128.05M,8.862B
2018-05,345.48M,2.988B,3.346B,6.334B,1.075B,,1.075B,,332.50M,,,7.741B,,,,,,,,,,993.49M,5.824B,320.48M,6.144B,,117.97M,166.23M,7.422B,15.16B,117.19M,84.28M,42.05M,243.53M,509.09M,752.62M,,,,,2.543B,2.543B,,,3.729B,1.874B,,1.874B,,90.80M,90.80M,,152.49M,2.729B,6.458B,0.061M,10.47B,5.354B,6.990B,,,-129.23M,8.706B
2018-02,336.97M,2.667B,3.481B,6.148B,1.063B,,1.063B,,270.15M,,,7.481B,,,,,,,,,,991.67M,5.844B,353.74M,6.198B,,149.71M,153.65M,7.493B,14.97B,131.09M,58.83M,45.48M,235.40M,467.60M,703.00M,,,,,2.484B,2.484B,,,3.536B,1.875B,,1.875B,,88.46M,88.46M,,149.27M,2.803B,6.339B,0.061M,9.830B,5.209B,6.295B,,,-109.94M,8.634B
2017-11,280.49M,2.306B,3.514B,5.820B,1.218B,,1.218B,,210.07M,,,7.248B,0.0,77.72M,756.49M,1.244B,,5.575M,120.16M,2.203B,-1.267B,936.98M,5.822B,385.66M,6.207B,,,143.55M,7.288B,14.54B,113.54M,63.75M,46.41M,223.70M,640.95M,864.64M,,,,,2.406B,2.406B,,,3.527B,1.881B,,1.881B,279.94M,88.59M,368.53M,,125.19M,2.548B,6.076B,0.061M,9.574B,5.082B,6.084B,,,-111.82M,8.460B
2017-08,413.41M,1.775B,3.594B,5.368B,1.006B,,1.006B,,206.38M,,,6.581B,,,,,,,,,,939.81M,5.821B,420.67M,6.241B,0.00,,144.63M,7.326B,13.91B,90.33M,99.83M,39.67M,229.83M,476.10M,705.92M,,,,,2.137B,2.137B,,,3.216B,1.889B,,1.889B,276.27M,68.09M,344.36M,,113.63M,2.520B,5.736B,0.061M,9.072B,4.988B,5.792B,,,-98.63M,8.170B
2017-05,239.95M,1.317B,3.615B,4.932B,901.45M,,901.45M,,219.23M,,,6.052B,,,,,,,,,,924.11M,5.789B,453.83M,6.243B,0.00,,146.06M,7.313B,13.36B,77.90M,138.00M,26.77M,242.68M,441.18M,683.86M,,,,,2.006B,2.006B,,,3.048B,1.888B,,1.888B,279.65M,69.04M,348.69M,,112.30M,2.513B,5.561B,0.061M,8.653B,4.837B,5.539B,,,-146.75M,7.804B
2017-02,284.10M,1.069B,3.579B,4.648B,850.84M,,850.84M,,257.10M,,,5.756B,,,,,,,,,,821.73M,5.754B,489.20M,6.243B,80.44M,,144.28M,7.289B,13.04B,191.48M,52.67M,24.22M,268.38M,425.38M,693.76M,,,,,1.988B,1.988B,,,2.954B,1.884B,,1.884B,286.41M,72.24M,358.64M,,110.51M,2.502B,5.456B,0.061M,8.299B,4.720B,5.245B,,,-185.41M,7.589B
2016-11,208.64M,1.011B,3.750B,4.761B,833.03M,,833.03M,,245.44M,,,5.840B,0.0,77.34M,584.63M,1.146B,,7.648M,110.41M,1.926B,-1.110B,816.26M,5.406B,414.40M,5.821B,80.44M,,139.89M,6.857B,12.70B,88.02M,81.48M,25.09M,194.59M,331.94M,526.53M,,,,,1.946B,1.946B,,,2.812B,1.892B,,1.892B,217.66M,69.13M,286.79M,,97.40M,2.461B,5.272B,0.061M,8.115B,4.616B,5.132B,,,-173.60M,7.425B
2016-08,182.42M,767.67M,3.679B,4.446B,731.17M,,731.17M,,241.15M,,,5.419B,,,,,,,,,,811.52M,5.433B,454.23M,5.887B,80.44M,,169.36M,6.949B,12.37B,83.44M,48.12M,20.31M,151.88M,295.64M,447.52M,,,,,1.745B,1.745B,,,2.506B,1.917B,,1.917B,238.46M,52.70M,291.16M,,99.94M,2.584B,5.089B,0.061M,7.715B,4.542B,4.845B,,,-134.11M,7.278B
2016-05,283.68M,886.38M,3.432B,4.318B,666.74M,,666.74M,,253.42M,,,5.239B,,,,,,,,,,796.08M,5.445B,494.19M,5.939B,80.44M,,162.95M,6.978B,12.22B,75.58M,50.15M,23.10M,148.83M,300.07M,448.90M,,,,,1.633B,1.633B,,,2.386B,1.918B,,1.918B,245.61M,48.41M,294.02M,,96.95M,2.583B,4.968B,0.061M,7.444B,4.428B,4.491B,,,-133.05M,7.249B
2016-02,423.34M,830.70M,3.267B,4.098B,599.21M,,599.21M,,238.30M,,,4.935B,,,,,,,,,,794.88M,5.389B,518.69M,5.908B,80.44M,,178.29M,6.961B,11.90B,71.71M,33.86M,19.04M,124.61M,292.13M,416.74M,,,,,1.564B,1.564B,,,2.232B,1.917B,,1.917B,265.75M,44.84M,310.59M,,94.95M,2.584B,4.815B,0.061M,7.221B,4.292B,4.281B,,,-151.68M,7.081B
2015-11,352.37M,876.56M,3.112B,3.988B,672.01M,,672.01M,,161.80M,,,4.822B,0.0,70.73M,547.69M,1.029B,,12.39M,98.32M,1.759B,-971.20M,787.42M,5.367B,510.01M,5.877B,80.44M,,159.83M,6.905B,11.73B,93.31M,34.16M,23.33M,150.80M,315.78M,466.58M,,,,,1.434B,1.434B,,,2.214B,1.907B,,1.907B,208.21M,51.09M,259.30M,,88.67M,2.511B,4.725B,0.061M,7.253B,4.185B,4.268B,,,-169.08M,7.002B
2015-08,345.62M,829.29M,2.839B,3.669B,593.55M,,593.55M,,181.16M,82.44M,,4.526B,,,,,,,,,,797.46M,5.402B,556.81M,5.959B,80.44M,,145.64M,6.983B,11.51B,69.82M,91.31M,19.76M,180.90M,332.90M,513.79M,,,,,1.260B,1.260B,,,2.061B,1.906B,,1.906B,316.14M,46.32M,362.46M,3.142M,83.98M,2.606B,4.667B,0.061M,7.050B,4.094B,4.162B,,,-140.83M,6.841B
2015-05,189.34M,956.15M,2.457B,3.413B,502.62M,,502.62M,,191.31M,71.22M,,4.178B,,,,,,,,,,785.20M,5.389B,583.20M,5.972B,80.44M,,149.18M,6.987B,11.17B,56.54M,76.32M,15.01M,147.87M,317.02M,464.89M,,,,,1.176B,1.176B,,,1.937B,1.904B,,1.904B,326.92M,52.61M,379.54M,4.347M,85.19M,2.618B,4.555B,0.061M,6.879B,3.995B,4.135B,,,-129.47M,6.610B
2015-02,196.16M,712.88M,2.464B,3.177B,532.43M,,532.43M,,202.44M,60.47M,,3.972B,,,,,,,,,,784.31M,5.396B,629.32M,6.025B,80.44M,,146.02M,7.036B,11.01B,71.67M,42.09M,15.09M,128.86M,308.40M,437.26M,,0.064M,,0.064M,1.130B,1.130B,,,1.788B,1.902B,,1.902B,348.64M,53.57M,402.21M,4.495M,77.92M,2.631B,4.419B,0.061M,6.757B,3.898B,3.962B,,,-103.81M,6.589B
2014-11,348.28M,1.117B,2.622B,3.739B,591.80M,,591.80M,,175.76M,95.28M,,4.602B,0.0,106.28M,320.41M,963.31M,,68.65M,240.51M,1.699B,-914.03M,785.12M,4.722B,469.66M,5.192B,80.44M,,126.32M,6.184B,10.79B,68.38M,48.58M,15.07M,132.03M,340.58M,472.60M,599.96M,599.96M,3.269M,603.23M,1.098B,1.098B,,,2.494B,911.09M,,911.09M,342.32M,57.40M,399.72M,5.194M,73.75M,1.515B,4.010B,0.061M,6.924B,3.778B,3.919B,,,-8.094M,6.776B
