,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,1.131B,,,,,,,97.00M,97.00M,-18.00M,,73.00M,,5.00M,-156.00M,48.00M,197.00M,-18.00M,,-44.00M,27.00M,1.315B,-162.00M,,,0.00,21.00M,,-141.00M,0.00,,0.00,83.00M,-50.00M,33.00M,-200.00M,-200.00M,-6.00M,-173.00M,4.465B,1.001B,,5.466B,83.00M,0.00,0.00,-50.00M,23.00M,68.00M
2020-07,841.00M,,,,,,,94.00M,94.00M,79.00M,,70.00M,,33.00M,-179.00M,-217.00M,38.00M,-31.00M,,139.00M,-250.00M,867.00M,-87.00M,,,-80.00M,175.00M,,8.00M,-1.401B,,-1.401B,0.00,-200.00M,-200.00M,-202.00M,-202.00M,-3.00M,-1.806B,5.396B,-931.00M,,4.465B,0.00,1.481B,-2.882B,-200.00M,238.00M,41.00M
2020-04,755.00M,,,,,,,91.00M,91.00M,-11.00M,,71.00M,,7.00M,54.00M,-254.00M,65.00M,-13.00M,,-130.00M,-278.00M,635.00M,-71.00M,,,-27.00M,263.00M,,165.00M,1.498B,,1.498B,76.00M,-199.00M,-123.00M,-193.00M,-193.00M,-10.00M,1.172B,3.424B,1.972B,,5.396B,76.00M,1.498B,,-199.00M,199.00M,76.00M
2020-01,892.00M,,,,,,,94.00M,94.00M,30.00M,,93.00M,,15.00M,-146.00M,2.00M,17.00M,-99.00M,,89.00M,-137.00M,987.00M,-102.00M,,,,-60.00M,,-162.00M,,,,15.00M,-200.00M,-185.00M,-192.00M,-192.00M,-153.00M,-530.00M,3.129B,295.00M,,3.424B,15.00M,,,-200.00M,82.00M,34.00M
2019-10,698.00M,,,,,,,92.00M,92.00M,-8.00M,,66.00M,,0.00,-160.00M,66.00M,186.00M,7.00M,,-121.00M,-22.00M,826.00M,-97.00M,,,0.00,11.00M,,-86.00M,0.00,,0.00,72.00M,-500.00M,-428.00M,-194.00M,-194.00M,-3.00M,-625.00M,3.014B,115.00M,,3.129B,72.00M,0.00,0.00,-500.00M,69.00M,76.00M
2019-07,571.00M,,,,,,,89.00M,89.00M,8.00M,,67.00M,,-10.00M,-107.00M,138.00M,20.00M,-84.00M,,95.00M,62.00M,787.00M,-93.00M,,,-5.00M,-64.00M,,-162.00M,0.00,,0.00,0.00,-528.00M,-528.00M,-196.00M,-196.00M,-3.00M,-727.00M,3.116B,-102.00M,,3.014B,0.00,0.00,0.00,-528.00M,221.00M,33.00M
2019-04,666.00M,,,,,,,94.00M,94.00M,8.00M,,65.00M,,-10.00M,181.00M,26.00M,-137.00M,-85.00M,,-8.00M,-23.00M,800.00M,-118.00M,,,-23.00M,12.00M,,-129.00M,0.00,,0.00,73.00M,-625.00M,-552.00M,-189.00M,-189.00M,-6.00M,-747.00M,3.192B,-76.00M,,3.116B,73.00M,0.00,,-625.00M,198.00M,76.00M
2019-01,771.00M,,,,,,,88.00M,88.00M,41.00M,,65.00M,,1.00M,-121.00M,18.00M,-272.00M,76.00M,,167.00M,-132.00M,834.00M,-133.00M,,,,67.00M,,-66.00M,,,,0.00,-750.00M,-750.00M,-192.00M,-192.00M,-74.00M,-1.016B,3.44B,-248.00M,,3.192B,0.00,,,-750.00M,34.00M,34.00M
2018-10,757.00M,,,,,,,120.00M,120.00M,-23.00M,,65.00M,,0.00,559.00M,-155.00M,81.00M,-201.00M,,-126.00M,158.00M,1.077B,-165.00M,,,-1.00M,37.00M,,-129.00M,,,,68.00M,-751.00M,-683.00M,-195.00M,-195.00M,-4.00M,-882.00M,3.374B,66.00M,,3.44B,68.00M,,,-751.00M,19.00M,76.00M
2018-07,1.016B,,,,,,,110.00M,110.00M,22.00M,,64.00M,,-7.00M,-217.00M,-319.00M,12.00M,36.00M,,-84.00M,-572.00M,633.00M,-133.00M,,,0.00,-541.00M,,-674.00M,,,,0.00,-1.25B,-1.25B,-199.00M,-199.00M,-6.00M,-1.455B,4.87B,-1.496B,,3.374B,0.00,,,-1.25B,64.00M,33.00M
2018-04,1.10B,,,,,,,108.00M,108.00M,40.00M,,64.00M,,-54.00M,-482.00M,-329.00M,283.00M,-112.00M,,-72.00M,-712.00M,611.00M,-121.00M,,,0.00,143.00M,,22.00M,,,,56.00M,-2.50B,-2.444B,-105.00M,-105.00M,-13.00M,-2.562B,6.799B,-1.929B,,4.87B,56.00M,,,-2.50B,295.00M,144.00M
2018-01,165.00M,,,,,,,119.00M,119.00M,32.00M,,65.00M,,65.00M,156.00M,-211.00M,680.00M,78.00M,,382.00M,1.085B,1.466B,-203.00M,,,-5.00M,1.56B,,1.352B,,,,,-782.00M,-782.00M,-106.00M,-106.00M,-141.00M,-1.029B,5.01B,1.789B,,6.799B,,,,-782.00M,-78.00M,-34.00M
2017-10,1.067B,,,,,,,105.00M,105.00M,-18.00M,,58.00M,,-24.00M,-63.00M,16.00M,86.00M,-42.00M,,-476.00M,-479.00M,709.00M,-124.00M,,,-12.00M,-393.00M,,-529.00M,0.00,,0.00,50.00M,-385.00M,-335.00M,-107.00M,-107.00M,-6.00M,-448.00M,5.278B,-268.00M,,5.01B,50.00M,0.00,0.00,-385.00M,26.00M,76.00M
2017-07,925.00M,,,,,,,102.00M,102.00M,-3.00M,,55.00M,,6.00M,124.00M,-266.00M,175.00M,-84.00M,,343.00M,292.00M,1.377B,-80.00M,,,-30.00M,-239.00M,,-349.00M,-205.00M,,-205.00M,1.00M,-375.00M,-374.00M,-107.00M,-107.00M,-8.00M,-694.00M,4.944B,334.00M,,5.278B,1.00M,0.00,-205.00M,-375.00M,103.00M,35.00M
2017-04,824.00M,,,,,,,103.00M,103.00M,-16.00M,,53.00M,,0.00,-9.00M,-328.00M,151.00M,-30.00M,,163.00M,-53.00M,911.00M,-77.00M,,,-26.00M,-1.178B,,-1.281B,2.176B,,2.176B,46.00M,-282.00M,-236.00M,-108.00M,-108.00M,-9.00M,1.823B,3.491B,1.453B,,4.944B,46.00M,2.176B,,-282.00M,30.00M,41.00M
2017-01,703.00M,,,,,,,97.00M,97.00M,25.00M,,54.00M,,9.00M,-89.00M,-231.00M,-41.00M,,,265.00M,-96.00M,792.00M,-64.00M,,,,-303.00M,,-367.00M,,,,,-130.00M,-130.00M,-108.00M,-108.00M,-102.00M,-340.00M,3.406B,85.00M,,3.491B,,,,-130.00M,35.00M,34.00M
2016-10,610.00M,,,,,,,100.00M,100.00M,7.00M,,51.00M,18.00M,18.00M,-430.00M,-24.00M,403.00M,-22.00M,,166.00M,93.00M,897.00M,-88.00M,,,-11.00M,110.00M,,11.00M,0.00,,0.00,44.00M,-171.00M,-127.00M,-108.00M,-108.00M,-95.00M,-330.00M,2.828B,578.00M,,3.406B,44.00M,0.00,0.00,-171.00M,-301.00M,-261.00M
2016-07,505.00M,,,,,,,97.00M,97.00M,21.00M,,48.00M,-5.00M,5.00M,63.00M,-100.00M,165.00M,-2.00M,,184.00M,310.00M,981.00M,-50.00M,,,3.00M,-275.00M,,-322.00M,-2.00M,,-2.00M,0.00,-196.00M,-196.00M,-108.00M,-108.00M,5.00M,-301.00M,2.47B,358.00M,,2.828B,0.00,0.00,-2.00M,-196.00M,239.00M,186.00M
2016-04,320.00M,,,,,,,96.00M,96.00M,-22.00M,,48.00M,-3.00M,5.00M,-288.00M,-90.00M,207.00M,68.00M,,140.00M,37.00M,481.00M,-47.00M,,,-8.00M,50.00M,,-5.00M,0.00,,0.00,42.00M,-900.00M,-858.00M,-113.00M,-113.00M,3.00M,-968.00M,2.962B,-492.00M,,2.47B,42.00M,0.00,0.00,-900.00M,-139.00M,-110.00M
2016-01,286.00M,,,,,,,96.00M,96.00M,15.00M,,54.00M,-10.00M,10.00M,113.00M,-2.00M,-418.00M,-14.00M,,77.00M,-244.00M,207.00M,-68.00M,,,,-41.00M,,-109.00M,-1.205B,,-1.205B,2.00M,-625.00M,-623.00M,-115.00M,-115.00M,10.00M,-1.933B,4.797B,-1.835B,,2.962B,2.00M,,-1.205B,-625.00M,44.00M,34.00M
2015-10,336.00M,,,,,,,96.00M,96.00M,-159.00M,,46.00M,-2.00M,-11.00M,261.00M,-94.00M,89.00M,28.00M,,-119.00M,165.00M,471.00M,-53.00M,,,-2.00M,-2.00M,,-57.00M,2.581B,,2.581B,45.00M,-700.00M,-655.00M,-119.00M,-119.00M,2.00M,1.809B,2.574B,2.223B,,4.797B,45.00M,,0.00,-700.00M,149.00M,7.00M
2015-07,329.00M,,,,,,,93.00M,93.00M,18.00M,,46.00M,-3.00M,43.00M,-194.00M,-26.00M,-107.00M,145.00M,,-10.00M,-192.00M,334.00M,-49.00M,,,-2.00M,-33.00M,,-84.00M,0.00,,0.00,1.00M,-625.00M,-624.00M,-123.00M,-123.00M,3.00M,-744.00M,3.067B,-494.00M,1.00M,2.574B,1.00M,,0.00,-625.00M,51.00M,39.00M
2015-04,364.00M,,,,,,,90.00M,90.00M,-21.00M,,47.00M,-12.00M,13.00M,-218.00M,-72.00M,56.00M,-70.00M,,121.00M,-183.00M,298.00M,-64.00M,,,0.00,-26.00M,,-90.00M,0.00,,0.00,42.00M,0.00,42.00M,-123.00M,-123.00M,12.00M,-69.00M,2.929B,139.00M,-1.00M,3.067B,42.00M,,0.00,0.00,118.00M,7.00M
2015-01,348.00M,,,,,,,92.00M,92.00M,28.00M,,48.00M,-39.00M,8.00M,90.00M,-74.00M,-195.00M,-77.00M,,-169.00M,-425.00M,60.00M,-49.00M,,,,-1.00M,,-50.00M,0.00,,0.00,0.00,0.00,0.00,-122.00M,-122.00M,39.00M,-83.00M,3.002B,-73.00M,,2.929B,0.00,,0.00,0.00,89.00M,39.00M
2014-10,256.00M,,,,,,,94.00M,94.00M,-12.00M,,45.00M,-4.00M,-93.00M,-32.00M,-21.00M,283.00M,,,-241.00M,15.00M,407.00M,-63.00M,,,,-3.00M,,-53.00M,,,,40.00M,0.00,40.00M,-122.00M,-122.00M,4.00M,-78.00M,2.726B,276.00M,,3.002B,40.00M,,,0.00,87.00M,7.00M
2014-07,301.00M,,,,,,,93.00M,93.00M,49.00M,,44.00M,-1.00M,43.00M,-7.00M,18.00M,9.00M,,,78.00M,98.00M,584.00M,-65.00M,,,,-127.00M,,-192.00M,,,,1.00M,0.00,1.00M,-121.00M,-121.00M,1.00M,-119.00M,2.453B,273.00M,,2.726B,1.00M,,,0.00,167.00M,131.00M
2014-04,262.00M,,24.00M,,24.00M,,,94.00M,94.00M,12.00M,,42.00M,-7.00M,35.00M,-105.00M,-32.00M,15.00M,,,132.00M,10.00M,437.00M,-65.00M,,,,-4.00M,,-69.00M,,,,56.00M,,56.00M,-122.00M,-122.00M,7.00M,-59.00M,2.144B,309.00M,0.00,2.453B,56.00M,,,,-85.00M,-85.00M
2014-01,253.00M,,-24.00M,,-24.00M,,,94.00M,94.00M,9.00M,,46.00M,-18.00M,28.00M,123.00M,-119.00M,-86.00M,,,94.00M,12.00M,372.00M,-48.00M,,,,201.00M,,153.00M,,,,10.00M,,10.00M,-120.00M,-120.00M,18.00M,-92.00M,1.711B,433.00M,,2.144B,10.00M,,,,26.00M,39.00M
