,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-09,2.840B,2.840B,2.086B,754.30M,559.64M,-6.992M,11.11M,2.294M,-8.817M,,559.64M,194.66M,2.294M,11.11M,-8.817M,-8.691M,-8.817M,177.16M,29.00M,151.81M,-0.029M,,-10.09M,141.70M,147.57M,232.84M,44.57M,188.27M,,1.00,0.00,,1.041,1.00,,0.99,0.00,,1.031,0.99,,142.36M,143.09M,,AOR,
2020-06,1.684B,1.684B,1.230B,454.29M,445.79M,-15.93M,10.49M,1.997M,-8.489M,,445.79M,8.501M,1.997M,10.49M,-8.489M,-16.22M,-8.489M,-16.21M,-0.95M,-13.85M,,0.585M,2.47M,-10.80M,3.612M,41.38M,47.11M,-5.727M,,-0.08,0.00,0.00,0.0253,-0.08,,-0.08,0.00,0.0041,0.0253,-0.08,,142.35M,142.35M,,AOR,
2020-03,2.429B,2.429B,1.683B,746.04M,567.39M,-4.787M,7.812M,3.19M,-4.622M,,567.39M,178.65M,3.19M,7.812M,-4.622M,-5.007M,-4.622M,169.02M,37.91M,133.85M,-0.282M,,-3.304M,130.26M,134.26M,225.82M,48.98M,176.84M,,0.91,0.00,,0.9360,0.91,,0.91,0.00,,0.9360,0.91,,142.97M,143.10M,,AOR,
2019-12,2.669B,2.669B,1.858B,810.60M,615.32M,1.059M,9.333M,3.389M,-5.944M,,615.32M,195.28M,3.389M,9.333M,-5.944M,0.152M,-5.944M,189.48M,42.19M,150.42M,-0.747M,,-6.583M,329.86M,143.02M,247.55M,48.73M,198.82M,,2.27,-0.01,0.0000,2.264,2.27,,2.25,-0.01,1.270,2.244,2.24,,145.46M,147.27M,,AOR,
2019-09,2.509B,2.509B,1.748B,761.17M,574.77M,0.802M,12.37M,3.943M,-8.43M,,574.77M,186.40M,3.943M,12.37M,-8.43M,0.625M,-8.43M,178.59M,41.96M,143.21M,5.641M,,-8.296M,140.56M,134.30M,237.82M,46.86M,190.96M,,0.92,0.04,,0.9158,0.96,,0.91,0.04,,0.9059,0.95,,147.14M,148.58M,,AOR,Restated
2019-06,2.448B,2.448B,1.680B,767.43M,593.22M,-11.92M,12.78M,3.654M,-9.131M,,593.22M,174.21M,3.654M,12.78M,-9.131M,-13.34M,-9.131M,151.74M,35.88M,121.42M,,-2.221M,-4.664M,114.53M,125.85M,213.58M,49.06M,164.53M,,0.79,-0.01,0.00,0.8514,0.77,,0.78,-0.01,-0.0150,0.8409,0.77,,148.15M,149.42M,,AOR,Restated
2019-03,2.360B,2.360B,1.609B,751.69M,574.61M,-4.641M,16.30M,4.771M,-11.53M,,574.61M,177.08M,4.771M,16.30M,-11.53M,-5.06M,-11.53M,160.49M,39.48M,123.64M,-8.996M,,-4.861M,109.78M,122.28M,217.09M,40.30M,176.79M,,0.79,-0.06,,0.8133,0.73,,0.78,-0.06,,0.8032,0.73,,150.26M,151.16M,,AOR,Restated
2018-12,2.473B,2.473B,1.722B,750.93M,558.28M,-34.64M,21.45M,4.386M,-17.06M,,558.28M,192.65M,4.386M,21.45M,-17.06M,-36.13M,-17.06M,139.46M,20.78M,124.89M,,-97.56M,-6.037M,132.97M,148.33M,197.60M,36.70M,160.90M,,0.8762,0.10,0.00,1.071,0.88,,0.8692,0.10,0.00,1.062,0.87,,151.71M,152.88M,,AOR,Restated
2018-09,2.356B,2.356B,1.633B,722.36M,552.05M,-47.04M,20.43M,3.928M,-16.50M,,552.05M,170.31M,3.928M,20.43M,-16.50M,-47.62M,-16.50M,106.18M,16.63M,96.25M,,30.73M,-5.498M,121.48M,130.40M,162.39M,35.78M,126.61M,,0.60,0.20,0.00,0.8600,0.80,,0.59,0.20,0.2000,0.8481,0.79,,152.53M,153.61M,,AOR,Restated
2018-06,2.316B,2.316B,1.598B,718.33M,552.72M,-8.497M,17.24M,3.724M,-13.51M,,552.72M,165.60M,3.724M,17.24M,-13.51M,-8.934M,-13.51M,143.16M,33.88M,114.59M,,32.92M,-6.297M,141.21M,114.78M,195.84M,35.44M,160.40M,,0.72,0.20,0.00,0.7623,0.92,,0.72,0.20,0.2135,0.7620,0.92,,153.35M,154.19M,,AOR,Restated
2018-03,2.273B,2.273B,1.554B,719.13M,554.21M,-2.675M,16.90M,3.453M,-13.45M,,554.21M,164.92M,3.453M,16.90M,-13.45M,-3.425M,-13.45M,148.04M,36.14M,114.72M,,33.91M,-8.413M,140.22M,108.33M,200.65M,35.71M,164.94M,,0.73,0.19,0.00,0.7432,0.92,,0.72,0.19,0.2200,0.7331,0.91,,153.11M,154.13M,,AOR,Restated
2017-12,-260.05M,-260.05M,-508.57M,248.52M,196.93M,0.00,14.01M,-0.766M,-14.78M,,196.93M,51.58M,-0.766M,14.01M,-14.78M,-1.828M,-14.78M,34.98M,152.70M,-114.67M,,,-17.04M,-8.535M,-131.72M,48.99M,-7.423M,48.99M,,0.0587,,0.00,0.0587,-0.06,,0.0587,,-0.1137,0.0587,-0.06,,154.99M,156.23M,,AOR,Restated
2017-09,3.161B,3.161B,2.325B,836.05M,622.51M,0.00,13.43M,4.793M,-8.635M,,622.51M,213.55M,4.793M,13.43M,-8.635M,-0.194M,-8.635M,204.72M,59.34M,150.95M,,,-12.92M,138.03M,138.03M,266.89M,48.74M,218.15M,,0.88,,,0.88,0.88,,0.87,,,0.87,0.87,,156.91M,158.27M,,AOR,Restated
2017-06,3.059B,3.059B,2.220B,839.17M,628.51M,,12.20M,4.107M,-8.091M,,628.51M,210.66M,4.107M,12.20M,-8.091M,0.728M,-8.091M,203.30M,58.31M,149.58M,,,-13.53M,136.06M,136.06M,263.29M,47.79M,215.50M,,0.86,,,0.86,0.86,,0.86,,,0.86,0.86,,157.75M,159.08M,,AOR,Restated
2017-03,2.923B,2.923B,2.100B,822.92M,628.95M,0.00,11.43M,4.304M,-7.126M,,628.95M,193.97M,4.304M,11.43M,-7.126M,-0.045M,-7.126M,186.80M,38.63M,150.25M,,,-9.505M,140.75M,140.75M,242.98M,44.75M,198.23M,,0.89,,,0.89,0.89,,0.88,,,0.88,0.88,,157.72M,159.76M,,AOR,Restated
2016-12,3.121B,3.121B,2.261B,859.49M,629.42M,-16.08M,9.911M,3.23M,-6.681M,,629.42M,230.06M,3.23M,9.911M,-6.681M,-16.41M,-6.681M,206.97M,58.86M,153.47M,,,-14.26M,139.22M,150.72M,260.84M,43.95M,216.88M,,0.875,,,0.9475,0.875,,0.865,,,0.9365,0.865,,158.76M,160.99M,,AOR,Restated
2016-09,2.865B,2.865B,2.077B,787.68M,581.58M,-5.37M,7.488M,3.141M,-4.347M,,581.58M,206.09M,3.141M,7.488M,-4.347M,-5.569M,-4.347M,196.18M,56.60M,145.29M,,,-11.58M,133.71M,137.53M,246.09M,42.43M,203.66M,,0.83,,,0.8536,0.83,,0.82,,,0.8433,0.82,,161.79M,163.71M,,AOR,Restated
2016-06,2.873B,2.873B,2.071B,801.47M,600.41M,-20.38M,7.367M,3.556M,-3.811M,,600.41M,201.06M,3.556M,7.367M,-3.811M,-20.12M,-3.811M,177.13M,48.96M,133.10M,,,-13.00M,120.10M,134.85M,226.93M,42.43M,184.50M,,0.735,,,0.8256,0.735,,0.73,,,0.8196,0.73,,162.92M,164.79M,,AOR,Restated
2016-03,2.713B,2.713B,1.935B,777.84M,597.59M,-4.058M,7.127M,3.348M,-3.779M,,597.59M,180.25M,3.348M,7.127M,-3.779M,-0.921M,-3.779M,175.55M,53.53M,124.53M,,,-10.78M,113.75M,116.57M,223.65M,40.97M,182.68M,,0.695,,,0.7123,0.695,,0.685,,,0.7020,0.685,,163.14M,165.48M,,AOR,Restated
2015-12,2.851B,2.851B,2.057B,793.97M,580.87M,-12.41M,7.158M,3.094M,-4.064M,,580.87M,213.10M,3.094M,7.158M,-4.064M,-12.22M,-4.064M,196.82M,59.25M,140.84M,,,-10.90M,129.95M,138.62M,244.22M,40.24M,203.98M,,0.7913,,,0.8441,0.79,,0.7773,,,0.8292,0.78,,164.50M,167.13M,,AOR,Restated
2015-09,2.686B,2.686B,1.937B,748.91M,551.59M,-8.438M,6.297M,3.129M,-3.168M,,551.59M,197.32M,3.129M,6.297M,-3.168M,-8.715M,-3.168M,185.44M,49.23M,141.40M,,,-13.66M,127.74M,133.94M,234.45M,42.72M,191.73M,,0.77,,,0.8074,0.77,,0.76,,,0.7969,0.76,,165.72M,168.17M,,AOR,Restated
2015-06,2.629B,2.629B,1.879B,750.68M,560.43M,-7.222M,6.29M,3.257M,-3.033M,,560.43M,190.25M,3.257M,6.29M,-3.033M,-7.399M,-3.033M,179.82M,53.78M,129.61M,,,-11.68M,117.93M,122.99M,225.14M,39.03M,186.11M,,0.71,,,0.7405,0.71,,0.70,,,0.7300,0.70,,166.11M,168.50M,,AOR,Restated
2015-03,2.464B,2.464B,1.750B,713.40M,545.17M,-6.862M,6.263M,3.455M,-2.808M,,545.17M,168.23M,3.455M,6.263M,-2.808M,-6.742M,-2.808M,158.68M,49.13M,111.58M,,,-8.133M,103.45M,108.18M,202.09M,37.15M,164.94M,,0.62,,,0.6484,0.62,,0.61,,,0.6379,0.61,,166.46M,169.43M,,AOR,Restated
2014-12,2.702B,2.702B,1.938B,764.46M,561.52M,0.00,6.849M,3.332M,-3.517M,,561.52M,202.94M,3.332M,6.849M,-3.517M,0.444M,-3.517M,199.87M,59.36M,143.96M,,,-10.99M,132.97M,132.97M,246.29M,39.57M,206.72M,,0.7957,,0.00,0.7957,0.795,,0.7819,,0.00,0.7819,0.78,,167.08M,170.41M,,AOR,Restated
2014-09,2.624B,2.624B,1.902B,721.67M,547.58M,0.00,6.28M,3.452M,-2.828M,,547.58M,174.09M,3.452M,6.28M,-2.828M,-0.484M,-2.828M,170.78M,51.30M,124.24M,,,-9.46M,114.78M,114.78M,216.24M,39.18M,177.06M,,0.68,,,0.68,0.68,,0.67,,,0.67,0.67,,168.19M,170.90M,,AOR,Restated
2014-06,2.615B,2.615B,1.887B,728.47M,547.63M,0.00,5.67M,3.416M,-2.254M,,547.63M,180.84M,3.416M,5.67M,-2.254M,1.032M,-2.254M,179.62M,55.32M,127.12M,,,-10.88M,116.24M,116.24M,222.64M,37.35M,185.29M,,0.685,,,0.685,0.685,,0.675,,,0.675,0.675,,169.24M,171.96M,,AOR,Restated
2014-03,2.430B,2.430B,1.733B,696.71M,539.44M,0.00,5.258M,3.455M,-1.803M,,539.44M,157.27M,3.455M,5.258M,-1.803M,3.58M,-1.803M,159.04M,49.62M,110.13M,,,-8.029M,102.10M,102.10M,200.44M,36.14M,164.30M,,0.60,,,0.60,0.60,,0.59,,,0.59,0.59,,169.62M,173.04M,,AOR,Restated
2013-12,2.526B,2.526B,1.827B,699.52M,512.64M,,4.87M,3.109M,-1.761M,,512.64M,186.88M,3.109M,4.87M,-1.761M,1.466M,-1.761M,186.59M,55.60M,134.97M,,0.00,-10.70M,124.27M,124.27M,223.41M,31.95M,191.46M,,0.7292,,0.00,0.7292,0.73,,0.7163,,-0.0002,0.7163,0.72,,170.16M,173.17M,,AOR,Restated
2013-09,2.349B,2.349B,1.709B,639.65M,479.17M,,5.051M,3.236M,-1.815M,,479.17M,160.48M,3.236M,5.051M,-1.815M,1.263M,-1.815M,159.92M,34.66M,128.91M,,-12.54M,-8.994M,107.38M,119.91M,196.82M,31.84M,164.98M,,0.7000,,0.00,0.7000,0.625,,0.6860,,-0.0732,0.6860,0.615,,171.29M,174.81M,,AOR,Restated
2013-06,2.392B,2.392B,1.722B,669.86M,493.79M,,4.89M,3.303M,-1.587M,,493.79M,176.06M,3.303M,4.89M,-1.587M,-0.034M,-1.587M,174.44M,54.78M,121.44M,,,-13.00M,108.43M,108.43M,211.18M,31.84M,179.33M,,0.63,,,0.63,0.63,,0.615,,,0.615,0.615,,172.74M,175.94M,,AOR,Restated
2013-03,2.294B,2.294B,1.647B,646.99M,493.36M,,12.73M,3.205M,-9.522M,,493.36M,153.63M,3.205M,12.73M,-9.522M,-0.37M,-9.522M,143.74M,45.85M,98.69M,,,-7.208M,91.48M,91.48M,188.86M,32.39M,156.46M,,0.53,,,0.53,0.53,,0.515,,,0.515,0.515,,173.31M,177.58M,,AOR,Restated
2012-12,2.408B,2.408B,1.745B,663.50M,482.15M,0.00,8.243M,3.172M,-5.071M,,482.15M,181.34M,3.172M,8.243M,-5.071M,0.392M,-5.071M,176.66M,54.11M,121.72M,,,-9.248M,112.47M,112.47M,218.24M,33.33M,184.91M,,0.6476,,,0.6476,0.65,,0.6302,,,0.6302,0.63,,173.18M,178.13M,,AOR,Restated
2012-09,2.231B,2.231B,1.622B,609.04M,459.42M,0.00,7.308M,3.283M,-4.025M,,459.42M,149.62M,3.283M,7.308M,-4.025M,0.988M,-4.025M,146.58M,44.71M,105.31M,,,-8.539M,96.77M,96.77M,184.49M,30.60M,153.89M,,0.555,,,0.555,0.555,,0.54,,,0.54,0.54,,174.93M,179.29M,,AOR,Restated
2012-06,2.201B,2.201B,1.577B,624.40M,466.33M,-3.36M,7.711M,3.609M,-4.102M,,466.33M,158.06M,3.609M,7.711M,-4.102M,-2.53M,-4.102M,151.43M,47.20M,107.30M,,,-9.216M,98.09M,100.40M,190.11M,30.97M,159.14M,,0.555,,,0.5681,0.555,,0.54,,,0.5528,0.54,,176.98M,181.11M,,AOR,Restated
2012-03,2.099B,2.099B,1.488B,610.58M,465.45M,-11.83M,7.64M,3.33M,-4.31M,,465.45M,145.13M,3.33M,7.64M,-4.31M,-11.31M,-4.31M,129.51M,41.84M,89.06M,,,-8.309M,80.75M,88.76M,167.57M,30.42M,137.15M,,0.46,,,0.5054,0.46,,0.445,,,0.4892,0.445,,176.43M,181.33M,,AOR,Restated
2011-12,2.340B,2.340B,1.688B,652.59M,489.22M,-1.313M,7.577M,3.638M,-3.939M,,489.22M,163.37M,3.638M,7.577M,-3.939M,0.629M,-3.939M,160.06M,49.46M,115.82M,,,-11.09M,104.73M,105.64M,197.50M,29.86M,167.64M,,0.59,0.00,,0.5951,0.59,,0.575,0.00,,0.5800,0.575,,177.47M,181.79M,,AOR,Restated
2011-09,2.112B,2.112B,1.524B,587.42M,444.16M,0.232M,6.813M,3.83M,-2.983M,,444.16M,143.26M,3.83M,6.813M,-2.983M,0.232M,-2.983M,140.51M,44.26M,100.81M,,,-8.847M,91.96M,91.80M,175.89M,28.57M,147.32M,,0.51,0.00,,0.5091,0.51,,0.495,0.00,,0.4941,0.495,,180.50M,185.74M,,AOR,Restated
2011-06,2.131B,2.131B,1.518B,612.22M,461.01M,0.758M,7.902M,4.192M,-3.71M,,461.01M,151.22M,4.192M,7.902M,-3.71M,0.758M,-3.71M,148.26M,47.34M,105.06M,,,-10.58M,94.48M,93.96M,185.29M,29.12M,156.16M,,0.52,0.00,,0.5172,0.52,,0.505,0.00,,0.5022,0.505,,181.53M,186.89M,,AOR,Restated
2011-03,1.948B,1.948B,1.382B,565.82M,441.52M,0.323M,8.085M,3.933M,-4.152M,,441.52M,124.30M,3.933M,8.085M,-4.152M,0.323M,-4.152M,120.47M,39.15M,82.97M,,,-6.476M,76.50M,76.28M,156.90M,28.35M,128.56M,,0.42,0.00,,0.4188,0.42,,0.41,0.00,,0.4088,0.41,,181.23M,186.32M,,AOR,Restated
2010-12,2.024B,2.024B,1.449B,574.74M,432.74M,-0.388M,7.545M,3.78M,-3.765M,,432.74M,142.00M,3.78M,7.545M,-3.765M,0.059M,-3.765M,138.29M,44.18M,97.23M,,,-4.231M,93.00M,93.26M,171.54M,25.70M,145.84M,,0.515,,,0.5165,0.515,,0.495,,,0.4964,0.495,,181.18M,187.56M,,AOR,Restated
2010-09,1.894B,1.894B,1.356B,537.46M,400.09M,0.029M,7.824M,3.422M,-4.402M,,400.09M,137.37M,3.422M,7.824M,-4.402M,0.029M,-4.402M,133.00M,42.23M,94.49M,,,-6.597M,87.89M,87.87M,165.98M,25.17M,140.82M,,0.485,0.00,,0.4849,0.485,,0.47,0.00,,0.4699,0.47,,180.65M,186.54M,,AOR,Restated
2010-06,1.849B,1.849B,1.304B,545.64M,407.64M,0.474M,9.185M,3.508M,-5.677M,,407.64M,138.01M,3.508M,9.185M,-5.677M,0.474M,-5.677M,132.80M,41.44M,93.16M,,,-9.162M,84.00M,83.67M,167.76M,25.77M,141.99M,,0.465,0.00,,0.4632,0.465,,0.45,0.00,,0.4483,0.45,,180.04M,186.70M,,AOR,Restated
2010-03,1.760B,1.760B,1.247B,513.03M,396.99M,-12.40M,9.087M,3.388M,-5.699M,,396.99M,116.04M,3.388M,9.087M,-5.699M,-12.40M,-5.699M,97.94M,32.22M,67.25M,,,-6.352M,60.90M,69.22M,131.60M,24.57M,107.03M,,0.34,0.00,,0.3865,0.34,,0.33,0.00,,0.3749,0.33,,179.02M,185.44M,,AOR,Restated
2009-12,1.786B,1.786B,1.260B,526.27M,389.65M,1.454M,5.041M,2.305M,-2.736M,,389.65M,136.62M,2.305M,5.041M,-2.736M,1.454M,-2.736M,135.34M,44.12M,92.68M,0.00,,-6.276M,86.41M,85.43M,160.94M,20.56M,140.38M,,0.485,0.00,,0.4795,0.485,,0.48,0.00,,0.4746,0.48,,177.92M,180.99M,,AOR,Restated
2009-09,1.659B,1.659B,1.183B,476.27M,362.38M,1.938M,5.171M,2.387M,-2.784M,,362.38M,113.88M,2.387M,5.171M,-2.784M,1.938M,-2.784M,113.04M,15.86M,98.38M,2.373M,,-4.327M,96.42M,92.38M,138.41M,20.20M,118.21M,,0.53,0.015,,0.5206,0.545,,0.515,0.01,,0.5059,0.525,,177.59M,183.03M,,AOR,Restated
2009-06,1.607B,1.607B,1.132B,475.92M,353.95M,-0.373M,6.406M,2.486M,-3.92M,,353.95M,121.97M,2.486M,6.406M,-3.92M,-0.373M,-3.92M,117.68M,38.69M,80.20M,0.225M,,-6.952M,73.47M,73.50M,144.90M,20.81M,124.08M,,0.415,0.00,,0.4164,0.415,,0.405,0.00,,0.4064,0.405,,177.63M,181.07M,,AOR,Restated
2009-03,1.485B,1.485B,1.047B,438.36M,343.73M,-4.013M,6.752M,2.801M,-3.951M,,343.73M,94.63M,2.801M,6.752M,-3.951M,-4.013M,-3.951M,86.67M,28.85M,59.18M,0.117M,,-4.449M,54.85M,57.41M,113.34M,19.92M,93.42M,,0.31,0.00,,0.3251,0.31,,0.305,0.00,,0.3199,0.305,,177.46M,179.18M,,AOR,Restated
2008-12,1.581B,1.581B,1.116B,464.91M,337.26M,-23.30M,7.789M,4.138M,-3.651M,,337.26M,127.65M,4.138M,7.789M,-3.651M,-23.30M,-3.651M,100.70M,32.42M,69.29M,-7.074M,,-6.258M,55.96M,78.83M,127.43M,18.94M,108.49M,,0.355,-0.04,,0.4441,0.315,,0.355,-0.04,,0.4436,0.315,,177.34M,178.32M,,AOR,Restated
2008-09,1.644B,1.644B,1.169B,475.59M,360.18M,-4.863M,9.24M,4.26M,-4.98M,,360.18M,115.41M,4.26M,9.24M,-4.98M,-4.863M,-4.98M,105.57M,34.36M,72.82M,-0.052M,,-5.278M,67.49M,70.82M,134.29M,19.48M,114.81M,,0.38,0.00,,0.3984,0.38,,0.37,0.00,,0.3880,0.37,,177.86M,182.75M,,,Restated
2008-06,1.641B,1.641B,1.153B,488.11M,374.12M,-0.291M,9.593M,3.974M,-5.619M,,374.12M,113.99M,3.974M,9.593M,-5.619M,-0.291M,-5.619M,108.08M,36.87M,72.12M,-0.415M,,-7.131M,64.57M,65.18M,137.94M,20.27M,117.68M,,0.365,-0.005,,0.3661,0.36,,0.355,-0.005,,0.3560,0.35,,179.17M,184.02M,,,Restated
