,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,151.81M,,-3.663M,-3.663M,44.57M,44.57M,-35.07M,,,5.71M,4.567M,-299.53M,-39.53M,283.85M,124.87M,69.66M,0.075M,249.33M,,-7.211M,,-7.211M,-2.483M,,-2.621M,-12.32M,,-0.877M,4.437M,3.56M,,0.00,0.00,,,-1.177M,2.308M,,296.11M,239.32M,-1.94M,533.50M,,,0.00,-0.877M,0.00,,AOR,
2020-06,-13.85M,,-1.411M,-1.411M,47.11M,47.11M,-32.56M,,,5.156M,14.15M,100.96M,-59.34M,-1.22M,-166.61M,-126.22M,0.855M,-90.74M,,-7.58M,,-7.58M,0.222M,,-8.678M,-16.04M,,-349.68M,121.06M,-228.62M,0.00,0.00,0.00,,0.00,-0.94M,-230.41M,,617.37M,-337.19M,15.94M,296.11M,,0.00,-107.22M,-601.10M,0.00,,AOR,
2020-03,133.85M,,-2.734M,-2.734M,48.98M,48.98M,1.07M,,,-17.51M,-13.92M,-1.283M,73.04M,-137.68M,-10.00M,-75.93M,-0.282M,90.48M,,-23.01M,,-23.01M,-37.95M,,-4.65M,-65.60M,,241.52M,358.64M,600.16M,0.00,-73.79M,-73.79M,,0.00,-34.76M,491.89M,,106.10M,516.76M,-5.489M,617.37M,,0.00,608.64M,-8.478M,-73.79M,,AOR,
2019-12,337.19M,,-253.30M,-253.30M,48.73M,48.73M,-2.183M,,,11.81M,7.806M,42.70M,-60.39M,141.28M,13.06M,136.64M,-2.738M,292.56M,,-27.26M,,-27.26M,297.96M,,-1.662M,269.04M,,-250.69M,-84.07M,-334.76M,0.00,-200.00M,-200.00M,,0.00,-4.732M,-536.75M,,75.26M,24.85M,5.993M,106.10M,,0.00,0.00,-1.179B,-200.00M,,AOR,
2019-09,143.21M,,-6.585M,-6.585M,46.86M,46.86M,-6.652M,,,13.34M,-1.077M,-97.93M,-11.71M,145.04M,-8.25M,27.15M,5.641M,232.04M,,-18.25M,,-18.25M,-34.65M,,-2.906M,-55.81M,,-1.214M,-134.83M,-136.05M,0.00,-98.22M,-98.22M,,0.00,50.12M,-189.79M,,84.92M,-13.56M,3.891M,75.26M,,0.00,0.00,-1.214M,-98.22M,,AOR,Restated
2019-06,121.42M,,-5.556M,-5.556M,49.06M,49.06M,-4.427M,,,12.66M,-2.284M,-5.872M,8.922M,24.60M,-44.32M,-16.66M,-2.221M,163.23M,,-14.79M,,-14.79M,-18.47M,,-5.758M,-39.02M,,-1.662M,-56.90M,-58.56M,0.00,-76.78M,-76.78M,,0.00,11.55M,-121.57M,,88.12M,2.646M,-5.837M,84.92M,,0.00,0.00,650.46M,-76.78M,,AOR,Restated
2019-03,123.64M,,-2.63M,-2.63M,40.30M,40.30M,11.15M,,,7.11M,1.239M,-11.58M,77.88M,-150.08M,-17.78M,-101.56M,-167.07M,-33.74M,,-15.92M,,-15.92M,-593.47M,,12.86M,-598.59M,,-6.635M,-652.12M,-658.75M,361.09M,-150.00M,211.09M,,0.034M,931.70M,632.13M,,56.88M,-0.201M,8.107M,88.12M,,361.09M,0.741M,-659.49M,-150.00M,,AOR,Restated
2018-12,124.89M,,-6.208M,-6.208M,36.70M,36.70M,-46.26M,,,2.051M,-0.134M,13.82M,18.75M,131.96M,-106.79M,57.74M,112.39M,293.95M,,-21.96M,,-21.96M,-13.24M,,-5.044M,-46.60M,,-0.252M,-193.36M,-193.61M,0.00,-85.89M,-85.89M,,0.00,97.22M,-285.26M,,97.94M,-37.90M,-1.626M,56.88M,,0.00,-193.36M,-0.252M,-85.89M,,AOR,Restated
2018-09,96.25M,,-6.699M,-6.699M,35.78M,35.78M,-1.448M,,,9.516M,2.581M,-102.22M,8.216M,162.64M,-54.41M,14.23M,16.34M,173.87M,,-19.09M,,-19.09M,-37.65M,,-10.09M,-71.72M,,14.60M,-34.12M,-19.52M,0.00,-60.75M,-60.75M,,0.054M,-4.059M,-96.25M,,90.32M,5.903M,2.516M,97.94M,,0.00,-19.12M,-0.401M,-60.75M,,AOR,Restated
2018-06,114.59M,,-5.31M,-5.31M,35.44M,35.44M,-6.546M,,,13.36M,3.009M,-27.11M,-6.80M,61.64M,-14.14M,13.60M,111.35M,287.83M,,-16.59M,,-16.59M,-0.98M,,-17.74M,-39.47M,,-16.74M,226.16M,209.42M,0.00,-53.36M,-53.36M,,0.00,-298.89M,-250.03M,,80.25M,-1.671M,13.76M,90.32M,,0.00,226.16M,-16.74M,-53.36M,,AOR,Restated
2018-03,114.72M,,-2.82M,-2.82M,35.71M,35.71M,7.079M,,,7.699M,-5.087M,-11.69M,-61.21M,-165.02M,9.688M,-228.23M,-6.336M,-70.94M,,-13.64M,,-13.64M,-0.364M,,-7.921M,-35.17M,,92.66M,212.06M,304.71M,0.00,0.00,0.00,,3.022M,-300.53M,27.76M,,158.00M,-78.35M,2.928M,80.25M,,0.00,312.06M,-7.341M,0.00,,AOR,Restated
2017-12,-132.31M,,14.59M,14.59M,-7.423M,-7.423M,134.07M,,,4.858M,3.819M,98.08M,-170.49M,147.53M,-30.19M,44.92M,,238.01M,,-7.089M,,-7.089M,111.42M,,3.724M,-21.48M,,0.243M,109.39M,109.63M,,-225.00M,-225.00M,,0.325M,25.02M,-128.62M,,79.88M,87.91M,6.865M,158.00M,,,109.39M,0.243M,-225.00M,,AOR,Restated
2017-09,150.95M,,-5.569M,-5.569M,48.74M,48.74M,5.159M,,,12.63M,1.016M,-108.46M,-88.46M,118.42M,-13.13M,-91.64M,,131.36M,,-18.35M,,-18.35M,-109.20M,,-1.822M,-129.37M,,100.09M,54.29M,154.38M,,-125.00M,-125.00M,,0.24M,-29.03M,0.594M,,74.65M,2.584M,2.641M,79.88M,,,154.73M,-0.347M,-125.00M,,AOR,Restated
