,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,185.00M,836.00M,1.021B,731.00M,1.117B,234.00M,534.00M,113.00M,,2.785B,,,31.82B,-10.09B,21.74B,4.697B,52.00M,4.749B,1.112B,,,,174.00M,29.92B,32.70B,,2020-09,658.00M,,212.00M,987.00M,1.375B,1.375B,1.375B,120.00M,120.00M,,1.348B,3.83B,11.95B,11.95B,3.575B,3.575B,691.00M,6.00M,,,789.00M,20.49B,24.32B,,2020-09,6.805B,,2.456B,,,,2020-09,AOR,
2020-06,168.00M,753.00M,921.00M,735.00M,1.01B,158.00M,462.00M,108.00M,,2.501B,,,31.35B,-10.00B,21.35B,4.697B,,4.697B,1.218B,,,,235.00M,29.65B,32.15B,,2020-06,670.00M,,241.00M,1.07B,1.949B,1.949B,1.949B,124.00M,124.00M,,1.166B,4.309B,10.94B,10.94B,3.491B,3.491B,771.00M,11.00M,,,774.00M,19.45B,23.76B,,2020-06,6.801B,,2.441B,,,,2020-06,AOR,
2020-03,220.00M,678.00M,898.00M,711.00M,1.124B,97.00M,375.00M,120.00M,,4.164B,,,30.83B,-9.852B,20.98B,4.697B,56.00M,4.753B,1.213B,,,,167.00M,29.23B,33.40B,,2020-03,739.00M,,177.00M,1.042B,1.426B,1.426B,1.426B,124.00M,124.00M,,1.45B,4.042B,13.83B,13.83B,3.562B,3.562B,746.00M,14.00M,,,751.00M,22.38B,26.42B,,2020-03,6.086B,,1.74B,,,,2020-03,AOR,
2019-12,241.00M,822.00M,1.063B,1.249B,1.941B,277.00M,546.00M,161.00M,,3.847B,1.397B,,30.68B,-9.74B,20.94B,5.164B,321.00M,5.485B,2.771B,,58.00M,,216.00M,31.59B,35.44B,,2019-12,1.138B,0.00,241.00M,1.537B,868.00M,868.00M,868.00M,125.00M,125.00M,,1.358B,3.888B,14.24B,14.24B,3.928B,3.928B,754.00M,29.00M,,,763.00M,23.19B,27.08B,,2019-12,6.08B,,1.74B,,,,2019-12,AOR,
2019-09,259.00M,746.00M,1.005B,1.091B,1.563B,299.00M,572.00M,156.00M,,3.416B,,,30.07B,-9.738B,20.33B,5.179B,356.00M,5.535B,2.832B,,64.00M,,273.00M,31.23B,34.64B,,2019-09,888.00M,0.00,193.00M,1.202B,868.00M,868.00M,868.00M,122.00M,122.00M,,1.242B,3.434B,14.01B,14.01B,3.851B,3.851B,812.00M,32.00M,,,672.00M,22.86B,26.30B,,2019-09,6.072B,,1.74B,,,,2019-09,AOR,Restated
2019-06,271.00M,687.00M,958.00M,1.173B,1.607B,212.00M,479.00M,181.00M,,3.326B,,,29.55B,-9.62B,19.93B,5.179B,370.00M,5.549B,2.833B,4.00M,44.00M,,273.00M,30.86B,34.19B,,2019-06,936.00M,0.00,158.00M,1.251B,488.00M,488.00M,488.00M,126.00M,126.00M,,1.131B,2.996B,14.12B,14.12B,3.805B,3.805B,872.00M,18.00M,,,653.00M,22.94B,25.93B,,2019-06,6.065B,,1.74B,,,,2019-06,AOR,Restated
2019-03,255.00M,623.00M,878.00M,1.415B,1.866B,115.00M,371.00M,241.00M,,3.419B,,,29.01B,-9.499B,19.51B,5.129B,522.00M,5.651B,2.834B,,33.00M,,224.00M,30.48B,33.90B,,2019-03,1.181B,0.00,214.00M,1.522B,402.00M,402.00M,402.00M,142.00M,142.00M,,1.073B,3.139B,13.76B,13.76B,3.824B,3.824B,888.00M,18.00M,,,609.00M,22.55B,25.69B,,2019-03,6.06B,,1.74B,,,,2019-03,AOR,Restated
2018-12,4.231B,540.00M,4.771B,1.19B,1.568B,194.00M,394.00M,192.00M,,7.025B,741.00M,,20.27B,-6.223B,14.04B,867.00M,65.00M,932.00M,2.845B,,38.00M,,158.00M,19.98B,27.01B,,2018-12,1.24B,187.00M,204.00M,1.752B,482.00M,482.00M,482.00M,86.00M,86.00M,,982.00M,3.302B,8.682B,8.682B,3.239B,3.239B,796.00M,5.00M,,,402.00M,15.65B,18.95B,,2018-12,6.072B,,1.74B,,,,2018-12,AOR,Restated
2018-09,293.00M,627.00M,920.00M,918.00M,1.168B,207.00M,405.00M,157.00M,,2.726B,,,19.86B,-6.208B,13.65B,867.00M,67.00M,934.00M,2.82B,,38.00M,,123.00M,19.50B,22.23B,,2018-09,708.00M,0.00,152.00M,940.00M,531.00M,531.00M,531.00M,,,,1.11B,2.581B,7.252B,7.252B,3.22B,3.22B,722.00M,6.00M,,,433.00M,14.14B,16.72B,,2018-09,4.221B,,790.00M,,,,2018-09,AOR,Restated
2018-06,328.00M,584.00M,912.00M,958.00M,1.204B,152.00M,344.00M,167.00M,,2.701B,,,19.58B,-6.188B,13.40B,867.00M,69.00M,936.00M,2.814B,,46.00M,,147.00M,19.41B,22.11B,,2018-06,706.00M,,103.00M,1.309B,522.00M,522.00M,522.00M,,,,1.011B,2.842B,7.76B,7.76B,3.168B,3.168B,723.00M,12.00M,,,412.00M,14.60B,17.44B,,2018-06,4.215B,,,,,,2018-06,AOR,Restated
2018-03,219.00M,944.00M,1.163B,1.081B,1.356B,81.00M,257.00M,189.00M,,3.049B,,,19.29B,-6.089B,13.20B,867.00M,71.00M,938.00M,2.83B,,52.00M,,123.00M,19.36B,22.41B,,2018-03,712.00M,,176.00M,965.00M,613.00M,613.00M,613.00M,,,,1.038B,2.616B,8.176B,8.176B,3.16B,3.16B,723.00M,12.00M,,,361.00M,14.94B,17.55B,,2018-03,4.208B,,,,,,2018-03,AOR,Restated
