,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,121.00M,84.00M,67.00M,,151.00M,306.00M,0.00,306.00M,306.00M,48.00M,,3.00M,-83.00M,-73.00M,-88.00M,-72.00M,-97.00M,5.00M,69.00M,-32.00M,-215.00M,258.00M,,2020-09,-611.00M,,,0.00,,32.00M,,2020-09,413.00M,18.00M,431.00M,-1.00M,,-1.00M,-1.00M,,-1.00M,-82.00M,-130.00M,-3.00M,296.00M,,194.00M,14.00M,,208.00M,,2020-09,-2.00M,413.00M,,,,,2020-09,AOR,
2020-06,105.00M,76.00M,-43.00M,,33.00M,297.00M,0.00,297.00M,297.00M,-100.00M,,-42.00M,-75.00M,5.00M,169.00M,-88.00M,80.00M,6.00M,-2.00M,92.00M,257.00M,519.00M,,2020-06,-614.00M,,,1.136B,,-11.00M,,2020-06,-2.39B,19.00M,-2.371B,673.00M,,673.00M,724.00M,,724.00M,-82.00M,-106.00M,-3.00M,-1.083B,,247.00M,-53.00M,,194.00M,,2020-06,1.397B,-1.639B,,,,,2020-06,AOR,
2020-03,-1.199B,-135.00M,1.475B,,1.34B,282.00M,1.00M,283.00M,283.00M,-377.00M,,402.00M,144.00M,8.00M,249.00M,110.00M,-287.00M,-5.00M,-37.00M,-39.00M,-9.00M,662.00M,,2020-03,-664.00M,,,,,3.00M,,2020-03,159.00M,,159.00M,,,,,,,-145.00M,-187.00M,-4.00M,-32.00M,,271.00M,-24.00M,,247.00M,,2020-03,,-891.00M,,,,,2020-03,AOR,
2019-12,157.00M,76.00M,-17.00M,,59.00M,300.00M,5.00M,305.00M,305.00M,61.00M,,47.00M,-76.00M,-9.00M,-332.00M,33.00M,334.00M,-53.00M,11.00M,-20.00M,-27.00M,552.00M,,2019-12,-684.00M,,,0.00,,2.00M,,2019-12,230.00M,,230.00M,,,,,,,-144.00M,-161.00M,-1.00M,68.00M,,297.00M,-26.00M,,271.00M,,2019-12,,-77.00M,,,,,2019-12,AOR,
2019-09,270.00M,62.00M,-77.00M,,-15.00M,334.00M,7.00M,341.00M,341.00M,29.00M,,2.00M,-59.00M,-55.00M,58.00M,-95.00M,-53.00M,11.00M,38.00M,-37.00M,-78.00M,512.00M,,2019-09,-653.00M,,,-4.00M,,31.00M,,2019-09,275.00M,0.00,275.00M,0.00,,0.00,0.00,,0.00,-145.00M,-186.00M,-10.00M,79.00M,,332.00M,-35.00M,,297.00M,,2019-09,0.00,-148.00M,,,,,2019-09,AOR,Restated
2019-06,195.00M,68.00M,-74.00M,,-6.00M,340.00M,3.00M,343.00M,343.00M,-7.00M,,2.00M,-64.00M,75.00M,256.00M,-110.00M,-234.00M,4.00M,-55.00M,-89.00M,-228.00M,303.00M,,2019-06,-632.00M,,,0.00,,22.00M,,2019-06,446.00M,0.00,446.00M,0.00,,0.00,0.00,,0.00,-144.00M,-161.00M,-1.00M,284.00M,,355.00M,-23.00M,,332.00M,,2019-06,0.00,-83.00M,,,,,2019-06,AOR,Restated
2019-03,169.00M,86.00M,-62.00M,,24.00M,313.00M,9.00M,322.00M,322.00M,-14.00M,,1.00M,-83.00M,-82.00M,138.00M,120.00M,-448.00M,16.00M,-101.00M,53.00M,-222.00M,271.00M,,2019-03,-537.00M,,,-5.987B,,-15.00M,,2019-03,2.554B,,2.554B,,,,,,,-144.00M,-187.00M,-22.00M,2.345B,,4.278B,-3.923B,,355.00M,,2019-03,,-994.00M,,,,,2019-03,AOR,Restated
2018-12,120.00M,-84.00M,-292.00M,,-376.00M,261.00M,0.00,261.00M,261.00M,15.00M,,0.00,88.00M,14.00M,-471.00M,11.00M,575.00M,-11.00M,-40.00M,4.00M,68.00M,457.00M,,2018-12,-530.00M,,,0.00,0.00,-3.00M,,2018-12,1.39B,0.00,1.39B,,,,950.00M,,950.00M,-139.00M,-150.00M,-11.00M,4.023B,,331.00M,3.947B,,4.278B,,2018-12,2.794B,-108.00M,,,,,2018-12,AOR,Restated
2018-09,158.00M,44.00M,-6.00M,,38.00M,326.00M,0.00,326.00M,326.00M,45.00M,,1.00M,-43.00M,15.00M,124.00M,-62.00M,-5.00M,15.00M,29.00M,-55.00M,46.00M,586.00M,,2018-09,-424.00M,,,0.00,0.00,17.00M,,2018-09,-501.00M,0.00,-501.00M,,,,790.00M,,790.00M,-502.00M,-502.00M,-1.00M,-214.00M,,366.00M,-35.00M,,331.00M,,2018-09,790.00M,-501.00M,,,,,2018-09,AOR,Restated
2018-06,-75.00M,254.00M,0.00,,254.00M,342.00M,0.00,342.00M,342.00M,5.00M,,0.00,-22.00M,16.00M,154.00M,-87.00M,-69.00M,11.00M,-14.00M,94.00M,89.00M,609.00M,,2018-06,-335.00M,,,0.00,382.00M,1.00M,,2018-06,-416.00M,0.00,-416.00M,,,,,0.00,0.00,-120.00M,-120.00M,-28.00M,-564.00M,,257.00M,109.00M,,366.00M,,2018-06,,-416.00M,0.00,,,,2018-06,AOR,Restated
