,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.622B,1.622B,892.00M,730.00M,0.00,122.00M,128.00M,1.00M,-127.00M,,428.00M,302.00M,1.00M,128.00M,-127.00M,-58.00M,-127.00M,117.00M,-10.00M,127.00M,-6.00M,,,52.00M,121.00M,306.00M,245.00M,,2020-09,0.14,,0.1413,0.13,,2020-09,,,0.1413,2020-09,545.00M,548.00M,0.15,,2020-09,AOR,
2020-06,1.575B,1.575B,914.00M,661.00M,0.00,129.00M,135.00M,1.00M,-134.00M,,426.00M,235.00M,1.00M,135.00M,-134.00M,63.00M,-134.00M,164.00M,29.00M,135.00M,-30.00M,,,46.00M,105.00M,297.00M,299.00M,,2020-06,0.17,,0.1716,0.11,,2020-06,,,0.1715,2020-06,528.00M,531.00M,0.15,,2020-06,AOR,
2020-03,2.167B,2.167B,1.347B,820.00M,-185.00M,136.00M,147.00M,1.00M,-146.00M,,418.00M,402.00M,1.00M,147.00M,-146.00M,-1.656B,-146.00M,-1.40B,-347.00M,-1.053B,-146.00M,,,29.00M,-1.199B,283.00M,-1.253B,,2020-03,-2.15,,-1.860,-2.44,,2020-03,,,-1.860,2020-03,502.00M,502.00M,0.29,,2020-03,AOR,
2019-12,6.756B,6.756B,5.804B,952.00M,-48.00M,126.00M,147.00M,,-167.00M,,475.00M,477.00M,,147.00M,-167.00M,-1.00M,-167.00M,309.00M,63.00M,246.00M,,,,29.00M,157.00M,305.00M,456.00M,,2019-12,0.25,,0.3261,0.25,,2019-12,,,0.3257,2019-12,502.00M,505.00M,0.2875,,2019-12,AOR,
2019-09,1.658B,1.658B,872.00M,786.00M,0.00,113.00M,143.00M,4.00M,-139.00M,,429.00M,357.00M,4.00M,143.00M,-139.00M,79.00M,-139.00M,297.00M,46.00M,251.00M,19.00M,,,29.00M,270.00M,341.00M,440.00M,,2019-09,0.44,,0.4451,0.48,,2019-09,,,0.4450,2019-09,502.00M,505.00M,0.2875,,2019-09,AOR,Restated
2019-06,1.658B,1.658B,994.00M,664.00M,0.00,113.00M,144.00M,2.00M,-142.00M,,435.00M,229.00M,2.00M,144.00M,-142.00M,79.00M,-142.00M,166.00M,15.00M,151.00M,44.00M,,,30.00M,195.00M,343.00M,310.00M,,2019-06,0.24,,0.2473,0.33,,2019-06,,,0.2472,2019-06,502.00M,505.00M,0.2875,,2019-06,AOR,Restated
2019-03,2.229B,2.229B,1.592B,637.00M,0.00,126.00M,133.00M,14.00M,-119.00M,,426.00M,211.00M,14.00M,133.00M,-119.00M,65.00M,-119.00M,157.00M,14.00M,143.00M,26.00M,,,29.00M,169.00M,322.00M,290.00M,,2019-03,0.23,,0.2354,0.28,,2019-03,,,0.2354,2019-03,502.00M,504.00M,0.2875,,2019-03,AOR,Restated
2018-12,3.036B,3.036B,2.509B,527.00M,,99.00M,115.00M,,-115.00M,,360.00M,167.00M,,115.00M,-115.00M,129.00M,-115.00M,181.00M,61.00M,120.00M,,,,30.00M,120.00M,261.00M,296.00M,,2018-12,0.18,,0.1853,0.18,,2018-12,,,0.1853,2018-12,503.00M,503.00M,0.2775,,2018-12,AOR,Restated
2018-09,2.212B,2.212B,1.565B,647.00M,,95.00M,106.00M,,-106.00M,,421.00M,226.00M,,106.00M,-106.00M,89.00M,-106.00M,209.00M,51.00M,158.00M,,,,5.00M,158.00M,326.00M,315.00M,,2018-09,0.35,,0.3518,0.35,,2018-09,,,0.3517,2018-09,432.00M,435.00M,0.2775,,2018-09,AOR,Restated
2018-06,2.186B,2.186B,1.556B,630.00M,,101.00M,105.00M,,-105.00M,,443.00M,187.00M,,105.00M,-105.00M,-170.00M,-105.00M,-88.00M,-13.00M,-75.00M,,,,,-75.00M,342.00M,17.00M,,2018-06,-0.17,,0.2877,-0.17,,2018-06,,,0.2877,2018-06,432.00M,432.00M,0.2775,,2018-06,AOR,Restated
2018-03,3.155B,3.155B,2.479B,676.00M,,111.00M,94.00M,,-94.00M,,425.00M,251.00M,,94.00M,-94.00M,55.00M,-94.00M,212.00M,47.00M,165.00M,,,,,165.00M,314.00M,306.00M,,2018-03,0.38,,0.4108,0.38,,2018-03,,,0.4106,2018-03,431.00M,434.00M,0.2775,,2018-03,AOR,Restated
2017-12,2.638B,2.638B,1.94B,698.00M,,103.00M,97.00M,,-97.00M,,390.00M,308.00M,,97.00M,-97.00M,75.00M,-97.00M,286.00M,-1.01B,1.296B,,,,,1.296B,287.00M,383.00M,,2017-12,3.01,,2.995,3.01,,2017-12,,,2.975,2017-12,431.00M,434.00M,0.2675,,2017-12,AOR,Restated
2017-09,2.098B,2.098B,1.439B,659.00M,,93.00M,98.00M,,-98.00M,,362.00M,297.00M,,98.00M,-98.00M,68.00M,-98.00M,267.00M,98.00M,169.00M,,,,,169.00M,269.00M,365.00M,,2017-09,0.39,,0.3885,0.39,,2017-09,,,0.3885,2017-09,431.00M,434.00M,0.2675,,2017-09,AOR,Restated
2017-06,2.143B,2.143B,1.55B,593.00M,,99.00M,97.00M,,-97.00M,,353.00M,240.00M,,97.00M,-97.00M,68.00M,-97.00M,211.00M,76.00M,135.00M,,,,,135.00M,254.00M,308.00M,,2017-06,0.31,,0.2952,0.31,,2017-06,,,0.2953,2017-06,431.00M,434.00M,0.2675,,2017-06,AOR,Restated
2017-03,2.735B,2.735B,2.122B,613.00M,,96.00M,98.00M,,-98.00M,,322.00M,291.00M,,98.00M,-98.00M,106.00M,-98.00M,299.00M,107.00M,192.00M,,,,,192.00M,226.00M,397.00M,,2017-03,0.45,,0.3995,0.45,,2017-03,,,0.3897,2017-03,431.00M,433.00M,0.2675,,2017-03,AOR,Restated
2016-12,2.081B,2.081B,1.425B,656.00M,,96.00M,103.00M,,-103.00M,,349.00M,307.00M,,103.00M,-103.00M,-42.00M,-103.00M,162.00M,61.00M,101.00M,,,,,101.00M,253.00M,265.00M,,2016-12,0.23,,0.2531,0.23,,2016-12,,,0.2528,2016-12,431.00M,437.00M,0.2575,,2016-12,AOR,Restated
2016-09,1.889B,1.889B,1.188B,701.00M,,93.00M,106.00M,,-106.00M,,417.00M,284.00M,,106.00M,-106.00M,98.00M,-106.00M,276.00M,97.00M,179.00M,,,,,179.00M,324.00M,382.00M,,2016-09,0.42,,0.4125,0.42,,2016-09,,,0.4025,2016-09,431.00M,433.00M,0.2575,,2016-09,AOR,Restated
2016-06,1.574B,1.574B,1.009B,565.00M,,94.00M,109.00M,,-109.00M,,383.00M,182.00M,,109.00M,-109.00M,-65.00M,-109.00M,8.00M,10.00M,-2.00M,,,,,-2.00M,289.00M,117.00M,,2016-06,-0.01,,0.1431,-0.01,,2016-06,,,0.1431,2016-06,431.00M,431.00M,0.2575,,2016-06,AOR,Restated
