,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,5.125B,5.125B,2.231B,2.894B,866.00M,,,-2.642B,396.00M,-396.00M,,2.061B,833.00M,396.00M,-396.00M,-2.645B,-396.00M,-2.208B,81.00M,-2.289B,,,,,-2.289B,-360.34M,-617.00M,1.195B,-1.812B,,-2.12,,,,-0.3350,-2.12,,-2.12,,,,-0.3350,-2.12,,1.081B,1.081B,0.25,,AOR,
2020-09,5.167B,5.167B,2.236B,2.931B,850.00M,750.00M,443.00M,0.00,409.00M,-409.00M,,2.043B,888.00M,409.00M,-409.00M,1.00M,-409.00M,480.00M,114.00M,366.00M,,,,,366.00M,366.00M,2.082B,1.193B,889.00M,,0.34,,,,0.34,0.34,,0.34,,,,0.34,0.34,,1.081B,1.086B,0.25,,AOR,
2020-06,5.192B,5.192B,2.232B,2.96B,895.00M,722.00M,440.00M,0.00,414.00M,-414.00M,,2.057B,903.00M,414.00M,-414.00M,24.00M,-414.00M,513.00M,136.00M,377.00M,,,,,377.00M,377.00M,2.089B,1.162B,927.00M,,0.35,,,,0.35,0.35,,0.35,,,,0.35,0.35,,1.079B,1.083B,0.25,,AOR,
2020-03,5.228B,5.228B,2.235B,2.993B,853.00M,729.00M,431.00M,0.00,449.00M,-449.00M,,2.013B,980.00M,449.00M,-449.00M,-98.00M,-449.00M,433.00M,119.00M,314.00M,,,,,314.00M,314.00M,2.042B,1.16B,882.00M,,0.29,,,,0.29,0.29,,0.29,,,,0.29,0.29,,1.075B,1.082B,0.25,,AOR,
2019-12,6.249B,6.249B,3.20B,3.049B,992.00M,777.00M,433.00M,0.00,484.00M,-484.00M,,2.202B,847.00M,484.00M,-484.00M,-14.00M,-484.00M,349.00M,126.00M,223.00M,,,,,223.00M,223.00M,2.043B,1.21B,833.00M,,0.21,,,,0.21,0.21,,0.21,,,,0.21,0.21,,1.073B,1.073B,0.25,,AOR,
2019-09,5.35B,5.35B,2.334B,3.016B,831.00M,797.00M,438.00M,0.00,496.00M,-496.00M,,2.066B,950.00M,496.00M,-496.00M,-44.00M,-496.00M,410.00M,108.00M,302.00M,,,,,302.00M,302.00M,2.141B,1.235B,906.00M,,0.28,,,,0.28,0.28,,0.28,,,,0.28,0.28,,1.073B,1.075B,0.25,,AOR,Restated
2019-06,5.375B,5.375B,2.243B,3.132B,960.00M,756.00M,440.00M,0.00,518.00M,-518.00M,,2.156B,976.00M,518.00M,-518.00M,44.00M,-518.00M,502.00M,131.00M,371.00M,,,,,371.00M,371.00M,2.216B,1.196B,1.02B,,0.35,,,,0.35,0.35,,0.35,,,,0.35,0.35,,1.071B,1.073B,0.25,,AOR,Restated
2019-03,5.427B,5.427B,2.30B,3.127B,932.00M,759.00M,429.00M,-6.506B,523.00M,-523.00M,,2.12B,1.007B,523.00M,-523.00M,-6.511B,-523.00M,-6.027B,138.00M,-6.165B,,,,,-6.165B,-1.416B,-4.316B,1.188B,-5.504B,,-5.77,,,,-1.327,-5.77,,-5.77,,,,-1.327,-5.77,,1.069B,1.069B,0.25,,AOR,Restated
2018-12,5.778B,5.778B,2.657B,3.121B,974.00M,817.00M,445.00M,-2.726B,539.00M,-539.00M,,2.236B,885.00M,539.00M,-539.00M,-2.711B,-539.00M,-2.365B,47.00M,-2.412B,,,,,-2.412B,-422.02M,-564.00M,1.262B,-1.826B,,-2.26,,,,-0.3954,-2.26,,-2.26,,,,-0.3954,-2.26,,1.067B,1.067B,0.54,,AOR,Restated
2018-09,5.818B,5.818B,2.672B,3.146B,967.00M,839.00M,446.00M,0.00,557.00M,-557.00M,,2.252B,894.00M,557.00M,-557.00M,-8.00M,-557.00M,329.00M,57.00M,272.00M,,,,,272.00M,272.00M,2.171B,1.285B,886.00M,,0.25,,,,0.25,0.25,,0.25,,,,0.25,0.25,,1.067B,1.072B,0.54,,AOR,Restated
