,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,-2.289B,,,,,-15.00M,12.00M,1.195B,1.195B,51.00M,,2.642B,55.00M,,-9.00M,34.00M,,235.00M,,,-296.00M,-27.00M,,1.682B,,-758.00M,34.00M,34.00M,,,,0.00,-724.00M,,-802.00M,,-802.00M,,,,-1.109B,-272.00M,-4.00M,-1.078B,,547.00M,-120.00M,,427.00M,,,279.00M,-1.081B,,,-1.254B,,AOR,
2020-09,366.00M,,,,,-34.00M,-42.00M,1.193B,1.193B,95.00M,,0.00,31.00M,,110.00M,-32.00M,,-5.00M,,,31.00M,-6.00M,,1.794B,,-988.00M,35.00M,35.00M,,,,11.00M,-942.00M,,-1.806B,,-1.806B,,,,562.00M,-275.00M,-8.00M,-2.089B,,1.784B,-1.237B,,547.00M,,,832.00M,-2.638B,,-20.00M,426.00M,,AOR,
2020-06,377.00M,,,,,-37.00M,-30.00M,1.162B,1.162B,115.00M,,-2.00M,20.00M,,-15.00M,-62.00M,,-99.00M,,,228.00M,67.00M,,1.749B,,-1.009B,49.00M,49.00M,,,,1.00M,-959.00M,,-320.00M,,-320.00M,,,,-562.00M,-271.00M,-6.00M,-597.00M,,1.591B,193.00M,,1.784B,,,888.00M,-1.208B,,14.00M,445.00M,,AOR,
2020-03,314.00M,,,,,-25.00M,54.00M,1.16B,1.16B,105.00M,,2.00M,69.00M,,11.00M,60.00M,,-131.00M,,,-380.00M,-451.00M,,1.299B,,-974.00M,35.00M,35.00M,,,,,-939.00M,,-126.00M,,-126.00M,,,,,-291.00M,-69.00M,-486.00M,,1.717B,-126.00M,,1.591B,,,2.362B,-2.488B,,6.00M,383.00M,,AOR,
2019-12,223.00M,,,,,12.00M,10.00M,1.21B,1.21B,90.00M,,-10.00M,48.00M,,-50.00M,2.00M,,-107.00M,,,464.00M,359.00M,,1.909B,,-940.00M,39.00M,39.00M,,,,2.00M,-899.00M,,-429.00M,,-429.00M,,,,,-271.00M,-24.00M,-724.00M,,1.431B,286.00M,,1.717B,,,2.569B,-2.998B,,,522.00M,,AOR,
2019-09,302.00M,,,,,-16.00M,-20.00M,1.235B,1.235B,106.00M,,10.00M,38.00M,,-6.548B,125.00M,,112.00M,,,-85.00M,152.00M,,1.888B,,-957.00M,28.00M,28.00M,,,,-25.00M,-954.00M,,339.00M,,339.00M,,,,554.00M,-275.00M,-7.00M,57.00M,,440.00M,991.00M,,1.431B,,,1.038B,-699.00M,,-22.00M,456.00M,,AOR,Restated
2019-06,371.00M,,,,,6.00M,-51.00M,1.196B,1.196B,118.00M,,-2.00M,43.00M,,6.584B,-137.00M,,-52.00M,,,174.00M,-15.00M,,1.701B,,-800.00M,1.00M,1.00M,,,,-12.00M,-811.00M,,-652.00M,,-652.00M,,,,-554.00M,-269.00M,-3.00M,-924.00M,,474.00M,-34.00M,,440.00M,,,-45.00M,-607.00M,,15.00M,570.00M,,AOR,Restated
2019-03,-6.165B,,,,,-14.00M,-23.00M,1.188B,1.188B,126.00M,,6.508B,33.00M,,-2.00M,5.00M,,-194.00M,,,-340.00M,-529.00M,,1.182B,,-931.00M,25.00M,25.00M,,,,,-906.00M,,-8.00M,,-8.00M,,,,,-285.00M,-27.00M,-320.00M,,518.00M,-44.00M,,474.00M,,,145.00M,-153.00M,,7.00M,480.00M,,AOR,Restated
2018-12,-2.412B,,,,,-28.00M,-51.00M,1.262B,1.262B,36.00M,,2.70B,42.00M,,45.00M,33.00M,,133.00M,,,174.00M,340.00M,,1.996B,,-915.00M,33.00M,33.00M,,,,0.00,-882.00M,,-437.00M,,-437.00M,,,,,-577.00M,-2.00M,-1.016B,,420.00M,98.00M,,518.00M,,,-40.00M,-397.00M,,,567.00M,,AOR,Restated
2018-09,272.00M,,,,,-444.00M,-415.00M,1.285B,1.285B,86.00M,,18.00M,49.00M,,-45.00M,-43.00M,,386.00M,,,158.00M,501.00M,,1.787B,,-684.00M,0.00,0.00,,,,0.00,-684.00M,,-826.00M,,-826.00M,,,,1.156B,-579.00M,-10.00M,-1.415B,,732.00M,-312.00M,,420.00M,,,185.00M,-1.011B,,,510.00M,,AOR,Restated
2018-06,292.00M,,,,,-146.00M,-146.00M,1.29B,1.29B,277.00M,,1.00M,54.00M,,-55.00M,-82.00M,,-326.00M,,,241.00M,-167.00M,,1.582B,,-771.00M,122.00M,122.00M,,,,-95.00M,-744.00M,,-55.00M,,-55.00M,,,,-576.00M,-576.00M,-12.00M,-643.00M,,537.00M,195.00M,,732.00M,,,0.00,-55.00M,,-2.00M,570.00M,,AOR,Restated
2018-03,115.00M,,,,,-49.00M,-48.00M,1.283B,1.283B,123.00M,,27.00M,41.00M,,73.00M,117.00M,,6.00M,,,-117.00M,6.00M,,1.667B,,-805.00M,3.00M,3.00M,,,,34.00M,-768.00M,,-343.00M,,-343.00M,,,,-580.00M,-580.00M,-26.00M,-949.00M,,587.00M,-50.00M,,537.00M,,,130.00M,-473.00M,,2.00M,491.00M,,AOR,Restated
2017-12,1.117B,0.00,,,,-21.00M,-21.00M,1.197B,1.197B,-688.00M,,-11.00M,47.00M,,51.00M,29.00M,,-79.00M,,,-513.00M,-563.00M,,1.178B,,-743.00M,1.478B,1.478B,,-8.756B,,0.00,-8.021B,,1.844B,,1.844B,,,,881.00M,-572.00M,-6.00M,1.266B,,6.164B,-5.577B,,587.00M,,,1.825B,19.00M,,14.00M,484.00M,,AOR,Restated
2017-09,92.00M,-37.00M,,,,-125.00M,-157.00M,910.00M,910.00M,-117.00M,,0.00,21.00M,,13.00M,-69.00M,,93.00M,,,123.00M,147.00M,,958.00M,,-753.00M,3.00M,3.00M,,-6.00M,,0.00,-756.00M,,-104.00M,,-104.00M,,,,-291.00M,-291.00M,0.00,-395.00M,,6.357B,-193.00M,,6.164B,,,-22.00M,-82.00M,,118.00M,293.00M,,AOR,Restated
2017-06,17.00M,119.00M,,,,-31.00M,88.00M,949.00M,949.00M,-89.00M,,11.00M,22.00M,,53.00M,-45.00M,,-208.00M,,,-144.00M,-397.00M,,685.00M,,-830.00M,3.00M,783.00M,,1.473B,,-8.00M,638.00M,,5.112B,,5.112B,-3.00M,14.00M,11.00M,-294.00M,-294.00M,-11.00M,4.818B,,216.00M,6.141B,,6.357B,,-3.00M,6.981B,-1.869B,14.00M,260.00M,369.00M,,AOR,Restated
2017-03,163.00M,,,,,-25.00M,-25.00M,880.00M,880.00M,-37.00M,,,21.00M,,21.00M,116.00M,,125.00M,,,-254.00M,-13.00M,,1.057B,,-780.00M,45.00M,-735.00M,,,,3.00M,-732.00M,,-26.00M,,-26.00M,3.00M,-14.00M,-11.00M,-296.00M,-296.00M,,-333.00M,,224.00M,-8.00M,,216.00M,,3.00M,5.00M,-31.00M,-14.00M,,255.00M,,AOR,Restated
2016-12,42.00M,0.00,,,,-9.00M,-9.00M,958.00M,958.00M,-26.00M,,12.00M,20.00M,,7.00M,-108.00M,,13.00M,,,139.00M,44.00M,,1.096B,,-971.00M,8.00M,-963.00M,,24.00M,,-43.00M,-982.00M,,259.00M,,259.00M,-5.00M,15.00M,10.00M,-291.00M,-291.00M,,-32.00M,,142.00M,82.00M,,224.00M,,-5.00M,0.00,259.00M,15.00M,53.00M,379.00M,,AOR,Restated
2016-09,152.00M,0.00,,,,-115.00M,-88.00M,995.00M,995.00M,11.00M,,0.00,20.00M,,1.00M,-33.00M,,-229.00M,,,34.00M,-228.00M,,911.00M,,-746.00M,11.00M,-735.00M,,0.00,,2.00M,-733.00M,,59.00M,,59.00M,2.00M,0.00,2.00M,-290.00M,-290.00M,,-229.00M,,193.00M,-51.00M,,142.00M,,2.00M,946.00M,-887.00M,0.00,323.00M,262.00M,,AOR,Restated
2016-06,196.00M,0.00,,,,-7.00M,-7.00M,987.00M,987.00M,10.00M,,1.00M,22.00M,,0.00,-151.00M,,44.00M,,,8.00M,-99.00M,,1.178B,,-653.00M,4.00M,-649.00M,,-24.00M,,-1.00M,-674.00M,,-451.00M,,-451.00M,-1.00M,-3.00M,-4.00M,-296.00M,-296.00M,,-751.00M,,438.00M,-247.00M,,193.00M,,-1.00M,988.00M,-1.439B,-3.00M,10.00M,398.00M,,AOR,Restated
2016-03,236.00M,,,,,-21.00M,-21.00M,976.00M,976.00M,11.00M,,,18.00M,,18.00M,26.00M,,238.00M,,,-107.00M,157.00M,,1.423B,,-611.00M,7.00M,-604.00M,,,,-1.00M,-605.00M,,-208.00M,,-208.00M,4.00M,-12.00M,-8.00M,-290.00M,-290.00M,,-506.00M,,126.00M,312.00M,,438.00M,,4.00M,227.00M,-435.00M,-12.00M,11.00M,262.00M,,AOR,Restated
2015-12,338.00M,,,,,-7.00M,-7.00M,1.053B,1.053B,257.00M,,0.00,16.00M,,33.00M,-41.00M,,-302.00M,,,-199.00M,-542.00M,,1.197B,,-833.00M,2.00M,-831.00M,,0.00,,0.00,-831.00M,,-22.00M,,-22.00M,-11.00M,-278.00M,-289.00M,-293.00M,-293.00M,10.00M,-594.00M,,355.00M,-228.00M,,128.00M,,-11.00M,-1.00M,-21.00M,-278.00M,9.00M,396.00M,,AOR,Restated
2015-09,205.00M,,,,,-115.00M,-115.00M,1.048B,1.048B,40.00M,,1.00M,19.00M,,-15.00M,-40.00M,,158.00M,,,130.00M,248.00M,,1.475B,,-767.00M,3.00M,-764.00M,,0.00,,0.00,-764.00M,,47.00M,,47.00M,2.00M,-264.00M,-262.00M,-296.00M,-296.00M,0.00,-511.00M,,155.00M,200.00M,,355.00M,,2.00M,396.00M,-349.00M,-264.00M,13.00M,260.00M,,AOR,Restated
2015-06,143.00M,,,,,-10.00M,-10.00M,1.048B,1.048B,16.00M,,0.00,20.00M,,-7.00M,-24.00M,,-48.00M,,,-35.00M,-107.00M,,1.145B,,-656.00M,12.00M,-644.00M,,-4.00M,,0.00,-648.00M,,-100.00M,,-100.00M,1.00M,-92.00M,-91.00M,-305.00M,-305.00M,-1.00M,-497.00M,,155.00M,0.00,,155.00M,,1.00M,0.00,-100.00M,-92.00M,36.00M,384.00M,,AOR,Restated
2015-03,192.00M,,,,,-9.00M,-9.00M,1.04B,1.04B,37.00M,,8.00M,18.00M,,5.00M,-27.00M,,56.00M,,,-26.00M,3.00M,,1.336B,,-616.00M,14.00M,-602.00M,,,,-8.00M,-610.00M,,-217.00M,,-217.00M,8.00M,-185.00M,-177.00M,-304.00M,-304.00M,-1.00M,-699.00M,,128.00M,27.00M,,155.00M,,8.00M,594.00M,-811.00M,-185.00M,5.00M,270.00M,,AOR,Restated
2014-12,188.00M,,,,,71.00M,71.00M,1.131B,1.131B,-10.00M,,0.00,17.00M,,-5.00M,-52.00M,,-31.00M,,,-107.00M,-190.00M,,1.251B,,-934.00M,63.00M,-871.00M,,,,,-964.00M,,-502.00M,,-502.00M,5.00M,-92.00M,-87.00M,-304.00M,-304.00M,0.00,-893.00M,,734.00M,-606.00M,,128.00M,,5.00M,0.00,-502.00M,-92.00M,6.00M,404.00M,,AOR,Restated
2014-09,188.00M,,,,,-153.00M,-153.00M,1.097B,1.097B,93.00M,,0.00,20.00M,,-4.00M,-39.00M,,-47.00M,,,226.00M,140.00M,,1.428B,,-712.00M,0.00,-712.00M,,,,18.00M,-694.00M,,182.00M,,182.00M,13.00M,-65.00M,-52.00M,-308.00M,-308.00M,-3.00M,-181.00M,,181.00M,553.00M,,734.00M,,13.00M,363.00M,-181.00M,-65.00M,-2.00M,262.00M,,AOR,Restated
2014-06,193.00M,,,,,-74.00M,-74.00M,1.093B,1.093B,102.00M,,32.00M,23.00M,,-19.00M,-132.00M,,-124.00M,,,2.00M,-254.00M,,1.129B,,-731.00M,0.00,-731.00M,-1.00M,,,-5.00M,-737.00M,,16.00M,,16.00M,25.00M,-165.00M,-140.00M,-307.00M,-307.00M,1.00M,-430.00M,,219.00M,-38.00M,,181.00M,,25.00M,90.00M,-74.00M,-165.00M,13.00M,407.00M,,AOR,Restated
2014-03,203.00M,,,,,-28.00M,-28.00M,1.107B,1.107B,106.00M,,0.00,19.00M,,-13.00M,60.00M,,188.00M,,,-292.00M,-44.00M,,1.38B,,-670.00M,,-670.00M,1.00M,,,-13.00M,-682.00M,,-17.00M,,-17.00M,7.00M,-328.00M,-321.00M,-309.00M,-309.00M,,-647.00M,,168.00M,51.00M,,219.00M,,7.00M,30.00M,-47.00M,-328.00M,10.00M,265.00M,,AOR,Restated
2013-12,239.00M,,0.00,,,-54.00M,-64.00M,1.166B,1.166B,42.00M,,-8.00M,,,-58.00M,-107.00M,,-78.00M,,,-93.00M,-278.00M,,1.151B,,-837.00M,,-757.00M,-75.00M,,,-39.00M,-1.031B,,394.00M,,394.00M,19.00M,-334.00M,-315.00M,-315.00M,-315.00M,18.00M,-218.00M,,266.00M,-98.00M,,168.00M,,19.00M,741.00M,-347.00M,-334.00M,3.00M,418.00M,,AOR,Restated
2013-09,-1.045B,,0.00,,,-68.00M,-68.00M,1.135B,1.135B,42.00M,,1.10B,,,2.00M,-57.00M,,-82.00M,,,479.00M,340.00M,,1.552B,,-801.00M,,-801.00M,0.00,,,-4.00M,-805.00M,,4.00M,,4.00M,14.00M,-385.00M,-371.00M,-325.00M,-325.00M,-3.00M,-695.00M,,214.00M,52.00M,,266.00M,,14.00M,0.00,4.00M,-385.00M,-1.00M,268.00M,,AOR,Restated
