,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,981.00M,981.00M,1.678B,1.678B,,,,1.638B,331.00M,,,4.628B,,,,,1.706B,1.706B,,1.706B,3.553B,3.564B,7.117B,838.00M,411.00M,10.07B,14.70B,,1.526B,,1.526B,1.393B,2.919B,,,466.00M,,466.00M,,,,3.621B,5.141B,472.00M,5.613B,414.00M,414.00M,26.00M,,1.152B,7.179B,10.80B,,,,,,,,,,3.874B,,AOR,
2020-09,858.00M,858.00M,1.814B,1.814B,275.00M,146.00M,1.297B,1.718B,314.00M,,,4.704B,0.00,83.00M,644.00M,2.221B,543.00M,3.491B,-1.833B,1.658B,3.523B,3.567B,7.09B,882.00M,386.00M,10.02B,14.72B,,1.415B,82.00M,1.497B,1.167B,2.664B,,97.00M,97.00M,131.00M,228.00M,,,,3.108B,5.794B,485.00M,6.279B,463.00M,463.00M,24.00M,,1.12B,7.862B,10.97B,,448.00M,-3.301B,8.164B,597.00M,,,,-988.00M,3.726B,,AOR,
2020-06,619.00M,619.00M,1.641B,1.641B,301.00M,157.00M,1.256B,1.714B,312.00M,,,4.286B,0.00,82.00M,644.00M,2.176B,553.00M,3.455B,-1.784B,1.671B,3.496B,3.561B,7.057B,860.00M,383.00M,9.971B,14.26B,,1.157B,107.00M,1.264B,956.00M,2.22B,,402.00M,402.00M,136.00M,538.00M,,,,2.917B,5.781B,494.00M,6.275B,471.00M,471.00M,24.00M,,1.078B,7.824B,10.74B,,448.00M,-3.605B,8.252B,597.00M,,,,-1.006B,3.492B,,AOR,
2020-03,476.00M,476.00M,1.398B,1.398B,254.00M,153.00M,1.293B,1.70B,343.00M,,,3.917B,0.00,82.00M,633.00M,2.146B,561.00M,3.422B,-1.738B,1.684B,3.483B,3.567B,7.05B,873.00M,379.00M,9.986B,13.90B,,1.036B,100.00M,1.136B,926.00M,2.062B,,639.00M,639.00M,126.00M,765.00M,,,,2.951B,5.375B,503.00M,5.878B,498.00M,498.00M,25.00M,,1.097B,7.473B,10.42B,,448.00M,-3.683B,8.34B,596.00M,,,,-1.055B,3.454B,,AOR,
2019-12,348.60M,348.60M,1.842B,1.842B,231.00M,135.30M,1.240B,1.607B,313.10M,,,4.110B,0.00,86.00M,640.60M,2.151B,615.20M,3.493B,-1.723B,1.770B,3.709B,4.916B,8.625B,775.50M,361.30M,11.53B,15.64B,,1.101B,114.00M,1.215B,1.094B,2.309B,,332.40M,332.40M,132.40M,464.80M,,,,2.978B,5.391B,541.40M,5.933B,624.90M,624.90M,32.70M,,1.110B,7.668B,10.65B,,447.10M,-2.404B,8.431B,590.30M,,,,-919.90M,4.963B,,AOR,
2019-09,465.40M,465.40M,1.873B,1.873B,252.90M,139.30M,1.485B,1.877B,286.30M,,,5.468B,0.00,70.80M,613.80M,2.04B,639.60M,3.364B,-1.668B,1.697B,3.687B,4.602B,8.289B,222.50M,333.30M,10.54B,16.01B,,1.118B,93.30M,1.212B,1.240B,2.452B,,633.90M,633.90M,132.00M,765.90M,,,308.70M,3.684B,5.692B,555.30M,6.247B,759.20M,759.20M,30.90M,,1.151B,8.158B,11.84B,,446.90M,-3.198B,8.516B,589.30M,,,,-1.038B,4.138B,,AOR,Restated
2019-06,624.50M,624.50M,1.769B,1.769B,224.50M,134.20M,1.486B,1.845B,277.30M,,,7.062B,0.00,69.70M,484.30M,1.579B,646.00M,2.779B,-1.210B,1.569B,2.966B,5.496B,8.462B,234.10M,339.10M,10.60B,17.67B,,1.084B,94.50M,1.178B,1.103B,2.282B,,43.40M,43.40M,128.30M,171.70M,,,538.00M,3.136B,6.708B,572.70M,7.280B,1.025B,1.025B,35.40M,,1.220B,9.526B,12.66B,,446.90M,-2.572B,8.605B,589.20M,,,,-921.30M,4.969B,,AOR,Restated
2019-03,364.10M,364.10M,1.606B,1.606B,224.10M,152.80M,1.422B,1.799B,290.80M,,,7.516B,0.00,69.20M,478.50M,1.605B,619.30M,2.772B,-1.222B,1.55B,2.958B,5.536B,8.495B,216.00M,329.30M,10.59B,18.11B,,934.90M,92.90M,1.028B,930.70M,1.958B,,573.60M,573.60M,137.80M,711.40M,,,760.10M,3.552B,6.695B,547.60M,7.242B,1.001B,1.001B,34.70M,,1.328B,9.571B,13.12B,,446.50M,-2.662B,8.688B,587.70M,,,,-936.50M,4.948B,,AOR,Restated
2018-12,495.70M,495.70M,2.164B,2.164B,262.50M,151.20M,1.347B,1.761B,294.80M,,,5.958B,0.00,88.20M,652.80M,2.272B,,3.013B,-1.787B,1.226B,3.874B,6.151B,10.02B,183.30M,330.00M,11.76B,17.72B,,1.192B,165.90M,1.358B,1.142B,2.500B,,318.70M,318.70M,0.00,318.70M,,,292.40M,3.304B,6.696B,0.00,6.696B,1.09B,1.09B,34.80M,,1.379B,9.166B,12.47B,,446.10M,-2.511B,8.781B,584.70M,,,,-912.80M,5.218B,,AOR,Restated
2018-09,1.444B,1.444B,2.015B,2.015B,234.20M,131.00M,1.492B,1.858B,279.60M,,,12.21B,0.00,68.50M,475.50M,1.556B,,2.100B,-1.184B,916.90M,2.974B,5.771B,8.745B,206.10M,321.60M,10.19B,22.40B,,1.172B,94.70M,1.267B,1.155B,2.422B,,316.30M,316.30M,,316.30M,,,1.219B,4.097B,9.297B,,9.297B,1.564B,1.564B,32.90M,,1.415B,12.28B,16.37B,,490.10M,-2.695B,9.820B,584.50M,,,,-1.037B,5.993B,,AOR,Restated
