,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.151B,1.151B,286.00M,865.00M,156.00M,133.00M,289.00M,421.00M,6.00M,0.00,11.00M,,-11.00M,,716.00M,149.00M,,11.00M,-11.00M,1.00M,-11.00M,139.00M,-46.00M,185.00M,,190.00M,40.00M,150.00M,,2020-09,0.64,0.64,,2020-09,0.63,0.63,,2020-09,,2020-09,AOR,
2020-06,1.459B,1.459B,288.00M,1.171B,121.00M,136.00M,257.00M,438.00M,5.00M,0.00,10.00M,,-11.00M,,700.00M,471.00M,,10.00M,-11.00M,8.00M,-11.00M,468.00M,103.00M,365.00M,,515.00M,37.00M,478.00M,,2020-06,1.27,1.27,,2020-06,1.25,1.25,,2020-06,,2020-06,AOR,
2020-03,1.387B,1.387B,269.00M,1.118B,167.00M,142.00M,309.00M,402.00M,6.00M,0.00,11.00M,,88.00M,,717.00M,401.00M,,11.00M,88.00M,-75.00M,88.00M,414.00M,-4.00M,418.00M,,464.00M,39.00M,425.00M,,2020-03,1.44,1.44,,2020-03,1.43,1.43,,2020-03,,2020-03,AOR,
2019-12,1.593B,1.593B,508.00M,1.085B,202.00M,126.00M,328.00M,389.00M,5.00M,-2.00M,10.00M,,-10.00M,,722.00M,363.00M,,10.00M,-10.00M,21.00M,-10.00M,374.00M,28.00M,346.00M,,423.00M,39.00M,384.00M,,2019-12,1.186,1.18,,2019-12,1.18,1.18,,2019-12,,2019-12,AOR,
2019-09,1.348B,1.348B,405.00M,943.00M,152.00M,128.00M,280.00M,387.00M,6.00M,-2.00M,11.00M,,-11.00M,,673.00M,270.00M,,11.00M,-11.00M,25.00M,-11.00M,284.00M,-570.00M,854.00M,,330.00M,35.00M,295.00M,,2019-09,2.895,2.89,,2019-09,2.89,2.89,,2019-09,,2019-09,AOR,Restated
2019-06,1.209B,1.209B,187.00M,1.022B,110.00M,110.00M,220.00M,381.00M,5.00M,-1.00M,10.00M,,-11.00M,,606.00M,416.00M,,10.00M,-11.00M,31.00M,-11.00M,436.00M,-985.00M,1.421B,,483.00M,37.00M,446.00M,,2019-06,4.782,4.78,,2019-06,4.75,4.75,,2019-06,,2019-06,AOR,Restated
2019-03,1.238B,1.238B,276.00M,962.00M,229.00M,123.00M,352.00M,398.00M,5.00M,-11.00M,11.00M,,76.00M,,755.00M,207.00M,,11.00M,76.00M,-64.00M,76.00M,219.00M,10.00M,209.00M,,267.00M,37.00M,230.00M,,2019-03,0.7350,0.70,,2019-03,0.69,0.69,,2019-03,,2019-03,AOR,Restated
2018-12,1.289B,1.289B,413.00M,876.00M,187.00M,106.00M,293.00M,334.00M,6.00M,-1.00M,11.00M,,-11.00M,,633.00M,243.00M,,11.00M,-11.00M,33.00M,-11.00M,265.00M,3.00M,262.00M,,310.00M,34.00M,276.00M,,2018-12,0.8733,0.87,,2018-12,0.86,0.86,,2018-12,,2018-12,AOR,Restated
2018-09,1.286B,1.286B,418.00M,868.00M,146.00M,117.00M,263.00M,339.00M,6.00M,-2.00M,11.00M,,-11.00M,,608.00M,260.00M,,11.00M,-11.00M,27.00M,-11.00M,276.00M,21.00M,255.00M,,323.00M,36.00M,287.00M,,2018-09,0.8461,0.84,,2018-09,0.83,0.83,,2018-09,,2018-09,AOR,Restated
2018-06,1.137B,1.137B,215.00M,922.00M,140.00M,114.00M,254.00M,362.00M,6.00M,0.00,10.00M,,-11.00M,,622.00M,300.00M,,10.00M,-11.00M,30.00M,-11.00M,319.00M,26.00M,293.00M,,367.00M,38.00M,329.00M,,2018-06,0.96,0.96,,2018-06,0.95,0.95,,2018-06,,2018-06,AOR,Restated
2018-03,1.582B,1.582B,233.00M,1.349B,130.00M,126.00M,256.00M,335.00M,5.00M,0.00,11.00M,,38.00M,,596.00M,753.00M,,11.00M,38.00M,-37.00M,38.00M,754.00M,147.00M,607.00M,,804.00M,39.00M,765.00M,,2018-03,1.98,1.98,,2018-03,1.95,1.95,,2018-03,,2018-03,AOR,Restated
2017-12,1.16B,1.16B,501.00M,659.00M,230.00M,120.00M,350.00M,329.00M,1.00M,0.00,10.00M,,-10.00M,,680.00M,-21.00M,,10.00M,-10.00M,15.00M,-10.00M,-16.00M,170.00M,-186.00M,,28.00M,34.00M,-6.00M,,2017-12,-0.60,-0.60,,2017-12,-0.60,-0.60,,2017-12,,2017-12,AOR,Restated
2017-09,959.00M,959.00M,389.00M,570.00M,160.00M,118.00M,278.00M,331.00M,2.00M,0.00,11.00M,,-11.00M,,611.00M,-41.00M,,11.00M,-11.00M,14.00M,-11.00M,-38.00M,-16.00M,-22.00M,,5.00M,32.00M,-27.00M,,2017-09,-0.0642,-0.07,,2017-09,-0.07,-0.07,,2017-09,,2017-09,AOR,Restated
2017-06,1.449B,1.449B,154.00M,1.295B,121.00M,105.00M,226.00M,325.00M,1.00M,,10.00M,,-11.00M,,552.00M,743.00M,,10.00M,-11.00M,17.00M,-11.00M,749.00M,105.00M,644.00M,,790.00M,31.00M,759.00M,,2017-06,2.125,2.08,,2017-06,2.06,2.06,,2017-06,,2017-06,AOR,Restated
2017-03,1.527B,1.527B,202.00M,1.325B,162.00M,110.00M,272.00M,335.00M,1.00M,,11.00M,,14.00M,,608.00M,717.00M,,11.00M,14.00M,-15.00M,14.00M,716.00M,150.00M,566.00M,,759.00M,32.00M,727.00M,,2017-03,1.84,1.84,,2017-03,1.81,1.81,,2017-03,,2017-03,AOR,Restated
2016-12,1.149B,1.149B,516.00M,633.00M,240.00M,110.00M,350.00M,285.00M,2.00M,,11.00M,,-12.00M,,637.00M,-4.00M,,11.00M,-12.00M,10.00M,-12.00M,-6.00M,-5.00M,-1.00M,,54.00M,49.00M,5.00M,,2016-12,-0.0033,-0.0033,,2016-12,-0.0033,-0.0033,,2016-12,,2016-12,AOR,Restated
2016-09,898.00M,898.00M,401.00M,497.00M,143.00M,111.00M,254.00M,291.00M,1.00M,,11.00M,,-11.00M,,546.00M,-49.00M,,11.00M,-11.00M,8.00M,-11.00M,-52.00M,-14.00M,-38.00M,,4.00M,45.00M,-41.00M,,2016-09,-0.13,-0.13,,2016-09,-0.13,-0.13,,2016-09,,2016-09,AOR,Restated
2016-06,1.271B,1.271B,179.00M,1.092B,128.00M,108.00M,236.00M,294.00M,2.00M,,12.00M,,-13.00M,,532.00M,560.00M,,12.00M,-13.00M,5.00M,-13.00M,552.00M,112.00M,440.00M,,610.00M,46.00M,564.00M,,2016-06,1.46,1.46,,2016-06,1.40,1.40,,2016-06,,2016-06,AOR,Restated
2016-03,1.308B,1.308B,226.00M,1.082B,153.00M,110.00M,263.00M,282.00M,1.00M,,8.00M,,-4.00M,,546.00M,536.00M,,8.00M,-4.00M,-6.00M,-4.00M,526.00M,-373.00M,899.00M,,582.00M,48.00M,534.00M,,2016-03,2.93,2.93,,2016-03,2.79,2.79,,2016-03,,2016-03,AOR,Restated
2015-12,1.07B,1.07B,546.00M,524.00M,190.00M,97.00M,287.00M,266.00M,2.00M,,4.00M,,-5.00M,,555.00M,-31.00M,,4.00M,-5.00M,6.00M,-5.00M,-30.00M,15.00M,-45.00M,,24.00M,50.00M,-26.00M,,2015-12,-0.14,-0.14,,2015-12,-0.14,-0.14,,2015-12,,2015-12,AOR,Restated
2015-09,815.00M,815.00M,409.00M,406.00M,156.00M,101.00M,257.00M,265.00M,3.00M,,6.00M,,-6.00M,,525.00M,-119.00M,,6.00M,-6.00M,-3.00M,-6.00M,-128.00M,12.00M,-140.00M,,-72.00M,50.00M,-122.00M,,2015-09,-0.45,-0.45,,2015-09,-0.45,-0.45,,2015-09,,2015-09,AOR,Restated
