,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2020-09,185.00M,,,,,,40.00M,40.00M,,,113.00M,113.00M,83.00M,,79.00M,-157.00M,,-282.00M,-277.00M,61.00M,,-25.00M,,,,-28.00M,,-53.00M,,2020-09,,40.00M,0.00,40.00M,,,-8.00M,32.00M,,2020-09,4.013B,40.00M,4.059B,,2020-09,40.00M,,0.00,140.00M,21.00M,,2020-09,AOR
2020-06,365.00M,,,,,,37.00M,37.00M,,,102.00M,102.00M,-44.00M,,-69.00M,44.00M,,-57.00M,-126.00M,378.00M,,-38.00M,,,,30.00M,,-8.00M,,2020-06,,3.00M,-78.00M,-75.00M,,,-69.00M,-144.00M,,2020-06,3.768B,226.00M,4.013B,,2020-06,3.00M,,-78.00M,33.00M,,,2020-06,AOR
2020-03,418.00M,,,,,,39.00M,39.00M,,,91.00M,-251.00M,340.00M,,-148.00M,-41.00M,,-206.00M,-55.00M,498.00M,,-40.00M,,,0.00,29.00M,,-11.00M,,2020-03,,28.00M,-291.00M,-263.00M,,,-37.00M,-300.00M,,2020-03,3.603B,187.00M,3.768B,,2020-03,28.00M,,-291.00M,54.00M,21.00M,,2020-03,AOR
2019-12,346.00M,,,,,,39.00M,39.00M,,,91.00M,91.00M,59.00M,,92.00M,43.00M,,434.00M,628.00M,1.104B,,-28.00M,,,0.00,-55.00M,,-83.00M,,2019-12,,1.00M,-305.00M,-304.00M,,,-57.00M,-361.00M,,2019-12,2.94B,660.00M,3.603B,,2019-12,1.00M,,-305.00M,39.00M,0.00,,2019-12,AOR
2019-09,854.00M,,,,,,35.00M,35.00M,,,92.00M,92.00M,-529.00M,,235.00M,9.00M,,-659.00M,-944.00M,37.00M,,-27.00M,,,,-286.00M,,-313.00M,,2019-09,,30.00M,-306.00M,-276.00M,,,-36.00M,-312.00M,,2019-09,3.533B,-588.00M,2.94B,,2019-09,30.00M,,-306.00M,65.00M,21.00M,,2019-09,AOR
2019-06,1.421B,,,,,,37.00M,37.00M,,,73.00M,73.00M,294.00M,,-96.00M,24.00M,,-1.595B,-1.373B,158.00M,,-45.00M,,,,-905.00M,,-950.00M,,2019-06,,3.00M,-305.00M,-302.00M,,,-83.00M,-385.00M,,2019-06,4.708B,-1.177B,3.533B,,2019-06,3.00M,,-305.00M,12.00M,,,2019-06,AOR
2019-03,209.00M,,,,,,37.00M,37.00M,,,73.00M,-197.00M,183.00M,,-96.00M,-65.00M,,244.00M,266.00M,599.00M,,-35.00M,,,0.00,535.00M,,500.00M,,2019-03,,25.00M,-301.00M,-276.00M,,,-6.00M,-282.00M,,2019-03,3.887B,817.00M,4.708B,,2019-03,25.00M,,-301.00M,15.00M,21.00M,,2019-03,AOR
2018-12,262.00M,,,,,,34.00M,34.00M,,,75.00M,75.00M,151.00M,,51.00M,21.00M,,360.00M,583.00M,954.00M,,-21.00M,,,0.00,394.00M,,373.00M,,2018-12,,0.00,-292.00M,-292.00M,,,-20.00M,-312.00M,,2018-12,2.881B,1.015B,3.887B,,2018-12,0.00,,-292.00M,7.00M,0.00,,2018-12,AOR
2018-09,255.00M,,,,,,36.00M,36.00M,,,66.00M,66.00M,-591.00M,,184.00M,-28.00M,,-48.00M,-483.00M,-126.00M,,-31.00M,,,-8.00M,-562.00M,,-601.00M,,2018-09,,35.00M,-299.00M,-264.00M,,,-7.00M,-271.00M,,2018-09,3.876B,-998.00M,2.881B,,2018-09,35.00M,,-299.00M,50.00M,21.00M,,2018-09,AOR
2018-06,293.00M,,,,,,38.00M,38.00M,,,70.00M,70.00M,169.00M,,-77.00M,48.00M,,-421.00M,-281.00M,120.00M,,-32.00M,,,-50.00M,-21.00M,,-103.00M,,2018-06,,1.00M,-300.00M,-299.00M,,,-89.00M,-388.00M,,2018-06,4.258B,-371.00M,3.876B,,2018-06,1.00M,,-300.00M,28.00M,,,2018-06,AOR
2018-03,607.00M,,,,,,39.00M,39.00M,,,69.00M,69.00M,502.00M,,-282.00M,-69.00M,,-251.00M,-100.00M,615.00M,,-20.00M,,,0.00,1.235B,,1.215B,,2018-03,,21.00M,-148.00M,-127.00M,,,-8.00M,-135.00M,,2018-03,2.566B,1.695B,4.258B,,2018-03,21.00M,,-148.00M,11.00M,21.00M,,2018-03,AOR
2017-12,-186.00M,,,,,,34.00M,34.00M,,,63.00M,63.00M,-73.00M,,77.00M,13.00M,,921.00M,938.00M,849.00M,,-24.00M,,,-150.00M,-11.00M,,-185.00M,,2017-12,,0.00,-150.00M,-150.00M,,,-7.00M,-157.00M,,2017-12,2.067B,507.00M,2.566B,,2017-12,0.00,,-150.00M,18.00M,0.00,,2017-12,AOR
2017-09,-22.00M,,,,,,32.00M,32.00M,,,62.00M,62.00M,-589.00M,,364.00M,-14.00M,,219.00M,-20.00M,52.00M,,-30.00M,,,0.00,-90.00M,,-120.00M,,2017-09,,27.00M,-153.00M,-126.00M,,,-10.00M,-136.00M,,2017-09,2.248B,-204.00M,2.067B,,2017-09,27.00M,,-153.00M,21.00M,21.00M,,2017-09,AOR
2017-06,644.00M,,,,,,31.00M,31.00M,,,48.00M,48.00M,135.00M,,-160.00M,80.00M,,-602.00M,-547.00M,176.00M,,-33.00M,,,,-255.00M,,-288.00M,,2017-06,,30.00M,-150.00M,-120.00M,,,-95.00M,-215.00M,,2017-06,2.565B,-327.00M,2.248B,,2017-06,30.00M,,-150.00M,7.00M,,,2017-06,AOR
2017-03,566.00M,,,,,,32.00M,32.00M,,,52.00M,52.00M,231.00M,,-75.00M,-37.00M,,-332.00M,-213.00M,437.00M,,-29.00M,,,0.00,-232.00M,,-261.00M,,2017-03,0.00,39.00M,-125.00M,-86.00M,,,-18.00M,-104.00M,,2017-03,2.483B,72.00M,2.565B,,2017-03,39.00M,0.00,-125.00M,0.00,20.00M,,2017-03,AOR
2016-12,-1.00M,,,,,,49.00M,49.00M,,,48.00M,48.00M,126.00M,,28.00M,3.00M,,884.00M,1.041B,1.137B,,-25.00M,,,0.00,-224.00M,,-249.00M,,2016-12,0.00,2.00M,-127.00M,-125.00M,,,-6.00M,-131.00M,,2016-12,1.746B,757.00M,2.483B,,2016-12,2.00M,0.00,-127.00M,25.00M,1.00M,,2016-12,AOR
2016-09,-38.00M,,,,,,45.00M,45.00M,,,48.00M,48.00M,-481.00M,,346.00M,31.00M,,171.00M,67.00M,122.00M,,-29.00M,,,,-139.00M,,-168.00M,,2016-09,-136.00M,27.00M,-127.00M,-100.00M,,,-9.00M,-245.00M,,2016-09,2.042B,-291.00M,1.746B,,2016-09,27.00M,-136.00M,-127.00M,16.00M,22.00M,,2016-09,AOR
2016-06,440.00M,,,,,,46.00M,46.00M,,,48.00M,48.00M,-12.00M,,-104.00M,6.00M,,-542.00M,-652.00M,-118.00M,,-40.00M,,,,-41.00M,,-81.00M,,2016-06,-27.00M,4.00M,-129.00M,-125.00M,,,-97.00M,-249.00M,,2016-06,2.493B,-448.00M,2.042B,,2016-06,4.00M,-27.00M,-129.00M,10.00M,,,2016-06,AOR
2016-03,899.00M,,,,,,48.00M,48.00M,,,47.00M,2.00M,395.00M,6.00M,57.00M,-20.00M,,-796.00M,-358.00M,638.00M,,-30.00M,,,,-371.00M,,-401.00M,,2016-03,812.00M,21.00M,-634.00M,-613.00M,,,-229.00M,-30.00M,,2016-03,2.263B,207.00M,2.493B,,2016-03,21.00M,-177.00M,-634.00M,7.00M,1.00M,,2016-03,AOR
2015-12,-45.00M,,,,,,50.00M,50.00M,,,42.00M,2.00M,111.00M,20.00M,-31.00M,3.00M,,737.00M,840.00M,889.00M,,-21.00M,,,,18.00M,,-3.00M,,2015-12,-95.00M,2.00M,-126.00M,-124.00M,,,8.00M,-211.00M,,2015-12,1.598B,675.00M,2.263B,,2015-12,2.00M,-95.00M,-126.00M,2.00M,0.00,,2015-12,AOR
2015-09,-140.00M,,,,,,50.00M,50.00M,,,44.00M,-39.00M,-598.00M,-29.00M,324.00M,13.00M,,339.00M,49.00M,9.00M,,-18.00M,,,,78.00M,,60.00M,,2015-09,-198.00M,39.00M,-126.00M,-87.00M,,,25.00M,-260.00M,,2015-09,1.81B,-191.00M,1.598B,,2015-09,39.00M,-198.00M,-126.00M,5.00M,0.00,,2015-09,AOR
2015-06,442.00M,,,,,,49.00M,49.00M,,,45.00M,45.00M,219.00M,3.00M,-347.00M,26.00M,,-508.00M,-607.00M,-71.00M,,-24.00M,,,,-116.00M,,-140.00M,,2015-06,0.00,45.00M,-132.00M,-87.00M,,,40.00M,-47.00M,,2015-06,2.068B,-258.00M,1.81B,,2015-06,45.00M,0.00,-132.00M,21.00M,3.00M,,2015-06,AOR
2015-03,395.00M,,,,,,55.00M,55.00M,,,36.00M,-1.00M,122.00M,-16.00M,-54.00M,-31.00M,,-308.00M,-287.00M,198.00M,,-32.00M,,,,-178.00M,,-210.00M,,2015-03,0.00,29.00M,-95.00M,-66.00M,,,6.00M,-60.00M,,2015-03,2.166B,-72.00M,2.068B,,2015-03,29.00M,0.00,-95.00M,10.00M,3.00M,,2015-03,AOR
2014-12,142.00M,,,,,,53.00M,53.00M,,,39.00M,0.00,332.00M,27.00M,-217.00M,-1.00M,,307.00M,448.00M,682.00M,,-15.00M,,,,-12.00M,,-27.00M,,2014-12,0.00,5.00M,-97.00M,-92.00M,,,2.00M,-90.00M,,2014-12,1.624B,565.00M,2.166B,,2014-12,5.00M,0.00,-97.00M,3.00M,0.00,,2014-12,AOR
2014-09,3.00M,,,,,,56.00M,56.00M,,,40.00M,-1.00M,-618.00M,-30.00M,383.00M,117.00M,,233.00M,85.00M,183.00M,,-21.00M,,,,-5.00M,,-26.00M,,2014-09,0.00,21.00M,-95.00M,-74.00M,,,2.00M,-72.00M,,2014-09,1.554B,85.00M,1.624B,,2014-09,21.00M,0.00,-95.00M,-19.00M,3.00M,,2014-09,AOR
2014-06,335.00M,,,,,,56.00M,56.00M,,,29.00M,-1.00M,110.00M,19.00M,-127.00M,21.00M,,-438.00M,-415.00M,4.00M,,-27.00M,,,,-180.00M,,-207.00M,,2014-06,,5.00M,-50.00M,-45.00M,,,12.00M,-33.00M,,2014-06,1.782B,-236.00M,1.554B,,2014-06,5.00M,,-50.00M,8.00M,0.00,,2014-06,AOR
2014-03,367.00M,,1.00M,1.00M,,,57.00M,57.00M,,,39.00M,2.00M,198.00M,-1.00M,-109.00M,-73.00M,,-200.00M,-185.00M,281.00M,,-16.00M,,,0.00,-260.00M,,-276.00M,,2014-03,,26.00M,0.00,26.00M,,,13.00M,39.00M,,2014-03,1.746B,44.00M,1.782B,,2014-03,26.00M,,0.00,8.00M,3.00M,,2014-03,AOR
2013-12,-308.00M,,1.00M,1.00M,,,58.00M,58.00M,,,40.00M,0.00,68.00M,3.00M,48.00M,9.00M,,766.00M,894.00M,685.00M,,-28.00M,,,0.00,2.00M,,-26.00M,,2013-12,,1.00M,0.00,1.00M,,,0.00,1.00M,,2013-12,1.09B,660.00M,1.746B,,2013-12,1.00M,,0.00,6.00M,0.00,,2013-12,AOR
2013-09,-273.00M,,,,,,56.00M,56.00M,,,38.00M,-44.00M,-470.00M,-16.00M,317.00M,38.00M,,348.00M,217.00M,-6.00M,,-24.00M,,,0.00,27.00M,,3.00M,,2013-09,,28.00M,0.00,28.00M,,,0.00,28.00M,,2013-09,1.056B,25.00M,1.09B,,2013-09,28.00M,,0.00,9.00M,3.00M,,2013-09,AOR
2013-06,222.00M,,,,,,56.00M,56.00M,,,33.00M,7.00M,192.00M,1.00M,-277.00M,-30.00M,,-452.00M,-566.00M,-248.00M,,-29.00M,,,-5.00M,32.00M,,-2.00M,,2013-06,,22.00M,0.00,22.00M,,,-1.00M,21.00M,,2013-06,1.292B,-229.00M,1.056B,,2013-06,22.00M,,0.00,6.00M,,,2013-06,AOR
2013-03,323.00M,,-25.00M,-25.00M,,,86.00M,86.00M,,,42.00M,1.00M,74.00M,16.00M,-122.00M,1.00M,,-163.00M,-194.00M,233.00M,,-25.00M,,,6.00M,-68.00M,,-87.00M,,2013-03,,15.00M,-13.00M,2.00M,,,0.00,2.00M,,2013-03,1.158B,148.00M,1.292B,,2013-03,15.00M,,-13.00M,5.00M,3.00M,,2013-03,AOR
