,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,4.059B,1.972B,6.031B,423.00M,423.00M,,,,,,,376.00M,6.83B,0.00,66.00M,351.00M,882.00M,,6.00M,168.00M,1.473B,-1.015B,458.00M,1.891B,42.00M,1.933B,1.937B,312.00M,4.64B,11.47B,164.00M,,164.00M,491.00M,655.00M,72.00M,599.00M,599.00M,86.00M,685.00M,788.00M,788.00M,,2.485B,397.00M,397.00M,1.00M,1.00M,,,211.00M,910.00M,2020-09,3.00M,8.016B,145.00M,,-89.00M,8.075B,,2020-09,AOR,
2020-06,4.013B,1.947B,5.96B,507.00M,507.00M,,,,,,,223.00M,6.69B,0.00,66.00M,348.00M,848.00M,,6.00M,165.00M,1.433B,-983.00M,450.00M,1.889B,48.00M,1.937B,1.894B,313.00M,4.594B,11.28B,51.00M,148.00M,199.00M,351.00M,550.00M,79.00M,599.00M,599.00M,75.00M,674.00M,992.00M,992.00M,,2.568B,397.00M,397.00M,1.00M,1.00M,,,224.00M,934.00M,2020-06,3.00M,7.831B,0.00,,-52.00M,7.782B,,2020-06,AOR,
2020-03,3.768B,1.967B,5.735B,461.00M,461.00M,,,,,,,321.00M,6.517B,0.00,65.00M,340.00M,805.00M,,20.00M,161.00M,1.391B,-942.00M,449.00M,1.885B,53.00M,1.938B,1.903B,305.00M,4.595B,11.11B,68.00M,,68.00M,444.00M,512.00M,109.00M,599.00M,599.00M,69.00M,668.00M,1.049B,1.049B,,2.664B,397.00M,397.00M,1.00M,1.00M,,,216.00M,987.00M,2020-03,3.00M,7.508B,0.00,,-50.00M,7.461B,,2020-03,AOR,
2019-12,3.603B,1.999B,5.602B,798.00M,798.00M,,,,,,,229.00M,6.629B,0.00,66.00M,348.00M,838.00M,,3.00M,164.00M,1.419B,-980.00M,439.00M,1.892B,62.00M,1.954B,1.828B,311.00M,4.532B,11.16B,61.00M,,61.00M,538.00M,599.00M,174.00M,,,75.00M,75.00M,1.175B,1.175B,35.00M,2.338B,995.00M,995.00M,2.00M,2.00M,,,237.00M,1.586B,2019-12,3.00M,7.267B,0.00,,-33.00M,7.237B,,2019-12,AOR,
2019-09,2.94B,1.943B,4.883B,856.00M,856.00M,,,,,,,301.00M,6.04B,0.00,66.00M,346.00M,817.00M,,9.00M,157.00M,1.395B,-953.00M,442.00M,1.89B,72.00M,1.962B,1.835B,314.00M,4.553B,10.59B,148.00M,,148.00M,441.00M,589.00M,87.00M,,,75.00M,75.00M,800.00M,800.00M,69.00M,1.818B,995.00M,995.00M,2.00M,2.00M,,,259.00M,1.617B,2019-09,3.00M,7.165B,0.00,,-10.00M,7.158B,,2019-09,AOR,Restated
2019-06,3.533B,1.654B,5.187B,329.00M,329.00M,,,,,,,284.00M,5.80B,0.00,66.00M,347.00M,805.00M,,22.00M,145.00M,1.385B,-939.00M,446.00M,1.892B,80.00M,1.972B,1.208B,323.00M,3.949B,9.749B,56.00M,,56.00M,343.00M,399.00M,125.00M,,,55.00M,55.00M,763.00M,763.00M,102.00M,1.65B,995.00M,995.00M,2.00M,2.00M,,,272.00M,1.614B,2019-06,3.00M,6.499B,0.00,,-17.00M,6.485B,,2019-06,AOR,Restated
2019-03,4.708B,737.00M,5.445B,623.00M,623.00M,,,,,,,313.00M,6.381B,0.00,66.00M,343.00M,790.00M,,21.00M,139.00M,1.359B,-911.00M,448.00M,1.892B,87.00M,1.979B,35.00M,114.00M,2.576B,8.957B,113.00M,,113.00M,434.00M,547.00M,150.00M,,,0.00,0.00,1.194B,1.194B,136.00M,2.265B,994.00M,994.00M,2.00M,2.00M,,,132.00M,1.361B,2019-03,3.00M,5.358B,0.00,,-30.00M,5.331B,,2019-03,AOR,Restated
2018-12,3.887B,1.274B,5.161B,806.00M,806.00M,,,,,,,280.00M,6.247B,0.00,66.00M,338.00M,825.00M,,9.00M,134.00M,1.372B,-946.00M,426.00M,1.891B,93.00M,1.984B,106.00M,94.00M,2.61B,8.857B,70.00M,,70.00M,592.00M,662.00M,209.00M,,,,,1.031B,1.031B,,2.09B,994.00M,994.00M,1.00M,1.00M,,,164.00M,1.423B,2018-12,3.00M,5.358B,0.00,,-17.00M,5.344B,,2018-12,AOR,Restated
2018-09,2.881B,1.664B,4.545B,966.00M,966.00M,,,,,,,292.00M,5.803B,0.00,66.00M,342.00M,824.00M,,9.00M,135.00M,1.376B,-936.00M,440.00M,1.894B,100.00M,1.994B,112.00M,101.00M,2.647B,8.45B,168.00M,,168.00M,514.00M,682.00M,108.00M,,,,,687.00M,687.00M,,1.649B,993.00M,993.00M,1.00M,1.00M,,,217.00M,1.484B,2018-09,3.00M,5.199B,134.00M,,-19.00M,5.317B,,2018-09,AOR,Restated
2018-06,3.876B,1.095B,4.971B,371.00M,371.00M,,,,,,,282.00M,5.624B,0.00,66.00M,338.00M,824.00M,,9.00M,136.00M,1.373B,-933.00M,440.00M,1.886B,107.00M,1.993B,92.00M,98.00M,2.623B,8.247B,47.00M,,47.00M,407.00M,454.00M,129.00M,,,,,665.00M,665.00M,,1.464B,993.00M,993.00M,1.00M,1.00M,,,253.00M,1.523B,2018-06,3.00M,4.944B,339.00M,,-26.00M,5.26B,,2018-06,AOR,Restated
2018-03,4.258B,1.073B,5.331B,385.00M,385.00M,,,,,,,288.00M,6.004B,0.00,66.00M,336.00M,828.00M,,7.00M,139.00M,1.376B,-923.00M,453.00M,1.883B,71.00M,1.954B,84.00M,89.00M,2.58B,8.584B,48.00M,,48.00M,431.00M,479.00M,,,,,,1.73B,1.73B,,2.491B,992.00M,992.00M,1.00M,1.00M,,,255.00M,1.498B,2018-03,3.00M,4.062B,657.00M,,-127.00M,4.595B,,2018-03,AOR,Restated
2017-12,2.566B,2.318B,4.884B,886.00M,886.00M,,,,,,,196.00M,5.966B,0.00,66.00M,336.00M,805.00M,,7.00M,137.00M,1.351B,-904.00M,447.00M,1.879B,81.00M,1.96B,159.00M,110.00M,2.676B,8.642B,91.00M,,91.00M,606.00M,697.00M,,,,,,2.161B,2.161B,,3.107B,992.00M,992.00M,2.00M,2.00M,,,261.00M,1.449B,2017-12,3.00M,3.455B,723.00M,,-95.00M,4.086B,,2017-12,AOR,Restated
2017-09,2.067B,2.288B,4.355B,812.00M,812.00M,,,,,,,248.00M,5.415B,0.00,61.00M,327.00M,806.00M,,6.00M,136.00M,1.336B,-892.00M,444.00M,1.711B,5.00M,1.716B,248.00M,99.00M,2.507B,7.922B,187.00M,,187.00M,557.00M,744.00M,,,,,,1.342B,1.342B,,2.272B,991.00M,991.00M,1.00M,1.00M,,,148.00M,1.262B,2017-09,3.00M,3.641B,817.00M,,-73.00M,4.388B,,2017-09,AOR,Restated
2017-06,2.248B,2.222B,4.47B,222.00M,222.00M,,,,,,,210.00M,4.902B,0.00,61.00M,320.00M,821.00M,,7.00M,133.00M,1.342B,-906.00M,436.00M,1.708B,7.00M,1.715B,232.00M,90.00M,2.473B,7.375B,38.00M,,38.00M,391.00M,429.00M,,,,,,989.00M,989.00M,,1.629B,991.00M,991.00M,1.00M,1.00M,,,154.00M,1.26B,2017-06,3.00M,3.663B,891.00M,,-71.00M,4.486B,,2017-06,AOR,Restated
2017-03,2.565B,1.967B,4.532B,359.00M,359.00M,,,,,,,308.00M,5.199B,0.00,61.00M,316.00M,805.00M,,7.00M,126.00M,1.315B,-881.00M,434.00M,1.707B,8.00M,1.715B,286.00M,84.00M,2.519B,7.718B,87.00M,,87.00M,375.00M,462.00M,,,,,,1.686B,1.686B,,2.415B,990.00M,990.00M,1.00M,1.00M,,,148.00M,1.243B,2017-03,3.00M,3.027B,1.049B,,-19.00M,4.06B,,2017-03,AOR,Restated
2016-12,2.483B,1.736B,4.219B,587.00M,587.00M,1.00M,,34.00M,,35.00M,,260.00M,5.101B,0.00,61.00M,312.00M,782.00M,,8.00M,126.00M,1.289B,-865.00M,424.00M,1.704B,9.00M,1.713B,386.00M,95.00M,2.618B,7.719B,65.00M,,65.00M,532.00M,597.00M,,,,,,2.116B,2.116B,,2.937B,990.00M,990.00M,2.00M,2.00M,,,154.00M,1.233B,2016-12,3.00M,2.461B,1.086B,,-1.00M,3.549B,,2016-12,AOR,Restated
2016-09,1.746B,1.52B,3.266B,723.00M,723.00M,9.00M,,41.00M,,50.00M,,221.00M,4.26B,0.00,61.00M,315.00M,790.00M,,3.00M,129.00M,1.298B,-867.00M,431.00M,1.709B,28.00M,1.737B,366.00M,98.00M,2.632B,6.892B,206.00M,,206.00M,451.00M,657.00M,,,,,,1.218B,1.218B,,2.05B,990.00M,990.00M,2.00M,2.00M,,,156.00M,1.234B,2016-09,3.00M,2.462B,1.153B,,-10.00M,3.608B,,2016-09,AOR,Restated
2016-06,2.042B,1.385B,3.427B,246.00M,246.00M,0.00,,26.00M,,26.00M,,273.00M,3.972B,0.00,61.00M,316.00M,775.00M,,8.00M,129.00M,1.289B,-854.00M,435.00M,1.708B,42.00M,1.75B,343.00M,105.00M,2.633B,6.605B,44.00M,,44.00M,330.00M,374.00M,,136.00M,136.00M,,136.00M,944.00M,944.00M,,1.65B,989.00M,989.00M,2.00M,2.00M,,,160.00M,1.239B,2016-06,3.00M,2.50B,1.21B,,3.00M,3.716B,,2016-06,AOR,Restated
2016-03,2.493B,1.341B,3.834B,233.00M,233.00M,,,,,,,287.00M,4.354B,0.00,61.00M,313.00M,764.00M,,15.00M,129.00M,1.282B,-843.00M,439.00M,1.71B,57.00M,1.767B,387.00M,103.00M,2.696B,7.05B,89.00M,,89.00M,377.00M,466.00M,,163.00M,163.00M,,163.00M,1.535B,1.535B,,2.42B,989.00M,989.00M,2.00M,2.00M,,,163.00M,1.234B,2016-03,3.00M,2.06B,1.349B,,-16.00M,3.396B,,2016-03,AOR,Restated
