,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,5.545B,,5.545B,1.972B,1.972B,550.00M,258.00M,1.308B,,2.116B,658.00M,,10.29B,0.00,57.00M,457.00M,2.512B,2.325B,2.471B,7.822B,-3.355B,4.467B,1.401B,2.424B,3.825B,,,1.012B,9.304B,19.60B,,1.299B,711.00M,2.01B,1.694B,3.704B,452.00M,,,18.00M,470.00M,387.00M,857.00M,365.00M,365.00M,,5.42B,4.913B,2.314B,7.227B,,35.00M,,1.492B,8.719B,14.14B,,6.00M,11.16B,5.068B,10.43B,,,-383.00M,5.421B,,AOR,
2020-09,,4.267B,,4.267B,1.812B,1.812B,553.00M,266.00M,1.385B,,2.204B,512.00M,,8.795B,0.00,34.00M,419.00M,2.409B,2.322B,2.426B,7.61B,-3.211B,4.399B,1.421B,2.358B,3.779B,,,930.00M,9.108B,17.90B,,1.178B,546.00M,1.724B,1.39B,3.114B,453.00M,,,20.00M,473.00M,399.00M,872.00M,353.00M,353.00M,,4.744B,4.913B,2.309B,7.222B,,29.00M,,1.456B,8.678B,13.42B,,6.00M,10.48B,4.913B,10.35B,,,-594.00M,4.452B,,AOR,
2020-06,4.247B,5.022B,,5.022B,1.194B,1.194B,542.00M,305.00M,1.215B,,2.062B,614.00M,,8.892B,0.00,33.00M,400.00M,2.32B,2.282B,2.381B,7.416B,-3.079B,4.337B,1.401B,2.338B,3.739B,,,813.00M,8.889B,17.78B,,1.177B,,1.177B,1.759B,2.936B,,,,1.222B,1.222B,375.00M,1.597B,222.00M,222.00M,,5.179B,4.914B,2.278B,7.192B,,27.00M,,1.448B,8.64B,13.82B,,6.00M,10.13B,4.79B,10.33B,,,-665.00M,3.935B,,AOR,
2020-03,,4.876B,,4.876B,1.846B,1.846B,540.00M,261.00M,1.286B,,2.087B,424.00M,,9.233B,0.00,33.00M,385.00M,2.254B,2.446B,2.37B,7.488B,-2.95B,4.538B,1.633B,2.19B,3.823B,,,769.00M,9.13B,18.36B,,1.162B,,1.162B,1.936B,3.098B,,200.00M,1.30B,27.00M,1.527B,371.00M,1.898B,306.00M,306.00M,,5.681B,4.674B,2.288B,6.962B,,29.00M,,1.362B,8.324B,14.00B,,6.00M,10.60B,4.76B,10.32B,,,-712.00M,4.329B,,AOR,
2019-12,,3.596B,,3.596B,2.225B,2.225B,519.00M,237.00M,1.302B,,2.058B,469.00M,,8.348B,0.00,29.00M,367.00M,2.261B,2.517B,2.385B,7.559B,-2.956B,4.603B,1.92B,2.342B,4.262B,,,724.00M,9.589B,17.94B,,1.137B,325.00M,1.462B,1.785B,3.247B,,,,522.00M,522.00M,369.00M,891.00M,378.00M,378.00M,,4.953B,4.662B,2.318B,6.98B,,27.00M,,1.403B,8.383B,13.34B,,6.00M,10.78B,4.615B,10.25B,,,-569.00M,4.574B,,AOR,Restated
2019-09,,2.259B,,2.259B,2.294B,2.294B,510.00M,234.00M,1.311B,,2.055B,414.00M,,7.022B,0.00,29.00M,341.00M,2.195B,2.516B,2.279B,7.36B,-2.826B,4.534B,1.868B,1.191B,3.059B,,,816.00M,8.409B,15.43B,,1.071B,263.00M,1.334B,1.664B,2.998B,,,,520.00M,520.00M,346.00M,866.00M,345.00M,345.00M,,4.59B,2.895B,2.335B,5.23B,,28.00M,,1.053B,6.283B,10.87B,,6.00M,10.39B,4.514B,9.756B,,,-627.00M,4.53B,,AOR,Restated
2019-06,1.421B,2.987B,,2.987B,1.831B,1.831B,541.00M,268.00M,1.197B,,2.006B,388.00M,,7.212B,0.00,29.00M,337.00M,2.191B,,2.274B,4.831B,-2.763B,2.068B,1.868B,1.203B,3.071B,,,805.00M,5.944B,13.16B,,1.49B,,1.49B,1.711B,3.201B,,,,516.00M,516.00M,0.00,516.00M,314.00M,314.00M,,4.605B,2.896B,0.00,2.896B,,25.00M,,1.244B,4.14B,8.745B,,6.00M,9.984B,4.403B,9.444B,,,-563.00M,4.386B,,AOR,Restated
2019-03,,2.902B,0.00,2.902B,2.036B,2.036B,501.00M,218.00M,1.095B,,1.814B,408.00M,,7.16B,0.00,29.00M,285.00M,2.103B,,2.251B,4.668B,-2.777B,1.891B,1.865B,1.215B,3.08B,173.00M,,627.00M,5.771B,12.93B,,1.068B,463.00M,1.531B,1.385B,2.916B,,,,516.00M,516.00M,,516.00M,299.00M,299.00M,,4.231B,2.883B,,2.883B,,29.00M,,1.20B,4.083B,8.314B,,6.00M,9.984B,4.331B,9.235B,,,-498.00M,4.588B,,AOR,Restated
2018-12,,1.876B,525.00M,2.401B,2.00B,2.00B,438.00M,191.00M,1.022B,,1.651B,388.00M,,6.44B,0.00,29.00M,269.00M,2.114B,,2.217B,4.629B,-2.77B,1.859B,1.911B,1.233B,3.144B,600.00M,,633.00M,6.236B,12.68B,,995.00M,538.00M,1.533B,1.384B,2.917B,,,,18.00M,18.00M,,18.00M,425.00M,425.00M,,3.776B,3.373B,,3.373B,,27.00M,,1.194B,4.567B,8.343B,,6.00M,9.586B,4.162B,9.018B,,,-430.00M,4.306B,,AOR,Restated
2018-09,,1.443B,550.00M,1.993B,2.214B,2.214B,423.00M,197.00M,1.061B,,1.681B,361.00M,,6.249B,0.00,30.00M,248.00M,2.071B,,2.179B,4.528B,-2.69B,1.838B,1.929B,1.264B,3.193B,661.00M,,602.00M,6.294B,12.54B,,913.00M,409.00M,1.322B,1.308B,2.63B,,165.00M,,18.00M,183.00M,,183.00M,371.00M,371.00M,,3.563B,3.361B,,3.361B,,24.00M,,1.189B,4.55B,8.113B,,6.00M,9.17B,4.065B,8.426B,,,-409.00M,4.406B,,AOR,Restated
