,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.853B,4.853B,1.084B,3.769B,2.59B,-116.00M,43.00M,17.00M,-26.00M,,2.59B,1.179B,17.00M,43.00M,-26.00M,-123.00M,-26.00M,1.03B,153.00M,877.00M,,,-4.00M,,873.00M,971.72M,1.233B,160.00M,1.073B,,2.40,,,2.672,2.40,,2.37,,,2.638,2.37,,363.00M,368.00M,0.53,,AOR,
2020-09,3.562B,3.562B,825.00M,2.737B,2.026B,-6.00M,45.00M,14.00M,-31.00M,,2.026B,711.00M,14.00M,45.00M,-31.00M,-9.00M,-31.00M,671.00M,146.00M,525.00M,,,-2.00M,,523.00M,527.69M,872.00M,156.00M,716.00M,,1.44,,,1.453,1.44,,1.42,,,1.433,1.42,,362.10M,367.20M,0.48,,AOR,
2020-06,2.43B,2.43B,767.00M,1.663B,1.884B,-322.00M,49.00M,7.00M,-42.00M,,1.884B,-221.00M,7.00M,49.00M,-42.00M,-342.00M,-42.00M,-605.00M,-146.00M,-459.00M,,,-3.00M,,-462.00M,-217.71M,-392.00M,164.00M,-556.00M,,-1.28,,,-0.6025,-1.28,,-1.28,,,-0.6131,-1.28,,360.60M,366.30M,0.00,,AOR,
2020-03,3.345B,3.345B,836.00M,2.509B,2.03B,-370.00M,42.00M,14.00M,-28.00M,,2.03B,479.00M,14.00M,42.00M,-28.00M,-371.00M,-28.00M,80.00M,84.00M,-4.00M,,,-2.00M,,-6.00M,264.10M,282.00M,160.00M,122.00M,,-0.02,,,0.7299,-0.02,,-0.02,,,0.7299,-0.02,,360.20M,360.20M,0.48,,AOR,
2019-12,4.624B,4.624B,1.041B,3.583B,2.538B,-784.00M,38.00M,13.00M,-25.00M,,2.538B,1.045B,13.00M,38.00M,-25.00M,-209.00M,-25.00M,811.00M,250.00M,561.00M,,,-4.00M,,557.00M,1.100B,993.00M,144.00M,849.00M,,1.55,,,3.056,1.55,,1.52,,,2.999,1.52,,360.20M,366.70M,0.48,,AOR,Restated
2019-09,3.895B,3.895B,908.00M,2.987B,2.185B,-23.00M,32.00M,14.00M,-18.00M,,2.185B,802.00M,14.00M,32.00M,-18.00M,-24.00M,-18.00M,760.00M,162.00M,598.00M,,,-3.00M,,595.00M,613.10M,935.00M,143.00M,792.00M,,1.65,,,1.700,1.65,,1.61,,,1.659,1.61,,361.40M,368.60M,0.43,,AOR,Restated
2019-06,3.59B,3.59B,835.00M,2.755B,2.422B,-117.00M,32.00M,16.00M,-16.00M,,2.422B,333.00M,16.00M,32.00M,-16.00M,-118.00M,-16.00M,199.00M,41.00M,158.00M,,,-1.00M,,157.00M,249.89M,384.00M,153.00M,231.00M,,0.43,,,0.6866,0.43,,0.43,,,0.6818,0.43,,362.00M,368.90M,0.43,,AOR,Restated
2019-03,3.744B,3.744B,819.00M,2.925B,2.17B,-81.00M,32.00M,15.00M,-17.00M,,2.17B,755.00M,15.00M,32.00M,-17.00M,-11.00M,-17.00M,727.00M,170.00M,557.00M,,,-2.00M,,555.00M,617.05M,894.00M,135.00M,759.00M,,1.53,,,1.701,1.53,,1.51,,,1.678,1.51,,361.90M,368.30M,0.43,,AOR,Restated
2018-12,4.005B,4.005B,910.00M,3.095B,2.257B,-67.00M,35.00M,12.00M,-23.00M,,2.257B,838.00M,12.00M,35.00M,-23.00M,-67.00M,-23.00M,748.00M,171.00M,577.00M,,,-4.00M,,573.00M,624.66M,920.00M,137.00M,783.00M,,1.58,,,1.722,1.58,,1.55,,,1.690,1.55,,363.30M,369.90M,0.43,,AOR,Restated
2018-09,3.524B,3.524B,823.00M,2.701B,2.008B,-41.00M,34.00M,15.00M,-19.00M,,2.008B,693.00M,15.00M,34.00M,-19.00M,-41.00M,-19.00M,633.00M,131.00M,502.00M,,,-2.00M,,500.00M,532.52M,799.00M,132.00M,667.00M,,1.36,,,1.449,1.36,,1.34,,,1.427,1.34,,366.80M,374.40M,0.38,,AOR,Restated
2018-06,3.295B,3.295B,697.00M,2.598B,2.287B,-33.00M,32.00M,16.00M,-16.00M,,2.287B,311.00M,16.00M,32.00M,-16.00M,-34.00M,-16.00M,261.00M,73.00M,188.00M,,,-2.00M,,186.00M,209.77M,435.00M,142.00M,293.00M,,0.51,,,0.5748,0.51,,0.49,,,0.5533,0.49,,367.10M,375.70M,0.38,,AOR,Restated
2018-03,3.37B,3.37B,683.00M,2.687B,2.092B,-97.00M,33.00M,16.00M,-17.00M,,2.092B,595.00M,16.00M,33.00M,-17.00M,-98.00M,-17.00M,480.00M,106.00M,374.00M,,,-2.00M,,372.00M,447.56M,646.00M,133.00M,513.00M,,1.01,,,1.215,1.01,,0.99,,,1.191,0.99,,367.90M,375.70M,0.38,,AOR,Restated
2017-12,3.744B,3.744B,753.00M,2.991B,2.214B,-67.00M,32.00M,12.00M,-20.00M,,2.214B,777.00M,12.00M,32.00M,-20.00M,-67.00M,-20.00M,690.00M,565.00M,125.00M,,,-2.00M,,123.00M,163.20M,851.00M,129.00M,722.00M,,0.33,,,0.4390,0.33,,0.33,,,0.4369,0.33,,368.70M,376.10M,0.38,,AOR,Restated
2017-09,3.274B,3.274B,711.00M,2.563B,1.96B,-34.00M,31.00M,12.00M,-19.00M,,1.96B,603.00M,12.00M,31.00M,-19.00M,-35.00M,-19.00M,549.00M,119.00M,430.00M,,,-3.00M,,427.00M,453.62M,707.00M,127.00M,580.00M,,1.16,,,1.232,1.16,,1.14,,,1.211,1.14,,368.40M,375.40M,0.34,,AOR,Restated
2017-06,2.894B,2.894B,610.00M,2.284B,1.938B,-104.00M,32.00M,9.00M,-23.00M,,1.938B,346.00M,9.00M,32.00M,-23.00M,-116.00M,-23.00M,207.00M,-23.00M,230.00M,,,-1.00M,,229.00M,291.40M,366.00M,127.00M,239.00M,,0.62,,,0.7896,0.62,,0.61,,,0.7769,0.61,,368.00M,373.90M,0.34,,AOR,Restated
2017-03,2.857B,2.857B,591.00M,2.266B,1.78B,-59.00M,28.00M,8.00M,-20.00M,,1.78B,486.00M,8.00M,28.00M,-20.00M,-59.00M,-20.00M,407.00M,107.00M,300.00M,,,-2.00M,,298.00M,341.48M,554.00M,119.00M,435.00M,,0.81,,,0.9285,0.81,,0.80,,,0.9168,0.80,,367.00M,372.30M,0.34,,AOR,Restated
2016-12,3.208B,3.208B,637.00M,2.571B,1.917B,-37.00M,22.00M,5.00M,-17.00M,,1.917B,654.00M,5.00M,22.00M,-17.00M,-37.00M,-17.00M,600.00M,170.00M,430.00M,,,-2.00M,,428.00M,454.53M,734.00M,112.00M,622.00M,,1.17,,,1.242,1.17,,1.15,,,1.221,1.15,,366.90M,372.60M,0.34,,AOR,Restated
2016-09,2.865B,2.865B,596.00M,2.269B,1.825B,-26.00M,21.00M,6.00M,-15.00M,,1.825B,444.00M,6.00M,21.00M,-15.00M,-26.00M,-15.00M,403.00M,107.00M,296.00M,,,-2.00M,,294.00M,313.08M,530.00M,106.00M,424.00M,,0.80,,,0.8521,0.80,,0.79,,,0.8411,0.79,,366.40M,373.30M,0.30,,AOR,Restated
2016-06,2.646B,2.646B,511.00M,2.135B,1.893B,-99.00M,19.00M,6.00M,-13.00M,,1.893B,242.00M,6.00M,19.00M,-13.00M,-99.00M,-13.00M,130.00M,35.00M,95.00M,,,-1.00M,,94.00M,166.35M,259.00M,110.00M,149.00M,,0.25,,,0.4462,0.25,,0.25,,,0.4426,0.25,,368.80M,375.70M,0.30,,AOR,Restated
