,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,225.00M,,,103.10M,103.10M,48.50M,,-129.90M,12.20M,,-117.70M,-10.80M,,,,0.30M,118.60M,,108.10M,,367.00M,-116.70M,,,-13.30M,,,-130.00M,0.00,-0.50M,-0.50M,,,,-47.50M,-47.50M,7.00M,-10.00M,-51.00M,1.347B,186.00M,2.20M,1.536B,,0.00,0.00,
2020-06,96.10M,,,97.80M,97.80M,12.50M,,0.00,12.90M,,12.90M,18.60M,,,,-0.30M,13.60M,,31.90M,,251.20M,-104.80M,,,-10.00M,,,-114.80M,873.30M,0.60M,873.90M,,,,-47.30M,-47.30M,6.20M,-9.20M,823.60M,369.90M,960.00M,17.50M,1.347B,,998.10M,-125.00M,
2020-03,114.50M,,,94.30M,94.30M,17.00M,,-32.90M,18.80M,,-14.10M,-83.90M,,,,29.60M,-126.60M,,-180.90M,,30.80M,-88.00M,,,-48.10M,,,-136.10M,125.00M,0.20M,125.20M,,,,-47.30M,-47.30M,16.70M,-1.90M,92.70M,401.30M,-12.60M,-18.80M,369.90M,,125.20M,0.00,
2019-12,10.80M,,,88.50M,88.50M,-5.50M,,,9.10M,,9.10M,-11.40M,,,,-111.40M,250.60M,,127.80M,,230.70M,-93.90M,,,-38.10M,,,-132.00M,548.30M,-368.80M,179.50M,,,,-47.30M,-47.30M,7.00M,-7.70M,131.50M,167.50M,230.20M,3.60M,401.30M,,748.30M,-201.80M,
2019-09,82.50M,,,85.70M,85.70M,2.90M,,0.00,10.80M,,10.80M,-19.70M,,,,-2.20M,-324.90M,,-346.80M,,-164.90M,-97.20M,,,0.00,,,-97.20M,0.00,339.80M,339.80M,,,,-47.20M,-47.20M,9.20M,-5.20M,296.60M,135.80M,34.50M,-2.80M,167.50M,,0.00,0.00,
2019-06,68.30M,,,83.90M,83.90M,4.60M,,0.00,11.70M,,11.70M,12.60M,,,,34.60M,1.30M,,48.50M,,217.00M,-93.70M,,,-210.00M,,,-303.70M,175.00M,-37.50M,137.50M,,,,-47.10M,-47.10M,4.20M,-4.90M,89.70M,133.20M,3.00M,-0.40M,135.80M,,135.30M,-25.00M,
2019-03,-554.40M,,,79.20M,79.20M,-89.20M,,0.00,18.10M,,18.10M,-42.80M,,,,0.20M,619.90M,,577.30M,,31.00M,-114.80M,,,-49.80M,,,-164.60M,25.00M,64.70M,89.70M,,,,-47.10M,-47.10M,1.90M,-4.40M,40.10M,223.60M,-93.50M,3.10M,133.20M,,114.70M,-25.00M,
2018-12,26.70M,,,80.60M,80.60M,11.10M,,,9.70M,,9.70M,-5.30M,,,,-49.10M,91.10M,,36.70M,,164.80M,-113.80M,,,-22.50M,,0.00,-136.30M,0.00,1.70M,1.70M,,,,-47.10M,-47.10M,0.50M,-10.10M,-55.00M,253.40M,-26.50M,-3.30M,223.60M,,0.00,1.70M,
2018-09,39.60M,,,77.80M,77.80M,-3.40M,,,12.10M,,12.10M,4.20M,,,,-30.80M,53.10M,,26.50M,,152.60M,-89.40M,,,-92.00M,,5.60M,-175.80M,-0.30M,-0.70M,-1.00M,,,,-46.90M,-46.90M,5.60M,-8.70M,-51.00M,327.40M,-74.20M,0.20M,253.40M,,-0.30M,-0.70M,
2018-06,146.20M,,,78.50M,78.50M,-7.30M,,,7.90M,,7.90M,3.30M,,,,26.60M,-20.00M,,9.90M,,235.20M,-62.50M,,,-16.80M,,,-79.30M,894.80M,-883.40M,11.40M,,,,-47.00M,-47.00M,3.50M,-34.60M,-66.70M,249.30M,89.20M,-11.10M,327.40M,,994.80M,-983.40M,
