,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.068B,1.068B,433.20M,635.10M,330.00M,,,,37.40M,-37.40M,,430.70M,204.40M,37.40M,-37.40M,133.40M,-37.40M,300.40M,75.40M,225.00M,,-0.80M,224.20M,224.20M,440.90M,103.10M,337.80M,1.84,,1.84,1.84,1.82,,1.82,1.82,121.50M,123.00M,0.39
2020-06,982.80M,982.80M,409.30M,573.50M,309.90M,,,,36.60M,-36.60M,,406.70M,166.80M,36.60M,-36.60M,-7.50M,-36.60M,122.70M,26.60M,96.10M,,-0.20M,95.90M,95.90M,257.10M,97.80M,159.30M,0.79,,0.79,0.79,0.78,,0.78,0.78,121.40M,122.70M,0.39
2020-03,957.90M,957.90M,414.10M,543.80M,316.00M,,,,30.70M,-30.70M,,407.90M,135.90M,30.70M,-30.70M,45.30M,-30.70M,150.50M,36.00M,114.50M,,-1.90M,112.60M,112.60M,275.50M,94.30M,181.20M,0.93,,0.93,0.93,0.92,,0.92,0.92,121.30M,122.60M,0.39
2019-12,905.80M,905.80M,382.80M,523.00M,389.00M,,,,29.40M,-29.40M,,475.90M,47.10M,29.40M,-29.40M,6.20M,-29.40M,23.90M,13.10M,10.80M,,-1.60M,9.20M,9.20M,141.80M,88.50M,53.30M,0.08,,0.08,0.08,0.07,,0.07,0.07,121.20M,122.00M,0.39
2019-09,875.70M,875.70M,374.50M,501.20M,295.50M,,,,28.00M,-28.00M,,379.60M,121.60M,28.00M,-28.00M,2.90M,-28.00M,96.50M,14.00M,82.50M,,-1.40M,81.10M,81.10M,210.20M,85.70M,124.50M,0.67,,0.67,0.67,0.66,,0.66,0.66,121.00M,122.30M,0.39
2019-06,880.00M,880.00M,376.90M,503.10M,306.80M,,,,27.60M,-27.60M,,389.30M,113.80M,27.60M,-27.60M,2.80M,-27.60M,89.00M,20.70M,68.30M,,-1.50M,66.80M,66.80M,200.50M,83.90M,116.60M,0.55,,0.55,0.55,0.55,,0.55,0.55,120.80M,122.00M,0.39
2019-03,846.10M,846.10M,387.50M,458.60M,998.90M,,,,26.70M,-26.70M,,1.076B,-617.90M,26.70M,-26.70M,2.10M,-26.70M,-642.50M,-88.10M,-554.40M,,-1.50M,-555.90M,-555.90M,-536.60M,79.20M,-615.80M,-4.6,,-4.6,-4.6,-4.6,,-4.6,-4.6,120.70M,121.60M,0.39
2018-12,835.30M,835.30M,372.20M,463.10M,337.90M,,,,26.50M,-26.50M,,417.00M,46.10M,26.50M,-26.50M,5.40M,-26.50M,25.00M,-1.70M,26.70M,,-1.10M,25.60M,25.60M,132.10M,80.60M,51.50M,0.21,,0.21,0.21,0.21,,0.21,0.21,120.70M,121.10M,0.39
2018-09,834.20M,834.20M,376.70M,457.50M,317.50M,,,,26.70M,-26.70M,,393.40M,64.10M,26.70M,-26.70M,1.30M,-26.70M,38.70M,-0.90M,39.60M,,-1.20M,38.40M,38.40M,143.20M,77.80M,65.40M,0.32,,0.32,0.32,0.32,,0.32,0.32,120.50M,121.60M,0.39
2018-06,876.90M,876.90M,348.60M,528.30M,257.50M,,,,26.40M,-26.40M,,334.70M,193.60M,26.40M,-26.40M,2.20M,-26.40M,169.40M,23.30M,146.10M,,-1.30M,144.80M,144.80M,274.30M,78.50M,195.80M,1.2,,1.2,1.2,1.19,,1.19,1.19,120.30M,121.40M,0.39
2018-03,865.70M,865.70M,342.80M,522.90M,300.50M,,,,23.90M,-23.90M,,378.70M,144.20M,23.90M,-23.90M,2.90M,-23.90M,123.20M,29.40M,93.80M,,-2.90M,90.90M,90.90M,226.10M,79.00M,147.10M,0.76,,0.76,0.76,0.75,,0.75,0.75,120.20M,121.30M,0.39
2017-12,838.40M,838.40M,318.80M,519.60M,253.40M,,,,22.70M,-22.70M,,327.00M,192.60M,22.70M,-22.70M,2.40M,-22.70M,172.30M,-2.20M,174.50M,,-2.20M,172.30M,172.30M,269.20M,74.20M,195.00M,1.44,,1.44,1.44,1.42,,1.42,1.42,120.10M,121.20M,0.39
2017-09,834.80M,834.80M,297.30M,537.50M,312.20M,,,,21.40M,-21.40M,,384.60M,152.90M,21.40M,-21.40M,4.50M,-21.40M,136.00M,35.50M,100.50M,,-4.20M,96.30M,96.30M,230.60M,73.20M,157.40M,0.8,,0.8,0.8,0.79,,0.79,0.79,120.10M,121.40M,0.39
2017-06,856.70M,856.70M,293.70M,563.00M,226.60M,,,,24.60M,-24.60M,,297.10M,265.90M,24.60M,-24.60M,1.30M,-24.60M,242.60M,75.00M,167.60M,,-2.20M,165.40M,165.40M,338.60M,71.40M,267.20M,1.37,,1.37,1.37,1.36,,1.36,1.36,120.30M,121.90M,0.39
2017-03,832.20M,832.20M,300.80M,531.40M,241.50M,,,,24.20M,-24.20M,,312.80M,218.60M,24.20M,-24.20M,1.30M,-24.20M,195.70M,40.30M,155.40M,,-2.10M,153.30M,153.30M,292.00M,72.10M,219.90M,1.28,,1.28,1.28,1.26,,1.26,1.26,120.00M,121.90M,0.39
2016-12,801.10M,801.10M,286.30M,514.80M,232.80M,,,,24.10M,-24.10M,,303.70M,211.10M,24.10M,-24.10M,-4.40M,-24.10M,182.60M,57.80M,124.80M,,-1.80M,123.00M,123.00M,280.00M,73.30M,206.70M,1.03,,1.03,1.03,1.01,,1.01,1.01,119.60M,121.10M,0.33
2016-09,804.10M,804.10M,288.00M,516.10M,233.40M,,,,24.30M,-24.30M,,304.00M,212.10M,24.30M,-24.30M,2.40M,-24.30M,190.20M,55.30M,134.90M,,-2.10M,132.80M,132.80M,285.20M,70.70M,214.50M,1.11,,1.11,1.11,1.09,,1.09,1.09,119.50M,121.30M,0.33
2016-06,811.30M,811.30M,285.80M,525.50M,231.60M,,,,23.60M,-23.60M,,299.80M,225.70M,23.60M,-23.60M,-0.80M,-23.60M,201.30M,68.30M,133.00M,,-2.10M,130.90M,130.90M,293.10M,67.90M,224.90M,1.1,,1.1,1.1,1.08,,1.08,1.08,119.20M,121.10M,0.33
2016-03,728.30M,728.30M,253.30M,475.00M,243.10M,,,,20.10M,-20.10M,,298.80M,176.20M,20.10M,-20.10M,-2.10M,-20.10M,154.00M,51.60M,102.40M,,-0.30M,102.10M,102.10M,230.90M,56.80M,174.10M,0.86,,0.86,0.86,0.85,,0.85,0.85,118.80M,120.80M,0.33
2015-12,666.30M,666.30M,225.00M,441.30M,215.50M,,,,15.70M,-15.70M,,264.40M,176.90M,15.70M,-15.70M,,-15.70M,167.70M,54.70M,113.00M,,-1.10M,111.90M,111.90M,233.00M,49.60M,183.40M,0.94,,0.94,0.94,0.93,,0.93,0.93,118.40M,120.60M,0.29
2015-09,667.40M,667.40M,226.50M,440.90M,217.20M,,,,15.80M,-15.80M,,266.60M,174.30M,15.80M,-15.80M,14.40M,-15.80M,172.90M,53.20M,119.70M,,-1.80M,117.90M,117.90M,238.30M,49.60M,188.70M,1.0,,1.0,1.0,0.98,,0.98,0.98,118.40M,120.60M,0.29
2015-06,678.10M,678.10M,220.80M,457.30M,218.70M,,,,16.20M,-16.20M,,268.80M,188.50M,16.20M,-16.20M,-13.90M,-16.20M,158.40M,45.90M,112.50M,,-1.50M,111.00M,111.00M,225.10M,50.50M,174.60M,0.94,,0.94,0.94,0.92,,0.92,0.92,118.60M,120.90M,0.29
2015-03,651.80M,651.80M,215.10M,436.70M,232.90M,,,,16.10M,-16.10M,,282.50M,154.20M,16.10M,-16.10M,-0.50M,-16.10M,137.60M,48.00M,89.60M,,-1.30M,88.30M,88.30M,204.00M,50.30M,153.70M,0.74,,0.74,0.74,0.73,,0.73,0.73,119.40M,121.70M,0.29
2014-12,624.60M,624.60M,214.60M,410.00M,195.00M,,,,16.80M,-16.80M,,244.80M,165.20M,16.80M,-16.80M,3.00M,-16.80M,151.40M,52.60M,98.80M,,-0.80M,98.00M,98.00M,219.20M,51.00M,168.20M,0.82,,0.82,0.82,0.8,,0.8,0.8,119.70M,121.70M,0.25
2014-09,613.40M,613.40M,211.00M,402.40M,197.80M,,,,17.10M,-17.10M,,248.70M,153.70M,17.10M,-17.10M,3.20M,-17.10M,139.80M,45.40M,94.40M,,-1.70M,92.70M,92.70M,208.20M,51.30M,156.90M,0.77,,0.77,0.77,0.75,,0.75,0.75,121.10M,123.50M,0.25
2014-06,613.90M,613.90M,212.30M,401.60M,183.50M,,,,17.40M,-17.40M,,234.20M,167.40M,17.40M,-17.40M,0.50M,-17.40M,150.50M,56.00M,94.50M,,-1.70M,92.80M,92.80M,218.90M,51.00M,167.90M,0.76,,0.76,0.76,0.75,,0.75,0.75,122.00M,124.30M,0.25
2014-03,584.50M,584.50M,206.80M,377.70M,175.40M,,,,17.30M,-17.30M,,225.80M,151.90M,17.30M,-17.30M,-2.10M,-17.30M,132.50M,46.20M,86.30M,,-2.40M,83.90M,83.90M,200.70M,50.90M,149.80M,0.69,,0.69,0.69,0.67,,0.67,0.67,122.00M,124.40M,0.25
2013-12,578.50M,578.50M,197.20M,381.30M,181.40M,,,,17.40M,-17.40M,,227.20M,154.10M,17.40M,-17.40M,-14.80M,-17.40M,121.90M,43.00M,78.90M,0.00,-2.20M,76.70M,76.70M,185.10M,45.70M,139.30M,0.63,0.0,0.63,0.63,0.62,0.0,0.62,0.62,121.80M,124.30M,0.22
2013-09,572.00M,572.00M,196.80M,375.20M,173.40M,,,,17.50M,-17.50M,,225.20M,150.00M,17.50M,-17.50M,0.60M,-17.50M,133.10M,47.00M,86.10M,-0.60M,-2.00M,83.50M,84.10M,202.90M,52.30M,150.60M,0.69,0.0,0.69,0.69,0.67,0.0,0.67,0.67,121.60M,123.90M,0.22
2013-06,586.90M,586.90M,198.20M,388.70M,186.50M,,,,17.60M,-17.60M,,230.60M,158.10M,17.60M,-17.60M,3.50M,-17.60M,144.00M,51.70M,92.30M,0.00,-1.80M,90.50M,90.50M,205.80M,44.20M,161.60M,0.75,0.0,0.75,0.75,0.73,0.0,0.73,0.73,121.00M,123.60M,0.22
2013-03,566.50M,566.50M,195.10M,371.40M,174.50M,,,,17.70M,-17.70M,,222.40M,149.00M,17.70M,-17.70M,0.10M,-17.70M,131.40M,47.20M,84.20M,19.00M,-2.10M,101.10M,82.10M,197.20M,48.10M,149.10M,0.68,0.16,0.68,0.84,0.67,0.15,0.67,0.82,120.50M,123.10M,0.22
2012-12,533.80M,533.80M,196.50M,337.30M,205.40M,,,,14.30M,-14.30M,,245.10M,92.20M,14.30M,-14.30M,1.30M,-14.30M,79.20M,32.80M,46.40M,1.80M,-1.90M,46.30M,44.50M,134.10M,40.60M,93.50M,0.37,0.02,0.37,0.39,0.37,0.01,0.37,0.38,119.60M,122.80M,0.18
2012-09,520.00M,520.00M,188.40M,331.60M,161.50M,,,,13.60M,-13.60M,,201.10M,130.50M,13.60M,-13.60M,1.90M,-13.60M,118.80M,39.70M,79.10M,1.00M,-2.20M,77.90M,76.90M,172.80M,40.40M,132.40M,0.64,0.01,0.64,0.65,0.63,0.01,0.63,0.64,119.70M,122.20M,0.18
2012-06,513.30M,513.30M,187.20M,326.10M,156.80M,,,,13.70M,-13.70M,,197.10M,129.00M,13.70M,-13.70M,2.20M,-13.70M,117.50M,41.00M,76.50M,2.30M,-2.40M,76.40M,74.10M,172.30M,41.10M,131.20M,0.61,0.02,0.61,0.63,0.6,0.02,0.6,0.62,120.30M,122.80M,0.18
2012-03,505.90M,505.90M,187.40M,318.50M,149.80M,,,,13.80M,-13.80M,,190.20M,128.30M,13.80M,-13.80M,1.30M,-13.80M,115.80M,42.50M,73.30M,0.40M,-2.20M,71.50M,71.10M,170.90M,41.30M,129.60M,0.59,0.01,0.59,0.6,0.58,0.0,0.58,0.58,120.00M,122.40M,0.18
2011-12,443.10M,443.10M,136.60M,306.50M,146.90M,,,,13.90M,-13.90M,,183.20M,123.30M,13.90M,-13.90M,1.10M,-13.90M,110.50M,37.40M,73.10M,,-1.60M,74.40M,71.50M,165.50M,41.10M,124.40M,0.6,0.02,0.6,0.62,0.58,0.02,0.58,0.6,120.10M,122.20M,0.16
2011-09,490.40M,490.40M,186.60M,303.80M,141.70M,,,0.60M,13.70M,-13.70M,,182.20M,121.60M,13.70M,-13.70M,0.60M,-13.70M,108.50M,39.20M,69.30M,,-2.60M,66.70M,66.32M,162.70M,40.30M,122.20M,0.55,0.0,0.5469,0.55,0.54,0.0,0.5369,0.54,121.80M,123.30M,0.16
