,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,742.52M,701.52M,1.444B,471.06M,163.04M,630.41M,168.78M,,,,2.243B,,,,2.129B,,2.129B,,2.129B,1.599B,184.48M,1.783B,1.110B,97.80M,151.35M,5.271B,7.514B,114.85M,,114.85M,369.82M,484.66M,,,,136.29M,136.29M,88.94M,88.94M,7.225M,717.12M,1.890B,682.62M,2.572B,31.95M,3.954M,35.90M,81.39M,2.690B,3.407B,1.641M,491.68M,3.781B,121.08M,,,,-45.85M,4.108B
2020-06,572.29M,800.32M,1.373B,482.45M,168.43M,644.66M,175.73M,,,,2.193B,,,,2.018B,,2.018B,,2.018B,1.595B,194.95M,1.790B,1.019B,61.31M,143.54M,5.032B,7.225B,153.96M,,153.96M,263.65M,417.60M,,,,138.48M,138.48M,93.65M,93.65M,7.692M,657.42M,1.873B,673.68M,2.547B,29.56M,4.536M,34.09M,82.37M,2.663B,3.321B,1.638M,333.06M,3.735B,107.88M,,,,-57.31M,3.904B
2020-03,384.10M,865.17M,1.249B,440.30M,176.69M,613.81M,151.50M,,,,2.015B,,,,1.919B,,1.919B,,1.919B,1.594B,205.49M,1.800B,961.15M,80.04M,173.78M,4.933B,6.948B,114.10M,,114.10M,265.44M,379.54M,,,,141.88M,141.88M,99.10M,99.10M,9.728M,630.25M,1.856B,673.03M,2.529B,29.05M,4.182M,33.23M,82.94M,2.645B,3.276B,1.631M,171.14M,3.659B,80.55M,,,,-79.00M,3.672B
2019-12,393.74M,1.143B,1.537B,396.20M,157.62M,551.94M,80.06M,,,17.60M,2.232B,0.0,,2.796B,758.45M,235.28M,3.790B,-1.879B,1.911B,1.600B,179.43M,1.780B,835.38M,76.53M,173.06M,4.775B,7.007B,138.95M,71.24M,210.19M,257.71M,467.90M,,,,139.46M,139.46M,71.22M,71.22M,14.75M,693.34M,1.840B,692.18M,2.532B,29.19M,4.368M,33.56M,90.06M,2.656B,3.349B,1.62M,48.00M,3.653B,,,,,-45.14M,3.658B
2019-09,738.46M,831.75M,1.570B,357.05M,161.35M,516.66M,167.04M,,,,2.254B,,,,1.429B,,1.429B,,1.429B,1.583B,166.41M,1.750B,734.12M,39.32M,151.13M,4.104B,6.357B,108.19M,,108.19M,304.33M,412.52M,,,,86.96M,86.96M,98.84M,98.84M,4.202M,602.52M,1.823B,296.75M,2.120B,21.80M,4.526M,26.32M,106.79M,2.253B,2.856B,1.652M,-71.10M,3.919B,291.79M,,,,-56.42M,3.502B
2019-06,515.90M,526.60M,1.042B,378.47M,146.52M,523.38M,178.92M,,,,1.745B,,,,1.379B,,1.379B,,1.379B,1.587B,176.03M,1.763B,287.05M,19.68M,150.51M,3.598B,5.343B,126.54M,,126.54M,250.02M,376.55M,,,,96.16M,96.16M,110.75M,110.75M,7.35M,590.81M,893.19M,299.06M,1.192B,25.10M,5.204M,30.30M,135.10M,1.358B,1.948B,1.649M,-208.99M,3.761B,116.25M,,,,-42.48M,3.395B
2019-03,688.70M,429.93M,1.119B,380.24M,150.18M,529.35M,170.44M,,,,1.818B,,,,1.310B,,1.310B,,1.310B,1.587B,184.88M,1.772B,101.43M,30.36M,150.86M,3.364B,5.183B,102.37M,,102.37M,238.52M,340.90M,,,,101.54M,101.54M,110.67M,110.67M,16.60M,569.71M,883.58M,293.38M,1.177B,19.40M,6.482M,25.88M,127.00M,1.330B,1.900B,1.64M,-322.91M,3.686B,34.87M,,,,-46.98M,3.283B
2018-12,1.036B,855.65M,1.892B,337.44M,143.98M,479.89M,102.69M,,,18.71M,2.535B,0.0,,2.403B,,184.70M,2.588B,-1.677B,910.62M,1.487B,168.35M,1.656B,209.07M,34.91M,116.07M,2.926B,5.462B,99.09M,59.58M,158.67M,258.65M,417.32M,,686.55M,686.55M,0.00,686.55M,69.08M,69.08M,37.75M,1.211B,874.08M,0.00,874.08M,19.62M,4.557M,24.18M,160.94M,1.059B,2.270B,1.629M,-430.89M,3.670B,,,,,-48.91M,3.192B
2018-09,705.41M,1.096B,1.802B,330.99M,136.73M,466.36M,161.78M,,,,2.430B,,,,884.48M,,884.48M,,884.48M,1.489B,176.64M,1.666B,257.14M,23.69M,103.28M,2.934B,5.364B,96.05M,,96.05M,305.27M,401.32M,,680.56M,680.56M,,680.56M,93.73M,93.73M,20.32M,1.196B,864.68M,,864.68M,18.83M,5.218M,24.04M,123.70M,1.012B,2.208B,1.722M,-524.91M,4.353B,625.92M,,,,-48.22M,3.156B
2018-06,977.49M,879.48M,1.857B,343.53M,137.40M,479.86M,147.32M,,,,2.484B,,,,852.95M,,852.95M,,852.95M,1.494B,184.93M,1.679B,411.75M,44.23M,132.37M,3.121B,5.605B,84.17M,,84.17M,253.24M,337.41M,,674.63M,674.63M,,674.63M,100.31M,100.31M,23.98M,1.136B,855.38M,,855.38M,18.24M,6.075M,24.31M,143.41M,1.023B,2.159B,1.718M,-632.49M,4.304B,185.51M,,,,-41.97M,3.445B
2018-03,363.70M,447.85M,811.55M,345.11M,140.82M,484.62M,163.56M,,,,1.460B,,,,845.12M,,845.12M,,845.12M,1.499B,193.23M,1.692B,512.27M,44.49M,133.17M,3.227B,4.687B,81.24M,,81.24M,253.08M,334.31M,,668.74M,668.74M,,668.74M,95.49M,95.49M,32.05M,1.131B,,,,17.68M,7.049M,24.72M,145.33M,170.05M,1.301B,1.708M,-675.55M,4.098B,19.78M,,,,-18.33M,3.386B
2017-12,313.38M,398.55M,711.94M,320.00M,142.74M,461.46M,108.51M,,,29.30M,1.346B,0.0,,2.194B,,152.49M,2.347B,-1.484B,862.54M,1.499B,201.26M,1.700B,567.59M,36.23M,136.36M,3.303B,4.649B,80.28M,47.58M,127.86M,227.79M,355.65M,,,,,,70.50M,70.50M,30.55M,456.69M,662.91M,,662.91M,17.82M,6.062M,23.88M,142.96M,829.75M,1.286B,1.699M,-690.66M,4.073B,,,,,-21.93M,3.362B
2017-09,368.15M,383.85M,752.00M,285.31M,117.89M,400.84M,142.94M,,,,1.296B,,,,883.75M,,883.75M,,883.75M,1.359B,176.29M,1.535B,661.93M,18.93M,113.69M,3.213B,4.509B,88.34M,,88.34M,267.97M,356.30M,,,,,,64.72M,64.72M,9.285M,430.31M,657.13M,,657.13M,15.98M,4.224M,20.21M,128.83M,806.17M,1.236B,1.755M,-761.52M,4.364B,306.63M,,,,-24.83M,3.273B
