,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.281B,4.281B,67.00M,1.41B,1.477B,,1.477B,,2.484B,1.698B,166.00M,1.532B,,,-13.00M,64.00M,1.519B,1.519B,232.00M,1.89B,3.4,0.0,,3.4,3.4,3.39,0.0,,3.39,3.39,426.00M,426.00M,1.15
2020-06,4.076B,4.076B,47.00M,1.373B,1.42B,,1.42B,,2.527B,-902.00M,-158.00M,-744.00M,4.399B,,-7.00M,56.00M,3.648B,-751.00M,384.00M,-574.00M,-1.9,10.28,,-1.9,8.4,-1.9,10.28,,-1.9,8.4,426.00M,426.00M,1.15
2020-03,4.517B,4.517B,58.00M,1.369B,1.427B,,1.427B,,2.511B,1.06B,145.00M,915.00M,,,-7.00M,64.00M,908.00M,908.00M,328.00M,1.749B,1.96,,,1.96,1.96,1.95,,,1.95,1.95,429.00M,430.00M,1.15
2019-12,5.309B,5.309B,77.00M,1.468B,1.545B,,1.545B,,2.488B,2.326B,356.00M,1.97B,,,-14.00M,56.00M,1.367B,1.956B,411.00M,3.172B,2.98,,,2.98,2.98,2.97,,,2.97,2.97,438.00M,439.00M,1.15
2019-09,4.242B,4.242B,76.00M,1.40B,1.476B,,1.476B,,2.504B,1.436B,255.00M,1.181B,211.00M,,-13.00M,64.00M,1.379B,1.168B,325.00M,2.435B,2.47,0.48,,2.47,2.95,2.47,0.47,,2.47,2.94,444.00M,445.00M,1.15
2019-06,4.215B,4.215B,83.00M,1.365B,1.448B,,1.448B,,2.498B,1.424B,239.00M,1.185B,189.00M,,-12.00M,56.00M,1.362B,1.173B,307.00M,2.423B,2.47,0.42,,2.47,2.89,2.47,0.41,,2.47,2.88,451.00M,452.00M,0.95
2019-03,4.286B,4.286B,65.00M,1.414B,1.479B,,1.479B,,2.475B,1.519B,248.00M,1.271B,,,-10.00M,64.00M,1.261B,1.261B,272.00M,2.472B,2.62,,,2.62,2.62,2.61,,,2.61,2.61,455.00M,456.00M,0.95
2018-12,4.34B,4.34B,84.00M,1.348B,1.432B,,1.432B,,2.481B,1.615B,264.00M,1.351B,,,-14.00M,56.00M,1.337B,1.337B,290.00M,2.493B,2.77,,,2.77,2.77,2.75,,,2.75,2.75,461.00M,464.00M,0.95
2018-09,4.357B,4.357B,71.00M,1.413B,1.484B,,1.484B,,2.466B,1.661B,261.00M,1.40B,,,-11.00M,64.00M,1.389B,1.389B,272.00M,2.418B,2.84,,,2.84,2.84,2.82,,,2.82,2.82,465.00M,467.00M,0.95
2018-06,4.324B,4.324B,75.00M,1.356B,1.431B,,1.431B,,2.413B,1.66B,304.00M,1.356B,,,-10.00M,56.00M,1.346B,1.346B,287.00M,2.329B,2.74,,,2.74,2.74,2.72,,,2.72,2.72,469.00M,472.00M,0.75
2018-03,4.111B,4.111B,55.00M,1.354B,1.409B,,1.409B,,2.361B,1.492B,253.00M,1.239B,,,-10.00M,64.00M,1.229B,1.229B,280.00M,2.049B,2.45,,,2.45,2.45,2.43,,,2.43,2.43,473.00M,476.00M,0.75
