,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,6.629B,77.59B,89.76B,167.35B,,167.35B,,9.233B,1.113B,10.35B,251.07B,5.751B,,245.32B,96.12B,384.23B,461.82B,10.63B,10.63B,,,,,,10.63B,689.00M,42.11B,42.11B,355.08B,34.00M,397.88B,408.51B,2.712B,45.95B,15.84B,14.22B,,2.997B,53.28B
2020-06,6.338B,56.57B,97.07B,153.64B,,153.64B,,9.233B,1.067B,10.30B,259.68B,5.928B,,253.75B,103.44B,402.41B,458.98B,12.34B,12.34B,,,,,,12.34B,662.00M,47.03B,47.03B,346.00B,25.00M,393.68B,406.03B,2.712B,44.99B,16.28B,14.13B,,3.069B,52.92B
2020-03,7.493B,27.48B,89.11B,116.59B,,116.59B,,9.233B,1.082B,10.32B,266.34B,3.944B,,262.39B,103.75B,418.01B,445.49B,17.15B,17.15B,,,,,,17.15B,450.00M,73.40B,73.40B,305.20B,27.00M,379.05B,396.20B,2.712B,41.88B,16.29B,14.14B,,2.518B,49.26B
2019-12,5.061B,28.47B,69.21B,97.68B,,97.68B,,9.233B,1.644B,10.88B,240.93B,2.742B,,238.18B,100.56B,381.82B,410.30B,11.83B,11.83B,,,,,,11.83B,318.00M,60.26B,60.26B,288.54B,29.00M,349.12B,360.95B,2.712B,42.22B,16.37B,12.78B,,799.00M,49.31B
2019-09,5.671B,24.71B,69.09B,93.80B,,93.80B,,9.233B,1.483B,10.72B,239.25B,2.738B,,236.51B,101.21B,384.21B,408.92B,12.22B,12.22B,,,,,,12.22B,304.00M,61.35B,61.35B,285.58B,35.00M,347.24B,359.46B,2.711B,41.41B,16.30B,11.84B,,837.00M,49.42B
2019-06,5.416B,23.78B,69.39B,93.16B,,93.16B,,9.221B,1.627B,10.85B,238.36B,2.721B,,235.64B,101.30B,381.98B,405.76B,13.80B,13.80B,,,,,,13.80B,291.00M,69.02B,69.02B,273.26B,41.00M,342.58B,356.38B,2.711B,40.62B,16.25B,10.87B,,631.00M,49.34B
2019-03,5.062B,20.32B,65.08B,85.41B,,85.41B,,9.218B,1.812B,11.03B,232.98B,2.692B,,230.29B,96.44B,372.51B,392.84B,12.90B,12.90B,,,,,,12.90B,279.00M,59.86B,59.86B,271.22B,39.00M,331.36B,344.26B,2.711B,39.74B,16.17B,10.08B,,-5.00M,48.54B
2018-12,5.608B,16.50B,63.39B,79.89B,,79.89B,,9.218B,1.983B,11.20B,227.24B,2.629B,,224.61B,95.60B,365.81B,382.32B,9.002B,9.002B,,,,,,9.002B,285.00M,57.42B,57.42B,267.84B,42.00M,325.54B,334.54B,2.711B,38.92B,16.28B,9.454B,,-725.00M,47.73B
2018-09,5.248B,25.05B,61.21B,86.26B,,86.26B,,9.218B,2.136B,11.35B,224.16B,2.584B,,221.58B,93.25B,355.03B,380.08B,9.851B,9.851B,,,,,,9.851B,288.00M,57.96B,57.96B,264.88B,44.00M,323.13B,332.98B,2.71B,38.08B,16.30B,8.771B,,-1.26B,47.06B
2018-06,5.425B,27.40B,60.28B,87.67B,,87.67B,,9.218B,2.045B,11.26B,224.18B,2.581B,,221.60B,92.56B,353.31B,380.71B,9.34B,9.34B,,,,,,9.34B,289.00M,59.22B,59.22B,264.88B,71.00M,324.40B,333.74B,2.71B,37.20B,16.25B,8.317B,,-940.00M,46.90B
2018-03,4.649B,33.47B,56.02B,89.49B,,89.49B,,9.218B,1.979B,11.20B,222.58B,2.604B,,219.98B,86.57B,345.69B,379.16B,9.093B,9.093B,,,,,,9.093B,290.00M,58.04B,58.04B,264.70B,66.00M,323.03B,332.13B,2.71B,36.27B,16.23B,7.535B,,-699.00M,46.97B
2017-12,5.249B,33.84B,57.62B,91.46B,,91.46B,,9.173B,1.832B,11.00B,223.11B,2.611B,,220.50B,87.52B,346.92B,380.77B,8.745B,8.745B,,,,,,8.745B,297.00M,59.09B,59.09B,265.05B,72.00M,324.44B,333.18B,2.71B,35.48B,16.37B,6.904B,,-148.00M,47.51B
2017-09,4.736B,29.45B,57.25B,86.70B,,86.70B,,9.163B,1.854B,11.02B,222.87B,2.605B,,220.27B,86.00B,345.74B,375.19B,10.15B,10.15B,,,,,,10.15B,293.00M,57.56B,57.56B,260.74B,64.00M,318.59B,328.74B,2.71B,33.82B,16.34B,6.462B,,-22.00M,46.39B
2017-06,5.039B,27.52B,58.88B,86.40B,,86.40B,,9.163B,1.867B,11.03B,220.06B,2.561B,,217.50B,87.25B,344.67B,372.19B,10.12B,10.12B,,,,,,10.12B,304.00M,56.41B,56.41B,259.18B,101.00M,315.89B,326.00B,2.71B,33.13B,16.33B,5.987B,,-98.00M,46.08B
2017-03,5.003B,32.88B,59.34B,92.22B,,92.22B,,9.103B,1.867B,10.97B,214.24B,2.561B,,211.68B,87.33B,338.06B,370.94B,8.964B,8.964B,,,,,,8.964B,305.00M,55.06B,55.06B,260.71B,149.00M,316.08B,325.04B,2.709B,32.37B,16.28B,5.323B,,-279.00M,45.75B
2016-12,4.879B,30.59B,60.10B,90.69B,,90.69B,,9.103B,1.758B,10.86B,213.34B,2.589B,,210.75B,86.68B,335.79B,366.38B,9.355B,9.355B,,,,,,9.355B,301.00M,52.71B,52.71B,257.16B,1.155B,310.17B,319.53B,2.709B,31.67B,16.65B,5.066B,,-265.00M,45.70B
2016-09,4.531B,31.59B,,31.59B,,32.31B,,9.103B,1.597B,10.70B,212.50B,2.619B,,209.88B,91.73B,337.04B,369.35B,5.226B,5.226B,,,,,,6.461B,310.00M,50.31B,50.31B,259.90B,1.138B,310.51B,322.50B,2.709B,30.96B,16.16B,4.765B,,646.00M,45.71B
2016-06,4.196B,30.95B,,30.95B,,32.42B,,9.103B,1.551B,10.65B,211.35B,2.685B,,208.67B,84.28B,328.91B,361.34B,5.08B,5.08B,,,,,,6.70B,303.00M,52.95B,52.95B,249.78B,1.141B,303.03B,314.64B,2.709B,30.31B,16.11B,4.304B,,736.00M,45.56B
2016-03,3.861B,33.34B,,33.34B,,34.46B,,9.103B,1.676B,10.78B,209.03B,2.711B,,206.32B,84.84B,326.52B,360.98B,4.85B,4.85B,,,,,,7.345B,282.00M,51.68B,51.68B,250.36B,1.198B,302.32B,314.66B,2.708B,29.64B,16.04B,3.791B,,532.00M,45.13B
2015-12,4.065B,34.61B,55.76B,90.37B,,90.37B,,9.103B,1.589B,10.69B,208.24B,2.727B,,205.51B,81.12B,323.88B,358.49B,8.718B,8.718B,,,,,,8.718B,261.00M,54.53B,54.53B,249.00B,1.27B,303.80B,312.51B,2.708B,29.04B,16.20B,3.368B,,130.00M,44.71B
2015-09,3.835B,38.06B,,38.06B,,39.59B,,9.103B,1.874B,10.98B,207.04B,3.237B,,203.81B,80.46B,322.53B,362.12B,5.185B,5.185B,,1.125B,,1.125B,1.125B,8.387B,266.00M,53.46B,53.46B,244.98B,1.33B,298.71B,315.85B,2.708B,28.34B,16.12B,2.837B,,615.00M,44.95B
2015-06,4.412B,38.38B,,38.38B,,40.35B,,9.103B,1.993B,11.10B,207.51B,3.272B,,204.24B,74.23B,313.59B,353.94B,5.031B,5.031B,,2.956B,,2.956B,2.956B,10.18B,246.00M,53.13B,53.13B,239.70B,1.397B,293.08B,308.03B,2.708B,27.61B,16.08B,2.262B,,379.00M,44.52B
2015-03,4.151B,35.35B,,35.35B,,37.24B,,9.103B,1.796B,10.90B,207.14B,3.306B,,203.84B,73.44B,313.72B,350.96B,5.039B,5.039B,,4.399B,,4.399B,4.399B,11.64B,234.00M,50.23B,50.23B,236.50B,1.413B,286.96B,304.52B,2.706B,26.88B,16.51B,1.775B,,703.00M,45.02B
2014-12,4.36B,36.14B,,36.14B,,37.99B,,9.103B,1.844B,10.95B,207.08B,3.331B,,203.75B,68.90B,307.08B,345.07B,5.187B,5.187B,,4.995B,,4.995B,4.995B,13.69B,259.00M,48.26B,48.26B,232.23B,1.523B,280.76B,299.00B,2.705B,26.20B,16.57B,1.43B,,503.00M,44.55B
2014-09,4.164B,30.41B,,30.41B,,32.17B,,9.074B,1.994B,11.07B,203.02B,3.406B,,199.61B,68.45B,302.25B,334.42B,5.09B,5.09B,,4.809B,,4.809B,4.809B,13.40B,251.00M,44.02B,44.02B,226.30B,1.514B,270.57B,288.43B,2.703B,25.46B,16.52B,931.00M,,727.00M,44.48B
2014-06,4.892B,21.77B,,21.77B,,23.29B,,9.074B,1.997B,11.07B,203.21B,3.453B,,199.76B,69.41B,303.77B,327.06B,4.753B,4.753B,,4.999B,,4.999B,4.999B,12.88B,232.00M,40.94B,40.94B,222.55B,1.588B,263.72B,281.27B,2.703B,24.76B,16.45B,584.00M,,881.00M,44.20B
2014-03,4.723B,19.60B,,19.60B,,20.74B,,9.074B,2.115B,11.19B,200.34B,3.53B,,196.81B,71.36B,302.68B,323.42B,4.808B,4.808B,,4.923B,,4.923B,4.923B,12.96B,228.00M,38.65B,38.65B,222.38B,1.597B,261.26B,278.50B,2.70B,24.01B,16.34B,382.00M,,656.00M,43.32B
2013-12,4.043B,16.18B,,16.18B,,18.16B,,9.074B,2.216B,11.29B,197.87B,3.609B,,194.26B,73.93B,302.03B,320.19B,4.69B,4.69B,,4.997B,,4.997B,4.997B,13.98B,242.00M,36.82B,36.82B,220.93B,1.703B,257.99B,276.16B,2.698B,23.25B,16.36B,408.00M,,436.00M,42.33B
2013-09,4.908B,12.96B,,12.96B,,13.87B,,9.074B,2.194B,11.27B,195.26B,3.691B,,191.56B,69.17B,294.73B,308.60B,4.673B,4.673B,,6.994B,,6.994B,6.994B,14.83B,235.00M,30.11B,30.11B,216.07B,1.69B,246.42B,265.78B,2.695B,22.56B,16.25B,423.00M,,47.00M,41.13B
2013-06,4.051B,7.848B,,7.848B,,9.461B,,9.075B,2.153B,11.23B,193.59B,3.772B,,189.82B,69.61B,294.95B,304.42B,4.057B,4.057B,,6.40B,,6.40B,6.40B,14.76B,242.00M,29.16B,29.16B,212.28B,1.655B,241.68B,262.47B,2.693B,21.83B,16.17B,453.00M,,45.00M,40.29B
2013-03,3.948B,5.489B,,5.489B,,6.763B,,9.075B,1.921B,11.00B,189.80B,3.828B,,185.97B,72.61B,294.05B,300.81B,4.181B,4.181B,,6.953B,,6.953B,6.953B,15.13B,238.00M,26.69B,26.69B,211.62B,2.415B,238.55B,258.73B,2.69B,20.99B,15.76B,552.00M,,767.00M,39.66B
2012-12,5.22B,9.204B,,9.204B,,10.67B,,9.072B,1.797B,10.87B,189.55B,4.036B,,185.51B,74.38B,294.44B,305.11B,4.449B,4.449B,,8.453B,,8.453B,8.453B,16.23B,250.00M,29.13B,29.13B,213.14B,2.762B,242.52B,263.34B,2.69B,20.26B,15.78B,569.00M,,834.00M,39.00B
2012-09,,6.605B,,6.605B,,8.329B,,9.163B,1.778B,10.94B,184.60B,4.039B,,180.56B,76.32B,292.47B,300.80B,4.015B,4.015B,,10.73B,,10.73B,10.73B,18.62B,239.00M,28.50B,28.50B,206.26B,3.119B,235.00B,259.00B,2.689B,19.81B,15.71B,518.00M,,991.00M,38.68B
2012-06,,8.131B,,8.131B,,9.777B,,9.158B,1.804B,10.96B,183.76B,4.156B,,179.60B,74.68B,289.80B,299.58B,3.428B,3.428B,,,,,,7.594B,224.00M,39.52B,39.52B,206.92B,3.209B,246.67B,259.36B,2.687B,19.15B,15.22B,451.00M,,402.00M,37.00B
2012-03,,6.246B,,6.246B,,7.617B,,9.169B,2.019B,11.19B,178.67B,4.196B,,174.47B,77.54B,288.27B,295.88B,3.607B,3.607B,,,,,,8.439B,243.00M,37.71B,37.71B,206.13B,3.191B,244.08B,257.65B,2.685B,18.83B,13.71B,467.00M,,281.00M,35.04B
2011-12,4.105B,5.274B,,5.274B,,7.479B,,8.285B,1.859B,10.14B,161.95B,4.347B,,157.60B,73.28B,263.73B,271.20B,4.175B,4.175B,,4.271B,,4.271B,4.271B,11.43B,240.00M,29.45B,29.45B,187.97B,3.193B,217.66B,233.96B,2.683B,18.25B,13.71B,487.00M,,-105.00M,34.05B
2011-09,,6.755B,,6.755B,,8.561B,,8.207B,1.949B,10.16B,157.03B,4.507B,,152.53B,74.98B,260.91B,269.47B,3.587B,3.587B,,,,,,6.692B,217.00M,26.57B,26.57B,187.73B,3.023B,214.52B,232.23B,2.682B,17.98B,13.69B,535.00M,,397.00M,34.22B
2011-06,,8.373B,,8.373B,,10.73B,,8.182B,2.412B,10.59B,153.00B,4.627B,,148.37B,71.26B,252.39B,263.12B,3.502B,3.502B,,,,,,7.314B,202.00M,31.36B,31.36B,181.89B,2.638B,213.46B,228.24B,2.682B,17.34B,12.67B,533.00M,,69.00M,32.24B
2011-03,,4.748B,,4.748B,,6.988B,,8.146B,2.618B,10.76B,152.37B,4.759B,,147.61B,72.84B,252.39B,259.38B,3.078B,3.078B,,,,,,7.157B,204.00M,30.92B,30.92B,181.99B,2.585B,213.11B,225.66B,2.682B,16.64B,12.70B,584.00M,,-309.00M,31.13B
2010-12,,4.907B,,4.907B,,8.611B,,8.149B,2.604B,10.75B,154.09B,4.887B,,149.20B,75.31B,255.67B,264.28B,3.188B,3.188B,,,,,,7.332B,188.00M,35.34B,35.34B,183.39B,2.596B,218.92B,231.45B,2.682B,15.86B,12.70B,572.00M,,-431.00M,30.24B
2010-09,,4.139B,,4.139B,,6.233B,,8.166B,2.352B,10.52B,153.40B,5.231B,,148.17B,74.55B,253.90B,260.13B,3.134B,3.134B,13.51B,,,13.51B,13.51B,21.30B,,17.13B,17.13B,179.18B,2.624B,196.31B,227.47B,2.68B,15.11B,12.65B,552.00M,,146.00M,30.04B
2010-06,,8.586B,,8.586B,,10.80B,,9.41B,2.728B,12.14B,154.34B,5.336B,,149.01B,64.76B,250.90B,261.70B,2.757B,2.757B,12.62B,,,12.62B,12.62B,19.06B,218.00M,18.30B,18.30B,178.80B,2.613B,197.32B,230.70B,2.678B,14.07B,12.62B,557.00M,,-442.00M,28.38B
2010-03,,4.17B,,4.17B,,5.537B,,9.425B,3.289B,12.71B,159.96B,5.319B,,154.64B,69.46B,259.86B,265.40B,2.939B,2.939B,12.64B,,,12.64B,12.64B,21.09B,252.00M,18.70B,18.70B,182.52B,2.616B,201.48B,235.96B,2.676B,13.34B,12.59B,500.00M,,-1.288B,26.82B
2009-12,,8.776B,,8.776B,,11.17B,,9.505B,3.404B,12.91B,160.08B,5.072B,,155.01B,68.40B,258.70B,269.86B,3.59B,3.59B,12.36B,,,12.36B,12.36B,19.95B,296.00M,20.67B,20.67B,186.92B,2.625B,207.89B,237.30B,2.354B,13.14B,16.92B,513.00M,,-1.962B,29.94B
2009-09,,4.555B,925.00M,5.48B,,7.907B,,9.286B,3.448B,12.73B,164.12B,4.81B,,159.31B,66.10B,264.42B,271.41B,3.592B,3.592B,12.42B,,,12.42B,12.42B,20.01B,324.00M,22.45B,22.45B,183.81B,2.735B,206.59B,239.74B,2.348B,12.18B,16.82B,472.00M,,-1.947B,28.93B
2009-06,,13.99B,894.00M,14.88B,,16.70B,,9.206B,3.684B,12.89B,169.67B,4.569B,,165.10B,60.96B,263.95B,279.75B,3.651B,3.651B,13.29B,,,13.29B,13.29B,20.86B,,25.16B,25.16B,190.44B,2.173B,215.60B,250.29B,2.342B,11.76B,16.73B,435.00M,,-3.101B,27.29B
2009-03,,18.36B,807.00M,19.17B,,20.72B,,8.855B,3.323B,12.18B,175.42B,4.299B,,171.12B,56.36B,266.51B,286.42B,3.34B,3.34B,13.83B,,,13.83B,13.83B,21.96B,328.00M,27.68B,27.68B,194.64B,2.179B,222.64B,257.77B,2.261B,11.74B,16.22B,450.00M,,-3.289B,26.48B
2008-12,,19.33B,,19.33B,,21.19B,,,,11.69B,183.96B,3.917B,-4.10B,175.94B,54.78B,269.90B,291.08B,,,,,,,,5.153B,,43.00B,43.00B,192.86B,2.226B,235.86B,263.43B,2.261B,11.46B,16.25B,597.00M,,-3.949B,25.42B
2008-09,,3.06B,,3.06B,,4.886B,,,,9.921B,77.11B,1.053B,,76.05B,40.63B,140.72B,145.61B,,,,,,,,7.448B,,21.45B,21.45B,84.98B,2.07B,106.43B,129.32B,1.787B,11.96B,3.377B,675.00M,,-2.23B,14.22B
2008-06,,3.525B,,3.525B,,6.54B,,,,9.928B,75.33B,988.00M,,74.34B,33.74B,136.23B,142.77B,,,,,,,,7.343B,,22.43B,22.43B,84.69B,2.009B,107.12B,125.65B,1.787B,11.94B,3.387B,779.00M,,-1.227B,15.11B
2008-03,,3.934B,,3.934B,,6.091B,,,,9.349B,74.27B,865.00M,-951.00M,72.45B,38.76B,133.90B,139.99B,,,,,,,,7.664B,,21.91B,21.91B,80.41B,2.008B,102.32B,123.56B,1.764B,11.66B,2.603B,829.00M,,-779.00M,14.42B
2007-12,,3.567B,,3.567B,,6.296B,,,,9.551B,73.24B,830.00M,-990.00M,71.42B,40.40B,132.62B,138.92B,,,,,,,,9.774B,,18.39B,18.39B,82.70B,1.654B,101.09B,122.41B,1.764B,11.50B,2.618B,878.00M,,-146.00M,14.85B
2007-09,,3.318B,,3.318B,,5.678B,,,,8.935B,69.75B,717.00M,-986.00M,68.05B,38.35B,125.69B,131.37B,,,,,,,,8.648B,,16.54B,16.54B,78.41B,1.666B,94.95B,115.16B,1.764B,11.53B,2.631B,1.132B,,-255.00M,14.54B
2007-06,,3.177B,,3.177B,,5.001B,,,,8.658B,68.28B,703.00M,-1.004B,66.57B,35.15B,120.65B,125.65B,,,,,,,,10.02B,,14.50B,14.50B,77.22B,1.37B,91.72B,109.78B,1.764B,11.34B,2.606B,766.00M,,-439.00M,14.50B
2007-03,,3.234B,,3.234B,,4.838B,,,,8.668B,66.31B,690.00M,-1.005B,64.62B,34.92B,117.72B,122.56B,,,,,,,,8.224B,,12.23B,12.23B,77.37B,1.367B,89.60B,106.46B,1.764B,11.13B,2.52B,517.00M,,-162.00M,14.74B
2006-12,,3.523B,,3.523B,,5.286B,,,,4.043B,53.27B,560.00M,-795.00M,51.91B,31.65B,96.53B,101.82B,,,,,,,,4.762B,,10.27B,10.27B,66.30B,885.00M,76.57B,90.15B,1.764B,10.98B,1.651B,3.377B,,-235.00M,10.79B
2006-09,,3.018B,,3.018B,,5.836B,,,,4.008B,53.22B,566.00M,,52.65B,22.23B,92.60B,98.44B,,,,,,,,5.75B,,8.945B,8.945B,64.57B,408.00M,73.52B,87.27B,1.764B,10.77B,1.679B,3.296B,,-160.00M,10.76B
2006-06,,3.438B,,3.438B,,4.113B,,,,4.498B,52.71B,611.00M,,52.10B,23.73B,90.80B,94.91B,,,,,,,,5.456B,,10.20B,10.20B,63.49B,632.00M,73.69B,85.46B,1.764B,9.449B,1.385B,3.201B,,-570.00M,8.827B
2006-03,,3.206B,,3.206B,,3.717B,,,,4.482B,52.62B,597.00M,-832.00M,51.19B,24.17B,89.54B,93.26B,,,,,120.00M,120.00M,120.00M,6.168B,,10.27B,10.27B,60.90B,627.00M,71.17B,83.85B,1.764B,9.23B,1.349B,3.124B,,-438.00M,8.781B
2005-12,,3.518B,,3.518B,,3.868B,,,,4.466B,51.55B,596.00M,,50.95B,23.25B,88.09B,91.95B,,,,,,,,5.819B,,11.08B,11.08B,60.28B,590.00M,71.35B,82.80B,1.764B,9.023B,1.358B,3.256B,,-326.00M,8.563B
2005-09,,3.474B,,3.474B,,4.381B,,,,4.225B,53.74B,634.00M,-856.00M,52.25B,23.21B,88.86B,93.24B,,,,,3.447B,3.447B,3.447B,6.978B,,11.40B,11.40B,60.21B,595.00M,71.61B,84.33B,1.764B,8.814B,1.358B,3.355B,,-264.00M,8.317B
2005-06,,3.442B,,3.442B,,3.531B,,,,4.17B,51.59B,628.00M,,50.96B,22.64B,87.26B,90.79B,,,,,3.998B,3.998B,3.998B,8.741B,,9.465B,9.465B,58.67B,507.00M,68.14B,82.04B,1.764B,8.626B,1.353B,3.389B,,-111.00M,8.243B
2005-03,,2.908B,,2.908B,,4.16B,,,,3.589B,46.74B,600.00M,,46.14B,20.80B,79.20B,83.36B,,,,,2.381B,2.381B,2.381B,5.453B,,9.061B,9.061B,55.17B,532.00M,64.23B,75.25B,1.764B,8.485B,1.275B,3.728B,,-217.00M,7.579B
2004-12,,3.23B,,3.23B,,4.865B,,,,3.355B,46.07B,607.00M,-902.00M,44.56B,18.61B,74.86B,79.72B,,,,,2.251B,2.251B,2.251B,3.846B,,8.118B,8.118B,53.27B,504.00M,61.39B,71.75B,1.764B,8.273B,1.265B,3.724B,,-105.00M,7.473B
2004-09,,3.005B,,3.005B,,4.159B,,,,3.355B,44.06B,581.00M,,43.48B,18.62B,73.14B,77.30B,,,,,1.805B,1.805B,1.805B,5.408B,,7.511B,7.511B,51.16B,499.00M,58.67B,69.49B,1.764B,8.107B,1.246B,3.728B,,-77.00M,7.312B
2004-06,,3.065B,,3.065B,1.741B,5.902B,,,,3.329B,40.55B,593.00M,,39.96B,16.29B,67.22B,73.12B,,,,,1.743B,1.743B,1.743B,3.975B,,6.962B,6.962B,49.99B,419.00M,56.96B,65.64B,1.764B,7.991B,1.235B,3.733B,,-193.00M,7.064B
2004-03,,2.787B,,2.787B,1.932B,6.698B,,,,3.316B,40.05B,604.00M,-980.00M,38.46B,18.18B,67.42B,74.12B,,,,,1.934B,1.934B,1.934B,5.861B,,7.861B,7.861B,48.12B,418.00M,55.99B,66.47B,1.764B,7.829B,1.209B,3.725B,,153.00M,7.23B
