,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.532B,0.00,-32.00M,0.00,-32.00M,232.00M,232.00M,-4.00M,,,86.00M,-2.117B,-391.00M,1.398B,-1.473B,393.00M,,,0.00,7.557B,-110.00M,-3.142B,1.355B,-6.30B,-4.945B,20.00M,-81.00M,-61.00M,,-480.00M,-480.00M,-494.00M,-63.00M,-557.00M,,3.04B,6.338B,291.00M,6.629B,20.00M,-1.034B,-3.911B,-561.00M,2.234B,158.00M
2020-06,3.655B,-5.74B,-222.00M,-118.00M,-6.08B,384.00M,384.00M,-2.275B,,,720.00M,-2.215B,5.345B,748.00M,4.16B,3.027B,,,14.22B,-7.332B,-81.00M,-17.86B,-17.32B,-1.044B,-18.36B,11.00M,-1.00M,10.00M,,,,-491.00M,-55.00M,-546.00M,,13.68B,7.493B,-1.155B,6.338B,11.00M,575.00M,-18.93B,-1.00M,492.00M,275.00M
2020-03,915.00M,,,-56.00M,-56.00M,328.00M,328.00M,-226.00M,,,-189.00M,5.376B,-6.292B,-1.014B,-2.382B,-696.00M,,,,-2.102B,-125.00M,-23.38B,8.536B,1.044B,9.58B,23.00M,-1.522B,-1.499B,,,,-503.00M,-63.00M,-566.00M,,26.51B,5.061B,2.432B,7.493B,23.00M,13.76B,-4.182B,-1.522B,36.00M,638.00M
2019-12,1.381B,,,-175.00M,-175.00M,411.00M,411.00M,220.00M,,,-50.00M,-699.00M,1.228B,-181.00M,1.107B,3.115B,,,,1.149B,-132.00M,-4.265B,-1.258B,-1.938B,-3.196B,17.00M,-952.00M,-935.00M,,,,-509.00M,-55.00M,-564.00M,,540.00M,5.671B,-610.00M,5.061B,17.00M,6.433B,-9.629B,-952.00M,109.00M,827.00M
2019-09,1.392B,,32.00M,-136.00M,-104.00M,325.00M,325.00M,-23.00M,,,-111.00M,19.00M,413.00M,-724.00M,-1.058B,604.00M,,,,-896.00M,-71.00M,-3.242B,-9.619B,1.40B,-8.219B,33.00M,-1.013B,-980.00M,,,,-518.00M,-63.00M,-581.00M,,2.893B,5.416B,255.00M,5.671B,33.00M,-2.825B,-5.394B,-1.013B,104.00M,1.01B
2019-06,1.374B,,-32.00M,-109.00M,-141.00M,307.00M,307.00M,-5.00M,,,-96.00M,-984.00M,937.00M,1.107B,624.00M,2.243B,,,,-2.235B,-715.00M,-11.46B,9.741B,-351.00M,9.39B,18.00M,-787.00M,-769.00M,,,,-432.00M,-55.00M,-487.00M,,9.571B,5.062B,354.00M,5.416B,18.00M,16.29B,-6.90B,-787.00M,187.00M,998.00M
2019-03,1.271B,,,-111.00M,-111.00M,272.00M,272.00M,111.00M,,,-84.00M,1.796B,-2.721B,358.00M,-247.00M,1.401B,,,,-431.00M,213.00M,-6.023B,-603.00M,351.00M,-252.00M,22.00M,-826.00M,-804.00M,,,,-436.00M,-63.00M,-499.00M,,4.076B,5.608B,-546.00M,5.062B,22.00M,7.794B,-8.046B,-826.00M,30.00M,907.00M
2018-12,1.351B,,,-104.00M,-104.00M,290.00M,290.00M,249.00M,,,33.00M,-1.90B,2.531B,-1.186B,170.00M,2.137B,,,,-1.021B,-719.00M,-2.315B,-535.00M,110.00M,-425.00M,8.00M,-732.00M,-724.00M,,,,-442.00M,-55.00M,-497.00M,,538.00M,5.248B,360.00M,5.608B,8.00M,4.829B,-5.254B,-732.00M,48.00M,954.00M
2018-09,1.40B,,,-153.00M,-153.00M,272.00M,272.00M,-283.00M,,,-45.00M,632.00M,-467.00M,132.00M,-115.00M,1.164B,,,,-909.00M,23.00M,805.00M,-1.833B,95.00M,-1.738B,21.00M,-504.00M,-483.00M,,,,-446.00M,-63.00M,-509.00M,,-2.146B,5.425B,-177.00M,5.248B,21.00M,6.678B,-8.416B,-504.00M,222.00M,699.00M
2018-06,1.356B,,,-135.00M,-135.00M,287.00M,287.00M,86.00M,,,-60.00M,853.00M,-482.00M,-15.00M,3.00M,1.617B,,,,-6.037B,-704.00M,-1.209B,1.072B,-182.00M,890.00M,7.00M,-801.00M,-794.00M,,,,-355.00M,-55.00M,-410.00M,,368.00M,4.649B,776.00M,5.425B,7.00M,2.391B,-1.501B,-801.00M,95.00M,681.00M
2018-03,1.239B,,,-133.00M,-133.00M,280.00M,280.00M,81.00M,,,104.00M,710.00M,-1.302B,176.00M,1.259B,2.922B,,,,519.00M,-284.00M,-1.25B,-509.00M,-151.00M,-660.00M,33.00M,-840.00M,-807.00M,,,,-358.00M,-63.00M,-421.00M,,-2.272B,5.249B,-600.00M,4.649B,33.00M,2.103B,-2.763B,-840.00M,7.00M,501.00M
2017-12,2.091B,,,-412.00M,-412.00M,258.00M,258.00M,-550.00M,,,492.00M,-709.00M,701.00M,53.00M,-1.14B,864.00M,,,-19.00M,-1.69B,-432.00M,-5.391B,1.902B,-170.00M,1.732B,38.00M,-520.00M,-482.00M,,,,-362.00M,-55.00M,-417.00M,0.00,5.04B,4.736B,513.00M,5.249B,38.00M,6.633B,-4.901B,-520.00M,19.00M,542.00M
2017-09,1.126B,,,-117.00M,-117.00M,291.00M,291.00M,67.00M,,,49.00M,369.00M,-335.00M,1.328B,949.00M,2.495B,,,0.00,1.069B,-345.00M,-4.735B,1.445B,279.00M,1.724B,26.00M,-553.00M,-527.00M,,,,-364.00M,-63.00M,-427.00M,0.00,1.937B,5.039B,-303.00M,4.736B,26.00M,1.705B,19.00M,-553.00M,23.00M,408.00M
2017-06,1.097B,,,-98.00M,-98.00M,289.00M,289.00M,59.00M,,,-79.00M,520.00M,30.00M,-671.00M,-736.00M,630.00M,,,-1.323B,1.164B,-285.00M,851.00M,925.00M,-243.00M,682.00M,8.00M,-686.00M,-678.00M,,,,-269.00M,-55.00M,-324.00M,0.00,-1.445B,5.003B,36.00M,5.039B,8.00M,3.569B,-2.887B,-686.00M,22.00M,446.00M
2017-03,1.074B,,,-100.00M,-100.00M,279.00M,279.00M,21.00M,,,-122.00M,-884.00M,574.00M,-405.00M,350.00M,1.59B,,,,-424.00M,-158.00M,-5.62B,1.72B,802.00M,2.522B,60.00M,-688.00M,-628.00M,,,,-271.00M,-63.00M,-334.00M,-1.00B,4.154B,4.879B,124.00M,5.003B,60.00M,7.141B,-4.619B,-688.00M,8.00M,347.00M
2016-12,1.047B,,,-105.00M,-105.00M,276.00M,276.00M,497.00M,,,496.00M,-1.545B,1.055B,-138.00M,-1.073B,1.205B,,,,633.00M,-658.00M,297.00M,1.007B,238.00M,1.245B,88.00M,-503.00M,-415.00M,,,,-270.00M,-41.00M,-311.00M,,-1.154B,4.531B,348.00M,4.879B,607.00M,3.055B,-1.81B,-503.00M,197.00M,337.00M
2016-09,1.006B,,,-108.00M,-108.00M,356.00M,356.00M,-103.00M,,,-165.00M,18.00M,369.00M,-164.00M,461.00M,1.534B,,,,-6.168B,-208.00M,-7.515B,-2.051B,-538.00M,-2.589B,34.00M,-505.00M,-471.00M,,,,-275.00M,-63.00M,-338.00M,,6.316B,4.196B,335.00M,4.531B,34.00M,470.00M,-3.059B,-505.00M,177.00M,316.00M
2016-06,989.00M,,,-87.00M,-169.00M,291.00M,291.00M,-19.00M,,,-111.00M,1.095B,-1.02B,81.00M,-623.00M,485.00M,,,,279.00M,-70.00M,819.00M,880.00M,347.00M,1.227B,11.00M,-503.00M,-492.00M,,,,-256.00M,-41.00M,-297.00M,,-969.00M,3.861B,335.00M,4.196B,11.00M,2.308B,-1.081B,-503.00M,265.00M,319.00M
2016-03,943.00M,,,-61.00M,-105.00M,270.00M,270.00M,-49.00M,,,-155.00M,1.084B,-969.00M,-946.00M,-780.00M,276.00M,,,,-818.00M,119.00M,-908.00M,-1.032B,-165.00M,-1.197B,18.00M,-551.00M,-533.00M,,,,-260.00M,-64.00M,-324.00M,,428.00M,4.065B,-204.00M,3.861B,18.00M,1.205B,-2.402B,-551.00M,19.00M,345.00M
2015-12,1.022B,,41.00M,-115.00M,-121.00M,286.00M,286.00M,276.00M,,,-54.00M,-4.068B,3.96B,38.00M,409.00M,1.892B,,,,-4.202B,-139.00M,-2.726B,-387.00M,-1.224B,-1.611B,9.00M,-554.00M,-545.00M,,0.00,0.00,-259.00M,-41.00M,-300.00M,,1.064B,3.835B,230.00M,4.065B,9.00M,1.552B,-3.163B,-554.00M,392.00M,241.00M
2015-09,1.073B,,9.00M,-96.00M,-130.00M,272.00M,272.00M,19.00M,,,-113.00M,2.466B,-2.183B,187.00M,775.00M,1.977B,,,,-5.02B,-173.00M,-5.051B,490.00M,-2.265B,-1.775B,21.00M,-578.00M,-557.00M,,0.00,0.00,-263.00M,-63.00M,-326.00M,,2.497B,4.412B,-577.00M,3.835B,21.00M,1.244B,-3.019B,-578.00M,336.00M,261.00M
