,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,,,,,,,,,,,,,,-2.575B,-133.00M,0.00,-133.00M,0.00,-745.00M,-266.00M,-1.144B,-606.00M,0.00,-606.00M,0.00,0.00,,,0.00,0.00,10.85B,10.25B,11.82B,6.528B,18.35B,0.00,-606.00M,0.00,,
2020-06,,,,,,,,,,,,,,-290.00M,-281.00M,465.00M,184.00M,0.00,-4.301B,42.00M,-4.075B,1.832B,379.00M,2.211B,0.00,0.00,,,0.00,0.00,7.511B,9.722B,6.461B,5.357B,11.82B,2.685B,-474.00M,0.00,,
2020-03,,,,,,,,,,,,,,358.00M,-937.00M,,-937.00M,-2.099B,0.00,65.00M,-2.971B,-1.238B,2.882B,1.644B,-344.00M,-344.00M,,,-260.00M,-260.00M,4.304B,5.344B,3.73B,2.731B,6.461B,2.882B,-1.238B,-344.00M,,
2019-12,,,,,,,,,,,,,,970.00M,-1.072B,,-1.072B,279.00M,0.00,13.00M,-780.00M,-515.00M,0.00,-515.00M,-225.00M,-225.00M,,,-259.00M,-259.00M,1.841B,842.00M,2.698B,1.032B,3.73B,0.00,-515.00M,-225.00M,,
2019-09,,,,,,,,,,,,,,2.244B,-944.00M,0.00,-944.00M,-81.00M,0.00,-99.00M,-1.124B,-355.00M,0.00,-355.00M,-209.00M,-209.00M,,,-260.00M,-260.00M,-627.00M,-1.451B,3.029B,-331.00M,2.698B,0.00,-355.00M,-209.00M,,
2019-06,,,,,,,,,,,,,,3.269B,-1.56B,0.00,-1.56B,-89.00M,0.00,86.00M,-1.563B,-1.165B,0.00,-1.165B,-268.00M,-268.00M,,,-228.00M,-228.00M,-1.00M,-1.662B,2.985B,44.00M,3.029B,0.00,-1.165B,-268.00M,,
2019-03,,,,,,,,,,,,,,1.942B,-1.36B,,-1.36B,0.00,206.00M,58.00M,-1.096B,-1.285B,1.75B,465.00M,-1.325B,-1.325B,,,-233.00M,-233.00M,484.00M,-609.00M,2.748B,237.00M,2.985B,1.75B,-1.285B,-1.325B,,
2018-12,,,,,,,,,,,,,,1.245B,-1.363B,,-1.363B,28.00M,276.00M,39.00M,-1.02B,-311.00M,0.00,-311.00M,-325.00M,-325.00M,,,-239.00M,-239.00M,750.00M,-125.00M,2.648B,100.00M,2.748B,0.00,-311.00M,-325.00M,,
2018-09,,,,,,,,,,,,,,1.499B,-962.00M,,-962.00M,0.00,42.00M,17.00M,-903.00M,-648.00M,0.00,-648.00M,-325.00M,-325.00M,,,-240.00M,-240.00M,5.00M,-1.208B,3.26B,-612.00M,2.648B,0.00,-648.00M,-325.00M,,
2018-06,,,,,,,,,,,,,,2.898B,-1.578B,,-1.578B,0.00,3.00M,32.00M,-1.543B,-1.849B,0.00,-1.849B,-600.00M,-600.00M,,,-213.00M,-213.00M,3.085B,423.00M,1.482B,1.778B,3.26B,0.00,-1.849B,-600.00M,,
2018-03,,,,,,,,,,,,,,1.372B,-1.265B,,-1.265B,,300.00M,38.00M,-927.00M,-244.00M,0.00,-244.00M,-325.00M,-325.00M,,,-217.00M,-217.00M,-30.00M,-816.00M,1.853B,-371.00M,1.482B,0.00,-244.00M,-325.00M,,
2017-12,,,,,,,,,,,,,,1.891B,-1.16B,,-1.16B,-450.00M,132.00M,173.00M,-1.305B,-439.00M,-2.004B,-2.443B,-327.00M,-327.00M,,,-215.00M,-215.00M,2.735B,-250.00M,1.517B,336.00M,1.853B,-2.004B,-439.00M,-327.00M,,
2017-09,,,,,,,,,,,,,,1.593B,-941.00M,,-941.00M,-173.00M,-213.00M,32.00M,-1.295B,-255.00M,0.00,-255.00M,-550.00M,-550.00M,,,-219.00M,-219.00M,-62.00M,-1.086B,2.305B,-788.00M,1.517B,0.00,-255.00M,-550.00M,,
2017-06,,,,,,,,,,,,,,2.369B,-988.00M,,-988.00M,0.00,-4.00M,34.00M,-958.00M,-276.00M,2.004B,1.728B,-600.00M,-600.00M,,,-148.00M,-148.00M,-2.054B,-1.074B,1.968B,337.00M,2.305B,2.004B,-276.00M,-600.00M,,
2017-03,,,,,,,,,,,,,,-830.00M,-802.00M,,-802.00M,-622.00M,-256.00M,-28.00M,-1.708B,-288.00M,,-288.00M,-200.00M,-200.00M,,,-149.00M,-149.00M,2.317B,1.68B,2.826B,-858.00M,1.968B,,-288.00M,-200.00M,,
2016-12,,,,,,,,,,,,,,1.135B,-794.00M,,-794.00M,0.00,1.023B,216.00M,445.00M,-306.00M,0.00,-306.00M,-300.00M,-300.00M,,,-149.00M,-149.00M,309.00M,-446.00M,1.638B,1.134B,2.826B,0.00,-306.00M,-300.00M,,
2016-09,,,,,,,,,,,,,,1.854B,-680.00M,,-680.00M,0.00,-229.00M,22.00M,-887.00M,-254.00M,0.00,-254.00M,-500.00M,-500.00M,,,-150.00M,-150.00M,-87.00M,-991.00M,1.662B,-24.00M,1.638B,0.00,-254.00M,-500.00M,,
2016-06,,,,,,,,,,,,,,3.215B,-1.046B,,-1.046B,0.00,-80.00M,14.00M,-1.112B,-690.00M,382.00M,-308.00M,-1.026B,-1.026B,,,-103.00M,-103.00M,-712.00M,-2.149B,1.708B,-46.00M,1.662B,382.00M,-690.00M,-1.026B,,
2016-03,,,,,,,,,,,,,,1.011B,-871.00M,,-871.00M,0.00,265.00M,5.00M,-601.00M,-459.00M,68.00M,-391.00M,-775.00M,-775.00M,,,-107.00M,-107.00M,599.00M,-674.00M,1.972B,-264.00M,1.708B,68.00M,-459.00M,-775.00M,,
2015-12,,,,,,,,,,,,,,1.479B,-878.00M,,-878.00M,0.00,-29.00M,-272.00M,-1.179B,-407.00M,,-407.00M,-425.00M,-425.00M,,,-105.00M,-105.00M,240.00M,-697.00M,2.369B,-397.00M,1.972B,,-407.00M,-425.00M,,
2015-09,,,,,,,,,,,,,,2.067B,-562.00M,,-562.00M,-500.00M,49.00M,4.00M,-1.009B,-1.517B,0.00,-1.517B,-425.00M,-425.00M,,,-107.00M,-107.00M,1.067B,-982.00M,2.293B,76.00M,2.369B,0.00,-1.517B,-425.00M,,
2015-06,,,,,,,,,,,,,,2.745B,-919.00M,,-919.00M,,-50.00M,14.00M,-955.00M,-333.00M,0.00,-333.00M,-925.00M,-925.00M,,,-72.00M,-72.00M,-289.00M,-1.619B,2.122B,171.00M,2.293B,0.00,-333.00M,-925.00M,,
2015-03,,,,,,,,,,,,,,1.636B,-586.00M,,-586.00M,,-229.00M,3.00M,-812.00M,-301.00M,,-301.00M,-425.00M,-425.00M,,,-75.00M,-75.00M,11.00M,-790.00M,2.088B,34.00M,2.122B,,-301.00M,-425.00M,,
2014-12,,,,,,,,,,,,,,582.00M,-660.00M,,-660.00M,0.00,632.00M,-10.00M,-38.00M,-443.00M,,-443.00M,-500.00M,-500.00M,,,-75.00M,-75.00M,52.00M,-966.00M,2.51B,-422.00M,2.088B,,-443.00M,-500.00M,,
2014-09,,,,,,,,,,,,,,1.358B,-457.00M,,-457.00M,0.00,-1.147B,21.00M,-1.583B,-1.008B,-273.00M,-1.281B,-250.00M,-250.00M,,,-75.00M,-75.00M,979.00M,-627.00M,3.362B,-852.00M,2.51B,-273.00M,-1.008B,-250.00M,,
2014-06,,,,,,,,,,,,,,2.056B,-518.00M,,-518.00M,,242.00M,-3.00M,-279.00M,-1.065B,273.00M,-792.00M,-225.00M,-225.00M,,,-50.00M,-50.00M,-47.00M,-1.114B,2.699B,663.00M,3.362B,273.00M,-1.065B,-225.00M,,
2014-03,,,,,,,,,,,,,,951.00M,-614.00M,,-614.00M,,11.00M,40.00M,-563.00M,-412.00M,,-412.00M,-125.00M,-125.00M,,,-51.00M,-51.00M,55.00M,-533.00M,2.844B,-145.00M,2.699B,,-412.00M,-125.00M,,
2013-12,,,,,,,,,,,,,,1.131B,-905.00M,,-905.00M,-47.00M,8.00M,-4.00M,-948.00M,-493.00M,,-493.00M,-157.00M,-157.00M,,,-51.00M,-51.00M,344.00M,-357.00M,3.018B,-174.00M,2.844B,,-493.00M,-157.00M,,
2013-09,,,,,,,,,,,,,,1.161B,-631.00M,,-631.00M,0.00,17.00M,-3.00M,-617.00M,-347.00M,,-347.00M,-93.00M,-93.00M,,,-51.00M,-51.00M,0.00,-491.00M,2.965B,53.00M,3.018B,,-347.00M,-93.00M,,
2013-06,,,,,,,,,,,,,,1.208B,-338.00M,,-338.00M,-360.00M,87.00M,50.00M,-561.00M,-322.00M,,-322.00M,0.00,0.00,,,0.00,0.00,4.00M,-318.00M,2.636B,329.00M,2.965B,,-322.00M,0.00,,
2013-03,,,,,,,,,,,,,,1.004B,-647.00M,,-647.00M,,46.00M,-29.00M,-630.00M,-299.00M,,-299.00M,0.00,0.00,,,0.00,0.00,145.00M,-154.00M,2.416B,220.00M,2.636B,,-299.00M,0.00,,
2012-12,,,,,,,,,,,,,,550.00M,-538.00M,,-538.00M,0.00,23.00M,-18.00M,-533.00M,-1.454B,,-1.454B,0.00,0.00,,,0.00,0.00,1.579B,125.00M,2.274B,142.00M,2.416B,,-1.454B,0.00,,
2012-09,,,,,,,,,,,,,,463.00M,-426.00M,,-426.00M,0.00,3.00M,-5.00M,-428.00M,-669.00M,,-669.00M,0.00,0.00,,,0.00,0.00,369.00M,-300.00M,2.539B,-265.00M,2.274B,,-669.00M,0.00,,
2012-06,,,,,,,,,,,,,,632.00M,-597.00M,,-597.00M,0.00,9.00M,-64.00M,-652.00M,-374.00M,,-374.00M,,,,,,,22.00M,-352.00M,2.911B,-372.00M,2.539B,,-374.00M,,,
2012-03,,,,,,,,,,,,,,831.00M,-407.00M,,-407.00M,,26.00M,32.00M,-349.00M,-367.00M,,-367.00M,,,,,,,139.00M,-228.00M,2.657B,254.00M,2.911B,,-367.00M,,,
2011-12,,,,,,,,,,,,,,1.158B,-368.00M,,-368.00M,0.00,-18.00M,-26.00M,-412.00M,-3.126B,,-3.126B,,,,,,,2.73B,-396.00M,2.307B,350.00M,2.657B,-2.38B,-746.00M,,,
2011-09,,,,,,,,,,,,,,-98.00M,-233.00M,,-233.00M,0.00,13.00M,8.00M,-212.00M,-251.00M,0.00,-251.00M,,,,,,,13.00M,-238.00M,2.855B,-548.00M,2.307B,781.00M,-1.032B,,,
2011-06,,,,,,,,,,,,,,986.00M,-313.00M,,-313.00M,,11.00M,4.00M,-298.00M,-580.00M,0.00,-580.00M,,,,,,,-134.00M,-714.00M,2.881B,-26.00M,2.855B,1.354B,-1.934B,,,
2011-03,,,,,,,,,,,,,,788.00M,-340.00M,,-340.00M,,-240.00M,4.00M,-576.00M,-215.00M,,-215.00M,,,,,,,-8.00M,-223.00M,2.892B,-11.00M,2.881B,245.00M,-460.00M,,,
2010-12,,,,,,,,,,,,,,318.00M,-421.00M,,-421.00M,,-215.00M,-33.00M,-669.00M,-1.399B,,-1.399B,,,,,,,1.206B,-193.00M,3.436B,-544.00M,2.892B,-223.00M,-1.176B,,,
2010-09,,,,,,,,,,,,,,514.00M,-397.00M,,-397.00M,,-426.00M,21.00M,-802.00M,-701.00M,,-701.00M,,,,,,,-9.00M,-710.00M,4.434B,-998.00M,3.436B,223.00M,-924.00M,,,
2010-06,,,,,,,,,,,,,,1.034B,-196.00M,,-196.00M,,-98.00M,32.00M,-262.00M,-1.254B,,-1.254B,,,,,,,3.00M,-1.251B,4.913B,-479.00M,4.434B,0.00,-1.254B,,,
2010-03,,,,,,,,,,,,,,966.00M,-328.00M,,-328.00M,,73.00M,-38.00M,-293.00M,-368.00M,,-368.00M,,,,,,,1.00M,-367.00M,4.607B,306.00M,4.913B,0.00,-368.00M,,,
2009-12,,,,,,,,,,,,,,-73.00M,-470.00M,14.00M,-456.00M,0.00,142.00M,-45.00M,-359.00M,-341.00M,,-341.00M,,,,,,,-16.00M,-357.00M,5.396B,-789.00M,4.607B,494.00M,-835.00M,,,
2009-09,,,,,,,,,,,,,,-25.00M,-121.00M,10.00M,-111.00M,0.00,-121.00M,-13.00M,-245.00M,879.00M,,879.00M,,,,,,,-64.00M,815.00M,4.851B,545.00M,5.396B,2.082B,-1.203B,,,
2009-06,,,,,,,,,,,,,,834.00M,-176.00M,2.00M,-174.00M,,49.00M,-7.00M,-132.00M,-281.00M,,-281.00M,,,,,,,-11.00M,-292.00M,4.441B,410.00M,4.851B,34.00M,-315.00M,,,
2009-03,,,,,,,,,,,,,,643.00M,-435.00M,74.00M,-361.00M,,72.00M,17.00M,-272.00M,-182.00M,,-182.00M,,,,,,,-3.00M,-185.00M,4.255B,186.00M,4.441B,356.00M,-538.00M,,,
2008-12,,,,,,,,,,,,,,-1.989B,-306.00M,44.00M,-262.00M,,726.00M,608.00M,3.513B,-321.00M,,-621.00M,,,,,,,1.00B,571.00M,2.16B,2.095B,4.255B,118.00M,-439.00M,,,
2008-09,,,,,,,,,,,,,,-990.00M,-310.00M,27.00M,-283.00M,,-824.00M,1.00M,-1.106B,1.021B,,1.021B,,,,,,,-4.00M,1.017B,3.239B,-1.079B,2.16B,1.166B,-145.00M,,,
2008-06,,,,,,,,,,,,,,989.00M,-320.00M,58.00M,-262.00M,,2.00M,1.00M,-259.00M,18.00M,,18.00M,,,,,,,-1.00M,17.00M,2.492B,747.00M,3.239B,115.00M,-97.00M,,,
2008-03,,,,,,,,,,,,,,283.00M,-586.00M,25.00M,-561.00M,,4.00M,7.00M,-550.00M,118.00M,,118.00M,,,,,,,-7.00M,111.00M,2.648B,-156.00M,2.492B,733.00M,-615.00M,,,
2007-12,,,,,,,,,,,,,,532.00M,-407.00M,60.00M,-347.00M,,317.00M,-160.00M,-190.00M,123.00M,,123.00M,,,,,,,560.00M,683.00M,2.17B,1.025B,2.648B,3.186B,-3.063B,,,132.00M
2007-09,,,,,,,,,,,,,,12.00M,-301.00M,18.00M,-283.00M,,-49.00M,50.00M,-282.00M,66.00M,,66.00M,,,,,,,-3.00M,63.00M,4.00B,-207.00M,2.17B,319.00M,-253.00M,,,154.00M
2007-06,,,,,,,,,,,,,,455.00M,-173.00M,9.00M,-164.00M,,0.00,86.00M,-78.00M,-111.00M,,-111.00M,,,,,,,-529.00M,-640.00M,2.093B,-263.00M,4.00B,,-111.00M,,,134.00M
2007-03,,,,,,,,,,,,,,360.00M,-155.00M,18.00M,-137.00M,,34.00M,28.00M,-75.00M,-129.00M,,-129.00M,,,,,,,-97.00M,-226.00M,2.034B,59.00M,2.093B,,-129.00M,,,186.00M
2006-12,,,,,,,,,,,,,,1.00M,-154.00M,6.00M,-148.00M,,0.00,101.00M,-47.00M,-78.00M,,-78.00M,,,,,,,-125.00M,-203.00M,2.283B,-249.00M,2.034B,0.00,-78.00M,,,
2006-09,,,,,,,,,,,,,,222.00M,-95.00M,8.00M,-87.00M,,0.00,-102.00M,-189.00M,-181.00M,,-181.00M,,,,,,,0.00,-181.00M,2.431B,-148.00M,2.283B,0.00,-181.00M,,,
2006-06,,,,,,,,,,,,,,139.00M,-72.00M,7.00M,-65.00M,,0.00,2.00M,-63.00M,-74.00M,,-74.00M,,,,,,,0.00,-74.00M,2.429B,2.00M,2.431B,,-74.00M,,,
2006-03,,,,,,,,,,,,,,631.00M,-92.00M,19.00M,-73.00M,,0.00,11.00M,-62.00M,-143.00M,,-143.00M,,,,,,,-5.00M,-148.00M,2.008B,421.00M,2.429B,,-143.00M,,,
2005-12,,,,,,,,,,,,,,-470.00M,-83.00M,,342.00M,,,82.00M,841.00M,328.00M,,328.00M,,,,,,,-52.00M,276.00M,1.361B,647.00M,2.008B,500.00M,-172.00M,,,
2005-09,,,,,,,,,,,,,,100.00M,-143.00M,,-143.00M,,,-510.00M,-653.00M,617.00M,,617.00M,,,,,,,-44.00M,573.00M,1.341B,20.00M,1.361B,1.75B,-1.133B,,,
2005-06,,,,,,,,,,,,,,-113.00M,-299.00M,,-299.00M,,,211.00M,-88.00M,-100.00M,,-100.00M,,,,,,,-4.00M,-104.00M,1.646B,-305.00M,1.341B,0.00,-100.00M,,,
2005-03,,,,,,,,,,,,,,176.00M,-289.00M,,-289.00M,,,211.00M,-78.00M,85.00M,,85.00M,,,,,,,,85.00M,1.463B,183.00M,1.646B,295.00M,-210.00M,,,
