,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.08B,3.062B,5.086B,-2.024B,94.00M,,94.00M,,,114.00M,-5.459B,291.00M,,-291.00M,-1.077B,-983.00M,-1.041B,,291.00M,-291.00M,-5.527B,-291.00M,-6.859B,-1.48B,-5.379B,,,-5.379B,-1.023B,-6.568B,,-6.568B,-8.47,,,-1.611,-8.47,-8.47,,,-1.611,-8.47,635.00M,635.00M,0.0
2020-06,786.00M,1.468B,4.868B,-3.40B,45.00M,,45.00M,,,2.058B,-4.512B,194.00M,,-194.00M,-1.084B,-1.039B,-2.361B,,194.00M,-194.00M,-4.459B,-194.00M,-7.014B,-1.297B,-5.717B,,,-5.717B,-2.046B,-6.82B,,-6.82B,-9.01,,,-3.2289999999999996,-9.01,-9.01,,,-3.2289999999999996,-9.01,635.00M,635.00M,0.0
2020-03,7.721B,8.592B,8.133B,459.00M,358.00M,,358.00M,,,,,79.00M,,-79.00M,511.00M,869.00M,-410.00M,,79.00M,-79.00M,-118.00M,-79.00M,-607.00M,-73.00M,-534.00M,,,-534.00M,-435.47M,-528.00M,,-528.00M,-0.84,,,-0.6853,-0.84,-0.84,,,-0.6853,-0.84,637.00M,637.00M,0.4025
2019-12,10.43B,11.44B,9.098B,2.341B,488.00M,,488.00M,,,,,73.00M,,-73.00M,454.00M,942.00M,1.399B,,73.00M,-73.00M,72.00M,-73.00M,1.398B,300.00M,1.098B,,,1.098B,991.18M,1.471B,,1.471B,1.71,,,1.544,1.71,1.71,,,1.544,1.71,642.00M,644.00M,0.4025
2019-09,11.60B,12.56B,9.474B,3.086B,539.00M,,539.00M,,,-27.00M,27.00M,70.00M,,-70.00M,476.00M,1.015B,2.071B,,70.00M,-70.00M,-54.00M,-70.00M,1.947B,452.00M,1.495B,,,1.495B,1.501B,2.017B,,2.017B,2.32,,,2.33,2.32,2.31,,,2.319,2.31,646.00M,648.00M,0.4025
2019-06,11.55B,12.54B,9.457B,3.079B,538.00M,,538.00M,,,17.00M,-17.00M,75.00M,,-75.00M,413.00M,951.00M,2.128B,,75.00M,-75.00M,-146.00M,-75.00M,1.907B,464.00M,1.443B,,,1.443B,1.518B,1.982B,,1.982B,2.22,,,2.335,2.22,2.21,,,2.325,2.21,650.00M,652.00M,0.35
2019-03,9.446B,10.47B,8.596B,1.876B,427.00M,,427.00M,,,,,83.00M,,-83.00M,429.00M,856.00M,1.02B,,83.00M,-83.00M,9.00M,-83.00M,946.00M,216.00M,730.00M,,,730.00M,652.83M,1.029B,,1.029B,1.1,,,0.984,1.1,1.09,,,0.9743,1.09,665.00M,667.00M,0.35
2018-12,9.862B,10.74B,8.765B,1.977B,468.00M,,468.00M,,,,,67.00M,,-67.00M,418.00M,886.00M,1.091B,,67.00M,-67.00M,321.00M,-67.00M,1.345B,326.00M,1.019B,,,1.019B,860.66M,1.412B,,1.412B,1.5,,,1.2670000000000001,1.5,1.49,,,1.2590000000000001,1.49,679.00M,685.00M,0.35
2018-09,11.02B,11.95B,9.318B,2.635B,535.00M,,535.00M,,,,,73.00M,,-73.00M,455.00M,990.00M,1.645B,,73.00M,-73.00M,116.00M,-73.00M,1.688B,366.00M,1.322B,,,1.322B,1.283B,1.761B,,1.761B,1.93,,,1.8730000000000002,1.93,1.92,,,1.8630000000000002,1.92,686.00M,688.00M,0.35
2018-06,10.77B,11.78B,9.142B,2.633B,511.00M,,511.00M,,,,,79.00M,,-79.00M,438.00M,949.00M,1.684B,,79.00M,-79.00M,-219.00M,-79.00M,1.386B,350.00M,1.036B,,,1.036B,1.214B,1.465B,,1.465B,1.49,,,1.746,1.49,1.49,,,1.745,1.49,695.00M,697.00M,0.305
2018-03,8.967B,9.968B,8.287B,1.681B,427.00M,,427.00M,,,,,92.00M,,-92.00M,410.00M,837.00M,844.00M,,92.00M,-92.00M,-20.00M,-92.00M,732.00M,175.00M,557.00M,,,557.00M,543.30M,824.00M,,824.00M,0.79,,,0.7705,0.79,0.79,,,0.7706,0.79,704.00M,706.00M,0.305
2017-12,9.224B,10.23B,8.232B,1.996B,456.00M,,456.00M,,,,,99.00M,,-99.00M,379.00M,835.00M,1.161B,,99.00M,-99.00M,-19.00M,-99.00M,1.043B,745.00M,298.00M,,,298.00M,298.00M,1.142B,,1.142B,0.4228,,,0.4228,0.4228,0.42,,,0.42,0.42,708.00M,711.00M,0.305
2017-09,10.17B,11.06B,8.308B,2.753B,499.00M,,499.00M,,,,,100.00M,,-100.00M,431.00M,930.00M,1.823B,,100.00M,-100.00M,53.00M,-100.00M,1.776B,617.00M,1.159B,,,1.159B,1.159B,1.876B,,1.876B,1.62,,,1.62,1.62,1.61,,,1.61,1.61,716.00M,719.00M,0.305
2017-06,9.955B,10.75B,7.871B,2.876B,467.00M,,467.00M,,,,,103.00M,,-103.00M,427.00M,894.00M,1.982B,,103.00M,-103.00M,-48.00M,-103.00M,1.831B,645.00M,1.186B,,,1.186B,1.186B,1.934B,,1.934B,1.63,,,1.63,1.63,1.62,,,1.62,1.62,728.00M,731.00M,0.2025
2017-03,8.341B,9.101B,7.328B,1.773B,404.00M,,404.00M,,,,,94.00M,,-94.00M,370.00M,774.00M,999.00M,,94.00M,-94.00M,-56.00M,-94.00M,849.00M,288.00M,561.00M,,,561.00M,561.00M,943.00M,,943.00M,0.77,,,0.77,0.77,0.77,,,0.77,0.77,728.00M,731.00M,0.2025
2016-12,10.20B,9.269B,7.629B,1.64B,460.00M,,460.00M,,,,,93.00M,,-93.00M,116.00M,576.00M,1.064B,,93.00M,-93.00M,-302.00M,-93.00M,669.00M,225.00M,444.00M,,,444.00M,444.00M,762.00M,,762.00M,0.85,,,0.85,0.85,0.84,,,0.84,0.84,730.00M,734.00M,0.2025
2016-09,9.238B,10.48B,7.521B,2.962B,466.00M,,466.00M,,,,,95.00M,,-95.00M,527.00M,993.00M,1.969B,,95.00M,-95.00M,26.00M,-95.00M,1.90B,641.00M,1.259B,,,1.259B,1.259B,1.995B,,1.995B,1.7,,,1.7,1.7,1.69,,,1.69,1.69,740.00M,744.00M,0.2025
2016-06,9.135B,10.45B,7.102B,3.345B,437.00M,,437.00M,,,,,93.00M,,-93.00M,485.00M,922.00M,2.423B,,93.00M,-93.00M,20.00M,-93.00M,2.35B,804.00M,1.546B,,,1.546B,1.546B,2.443B,,2.443B,2.04,,,2.04,2.04,2.03,,,2.03,2.03,758.00M,763.00M,0.135
2016-03,7.924B,9.251B,6.83B,2.421B,388.00M,,388.00M,,,,,107.00M,,-107.00M,493.00M,881.00M,1.54B,,107.00M,-107.00M,1.00M,-107.00M,1.434B,488.00M,946.00M,,,946.00M,946.00M,1.541B,,1.541B,1.22,,,1.22,1.22,1.21,,,1.21,1.21,774.00M,780.00M,0.135
2015-12,8.318B,9.502B,6.99B,2.512B,402.00M,,402.00M,,,,,102.00M,,-102.00M,393.00M,795.00M,1.717B,,102.00M,-102.00M,-82.00M,-102.00M,1.533B,553.00M,980.00M,,,980.00M,980.00M,1.635B,,1.635B,1.26,,,1.26,1.26,1.25,,,1.25,1.25,779.00M,783.00M,0.135
2015-09,9.791B,11.11B,7.866B,3.241B,463.00M,,463.00M,,,,,121.00M,,-121.00M,565.00M,1.028B,2.213B,,121.00M,-121.00M,-20.00M,-121.00M,2.072B,757.00M,1.315B,,,1.315B,1.315B,2.193B,,2.193B,1.67,,,1.67,1.67,1.65,,,1.65,1.65,788.00M,795.00M,0.135
2015-06,9.346B,10.71B,7.239B,3.468B,421.00M,,421.00M,,,,,127.00M,,-127.00M,573.00M,994.00M,2.474B,,127.00M,-127.00M,19.00M,-127.00M,2.366B,881.00M,1.485B,,,1.485B,1.485B,2.493B,,2.493B,1.85,,,1.85,1.85,1.83,,,1.83,1.83,803.00M,811.00M,0.09
2015-03,8.14B,9.388B,7.102B,2.286B,386.00M,,386.00M,,,,,131.00M,,-131.00M,502.00M,888.00M,1.398B,,131.00M,-131.00M,-81.00M,-131.00M,1.186B,440.00M,746.00M,,,746.00M,746.00M,1.317B,,1.317B,0.91,,,0.91,0.91,0.9,,,0.9,0.9,818.00M,826.00M,0.09
2014-12,8.478B,9.647B,9.502B,145.00M,411.00M,,411.00M,,,,-67.00M,137.00M,,-137.00M,495.00M,906.00M,-761.00M,,137.00M,-137.00M,-242.00M,-137.00M,-1.14B,-428.00M,-712.00M,,,-712.00M,-670.15M,-1.003B,,-1.003B,-0.86,,,-0.8092,-0.86,-0.86,,,-0.8098,-0.86,824.00M,833.00M,0.09
2014-09,10.02B,11.18B,8.782B,2.396B,476.00M,,476.00M,,,,-570.00M,154.00M,,-154.00M,515.00M,991.00M,1.405B,,154.00M,-154.00M,-672.00M,-154.00M,579.00M,222.00M,357.00M,,,357.00M,708.45M,733.00M,,733.00M,0.43,,,0.8514,0.43,0.42,,,0.8369,0.42,834.00M,843.00M,0.09
2014-06,9.496B,10.62B,8.164B,2.457B,440.00M,,440.00M,,,,-30.00M,173.00M,,-173.00M,408.00M,848.00M,1.609B,,173.00M,-173.00M,-138.00M,-173.00M,1.298B,497.00M,801.00M,,,801.00M,819.51M,1.471B,,1.471B,0.95,,,0.972,0.95,0.94,,,0.9618,0.94,841.00M,850.00M,0.06
2014-03,7.894B,8.916B,7.495B,1.421B,373.00M,,373.00M,,,,-67.00M,186.00M,,-186.00M,379.00M,752.00M,669.00M,,186.00M,-186.00M,-148.00M,-186.00M,335.00M,122.00M,213.00M,,,213.00M,255.60M,521.00M,,521.00M,0.25,,,0.3005,0.25,0.25,,,0.2999,0.25,844.00M,853.00M,0.06
2013-12,8.112B,9.076B,7.464B,1.612B,391.00M,,391.00M,,,,-160.00M,206.00M,,-206.00M,360.00M,751.00M,861.00M,,206.00M,-206.00M,-180.00M,-206.00M,475.00M,-8.004B,8.479B,,,8.479B,8.583B,681.00M,,681.00M,10.02,,,10.14,10.02,9.89,,,10.01,9.89,846.00M,858.00M,0.06
